"Time (ps)"	"Counts per bin"
0	991
100000	986
200000	1022
300000	1029
400000	1002
500000	1038
600000	963
700000	1111
800000	997
900000	1042
1000000	1028
1100000	985
1200000	1013
1300000	1024
1400000	981
1500000	1033
1600000	1063
1700000	1002
1800000	994
1900000	1020
2000000	996
2100000	994
2200000	1067
2300000	987
2400000	975
2500000	1002
2600000	975
2700000	1012
2800000	1034
2900000	1011
3000000	999
3100000	993
3200000	988
3300000	986
3400000	961
3500000	1027
3600000	1004
3700000	1046
3800000	1011
3900000	1012
4000000	920
4100000	969
4200000	1011
4300000	967
4400000	999
4500000	958
4600000	942
4700000	968
4800000	974
4900000	970
5000000	932
5100000	1005
5200000	950
5300000	1039
5400000	934
5500000	942
5600000	968
5700000	1009
5800000	1016
5900000	1012
6000000	958
6100000	948
6200000	965
6300000	1019
6400000	904
6500000	985
6600000	986
6700000	932
6800000	912
6900000	1001
7000000	967
7100000	918
7200000	935
7300000	906
7400000	920
7500000	954
7600000	960
7700000	925
7800000	919
7900000	961
8000000	902
8100000	934
8200000	937
8300000	887
8400000	916
8500000	928
8600000	843
8700000	875
8800000	962
8900000	872
9000000	864
9100000	888
9200000	928
9300000	875
9400000	947
9500000	910
9600000	867
9700000	881
9800000	848
9900000	890
10000000	893
10100000	908
10200000	899
10300000	863
10400000	887
10500000	803
10600000	863
10700000	833
10800000	878
10900000	866
11000000	898
11100000	920
11200000	911
11300000	888
11400000	879
11500000	828
11600000	865
11700000	912
11800000	854
11900000	843
12000000	838
12100000	822
12200000	922
12300000	856
12400000	840
12500000	825
12600000	871
12700000	801
12800000	865
12900000	829
13000000	884
13100000	831
13200000	848
13300000	899
13400000	849
13500000	825
13600000	817
13700000	847
13800000	808
13900000	871
14000000	799
14100000	803
14200000	796
14300000	892
14400000	831
14500000	799
14600000	812
14700000	799
14800000	852
14900000	853
15000000	837
15100000	812
15200000	843
15300000	823
15400000	802
15500000	815
15600000	831
15700000	824
15800000	814
15900000	813
16000000	865
16100000	789
16200000	772
16300000	822
16400000	782
16500000	801
16600000	814
16700000	823
16800000	821
16900000	744
17000000	835
17100000	813
17200000	784
17300000	743
17400000	829
17500000	813
17600000	783
17700000	831
17800000	849
17900000	797
18000000	807
18100000	805
18200000	794
18300000	812
18400000	813
18500000	759
18600000	765
18700000	768
18800000	798
18900000	769
19000000	799
19100000	791
19200000	758
19300000	798
19400000	756
19500000	797
19600000	774
19700000	797
19800000	737
19900000	739
20000000	736
20100000	767
20200000	766
20300000	732
20400000	732
20500000	760
20600000	767
20700000	738
20800000	722
20900000	709
21000000	737
21100000	740
21200000	813
21300000	729
21400000	722
21500000	694
21600000	778
21700000	786
21800000	727
21900000	714
22000000	768
22100000	742
22200000	782
22300000	789
22400000	728
22500000	686
22600000	724
22700000	744
22800000	680
22900000	728
23000000	718
23100000	728
23200000	772
23300000	740
23400000	719
23500000	758
23600000	708
23700000	707
23800000	753
23900000	702
24000000	745
24100000	755
24200000	678
24300000	697
24400000	780
24500000	709
24600000	700
24700000	710
24800000	715
24900000	752
25000000	701
25100000	739
25200000	699
25300000	738
25400000	745
25500000	729
25600000	738
25700000	674
25800000	688
25900000	714
26000000	718
26100000	713
26200000	703
26300000	687
26400000	705
26500000	705
26600000	710
26700000	712
26800000	735
26900000	681
27000000	692
27100000	680
27200000	722
27300000	677
27400000	731
27500000	673
27600000	714
27700000	699
27800000	704
27900000	703
28000000	672
28100000	676
28200000	678
28300000	684
28400000	714
28500000	742
28600000	675
28700000	697
28800000	666
28900000	674
29000000	683
29100000	658
29200000	683
29300000	708
29400000	672
29500000	683
29600000	676
29700000	697
29800000	673
29900000	700
30000000	687
30100000	698
30200000	703
30300000	694
30400000	651
30500000	677
30600000	653
30700000	669
30800000	626
30900000	635
31000000	691
31100000	688
31200000	686
31300000	695
31400000	663
31500000	682
31600000	632
31700000	620
31800000	588
31900000	650
32000000	673
32100000	655
32200000	647
32300000	670
32400000	676
32500000	639
32600000	652
32700000	636
32800000	655
32900000	663
33000000	667
33100000	652
33200000	652
33300000	676
33400000	614
33500000	615
33600000	691
33700000	629
33800000	613
33900000	645
34000000	616
34100000	596
34200000	659
34300000	643
34400000	672
34500000	601
34600000	625
34700000	660
34800000	645
34900000	646
35000000	635
35100000	634
35200000	585
35300000	658
35400000	616
35500000	672
35600000	658
35700000	647
35800000	632
35900000	669
36000000	597
36100000	658
36200000	604
36300000	633
36400000	639
36500000	597
36600000	630
36700000	615
36800000	589
36900000	656
37000000	634
37100000	631
37200000	598
37300000	634
37400000	587
37500000	650
37600000	636
37700000	650
37800000	607
37900000	623
38000000	567
38100000	663
38200000	610
38300000	606
38400000	624
38500000	628
38600000	655
38700000	612
38800000	613
38900000	612
39000000	575
39100000	585
39200000	610
39300000	649
39400000	593
39500000	620
39600000	595
39700000	591
39800000	634
39900000	632
40000000	581
40100000	620
40200000	546
40300000	639
40400000	588
40500000	615
40600000	604
40700000	619
40800000	580
40900000	597
41000000	643
41100000	604
41200000	555
41300000	591
41400000	591
41500000	538
41600000	646
41700000	565
41800000	605
41900000	570
42000000	588
42100000	566
42200000	622
42300000	584
42400000	601
42500000	619
42600000	623
42700000	588
42800000	580
42900000	560
43000000	564
43100000	590
43200000	585
43300000	613
43400000	584
43500000	613
43600000	581
43700000	592
43800000	560
43900000	569
44000000	537
44100000	576
44200000	606
44300000	546
44400000	554
44500000	492
44600000	561
44700000	575
44800000	573
44900000	585
45000000	563
45100000	598
45200000	607
45300000	567
45400000	552
45500000	561
45600000	575
45700000	558
45800000	592
45900000	562
46000000	519
46100000	573
46200000	549
46300000	546
46400000	523
46500000	582
46600000	543
46700000	550
46800000	563
46900000	536
47000000	557
47100000	561
47200000	600
47300000	553
47400000	546
47500000	528
47600000	559
47700000	559
47800000	541
47900000	556
48000000	594
48100000	580
48200000	514
48300000	509
48400000	550
48500000	501
48600000	539
48700000	550
48800000	568
48900000	540
49000000	549
49100000	558
49200000	519
49300000	552
49400000	554
49500000	590
49600000	521
49700000	526
49800000	586
49900000	554
50000000	539
50100000	556
50200000	556
50300000	529
50400000	546
50500000	559
50600000	555
50700000	520
50800000	526
50900000	529
51000000	532
51100000	568
51200000	544
51300000	520
51400000	548
51500000	539
51600000	564
51700000	521
51800000	518
51900000	515
52000000	511
52100000	541
52200000	532
52300000	544
52400000	522
52500000	491
52600000	521
52700000	537
52800000	511
52900000	514
53000000	541
53100000	523
53200000	516
53300000	508
53400000	549
53500000	575
53600000	546
53700000	514
53800000	488
53900000	548
54000000	505
54100000	531
54200000	464
54300000	501
54400000	528
54500000	539
54600000	529
54700000	494
54800000	526
54900000	473
55000000	484
55100000	470
55200000	473
55300000	505
55400000	444
55500000	517
55600000	487
55700000	532
55800000	484
55900000	501
56000000	493
56100000	521
56200000	573
56300000	516
56400000	491
56500000	505
56600000	493
56700000	508
56800000	477
56900000	503
57000000	487
