"Time (ps)"	"Counts per bin"
0	45925
1000000	45280
2000000	45420
3000000	45746
4000000	45452
5000000	45640
6000000	45561
7000000	45661
8000000	45464
9000000	45187
10000000	45207
11000000	45637
12000000	45344
13000000	46033
14000000	45580
15000000	45635
16000000	45356
17000000	45501
18000000	45381
19000000	45387
20000000	45872
21000000	45201
22000000	45391
23000000	45736
24000000	45599
25000000	45289
26000000	45463
27000000	45257
28000000	45570
29000000	45808
30000000	45289
31000000	45495
32000000	45289
33000000	45487
34000000	45277
35000000	45147
36000000	45440
37000000	45660
38000000	45467
39000000	44990
40000000	45476
41000000	45222
42000000	45089
43000000	45678
44000000	45605
45000000	45239
46000000	45198
47000000	45114
48000000	45409
49000000	45658
50000000	45216
51000000	45681
52000000	44858
53000000	44677
54000000	45161
55000000	45136
56000000	45115
57000000	44851
58000000	45293
59000000	45190
60000000	45407
61000000	45329
62000000	44910
63000000	45125
64000000	44900
65000000	45080
66000000	45321
67000000	44978
68000000	44824
69000000	45348
70000000	45242
71000000	45042
72000000	45230
73000000	45120
74000000	45359
75000000	45139
76000000	45078
77000000	45363
78000000	45140
79000000	45386
80000000	44880
81000000	44902
82000000	45206
83000000	45063
84000000	44859
85000000	45067
86000000	44433
87000000	45110
88000000	44888
89000000	44963
90000000	45306
91000000	44979
92000000	45173
93000000	44885
94000000	44933
95000000	44912
96000000	45040
97000000	45009
98000000	44986
99000000	45309
100000000	45181
101000000	45063
102000000	45198
103000000	44511
104000000	44732
105000000	44733
106000000	44822
107000000	44472
108000000	44596
109000000	44689
110000000	45262
111000000	44596
112000000	45011
113000000	44937
114000000	45010
115000000	44998
116000000	44896
117000000	44717
118000000	44935
119000000	44402
120000000	44867
121000000	44697
122000000	45253
123000000	44954
124000000	45059
125000000	44969
126000000	44779
127000000	44989
128000000	44565
129000000	44638
130000000	45298
131000000	44439
132000000	44437
133000000	44918
134000000	44460
135000000	45123
136000000	44643
137000000	44903
138000000	44633
139000000	44780
140000000	44791
141000000	44999
142000000	44845
143000000	44794
144000000	44722
145000000	44767
146000000	44770
147000000	44748
148000000	44691
149000000	44919
150000000	44545
151000000	44985
152000000	45041
153000000	45003
154000000	44529
155000000	44658
156000000	44904
157000000	44778
158000000	44419
159000000	45052
160000000	44615
161000000	44606
162000000	44580
163000000	44762
164000000	44565
165000000	44617
166000000	44503
167000000	44841
168000000	44892
169000000	44949
170000000	44669
171000000	44275
172000000	44898
173000000	44449
174000000	44604
175000000	44177
176000000	44626
177000000	44461
178000000	44247
179000000	44562
180000000	44530
181000000	44857
182000000	44618
183000000	44757
184000000	44791
185000000	44482
186000000	44117
187000000	44428
188000000	44306
189000000	44827
190000000	44364
191000000	44722
192000000	44966
193000000	44624
194000000	44291
195000000	44114
196000000	44585
197000000	44765
198000000	44295
199000000	44671
200000000	44480
201000000	44555
202000000	44683
203000000	44567
204000000	44726
205000000	44617
206000000	44657
207000000	44806
208000000	44435
209000000	44555
210000000	44646
211000000	44187
212000000	44362
213000000	44315
214000000	44467
215000000	44563
216000000	44602
217000000	44633
