"Time (ps)"	"Counts per bin"
0	2902
400000	2955
800000	2936
1200000	2887
1600000	2911
2000000	2773
2400000	2763
2800000	2760
3200000	2672
3600000	2813
4000000	2782
4400000	2753
4800000	2675
5200000	2705
5600000	2700
6000000	2631
6400000	2520
6800000	2532
7200000	2508
7600000	2582
8000000	2419
8400000	2444
8800000	2472
9200000	2411
9600000	2380
10000000	2306
10400000	2304
10800000	2320
11200000	2241
11600000	2276
12000000	2185
12400000	2197
12800000	2111
13200000	2193
13600000	2112
14000000	2074
14400000	2103
14800000	2103
15200000	2095
15600000	2179
16000000	2109
16400000	2025
16800000	2053
17200000	1840
17600000	1946
18000000	1899
18400000	1959
18800000	1903
19200000	1882
19600000	1894
20000000	1937
20400000	1901
20800000	1816
21200000	1816
21600000	1839
22000000	1819
22400000	1818
22800000	1802
23200000	1816
23600000	1834
24000000	1733
24400000	1793
24800000	1810
25200000	1750
25600000	1771
26000000	1747
26400000	1650
26800000	1795
27200000	1603
27600000	1769
28000000	1710
28400000	1646
28800000	1642
29200000	1563
29600000	1658
30000000	1574
30400000	1591
30800000	1599
31200000	1566
31600000	1570
32000000	1615
32400000	1462
32800000	1521
33200000	1567
33600000	1526
34000000	1532
34400000	1427
34800000	1481
35200000	1457
35600000	1494
36000000	1415
36400000	1413
36800000	1399
37200000	1399
37600000	1486
38000000	1459
38400000	1350
38800000	1367
39200000	1390
39600000	1331
40000000	1370
40400000	1369
40800000	1332
41200000	1339
41600000	1346
42000000	1385
42400000	1406
42800000	1297
43200000	1314
43600000	1310
44000000	1317
44400000	1371
44800000	1298
45200000	1277
45600000	1295
46000000	1270
46400000	1262
46800000	1302
47200000	1235
47600000	1217
48000000	1237
48400000	1203
48800000	1190
49200000	1194
49600000	1209
50000000	1270
50400000	1217
50800000	1165
51200000	1111
51600000	1158
52000000	1182
52400000	1158
52800000	1145
53200000	1094
53600000	1173
54000000	1189
54400000	1181
54800000	1151
55200000	1198
55600000	1181
56000000	1114
56400000	1101
56800000	1060
57200000	1048
57600000	1054
58000000	1046
58400000	1051
58800000	1068
59200000	1089
59600000	1051
60000000	1091
60400000	985
60800000	1061
61200000	1022
61600000	965
62000000	1019
62400000	1073
62800000	949
63200000	1045
63600000	1044
64000000	1028
64400000	1012
64800000	1034
65200000	1036
65600000	977
66000000	980
66400000	970
66800000	961
67200000	960
67600000	982
68000000	991
68400000	924
68800000	949
69200000	945
69600000	955
70000000	948
70400000	914
70800000	991
71200000	924
71600000	907
72000000	940
72400000	923
72800000	898
73200000	898
73600000	889
74000000	914
74400000	911
74800000	899
75200000	917
75600000	935
76000000	931
76400000	823
76800000	921
77200000	875
77600000	887
78000000	898
78400000	842
78800000	905
79200000	851
79600000	885
80000000	872
80400000	790
80800000	913
81200000	852
81600000	851
82000000	855
82400000	763
82800000	851
83200000	822
83600000	828
84000000	777
84400000	854
84800000	811
85200000	801
85600000	730
86000000	785
86400000	745
86800000	794
87200000	790
87600000	830
88000000	724
88400000	756
88800000	769
89200000	763
89600000	755
90000000	739
90400000	793
90800000	760
91200000	769
91600000	738
92000000	739
92400000	802
92800000	753
93200000	677
93600000	725
94000000	702
94400000	688
94800000	716
95200000	720
95600000	698
96000000	731
96400000	686
96800000	713
97200000	703
97600000	715
98000000	698
98400000	730
98800000	668
99200000	655
99600000	708
100000000	714
100400000	676
100800000	660
101200000	663
101600000	656
102000000	632
102400000	679
102800000	662
103200000	632
103600000	678
104000000	719
104400000	687
104800000	669
105200000	634
105600000	667
106000000	672
106400000	602
106800000	639
107200000	673
107600000	604
108000000	650
108400000	637
108800000	622
109200000	651
109600000	589
110000000	613
110400000	620
110800000	597
111200000	648
111600000	633
112000000	585
112400000	649
112800000	648
113200000	563
113600000	582
114000000	609
114400000	574
114800000	584
115200000	560
115600000	570
116000000	589
116400000	593
116800000	578
117200000	626
117600000	570
118000000	589
118400000	573
118800000	584
119200000	622
119600000	583
120000000	593
120400000	544
120800000	552
121200000	586
121600000	576
122000000	572
122400000	543
122800000	561
123200000	530
123600000	553
124000000	552
124400000	543
124800000	519
125200000	516
125600000	560
126000000	543
126400000	557
126800000	524
127200000	487
127600000	524
128000000	501
128400000	508
128800000	515
129200000	513
129600000	511
130000000	564
130400000	510
130800000	545
131200000	491
131600000	512
132000000	498
132400000	545
132800000	501
133200000	514
133600000	487
134000000	518
134400000	534
134800000	452
135200000	508
135600000	517
136000000	497
136400000	501
136800000	483
137200000	495
137600000	503
138000000	458
138400000	461
138800000	461
139200000	493
139600000	463
140000000	479
140400000	454
140800000	487
141200000	477
141600000	470
142000000	465
142400000	457
142800000	461
143200000	462
143600000	415
144000000	430
144400000	430
144800000	423
145200000	443
145600000	439
146000000	451
146400000	461
146800000	429
147200000	477
147600000	442
148000000	415
148400000	464
148800000	446
149200000	417
149600000	432
150000000	475
150400000	448
150800000	408
151200000	433
151600000	404
152000000	399
152400000	434
152800000	402
153200000	434
153600000	403
154000000	390
154400000	382
154800000	418
155200000	375
155600000	436
156000000	410
156400000	398
156800000	378
157200000	417
157600000	398
158000000	399
158400000	395
158800000	381
159200000	385
159600000	381
160000000	386
160400000	393
160800000	400
161200000	371
161600000	391
162000000	398
162400000	401
162800000	404
163200000	369
163600000	376
164000000	349
164400000	385
164800000	395
165200000	404
165600000	384
166000000	366
166400000	400
166800000	373
167200000	389
167600000	365
168000000	351
168400000	354
168800000	326
169200000	412
169600000	366
170000000	394
170400000	353
170800000	409
171200000	354
171600000	363
172000000	362
172400000	383
172800000	370
173200000	354
173600000	360
174000000	374
174400000	374
174800000	343
175200000	317
175600000	358
176000000	362
176400000	361
176800000	359
177200000	329
177600000	330
178000000	347
178400000	321
178800000	332
179200000	341
179600000	327
180000000	334
180400000	322
180800000	347
181200000	337
181600000	346
182000000	329
182400000	340
182800000	300
183200000	329
183600000	291
184000000	307
184400000	338
184800000	315
185200000	297
185600000	325
186000000	330
186400000	296
186800000	283
187200000	317
187600000	304
188000000	305
188400000	330
188800000	313
189200000	343
189600000	325
190000000	321
190400000	334
190800000	323
191200000	307
191600000	310
192000000	283
192400000	298
192800000	294
193200000	294
193600000	319
194000000	312
194400000	276
194800000	294
195200000	292
195600000	289
196000000	302
196400000	316
196800000	288
197200000	287
197600000	259
198000000	287
198400000	301
198800000	308
199200000	264
199600000	270
200000000	293
200400000	327
200800000	328
201200000	283
201600000	280
202000000	269
202400000	262
202800000	281
203200000	258
203600000	281
204000000	254
204400000	295
204800000	310
205200000	256
205600000	264
206000000	278
206400000	270
206800000	253
207200000	270
207600000	285
208000000	281
208400000	260
208800000	255
209200000	260
209600000	267
210000000	250
210400000	240
210800000	279
211200000	260
211600000	269
212000000	256
212400000	234
212800000	268
213200000	300
213600000	280
214000000	278
214400000	256
214800000	254
215200000	260
215600000	254
216000000	233
216400000	255
216800000	251
217200000	247
217600000	258
218000000	250
218400000	270
218800000	241
219200000	254
219600000	242
220000000	248
