"Time (ps)"	"Counts per bin"
0	237
100000	255
200000	234
300000	253
400000	236
500000	259
600000	230
700000	232
800000	246
900000	225
1000000	235
1100000	223
1200000	221
1300000	267
1400000	257
1500000	250
1600000	240
1700000	231
1800000	252
1900000	243
2000000	242
2100000	218
2200000	253
2300000	261
2400000	232
2500000	235
2600000	238
2700000	251
2800000	261
2900000	250
3000000	256
3100000	242
3200000	220
3300000	226
3400000	230
3500000	235
3600000	231
3700000	241
3800000	234
3900000	210
4000000	234
4100000	254
4200000	198
4300000	263
4400000	219
4500000	263
4600000	210
4700000	218
4800000	243
4900000	230
5000000	217
5100000	237
5200000	225
5300000	243
5400000	238
5500000	234
5600000	255
5700000	230
5800000	237
5900000	238
6000000	260
6100000	241
6200000	236
6300000	238
6400000	250
6500000	259
6600000	215
6700000	239
6800000	226
6900000	237
7000000	238
7100000	223
7200000	242
7300000	251
7400000	442
7500000	4123
7600000	35447
7700000	49557
7800000	13050
7900000	1997
8000000	744
8100000	515
8200000	568
8300000	712
8400000	1085
8500000	2184
8600000	4803
8700000	8539
8800000	10219
8900000	8622
9000000	6865
9100000	5359
9200000	4005
9300000	3097
9400000	2508
9500000	2193
9600000	2044
9700000	2109
9800000	2208
9900000	2362
10000000	2720
10100000	3131
10200000	3272
10300000	3101
10400000	2882
10500000	3051
10600000	3356
10700000	3273
10800000	3094
10900000	3219
11000000	3991
11100000	5190
11200000	6246
11300000	6824
11400000	6168
11500000	5192
11600000	4456
11700000	4072
11800000	3705
11900000	3611
12000000	3497
12100000	3801
12200000	4194
12300000	4273
12400000	4933
12500000	7109
12600000	10824
12700000	13595
12800000	12701
12900000	8557
13000000	5028
13100000	2676
13200000	1546
13300000	1089
13400000	934
13500000	980
13600000	1205
13700000	1554
13800000	1982
13900000	2521
14000000	3523
14100000	5415
14200000	7796
14300000	9552
14400000	9766
14500000	7821
14600000	5486
14700000	3607
14800000	2751
14900000	2642
15000000	2937
15100000	3489
15200000	4506
15300000	5723
15400000	6693
15500000	6696
15600000	6062
15700000	5452
15800000	4658
15900000	4018
16000000	3559
16100000	3464
16200000	3541
16300000	3543
16400000	3668
16500000	3476
16600000	3584
16700000	3675
16800000	3505
16900000	3115
17000000	2587
17100000	2098
17200000	1742
17300000	1502
17400000	1453
17500000	1533
17600000	1756
17700000	2149
17800000	2619
17900000	3379
18000000	4300
18100000	5179
18200000	5686
18300000	5876
18400000	5509
18500000	4821
18600000	4233
18700000	3660
18800000	3369
18900000	3274
19000000	3531
19100000	4039
19200000	4651
19300000	5375
19400000	5763
19500000	6025
19600000	5808
19700000	5260
19800000	4729
19900000	4293
20000000	3991
20100000	3871
20200000	4007
20300000	4288
20400000	4761
20500000	5196
20600000	5549
20700000	5824
20800000	5621
20900000	5429
21000000	5187
21100000	4711
21200000	4684
21300000	4363
21400000	4460
21500000	4725
21600000	4914
21700000	5135
21800000	5381
21900000	5483
22000000	5458
22100000	5400
22200000	5104
22300000	5047
22400000	4678
22500000	4668
22600000	4693
22700000	4723
22800000	4783
22900000	4817
23000000	4974
23100000	4972
23200000	5059
23300000	4950
23400000	5034
23500000	4950
23600000	4806
23700000	4687
23800000	4515
23900000	4517
24000000	4596
24100000	4537
24200000	4560
24300000	4760
24400000	4645
24500000	4585
24600000	4577
24700000	4564
24800000	4329
24900000	4509
25000000	4377
25100000	4394
25200000	4505
25300000	4451
25400000	4477
25500000	4393
25600000	4512
25700000	4560
25800000	4504
25900000	4471
26000000	4477
26100000	4497
26200000	4398
26300000	4450
26400000	4354
26500000	4473
26600000	4333
26700000	4329
26800000	4492
26900000	4427
27000000	4343
27100000	4322
27200000	4219
27300000	4006
27400000	4171
27500000	4080
27600000	4166
27700000	4234
27800000	4209
27900000	4423
28000000	4427
28100000	4487
28200000	4481
28300000	4416
28400000	4469
28500000	4577
28600000	4508
28700000	4601
28800000	4683
28900000	4574
29000000	4781
29100000	4804
29200000	4894
29300000	4883
29400000	4926
29500000	4898
29600000	5004
29700000	4874
29800000	4982
29900000	4783
30000000	5093
30100000	4927
30200000	4788
30300000	4819
30400000	4995
30500000	4957
30600000	5008
30700000	5109
30800000	4879
30900000	4936
31000000	4948
31100000	4831
31200000	4783
31300000	4914
31400000	4814
31500000	4887
31600000	4944
31700000	4792
31800000	4782
31900000	4905
32000000	4698
32100000	4777
32200000	4771
32300000	4717
32400000	4681
32500000	4521
32600000	4662
32700000	4651
32800000	4717
32900000	4652
33000000	4624
33100000	4683
33200000	4708
33300000	4567
33400000	4737
33500000	4704
33600000	4675
33700000	4767
33800000	4766
33900000	4604
34000000	4577
34100000	4729
34200000	4752
34300000	4690
34400000	4952
34500000	4776
34600000	4794
34700000	5041
34800000	4840
34900000	4951
35000000	4827
35100000	4952
35200000	5095
35300000	4991
35400000	5016
35500000	4959
35600000	4895
35700000	4997
35800000	5109
35900000	4915
36000000	4990
36100000	5148
36200000	5070
36300000	5037
36400000	5061
36500000	5144
36600000	5045
36700000	5091
36800000	5077
36900000	5075
37000000	5056
37100000	4877
37200000	4838
37300000	4922
37400000	5017
37500000	4943
37600000	4986
37700000	5025
37800000	4919
37900000	4823
38000000	5070
38100000	5059
38200000	4957
38300000	4894
38400000	5053
38500000	4885
38600000	4982
38700000	4898
38800000	4882
38900000	4849
39000000	5074
39100000	4984
39200000	4964
39300000	4908
39400000	4811
39500000	4989
39600000	4936
39700000	4964
39800000	4916
39900000	4963
40000000	4975
40100000	4985
40200000	4989
40300000	4885
40400000	4995
40500000	4991
40600000	4989
40700000	5015
40800000	5042
40900000	5020
41000000	5009
41100000	4959
41200000	5060
41300000	5039
41400000	5023
41500000	5076
41600000	5010
41700000	4899
41800000	4972
41900000	4961
42000000	4882
42100000	5027
42200000	4914
42300000	5122
42400000	5115
42500000	5030
42600000	5108
42700000	5070
42800000	4909
42900000	4965
43000000	4967
43100000	4964
43200000	4900
43300000	4834
43400000	5104
43500000	4976
43600000	4894
43700000	4899
43800000	4822
43900000	4869
44000000	4970
44100000	5042
44200000	4915
44300000	4916
44400000	4972
44500000	4832
44600000	5007
44700000	4825
44800000	4898
44900000	5081
45000000	5044
45100000	4998
45200000	4790
45300000	5021
45400000	5067
45500000	5129
45600000	5094
45700000	4831
45800000	4944
45900000	4888
46000000	5049
46100000	4940
46200000	5032
46300000	4856
46400000	4879
46500000	5010
46600000	4980
46700000	4938
46800000	4890
46900000	5010
47000000	4926
47100000	4849
47200000	5100
47300000	4882
47400000	4788
47500000	5107
47600000	4870
47700000	4955
47800000	4824
47900000	4923
48000000	4883
48100000	4849
48200000	4984
48300000	4926
48400000	4990
48500000	4929
48600000	4983
48700000	4980
48800000	4947
48900000	4828
49000000	4989
49100000	4938
49200000	4959
49300000	4842
49400000	4859
49500000	5043
49600000	4854
49700000	4942
49800000	4906
49900000	4936
50000000	4867
50100000	4872
50200000	5085
50300000	4769
50400000	4856
50500000	4835
50600000	4611
50700000	4340
50800000	4175
50900000	3741
51000000	3330
51100000	3062
51200000	2738
51300000	2371
51400000	2150
51500000	1889
51600000	1653
51700000	1497
51800000	1198
51900000	1031
52000000	923
52100000	770
52200000	674
52300000	580
52400000	462
52500000	411
52600000	342
52700000	276
52800000	268
52900000	287
53000000	249
53100000	269
53200000	229
53300000	242
53400000	254
53500000	243
53600000	266
53700000	247
53800000	255
53900000	247
54000000	236
54100000	234
54200000	232
54300000	252
54400000	259
54500000	247
54600000	254
54700000	242
54800000	256
54900000	233
55000000	244
55100000	240
55200000	249
55300000	261
55400000	265
55500000	236
55600000	229
55700000	241
55800000	264
55900000	223
56000000	217
56100000	236
56200000	249
56300000	239
56400000	249
56500000	249
56600000	239
56700000	261
56800000	227
56900000	261
57000000	231
57100000	232
57200000	239
57300000	258
57400000	220
57500000	231
57600000	265
57700000	234
57800000	266
57900000	214
58000000	271
58100000	275
58200000	248
58300000	236
58400000	237
58500000	235
58600000	238
58700000	222
58800000	238
58900000	242
59000000	215
59100000	214
59200000	239
