"Time (ps)"	"Counts per bin"
0	8201
5000000	525
10000000	567
15000000	594
20000000	558
25000000	561
30000000	571
35000000	564
40000000	532
45000000	563
50000000	505
55000000	522
60000000	520
65000000	571
70000000	554
75000000	490
80000000	530
85000000	576
90000000	556
95000000	519
100000000	562
105000000	557
110000000	564
115000000	548
120000000	535
125000000	569
130000000	503
135000000	542
140000000	499
145000000	579
150000000	558
155000000	518
160000000	572
165000000	576
170000000	496
175000000	556
180000000	545
185000000	557
190000000	559
195000000	579
200000000	544
205000000	569
210000000	569
215000000	535
220000000	571
225000000	530
230000000	538
235000000	488
240000000	548
245000000	586
250000000	587
255000000	563
260000000	526
265000000	537
270000000	527
275000000	551
280000000	549
285000000	528
290000000	542
295000000	546
300000000	551
305000000	568
310000000	524
315000000	513
320000000	550
325000000	592
330000000	540
335000000	545
340000000	541
345000000	538
350000000	551
355000000	538
360000000	525
365000000	535
370000000	563
375000000	536
380000000	583
385000000	575
390000000	548
395000000	529
400000000	573
405000000	574
410000000	564
415000000	525
420000000	555
425000000	562
430000000	518
435000000	549
440000000	577
445000000	537
450000000	553
455000000	546
460000000	546
465000000	557
470000000	542
475000000	574
480000000	537
485000000	527
490000000	528
495000000	511
500000000	586
505000000	511
510000000	519
515000000	553
520000000	534
525000000	555
530000000	517
535000000	520
540000000	554
545000000	524
550000000	581
555000000	548
560000000	573
565000000	579
570000000	544
575000000	554
580000000	545
585000000	546
590000000	522
595000000	552
600000000	560
605000000	515
610000000	562
615000000	507
620000000	489
625000000	562
630000000	512
635000000	547
640000000	547
645000000	568
650000000	573
655000000	495
660000000	528
665000000	559
670000000	545
675000000	543
680000000	574
685000000	551
690000000	561
695000000	553
700000000	612
705000000	523
710000000	538
715000000	566
720000000	541
725000000	566
730000000	519
735000000	616
740000000	594
745000000	558
750000000	582
755000000	637
760000000	619
765000000	524
770000000	547
775000000	601
780000000	576
785000000	542
790000000	554
795000000	550
800000000	533
805000000	520
810000000	568
815000000	532
820000000	545
825000000	531
830000000	542
835000000	560
840000000	569
845000000	591
850000000	587
855000000	515
860000000	564
