"Time (ps)"	"Counts per bin"
0	136
4000	141
8000	136
12000	141
16000	129
20000	148
24000	130
28000	157
32000	137
36000	156
40000	116
44000	140
48000	132
52000	157
56000	119
60000	148
64000	133
68000	135
72000	138
76000	143
80000	143
84000	149
88000	145
92000	148
96000	118
100000	155
104000	132
108000	146
112000	122
116000	122
120000	136
124000	145
128000	126
132000	145
136000	142
140000	130
144000	151
148000	132
152000	135
156000	126
160000	132
164000	147
168000	122
172000	120
176000	145
180000	149
184000	130
188000	157
192000	139
196000	160
200000	123
204000	132
208000	162
212000	140
216000	131
220000	159
224000	139
228000	140
232000	120
236000	120
240000	133
244000	140
248000	140
252000	128
256000	125
260000	153
264000	141
268000	143
272000	142
276000	131
280000	136
284000	125
288000	131
292000	112
296000	112
300000	147
304000	144
308000	132
312000	115
316000	148
320000	140
324000	117
328000	133
332000	128
336000	133
340000	156
344000	127
348000	118
352000	126
356000	117
360000	138
364000	144
368000	129
372000	128
376000	141
380000	136
384000	130
388000	130
392000	132
396000	123
400000	153
404000	139
408000	134
412000	126
416000	142
420000	120
424000	130
428000	126
432000	149
436000	149
440000	131
444000	129
448000	137
452000	134
456000	142
460000	138
464000	134
468000	151
472000	162
476000	160
480000	135
484000	133
488000	138
492000	137
496000	137
500000	134
504000	142
508000	118
512000	126
516000	134
520000	139
524000	143
528000	131
532000	138
536000	139
540000	133
544000	119
548000	141
552000	125
556000	107
560000	131
564000	109
568000	130
572000	140
576000	130
580000	118
584000	137
588000	115
592000	151
596000	139
600000	117
604000	124
608000	120
612000	162
616000	124
620000	137
624000	130
628000	117
632000	144
636000	107
640000	112
644000	112
648000	118
652000	113
656000	116
660000	141
664000	128
668000	141
672000	112
676000	110
680000	126
684000	123
688000	111
692000	115
696000	121
700000	122
704000	113
708000	113
712000	119
716000	133
720000	115
724000	133
728000	124
732000	105
736000	114
740000	127
744000	112
748000	118
752000	117
756000	109
760000	118
764000	124
768000	125
772000	111
776000	114
780000	108
784000	120
788000	126
792000	123
796000	109
800000	118
804000	128
808000	117
812000	123
816000	123
820000	113
824000	121
828000	141
832000	124
836000	115
840000	112
844000	93
848000	126
852000	105
856000	117
860000	122
864000	120
868000	118
872000	99
876000	105
880000	122
884000	119
888000	99
892000	105
896000	109
900000	129
904000	103
908000	100
912000	118
916000	103
920000	100
924000	124
928000	106
932000	113
936000	91
940000	107
944000	94
948000	91
952000	100
956000	97
960000	100
964000	105
968000	104
972000	96
976000	112
980000	103
984000	103
988000	98
992000	80
996000	98
1000000	102
1004000	89
1008000	97
1012000	96
1016000	105
1020000	91
1024000	96
1028000	83
1032000	81
1036000	88
1040000	83
1044000	99
1048000	100
1052000	71
1056000	94
1060000	98
1064000	92
1068000	91
1072000	82
1076000	90
1080000	89
1084000	85
1088000	109
1092000	90
1096000	85
1100000	92
1104000	85
1108000	83
1112000	67
1116000	82
1120000	96
1124000	90
1128000	86
1132000	85
1136000	77
1140000	76
1144000	76
1148000	78
1152000	87
1156000	72
1160000	61
1164000	69
1168000	78
1172000	78
1176000	78
1180000	95
1184000	68
1188000	74
1192000	67
1196000	81
1200000	73
1204000	68
1208000	69
1212000	73
1216000	63
1220000	85
1224000	72
1228000	73
1232000	55
1236000	76
1240000	66
1244000	73
1248000	76
1252000	59
1256000	77
1260000	56
1264000	77
1268000	58
1272000	72
1276000	77
1280000	62
1284000	63
1288000	66
1292000	81
1296000	61
1300000	63
1304000	79
1308000	65
1312000	59
1316000	58
1320000	67
1324000	55
1328000	69
1332000	68
1336000	58
1340000	67
1344000	60
1348000	70
1352000	56
1356000	80
1360000	53
1364000	67
1368000	60
1372000	68
1376000	57
1380000	64
1384000	61
1388000	62
1392000	61
1396000	54
1400000	55
1404000	63
1408000	58
1412000	64
1416000	58
1420000	51
1424000	64
1428000	62
1432000	52
1436000	50
1440000	59
1444000	63
1448000	67
1452000	58
1456000	56
1460000	57
1464000	68
1468000	54
1472000	50
1476000	49
1480000	55
1484000	55
1488000	48
1492000	64
1496000	47
1500000	53
1504000	40
1508000	40
1512000	61
1516000	41
1520000	54
1524000	50
1528000	46
1532000	53
1536000	50
1540000	42
1544000	44
1548000	54
1552000	48
1556000	66
1560000	39
1564000	46
1568000	46
1572000	41
1576000	52
1580000	39
1584000	46
1588000	42
1592000	47
1596000	45
1600000	43
1604000	53
1608000	58
1612000	44
1616000	50
1620000	54
1624000	37
1628000	50
1632000	43
1636000	30
1640000	51
1644000	42
1648000	38
1652000	53
1656000	38
1660000	45
1664000	50
1668000	43
1672000	34
1676000	55
1680000	54
1684000	33
1688000	47
1692000	46
1696000	38
1700000	40
1704000	40
1708000	38
1712000	41
1716000	37
1720000	28
1724000	40
1728000	34
1732000	40
1736000	37
1740000	39
1744000	31
1748000	36
1752000	38
1756000	36
1760000	40
1764000	36
1768000	36
1772000	39
1776000	28
1780000	35
1784000	28
1788000	34
1792000	38
1796000	38
1800000	30
1804000	20
1808000	34
1812000	29
1816000	28
1820000	27
1824000	31
1828000	26
1832000	40
1836000	32
1840000	36
1844000	43
1848000	26
1852000	28
1856000	30
1860000	26
1864000	31
1868000	24
1872000	28
1876000	35
1880000	20
1884000	19
1888000	30
1892000	35
1896000	26
1900000	26
1904000	26
1908000	28
1912000	23
1916000	16
1920000	30
1924000	33
1928000	29
1932000	15
1936000	22
1940000	26
1944000	20
1948000	23
1952000	21
1956000	29
1960000	31
1964000	16
1968000	31
1972000	22
1976000	25
1980000	23
1984000	29
1988000	19
1992000	32
1996000	15
2000000	25
2004000	22
2008000	20
2012000	30
2016000	11
2020000	28
2024000	23
2028000	23
2032000	23
2036000	15
2040000	16
2044000	24
2048000	21
2052000	20
2056000	22
2060000	9
2064000	7
2068000	18
2072000	24
2076000	26
2080000	20
2084000	19
2088000	9
2092000	21
2096000	21
2100000	21
2104000	17
2108000	13
2112000	19
2116000	13
2120000	19
2124000	22
2128000	17
2132000	9
2136000	17
2140000	15
2144000	15
2148000	21
2152000	17
2156000	13
2160000	17
2164000	18
2168000	9
2172000	13
2176000	8
2180000	11
2184000	11
2188000	14
2192000	15
2196000	21
2200000	17
2204000	10
2208000	16
2212000	17
2216000	13
2220000	11
2224000	12
2228000	10
2232000	10
2236000	14
2240000	21
2244000	9
2248000	7
2252000	18
2256000	15
2260000	20
2264000	16
2268000	7
2272000	10
2276000	6
2280000	11
2284000	12
2288000	11
2292000	5
2296000	9
2300000	8
2304000	11
2308000	14
2312000	8
2316000	13
2320000	11
2324000	14
2328000	20
2332000	4
2336000	7
2340000	6
2344000	10
2348000	18
2352000	11
2356000	8
2360000	6
2364000	9
2368000	5
2372000	15
2376000	10
2380000	9
2384000	7
2388000	5
2392000	7
2396000	9
2400000	7
2404000	9
2408000	5
2412000	5
2416000	8
2420000	11
2424000	3
2428000	7
2432000	4
2436000	9
2440000	4
2444000	6
2448000	6
2452000	8
2456000	8
2460000	2
2464000	5
2468000	13
2472000	7
2476000	4
2480000	7
2484000	7
2488000	11
2492000	8
2496000	7
2500000	3
2504000	6
2508000	3
2512000	6
2516000	6
2520000	10
2524000	6
2528000	4
2532000	3
2536000	3
2540000	4
2544000	3
2548000	6
2552000	3
2556000	4
2560000	6
2564000	4
2568000	5
2572000	0
2576000	2
2580000	6
2584000	2
2588000	3
2592000	1
2596000	1
2600000	3
2604000	6
2608000	0
2612000	6
2616000	3
2620000	4
2624000	2
2628000	4
2632000	5
2636000	3
2640000	1
2644000	3
2648000	4
2652000	2
2656000	2
2660000	1
2664000	0
2668000	3
2672000	4
2676000	3
2680000	2
2684000	0
2688000	1
2692000	1
2696000	5
2700000	2
2704000	3
2708000	1
2712000	3
2716000	1
2720000	5
2724000	0
2728000	1
2732000	3
2736000	3
2740000	2
2744000	0
2748000	2
2752000	1
2756000	3
2760000	5
2764000	2
2768000	0
2772000	0
2776000	1
2780000	4
2784000	4
2788000	4
2792000	3
2796000	3
2800000	1
2804000	1
2808000	3
2812000	2
2816000	2
2820000	2
2824000	2
2828000	1
2832000	2
2836000	0
2840000	0
2844000	1
2848000	1
2852000	2
2856000	0
2860000	1
2864000	3
2868000	1
2872000	1
2876000	0
2880000	1
2884000	2
2888000	2
2892000	2
2896000	4
2900000	2
2904000	1
2908000	1
2912000	4
2916000	1
2920000	0
2924000	2
2928000	4
2932000	2
2936000	2
2940000	0
2944000	0
2948000	2
2952000	5
2956000	2
2960000	3
2964000	0
2968000	3
2972000	2
2976000	2
2980000	0
2984000	1
2988000	1
2992000	0
2996000	0
3000000	1
3004000	0
3008000	2
3012000	3
3016000	3
3020000	1
3024000	1
3028000	1
3032000	4
3036000	2
3040000	3
3044000	1
3048000	1
3052000	1
3056000	0
3060000	0
3064000	0
3068000	1
3072000	1
3076000	0
3080000	1
3084000	0
3088000	0
3092000	0
3096000	0
3100000	0
3104000	0
3108000	2
3112000	1
3116000	0
3120000	0
3124000	0
3128000	1
3132000	4
3136000	0
3140000	0
3144000	1
3148000	1
3152000	0
3156000	1
3160000	0
3164000	1
3168000	1
3172000	1
3176000	2
3180000	0
3184000	1
3188000	0
3192000	1
3196000	1
3200000	2
3204000	2
3208000	0
3212000	0
3216000	2
3220000	0
3224000	1
3228000	1
3232000	1
3236000	0
3240000	3
3244000	3
3248000	1
3252000	1
3256000	4
3260000	0
3264000	1
3268000	0
3272000	2
3276000	2
3280000	1
3284000	0
3288000	0
3292000	1
3296000	0
3300000	0
3304000	1
3308000	2
3312000	2
3316000	1
3320000	1
3324000	3
3328000	1
3332000	0
3336000	1
3340000	1
3344000	0
3348000	1
3352000	2
3356000	1
3360000	1
3364000	2
3368000	0
3372000	0
3376000	0
3380000	3
3384000	0
3388000	1
3392000	1
3396000	0
3400000	2
3404000	0
3408000	1
3412000	2
3416000	0
3420000	1
3424000	0
3428000	1
3432000	1
3436000	0
3440000	2
3444000	0
3448000	1
3452000	1
3456000	0
3460000	1
3464000	2
3468000	1
3472000	1
3476000	3
3480000	1
3484000	2
3488000	2
3492000	1
3496000	2
3500000	0
3504000	3
3508000	3
3512000	1
3516000	2
3520000	0
3524000	1
3528000	0
3532000	1
3536000	0
3540000	0
3544000	1
3548000	3
3552000	1
3556000	1
3560000	1
3564000	0
3568000	1
3572000	1
3576000	3
3580000	2
3584000	0
3588000	1
3592000	1
3596000	1
3600000	1
3604000	3
3608000	3
3612000	0
3616000	1
3620000	1
3624000	0
3628000	1
3632000	1
3636000	0
3640000	2
3644000	2
3648000	0
3652000	1
3656000	0
3660000	0
3664000	1
3668000	1
3672000	2
3676000	1
3680000	0
3684000	3
3688000	1
3692000	0
3696000	1
3700000	1
3704000	0
3708000	1
3712000	1
3716000	0
3720000	1
3724000	1
3728000	2
3732000	3
3736000	1
3740000	2
3744000	2
3748000	2
3752000	4
3756000	1
3760000	1
3764000	0
3768000	1
3772000	1
3776000	2
3780000	3
3784000	2
3788000	1
3792000	1
3796000	2
3800000	1
3804000	1
3808000	0
3812000	1
3816000	0
3820000	0
3824000	0
3828000	1
3832000	1
3836000	0
3840000	3
3844000	1
3848000	3
3852000	1
3856000	0
3860000	1
3864000	1
3868000	1
3872000	2
3876000	2
3880000	1
3884000	1
3888000	3
3892000	1
3896000	1
3900000	5
3904000	1
3908000	1
3912000	1
3916000	1
3920000	0
3924000	2
3928000	3
3932000	1
3936000	2
3940000	2
3944000	1
3948000	4
3952000	0
3956000	1
3960000	2
3964000	0
3968000	0
3972000	1
3976000	0
3980000	1
3984000	1
3988000	1
3992000	1
3996000	2
