"Time (ps)"	"Counts per bin"
0	52886
200000	52345
400000	50604
600000	46305
800000	38961
1000000	30872
1200000	23532
1400000	18187
1600000	13414
1800000	9726
2000000	6579
2200000	4001
2400000	2299
2600000	1284
2800000	758
3000000	598
3200000	573
3400000	585
3600000	502
3800000	522
4000000	534
4200000	516
4400000	512
4600000	549
4800000	495
5000000	571
5200000	521
5400000	512
5600000	484
5800000	501
6000000	502
6200000	491
6400000	496
6600000	516
6800000	515
7000000	514
7200000	510
7400000	493
7600000	503
7800000	480
8000000	486
8200000	504
8400000	513
8600000	483
8800000	545
9000000	532
9200000	545
9400000	473
9600000	506
9800000	471
10000000	481
10200000	577
10400000	475
10600000	470
10800000	517
11000000	507
11200000	476
11400000	525
11600000	477
11800000	497
12000000	528
12200000	480
12400000	463
12600000	506
12800000	464
13000000	485
13200000	491
13400000	490
13600000	466
13800000	490
14000000	479
14200000	493
14400000	525
14600000	494
14800000	491
15000000	471
15200000	510
15400000	450
15600000	506
15800000	487
16000000	518
16200000	461
16400000	500
16600000	486
16800000	460
17000000	517
17200000	493
17400000	466
17600000	515
17800000	459
18000000	451
18200000	478
18400000	456
18600000	457
18800000	480
19000000	509
19200000	483
19400000	452
19600000	490
19800000	480
20000000	463
20200000	524
20400000	478
20600000	488
20800000	486
21000000	449
21200000	449
21400000	472
21600000	495
21800000	501
22000000	469
22200000	454
22400000	447
22600000	446
22800000	492
23000000	518
23200000	481
23400000	479
23600000	484
23800000	476
24000000	492
24200000	484
24400000	467
24600000	493
24800000	498
25000000	475
25200000	483
25400000	491
25600000	455
25800000	509
26000000	459
26200000	483
26400000	486
26600000	461
26800000	481
27000000	476
27200000	502
27400000	472
27600000	476
27800000	458
28000000	474
28200000	535
28400000	432
28600000	492
28800000	478
29000000	493
29200000	497
29400000	481
29600000	475
29800000	482
30000000	513
30200000	476
30400000	457
30600000	488
30800000	455
31000000	442
31200000	472
31400000	490
31600000	515
31800000	454
32000000	495
32200000	490
32400000	495
32600000	463
32800000	503
33000000	448
33200000	484
33400000	506
33600000	490
33800000	468
34000000	497
34200000	492
34400000	467
34600000	472
34800000	483
35000000	524
35200000	476
35400000	494
35600000	482
35800000	463
36000000	475
36200000	469
36400000	481
36600000	471
36800000	438
37000000	461
37200000	467
37400000	422
37600000	489
37800000	464
38000000	486
38200000	446
38400000	439
38600000	462
38800000	463
39000000	477
39200000	495
39400000	464
39600000	507
39800000	476
40000000	467
40200000	474
40400000	458
40600000	447
40800000	456
41000000	485
41200000	454
41400000	480
41600000	460
41800000	469
42000000	501
42200000	471
42400000	484
42600000	442
42800000	474
43000000	469
43200000	453
43400000	499
43600000	462
43800000	482
44000000	494
44200000	478
44400000	487
44600000	482
44800000	482
45000000	481
45200000	466
45400000	477
45600000	496
45800000	460
46000000	447
46200000	473
46400000	465
46600000	459
46800000	446
47000000	472
47200000	469
47400000	480
47600000	469
47800000	458
48000000	522
48200000	452
48400000	502
48600000	488
48800000	494
49000000	446
49200000	485
49400000	498
49600000	504
49800000	487
50000000	474
50200000	466
50400000	468
50600000	470
50800000	484
51000000	483
51200000	474
51400000	476
51600000	428
51800000	450
52000000	499
52200000	469
52400000	476
52600000	457
52800000	452
53000000	474
53200000	424
53400000	444
53600000	485
53800000	482
54000000	462
54200000	464
54400000	505
54600000	505
54800000	506
55000000	456
55200000	464
55400000	480
55600000	479
55800000	465
56000000	466
56200000	481
56400000	490
56600000	479
56800000	507
57000000	499
57200000	490
57400000	2865
57600000	93570
57800000	39328
58000000	4020
58200000	2887
58400000	7597
58600000	44482
58800000	119476
59000000	82691
59200000	41664
59400000	23482
59600000	21016
59800000	28638
60000000	53447
60200000	90267
60400000	77295
60600000	41865
60800000	24562
61000000	26011
61200000	43661
61400000	57785
61600000	52696
61800000	45592
62000000	33697
62200000	24353
62400000	28367
62600000	60236
62800000	64635
63000000	24910
63200000	5890
63400000	2292
63600000	2979
63800000	5444
64000000	10831
64200000	35440
64400000	67623
64600000	50969
64800000	22539
65000000	17450
65200000	32257
65400000	57163
65600000	66452
65800000	61737
66000000	51284
66200000	42683
66400000	42281
66600000	47149
66800000	58452
67000000	61684
67200000	55864
67400000	51293
67600000	53040
67800000	58901
68000000	63112
68200000	62780
68400000	56917
68600000	49173
68800000	45729
69000000	44099
69200000	41103
69400000	36685
69600000	35702
69800000	37955
70000000	43845
70200000	47996
70400000	46686
70600000	41928
70800000	37546
71000000	35497
71200000	35326
71400000	37321
71600000	40056
71800000	40540
72000000	39345
72200000	37525
72400000	37471
72600000	39889
72800000	42169
73000000	43732
73200000	43683
73400000	43706
73600000	43467
73800000	44073
74000000	44897
74200000	45742
74400000	45334
74600000	44868
74800000	44105
75000000	44075
75200000	44346
75400000	45269
75600000	45250
75800000	44569
76000000	45024
76200000	45298
76400000	46349
76600000	46822
76800000	46826
77000000	47596
77200000	47806
77400000	48718
77600000	49231
77800000	49807
78000000	48553
78200000	48076
78400000	47054
78600000	46178
78800000	46084
79000000	45119
79200000	44645
79400000	43913
79600000	43820
79800000	44136
80000000	44731
80200000	45180
80400000	46071
80600000	46742
80800000	47719
81000000	48119
81200000	49054
81400000	49440
81600000	49344
81800000	50202
82000000	50046
82200000	50361
82400000	50486
82600000	50372
82800000	49626
83000000	49910
83200000	49557
83400000	49442
83600000	49141
83800000	48930
84000000	49021
84200000	48632
84400000	48570
84600000	48839
84800000	48621
85000000	48399
85200000	48362
85400000	47970
85600000	48462
85800000	48192
86000000	48425
86200000	48452
86400000	48551
86600000	48076
86800000	48032
87000000	48329
87200000	48421
87400000	48236
87600000	48266
87800000	48090
88000000	47718
88200000	48447
88400000	48500
88600000	48569
88800000	48310
89000000	48265
89200000	48608
89400000	48480
89600000	48284
89800000	48582
90000000	48580
90200000	48135
90400000	48206
90600000	48120
90800000	48068
91000000	48005
91200000	47712
91400000	48261
91600000	47941
91800000	48065
92000000	48075
92200000	48421
92400000	49046
92600000	49014
92800000	49351
93000000	49296
93200000	49713
93400000	50380
93600000	50118
93800000	50404
94000000	50814
94200000	50301
94400000	50609
94600000	50530
94800000	50672
95000000	50214
95200000	50205
95400000	49769
95600000	50200
95800000	49794
96000000	50056
96200000	50131
96400000	50070
96600000	50303
96800000	50433
97000000	50130
97200000	50771
97400000	50887
97600000	51412
97800000	51848
98000000	51952
98200000	51479
98400000	52559
98600000	52110
98800000	52383
99000000	52479
99200000	52461
99400000	52505
99600000	52837
99800000	52429
100000000	52805
100200000	52353
100400000	50761
100600000	46429
100800000	39097
101000000	31135
101200000	23651
101400000	18304
101600000	13511
101800000	9807
102000000	6638
102200000	4044
102400000	2349
102600000	1294
102800000	758
103000000	607
103200000	578
103400000	579
103600000	505
103800000	523
104000000	531
104200000	514
104400000	506
104600000	560
104800000	489
105000000	577
105200000	520
105400000	513
105600000	484
105800000	499
106000000	504
106200000	490
106400000	495
106600000	515
106800000	520
107000000	509
107200000	511
107400000	490
107600000	511
107800000	480
108000000	485
108200000	501
108400000	509
108600000	492
108800000	540
109000000	534
109200000	543
109400000	473
109600000	501
109800000	475
110000000	477
110200000	581
110400000	474
110600000	476
110800000	514
111000000	504
111200000	468
111400000	536
111600000	475
111800000	502
112000000	520
112200000	482
112400000	462
112600000	507
112800000	470
113000000	480
113200000	491
113400000	479
113600000	479
113800000	490
114000000	478
114200000	490
114400000	527
114600000	488
114800000	499
115000000	466
115200000	512
115400000	457
115600000	504
115800000	488
116000000	517
116200000	457
116400000	498
116600000	493
116800000	456
117000000	511
117200000	495
117400000	473
117600000	508
117800000	462
118000000	452
118200000	476
118400000	461
118600000	452
118800000	482
119000000	507
119200000	487
119400000	454
119600000	483
119800000	480
120000000	463
120200000	533
120400000	471
120600000	492
120800000	480
121000000	454
121200000	448
121400000	464
121600000	503
121800000	504
122000000	467
122200000	455
122400000	443
122600000	453
122800000	479
123000000	519
123200000	484
123400000	479
123600000	479
123800000	482
124000000	493
124200000	485
124400000	463
124600000	501
124800000	496
125000000	475
125200000	481
125400000	487
125600000	458
125800000	511
126000000	460
126200000	483
126400000	482
126600000	457
126800000	490
127000000	476
127200000	493
127400000	478
127600000	476
127800000	455
128000000	474
128200000	535
128400000	434
128600000	493
128800000	479
129000000	490
129200000	494
129400000	485
129600000	477
129800000	482
130000000	512
130200000	476
130400000	459
130600000	484
130800000	460
131000000	443
131200000	470
131400000	491
131600000	509
131800000	458
132000000	494
132200000	487
132400000	493
132600000	470
132800000	499
133000000	453
133200000	483
133400000	499
133600000	488
133800000	476
134000000	497
134200000	494
134400000	463
134600000	472
134800000	485
135000000	523
135200000	478
135400000	494
135600000	480
135800000	458
136000000	478
136200000	474
136400000	483
136600000	466
136800000	439
137000000	460
137200000	465
137400000	429
137600000	482
137800000	467
138000000	486
138200000	440
138400000	446
138600000	459
138800000	467
139000000	474
139200000	497
139400000	456
139600000	510
139800000	472
140000000	469
140200000	475
140400000	464
140600000	443
140800000	455
141000000	489
141200000	454
141400000	475
141600000	460
141800000	467
142000000	505
142200000	476
142400000	482
142600000	444
142800000	469
143000000	471
143200000	455
143400000	499
143600000	459
143800000	482
144000000	496
144200000	476
144400000	494
144600000	477
144800000	484
145000000	475
145200000	471
145400000	479
145600000	491
145800000	460
146000000	451
146200000	468
146400000	465
146600000	464
146800000	441
147000000	475
147200000	462
147400000	485
147600000	468
147800000	456
148000000	527
148200000	447
148400000	507
148600000	490
148800000	489
149000000	451
149200000	478
149400000	497
149600000	502
149800000	494
150000000	471
150200000	471
150400000	470
150600000	464
150800000	487
151000000	482
151200000	477
151400000	471
151600000	432
151800000	442
152000000	504
152200000	472
152400000	475
152600000	456
152800000	457
153000000	464
153200000	435
153400000	444
153600000	477
153800000	481
154000000	466
154200000	458
154400000	507
154600000	508
154800000	504
155000000	461
155200000	456
155400000	485
155600000	485
155800000	463
156000000	461
156200000	479
156400000	495
156600000	478
156800000	510
157000000	493
157200000	490
157400000	2548
157600000	91217
157800000	41840
158000000	4129
158200000	2859
158400000	7340
158600000	42642
158800000	119013
159000000	83959
159200000	42339
159400000	23689
159600000	20953
159800000	28315
160000000	52601
160200000	89735
160400000	78132
160600000	42612
160800000	24721
161000000	25729
161200000	43218
161400000	57675
161600000	52798
161800000	45808
162000000	34071
162200000	24476
162400000	28000
162600000	59308
162800000	65403
163000000	25694
163200000	6104
163400000	2308
163600000	2937
163800000	5365
164000000	10557
164200000	34514
164400000	67365
164600000	51814
164800000	22900
165000000	17334
165200000	31688
165400000	56653
165600000	66514
165800000	61963
166000000	51509
166200000	42793
166400000	42259
166600000	46900
166800000	58246
167000000	61660
167200000	56130
167400000	51291
167600000	52908
167800000	58785
168000000	63102
168200000	62817
168400000	57098
168600000	49339
168800000	45758
169000000	44170
169200000	41166
169400000	36747
169600000	35670
169800000	37889
170000000	43696
170200000	47941
170400000	46828
170600000	42013
170800000	37614
171000000	35555
171200000	35313
171400000	37308
171600000	39917
171800000	40584
172000000	39402
172200000	37540
172400000	37385
172600000	39829
172800000	42212
173000000	43632
173200000	43684
173400000	43721
173600000	43550
173800000	43991
174000000	44865
174200000	45741
174400000	45407
174600000	44817
174800000	44139
175000000	44032
175200000	44326
175400000	45253
175600000	45293
175800000	44534
176000000	44950
176200000	45381
176400000	46281
176600000	46800
176800000	46847
177000000	47555
177200000	47837
177400000	48712
177600000	49187
177800000	49820
178000000	48562
178200000	48224
178400000	46949
178600000	46202
178800000	46100
179000000	45115
179200000	44676
