"Time (ps)"	"Counts per bin"
0	828
200000	870
400000	896
600000	866
800000	912
1000000	909
1200000	933
1400000	856
1600000	900
1800000	907
2000000	870
2200000	888
2400000	948
2600000	864
2800000	927
3000000	901
3200000	877
3400000	949
3600000	894
3800000	903
4000000	918
4200000	918
4400000	904
4600000	991
4800000	955
5000000	874
5200000	893
5400000	920
5600000	976
5800000	920
6000000	939
6200000	928
6400000	915
6600000	913
6800000	940
7000000	944
7200000	959
7400000	3873
7600000	169540
7800000	100577
8000000	9267
8200000	5870
8400000	14014
8600000	79175
8800000	231638
9000000	173930
9200000	86618
9400000	45927
9600000	34863
9800000	42878
10000000	82627
10200000	159651
10400000	149318
10600000	84982
10800000	47727
11000000	47751
11200000	81691
11400000	115386
11600000	114493
11800000	100547
12000000	72518
12200000	51358
12400000	57370
12600000	114092
12800000	129322
13000000	56497
13200000	13774
13400000	4979
13600000	5683
13800000	9862
14000000	18285
14200000	53105
14400000	110108
14600000	99232
14800000	48362
15000000	32597
15200000	57164
15400000	113267
15600000	139812
15800000	125444
16000000	101900
16200000	79179
16400000	74797
16600000	85516
16800000	111491
17000000	127738
17200000	124213
17400000	114168
17600000	106392
17800000	113205
18000000	123454
18200000	126458
18400000	120262
18600000	107602
18800000	94765
19000000	86324
19200000	79327
19400000	73734
19600000	69200
19800000	69712
20000000	77097
20200000	84155
20400000	84959
20600000	79319
20800000	73298
21000000	68949
21200000	68273
21400000	71077
21600000	75285
21800000	79364
22000000	79646
22200000	77952
22400000	77072
22600000	78758
22800000	82186
23000000	84101
23200000	84932
23400000	84180
23600000	84426
23800000	85367
24000000	86947
24200000	86809
24400000	86210
24600000	84938
24800000	84620
25000000	85259
25200000	85482
25400000	85707
25600000	84979
25800000	84772
26000000	85388
26200000	86771
26400000	88728
26600000	89864
26800000	91536
27000000	91727
27200000	93626
27400000	94765
27600000	95132
27800000	95354
28000000	94604
28200000	92528
28400000	92062
28600000	91341
28800000	90243
29000000	88982
29200000	87909
29400000	87049
29600000	86812
29800000	88024
30000000	89445
30200000	90345
30400000	92306
30600000	93918
30800000	96036
31000000	98230
31200000	99313
31400000	100066
31600000	99795
31800000	100565
32000000	100239
32200000	100114
32400000	99199
32600000	98111
32800000	97552
33000000	95941
33200000	96427
33400000	95599
33600000	94932
33800000	94743
34000000	95123
34200000	94360
34400000	94975
34600000	95236
34800000	96387
35000000	96438
35200000	96429
35400000	96840
35600000	96717
35800000	97105
36000000	96312
36200000	96852
36400000	96000
36600000	95344
36800000	94945
37000000	95050
37200000	94962
37400000	95559
37600000	96191
37800000	95716
38000000	96403
38200000	96490
38400000	96476
38600000	97392
38800000	97410
39000000	97285
39200000	96716
39400000	96074
39600000	95631
39800000	95032
40000000	94853
40200000	94287
40400000	93605
40600000	93779
40800000	93798
41000000	93583
41200000	93836
41400000	94223
41600000	94600
41800000	94367
42000000	94346
42200000	95890
42400000	95552
42600000	96315
42800000	96959
43000000	97740
43200000	97838
43400000	97800
43600000	99051
43800000	98691
44000000	98996
44200000	98184
44400000	98521
44600000	98465
44800000	98187
45000000	97935
45200000	97143
45400000	97922
45600000	96793
45800000	96930
46000000	97117
46200000	97137
46400000	96517
46600000	96581
46800000	96827
47000000	97376
47200000	97839
47400000	98285
47600000	98452
47800000	98953
48000000	99693
48200000	100007
48400000	100536
48600000	100774
48800000	100963
49000000	100789
49200000	100984
49400000	101358
49600000	101392
49800000	101667
50000000	101146
50200000	101316
50400000	99725
50600000	92530
50800000	80443
51000000	63580
51200000	49989
51400000	37404
51600000	27751
51800000	19553
52000000	13090
52200000	7927
52400000	4457
52600000	2526
52800000	1556
53000000	1127
53200000	1100
53400000	1006
53600000	1021
53800000	954
54000000	985
54200000	1070
54400000	962
54600000	966
54800000	957
55000000	1000
55200000	1043
55400000	983
55600000	971
55800000	985
56000000	1004
56200000	993
56400000	1000
56600000	935
56800000	938
57000000	966
57200000	967
57400000	966
57600000	982
57800000	945
58000000	1065
58200000	967
58400000	936
58600000	940
58800000	983
59000000	948
59200000	948
59400000	954
59600000	940
59800000	969
60000000	914
60200000	912
60400000	1010
60600000	946
60800000	962
61000000	895
61200000	942
61400000	984
61600000	897
61800000	916
62000000	911
62200000	951
62400000	1000
62600000	956
62800000	916
63000000	964
63200000	874
63400000	917
63600000	923
63800000	983
64000000	922
64200000	935
64400000	967
64600000	923
64800000	921
65000000	938
65200000	919
65400000	961
65600000	932
65800000	890
66000000	992
66200000	931
66400000	930
66600000	913
66800000	963
67000000	897
67200000	899
67400000	910
67600000	903
67800000	940
68000000	885
68200000	973
68400000	906
68600000	903
68800000	954
69000000	875
69200000	888
69400000	926
69600000	985
69800000	927
70000000	956
70200000	925
70400000	986
70600000	926
70800000	956
71000000	930
71200000	923
71400000	969
71600000	857
71800000	890
72000000	894
72200000	890
72400000	925
72600000	909
72800000	969
73000000	949
73200000	882
73400000	940
73600000	892
73800000	935
74000000	935
74200000	906
74400000	913
74600000	943
74800000	960
75000000	923
75200000	894
75400000	929
75600000	927
75800000	910
76000000	904
76200000	954
76400000	914
76600000	948
76800000	888
77000000	955
77200000	928
77400000	912
77600000	902
77800000	975
78000000	917
78200000	917
78400000	910
78600000	989
78800000	912
79000000	849
79200000	897
79400000	990
79600000	970
79800000	900
80000000	899
80200000	939
80400000	1000
80600000	895
80800000	908
81000000	919
81200000	855
81400000	895
81600000	892
81800000	944
82000000	903
82200000	919
82400000	876
82600000	905
82800000	928
83000000	901
83200000	966
83400000	948
83600000	934
83800000	905
84000000	946
84200000	936
84400000	930
84600000	898
84800000	930
85000000	910
85200000	899
85400000	858
85600000	929
85800000	898
86000000	940
86200000	943
86400000	859
86600000	872
86800000	896
87000000	928
87200000	965
87400000	965
87600000	967
87800000	886
88000000	933
88200000	971
88400000	951
88600000	908
88800000	903
89000000	898
89200000	925
89400000	848
89600000	917
89800000	921
90000000	913
90200000	894
90400000	965
90600000	884
90800000	856
91000000	916
91200000	907
91400000	876
91600000	882
91800000	942
92000000	971
92200000	851
92400000	930
92600000	933
92800000	961
93000000	854
93200000	845
93400000	907
93600000	930
93800000	949
94000000	922
94200000	992
94400000	937
94600000	936
94800000	884
95000000	870
95200000	890
95400000	969
95600000	887
95800000	881
96000000	910
96200000	898
96400000	916
96600000	900
96800000	923
97000000	874
97200000	953
97400000	946
97600000	881
97800000	893
98000000	893
98200000	886
98400000	903
98600000	920
98800000	897
99000000	890
99200000	998
99400000	896
99600000	884
99800000	942
100000000	831
100200000	872
100400000	890
100600000	868
100800000	915
101000000	904
101200000	938
101400000	847
101600000	907
101800000	901
102000000	871
102200000	895
102400000	946
102600000	866
102800000	929
103000000	897
103200000	874
103400000	958
103600000	893
103800000	890
104000000	914
104200000	937
104400000	889
104600000	997
104800000	958
105000000	862
105200000	894
105400000	935
105600000	969
105800000	916
106000000	942
106200000	932
106400000	911
106600000	920
106800000	927
107000000	947
107200000	960
107400000	3498
107600000	163839
107800000	106232
108000000	9557
108200000	5845
108400000	13550
108600000	75880
108800000	229892
109000000	176761
109200000	88042
109400000	46467
109600000	34860
109800000	42466
110000000	81088
110200000	158211
110400000	150829
110600000	86357
110800000	48082
111000000	47389
111200000	80586
111400000	115194
111600000	114590
111800000	101029
112000000	73264
112200000	51557
112400000	56677
112600000	112562
112800000	130344
113000000	58232
113200000	14241
113400000	5057
113600000	5591
113800000	9754
114000000	17902
114200000	51854
114400000	109163
114600000	100451
114800000	49228
115000000	32480
115200000	56152
115400000	111994
115600000	139846
115800000	125778
116000000	102616
116200000	79479
116400000	74723
116600000	85055
116800000	110884
117000000	127625
117200000	124469
117400000	114337
117600000	106525
117800000	112891
118000000	123288
118200000	126417
118400000	120549
118600000	107975
118800000	95013
119000000	86413
119200000	79587
119400000	73748
119600000	69356
119800000	69615
120000000	76844
120200000	84005
120400000	85125
120600000	79423
120800000	73415
121000000	69046
121200000	68248
121400000	70938
121600000	75151
121800000	79341
122000000	79654
122200000	78082
122400000	77077
122600000	78575
122800000	82172
123000000	84005
123200000	84977
123400000	84199
123600000	84430
123800000	85252
124000000	86965
124200000	86845
124400000	86189
124600000	85040
124800000	84564
125000000	85235
125200000	85476
125400000	85714
125600000	84986
125800000	84818
126000000	85368
126200000	86696
126400000	88658
126600000	89843
126800000	91527
127000000	91786
127200000	93479
127400000	94751
127600000	95128
127800000	95362
128000000	94652
128200000	92593
128400000	92009
128600000	91368
128800000	90359
129000000	88917
129200000	87989
129400000	87045
129600000	86773
129800000	88021
130000000	89372
130200000	90382
130400000	92257
130600000	93845
130800000	96025
131000000	98142
131200000	99262
131400000	100100
131600000	99820
131800000	100462
132000000	100308
132200000	100120
132400000	99245
132600000	98131
132800000	97554
133000000	96031
133200000	96417
133400000	95507
133600000	95038
133800000	94695
134000000	95113
134200000	94451
134400000	94843
134600000	95352
134800000	96319
135000000	96423
135200000	96473
135400000	96814
135600000	96752
135800000	97027
136000000	96341
136200000	96850
136400000	95976
136600000	95325
136800000	95036
137000000	95052
137200000	94942
137400000	95501
137600000	96215
137800000	95685
138000000	96414
138200000	96489
138400000	96391
138600000	97412
138800000	97532
139000000	97237
139200000	96771
139400000	95944
139600000	95728
139800000	95079
140000000	94821
140200000	94262
140400000	93736
140600000	93698
140800000	93749
141000000	93642
141200000	93799
141400000	94174
141600000	94714
141800000	94258
142000000	94392
142200000	95899
142400000	95479
142600000	96326
142800000	96960
143000000	97753
143200000	97757
143400000	97843
143600000	99035
143800000	98716
144000000	99031
144200000	98156
144400000	98455
144600000	98512
144800000	98245
145000000	97861
145200000	97133
145400000	97946
145600000	96721
145800000	97074
146000000	97103
146200000	97104
146400000	96531
146600000	96566
146800000	96864
147000000	97447
147200000	97692
147400000	98329
147600000	98373
147800000	98926
148000000	99680
148200000	100061
148400000	100554
148600000	100730
148800000	101032
149000000	100691
149200000	100986
149400000	101301
149600000	101357
149800000	101756
150000000	101167
150200000	101225
150400000	99827
150600000	92805
150800000	80871
151000000	63916
151200000	50252
151400000	37722
151600000	27971
151800000	19704
152000000	13228
152200000	8041
152400000	4526
152600000	2555
152800000	1566
153000000	1132
153200000	1106
153400000	1006
153600000	1022
153800000	959
154000000	991
154200000	1056
154400000	966
154600000	964
154800000	958
155000000	992
155200000	1045
155400000	991
155600000	970
155800000	986
156000000	1011
156200000	984
156400000	1000
156600000	946
156800000	933
157000000	964
157200000	972
157400000	957
157600000	977
157800000	957
158000000	1064
158200000	962
158400000	938
158600000	943
158800000	979
159000000	955
159200000	938
159400000	961
159600000	935
159800000	965
160000000	920
160200000	914
160400000	997
160600000	958
160800000	964
161000000	898
161200000	944
161400000	978
161600000	896
161800000	909
162000000	918
162200000	945
162400000	1004
162600000	953
162800000	923
163000000	959
163200000	880
163400000	912
163600000	920
163800000	986
164000000	921
164200000	932
164400000	977
164600000	915
164800000	930
165000000	928
165200000	926
165400000	951
165600000	932
165800000	899
166000000	988
166200000	934
166400000	932
166600000	912
166800000	963
167000000	899
167200000	899
167400000	906
167600000	903
167800000	934
168000000	896
168200000	968
168400000	909
168600000	898
168800000	960
169000000	870
169200000	892
169400000	915
169600000	993
169800000	927
170000000	955
170200000	928
170400000	983
170600000	924
170800000	960
171000000	932
171200000	916
171400000	977
171600000	859
171800000	893
172000000	880
172200000	897
172400000	921
172600000	915
172800000	962
173000000	955
173200000	884
173400000	944
173600000	888
173800000	926
174000000	933
174200000	920
174400000	908
174600000	941
174800000	958
175000000	932
175200000	891
175400000	927
175600000	928
175800000	905
176000000	901
176200000	956
176400000	915
176600000	946
176800000	903
177000000	945
177200000	922
177400000	903
177600000	920
177800000	972
178000000	913
178200000	922
178400000	911
178600000	986
178800000	915
179000000	843
179200000	895
179400000	984
179600000	980
179800000	901
180000000	890
180200000	945
180400000	1002
180600000	892
180800000	913
