"Time (ps)"	"Counts per bin"
0	343921
100000000	346758
200000000	348134
300000000	349858
400000000	348416
500000000	348632
600000000	347968
700000000	347934
800000000	347536
900000000	347715
1000000000	348179
1100000000	348405
1200000000	348399
1300000000	348834
1400000000	348846
1500000000	348628
1600000000	348574
1700000000	347797
1800000000	348808
1900000000	348247
2000000000	348614
2100000000	348016
2200000000	348178
2300000000	348266
2400000000	347564
2500000000	349310
2600000000	348530
2700000000	348374
2800000000	348310
2900000000	347144
3000000000	348839
3100000000	347311
3200000000	348752
3300000000	347934
3400000000	349616
3500000000	347936
3600000000	349156
3700000000	348535
3800000000	349326
3900000000	348454
4000000000	348454
4100000000	347762
4200000000	347523
4300000000	348487
4400000000	347965
4500000000	348989
4600000000	348581
4700000000	349036
4800000000	348564
4900000000	348939
5000000000	348788
5100000000	348615
5200000000	349466
5300000000	348926
5400000000	349743
5500000000	349194
5600000000	348075
5700000000	349294
5800000000	348293
5900000000	347761
6000000000	349225
6100000000	347824
6200000000	347690
6300000000	347367
6400000000	348968
6500000000	348272
6600000000	348247
6700000000	346523
6800000000	346756
6900000000	348049
7000000000	347445
7100000000	348102
7200000000	347685
7300000000	348607
7400000000	348908
7500000000	348227
7600000000	348409
7700000000	347725
7800000000	348579
7900000000	347546
8000000000	348208
8100000000	348604
8200000000	348384
8300000000	348090
8400000000	348374
8500000000	348675
8600000000	348139
8700000000	348431
8800000000	347689
8900000000	348446
9000000000	348597
9100000000	348648
9200000000	349240
9300000000	347432
9400000000	347746
9500000000	347585
9600000000	348133
9700000000	347996
9800000000	347384
9900000000	348639
10000000000	347412
10100000000	348666
10200000000	347590
10300000000	347327
10400000000	348708
10500000000	347690
10600000000	348134
10700000000	348169
10800000000	348743
10900000000	347239
11000000000	347720
11100000000	347588
11200000000	347988
11300000000	348795
11400000000	347961
11500000000	349115
11600000000	348710
11700000000	348652
11800000000	348875
11900000000	348726
12000000000	348706
12100000000	347960
12200000000	348760
12300000000	348642
12400000000	347621
12500000000	348082
12600000000	347706
12700000000	349456
12800000000	349013
12900000000	348112
13000000000	347724
13100000000	349318
13200000000	348719
13300000000	346354
13400000000	347302
13500000000	348108
13600000000	347272
13700000000	348271
13800000000	346427
13900000000	346942
14000000000	347115
14100000000	346577
14200000000	346871
14300000000	347440
14400000000	347281
14500000000	347391
14600000000	348444
14700000000	347180
14800000000	346938
14900000000	348804
15000000000	347852
15100000000	347645
15200000000	348269
15300000000	348177
15400000000	347923
15500000000	348096
15600000000	348005
15700000000	347342
15800000000	348500
15900000000	348368
16000000000	348500
16100000000	348244
16200000000	348585
16300000000	348253
16400000000	347872
16500000000	348474
16600000000	348350
16700000000	347610
16800000000	347103
16900000000	346432
17000000000	347296
17100000000	347270
17200000000	346874
17300000000	347225
17400000000	347198
17500000000	347697
17600000000	348163
17700000000	347994
17800000000	348546
17900000000	348589
18000000000	349021
18100000000	347929
18200000000	348466
18300000000	348402
18400000000	347665
18500000000	348232
18600000000	348059
18700000000	348505
18800000000	348247
18900000000	347800
19000000000	348558
19100000000	347818
19200000000	347913
19300000000	348943
19400000000	349210
19500000000	348722
19600000000	348122
19700000000	347477
19800000000	348055
19900000000	347207
20000000000	348502
20100000000	347883
20200000000	348252
20300000000	347230
20400000000	347814
20500000000	348156
20600000000	347133
20700000000	347255
20800000000	346991
20900000000	347767
21000000000	348199
21100000000	346999
21200000000	347124
21300000000	346722
21400000000	347364
21500000000	347225
21600000000	348417
21700000000	348230
21800000000	348225
21900000000	348054
22000000000	348079
22100000000	348667
22200000000	347183
22300000000	348315
22400000000	347144
22500000000	349714
22600000000	348447
22700000000	349659
22800000000	348403
22900000000	348023
23000000000	346798
23100000000	349285
23200000000	349183
23300000000	348686
23400000000	349300
23500000000	349286
23600000000	348786
23700000000	348033
23800000000	347342
23900000000	347270
24000000000	347861
24100000000	349031
24200000000	347358
24300000000	347624
24400000000	348249
24500000000	348564
24600000000	347997
24700000000	348245
24800000000	347891
24900000000	348790
25000000000	347277
25100000000	345260
25200000000	345447
25300000000	343859
25400000000	345349
25500000000	345090
25600000000	344856
25700000000	344531
25800000000	344142
25900000000	345058
26000000000	344914
26100000000	344069
26200000000	344200
26300000000	344570
26400000000	343987
26500000000	344927
26600000000	343390
26700000000	344167
26800000000	345128
26900000000	343124
27000000000	343811
27100000000	344345
27200000000	344243
27300000000	344576
27400000000	343171
27500000000	341828
27600000000	343049
27700000000	342241
27800000000	342943
27900000000	342096
28000000000	342759
28100000000	342483
28200000000	343044
28300000000	342789
28400000000	342623
28500000000	342990
28600000000	343264
28700000000	342256
28800000000	342556
28900000000	343591
29000000000	341847
29100000000	342521
29200000000	342583
29300000000	343278
29400000000	343057
29500000000	342715
29600000000	342660
29700000000	342709
29800000000	342685
29900000000	343712
30000000000	344020
30100000000	342287
30200000000	342708
30300000000	342694
30400000000	343573
30500000000	343042
30600000000	342811
30700000000	343068
30800000000	343708
30900000000	342348
31000000000	342163
31100000000	341711
31200000000	341658
31300000000	342993
31400000000	341197
31500000000	343775
31600000000	342290
31700000000	342081
31800000000	340946
31900000000	341584
32000000000	341657
32100000000	342572
32200000000	341108
32300000000	342999
32400000000	342000
32500000000	341534
32600000000	342163
32700000000	341508
32800000000	342052
32900000000	341765
33000000000	342636
33100000000	342108
33200000000	342601
33300000000	342919
33400000000	342881
33500000000	342542
33600000000	341087
33700000000	343303
33800000000	341798
33900000000	342564
34000000000	342446
34100000000	341673
34200000000	342648
34300000000	340361
34400000000	341442
34500000000	341655
34600000000	341246
34700000000	340982
34800000000	341662
34900000000	342000
35000000000	340761
35100000000	340342
35200000000	341803
35300000000	340576
35400000000	340707
35500000000	340875
35600000000	340571
35700000000	341331
35800000000	340138
35900000000	340961
36000000000	340160
36100000000	341478
36200000000	340975
36300000000	341221
36400000000	341307
36500000000	341495
36600000000	340786
36700000000	340112
36800000000	339919
36900000000	340741
37000000000	341528
37100000000	340700
37200000000	341312
37300000000	340458
37400000000	340394
37500000000	341380
37600000000	341097
37700000000	340558
37800000000	339322
37900000000	340651
38000000000	339676
38100000000	340712
38200000000	339958
38300000000	340731
38400000000	341361
38500000000	340438
38600000000	340201
38700000000	341556
38800000000	340665
38900000000	340802
39000000000	340377
39100000000	340537
39200000000	341164
39300000000	340948
39400000000	340994
39500000000	340475
39600000000	341064
39700000000	342346
39800000000	340702
39900000000	340751
40000000000	341899
40100000000	341163
40200000000	340342
40300000000	341124
40400000000	341431
40500000000	340825
40600000000	341340
40700000000	341494
40800000000	340671
40900000000	341862
41000000000	341110
41100000000	342312
41200000000	341505
41300000000	339904
41400000000	340973
41500000000	340979
41600000000	340580
41700000000	340239
41800000000	342083
41900000000	341254
42000000000	339152
42100000000	340354
42200000000	340639
42300000000	341265
42400000000	340416
42500000000	340817
42600000000	339835
42700000000	340643
42800000000	340295
42900000000	340529
43000000000	340432
43100000000	340669
43200000000	340183
43300000000	340598
43400000000	341424
43500000000	341696
43600000000	341609
43700000000	339948
43800000000	341818
43900000000	340373
44000000000	340334
44100000000	341179
44200000000	341091
44300000000	340872
44400000000	340986
44500000000	339936
