"Time (ps)"	"Counts per bin"
0	205898
100000000	208212
200000000	207673
300000000	207716
400000000	207730
500000000	207807
600000000	208865
700000000	208842
800000000	208282
900000000	207904
1000000000	207908
1100000000	207841
1200000000	207406
1300000000	208548
1400000000	208599
1500000000	208375
1600000000	208007
1700000000	208033
1800000000	209166
1900000000	208370
2000000000	208318
2100000000	208225
2200000000	208774
2300000000	208723
2400000000	208309
2500000000	208725
2600000000	207653
2700000000	208655
2800000000	208350
2900000000	208447
3000000000	208300
3100000000	208347
3200000000	208035
3300000000	208031
3400000000	207856
3500000000	209036
3600000000	207480
3700000000	208573
3800000000	208289
3900000000	209142
4000000000	209269
4100000000	208902
4200000000	207992
4300000000	209174
4400000000	208213
4500000000	207379
4600000000	208577
4700000000	208476
4800000000	208535
4900000000	208098
5000000000	209270
5100000000	209651
5200000000	209245
5300000000	209065
5400000000	207793
5500000000	207863
5600000000	208008
5700000000	208232
5800000000	209529
5900000000	208629
6000000000	208681
6100000000	208103
6200000000	208430
6300000000	207704
6400000000	206947
6500000000	208254
6600000000	208341
6700000000	208628
6800000000	208268
6900000000	207176
7000000000	208244
7100000000	208308
7200000000	207566
7300000000	208314
7400000000	208227
7500000000	207895
7600000000	207740
7700000000	207650
7800000000	207912
7900000000	207973
8000000000	208100
8100000000	208804
8200000000	208195
8300000000	208583
8400000000	208376
8500000000	208596
8600000000	208035
8700000000	208209
8800000000	207840
8900000000	208471
9000000000	208044
9100000000	209386
9200000000	208679
9300000000	209345
9400000000	208255
9500000000	207559
9600000000	208271
9700000000	208201
9800000000	208439
9900000000	208279
10000000000	209127
10100000000	209029
10200000000	209024
10300000000	208986
10400000000	208889
10500000000	207827
10600000000	209366
10700000000	208663
10800000000	209068
10900000000	208289
11000000000	208721
11100000000	207895
11200000000	208775
11300000000	209356
11400000000	208536
11500000000	209094
11600000000	207746
11700000000	207771
11800000000	208906
11900000000	209212
12000000000	208322
12100000000	209017
12200000000	208329
12300000000	208129
12400000000	208519
12500000000	208785
12600000000	208611
12700000000	208302
12800000000	208132
12900000000	208045
13000000000	208585
13100000000	208544
13200000000	208045
13300000000	208818
13400000000	208911
13500000000	208761
13600000000	208343
13700000000	208999
13800000000	208283
13900000000	208099
14000000000	208739
14100000000	208542
14200000000	207621
14300000000	208736
14400000000	208398
14500000000	208521
14600000000	208316
14700000000	207522
14800000000	207854
14900000000	208426
15000000000	208950
15100000000	208879
15200000000	208526
15300000000	208914
15400000000	208696
15500000000	208795
15600000000	207871
15700000000	208246
15800000000	208141
15900000000	209035
16000000000	208635
16100000000	207818
16200000000	208090
16300000000	208812
16400000000	208197
16500000000	209254
16600000000	208798
16700000000	208521
16800000000	209575
16900000000	209263
17000000000	208752
17100000000	208430
17200000000	208605
17300000000	207963
17400000000	209304
17500000000	209300
17600000000	208253
17700000000	208771
17800000000	208729
17900000000	208565
18000000000	209134
18100000000	208814
18200000000	208774
18300000000	209003
18400000000	208242
18500000000	209227
18600000000	208791
18700000000	209028
18800000000	209287
18900000000	208969
19000000000	208723
19100000000	207950
19200000000	208822
19300000000	208437
19400000000	208871
19500000000	208766
19600000000	208614
19700000000	208944
19800000000	209117
19900000000	207931
20000000000	208206
20100000000	209206
20200000000	207995
20300000000	208883
20400000000	209417
20500000000	209197
20600000000	208702
20700000000	208743
20800000000	208918
20900000000	208751
21000000000	207750
21100000000	209225
21200000000	208674
21300000000	208887
21400000000	208465
21500000000	207920
21600000000	207937
21700000000	208728
21800000000	208082
21900000000	209382
22000000000	208506
22100000000	207869
22200000000	209317
22300000000	207759
22400000000	208518
22500000000	208477
22600000000	208462
22700000000	208148
22800000000	208417
22900000000	208922
23000000000	208109
23100000000	208859
23200000000	207838
23300000000	208658
23400000000	208711
23500000000	208359
23600000000	209021
23700000000	208681
23800000000	208975
23900000000	208473
24000000000	208195
24100000000	208668
24200000000	209040
24300000000	208309
24400000000	209141
24500000000	208937
24600000000	208292
24700000000	208949
24800000000	208551
24900000000	209671
25000000000	207635
25100000000	205821
25200000000	205041
25300000000	206006
25400000000	205308
25500000000	205863
25600000000	205187
25700000000	204914
25800000000	205404
25900000000	204208
26000000000	204823
26100000000	204247
26200000000	205121
26300000000	205379
26400000000	204833
26500000000	204582
26600000000	204591
26700000000	204458
26800000000	203804
26900000000	204074
27000000000	204066
27100000000	204873
27200000000	204756
27300000000	204633
27400000000	204295
27500000000	204381
27600000000	204892
27700000000	203682
27800000000	204408
27900000000	204521
28000000000	204283
28100000000	203722
28200000000	204648
28300000000	204563
28400000000	205054
28500000000	203567
28600000000	204283
28700000000	203412
28800000000	203718
28900000000	203707
29000000000	203700
29100000000	203590
29200000000	203801
29300000000	204455
29400000000	202877
29500000000	203001
29600000000	203422
29700000000	204301
29800000000	203869
29900000000	203308
30000000000	203641
30100000000	204132
30200000000	203889
30300000000	203991
30400000000	203917
30500000000	203619
30600000000	202591
30700000000	204356
30800000000	203399
30900000000	204643
31000000000	203896
31100000000	204111
31200000000	203824
31300000000	202707
31400000000	203214
31500000000	203820
31600000000	203824
31700000000	203133
31800000000	203118
31900000000	203783
32000000000	203465
32100000000	203505
32200000000	203117
32300000000	202071
32400000000	203438
32500000000	203127
32600000000	202791
32700000000	203336
32800000000	203351
32900000000	203124
33000000000	203665
33100000000	202972
33200000000	203598
33300000000	203251
33400000000	203502
33500000000	203603
33600000000	203416
33700000000	202910
33800000000	202666
33900000000	203449
34000000000	203794
34100000000	203846
34200000000	203520
34300000000	203357
34400000000	202991
34500000000	203187
34600000000	203143
34700000000	203961
34800000000	203296
34900000000	202630
35000000000	202774
35100000000	203377
35200000000	203402
35300000000	203900
35400000000	203703
35500000000	202778
35600000000	203343
35700000000	203807
35800000000	203322
35900000000	203523
36000000000	203550
36100000000	203336
36200000000	202846
36300000000	202820
36400000000	203772
36500000000	203498
36600000000	202838
36700000000	202034
36800000000	202982
36900000000	203063
37000000000	203524
37100000000	202258
37200000000	202802
37300000000	203605
37400000000	203456
37500000000	203482
37600000000	202232
37700000000	203005
37800000000	202644
37900000000	202454
38000000000	203263
38100000000	202957
38200000000	202633
38300000000	202840
38400000000	203354
38500000000	202511
38600000000	202830
38700000000	203155
38800000000	203017
38900000000	202669
39000000000	202291
39100000000	202686
39200000000	202834
39300000000	203354
39400000000	202825
39500000000	202839
39600000000	203550
39700000000	203244
39800000000	202765
39900000000	203209
40000000000	202812
40100000000	203225
40200000000	202767
40300000000	203683
40400000000	202561
40500000000	202766
40600000000	202671
40700000000	202239
40800000000	203505
40900000000	202929
41000000000	202350
41100000000	203247
41200000000	202349
41300000000	203250
41400000000	202557
41500000000	202091
41600000000	203876
41700000000	202139
41800000000	203467
41900000000	203880
42000000000	201888
42100000000	202678
42200000000	203037
42300000000	203678
42400000000	203037
42500000000	202591
42600000000	202963
42700000000	202978
42800000000	202830
42900000000	203822
43000000000	202751
43100000000	202728
43200000000	202845
43300000000	203462
43400000000	202839
43500000000	203057
43600000000	202146
43700000000	202855
43800000000	202790
43900000000	203896
44000000000	203436
44100000000	203258
44200000000	203297
44300000000	202688
44400000000	202929
44500000000	202308
44600000000	203090
44700000000	202796
44800000000	202639
44900000000	203483
45000000000	202819
45100000000	202471
45200000000	202552
45300000000	202656
45400000000	203115
45500000000	203344
45600000000	201353
45700000000	202652
45800000000	202779
45900000000	203241
46000000000	204052
46100000000	204136
46200000000	203213
46300000000	203185
46400000000	203705
46500000000	202457
46600000000	203217
46700000000	203780
46800000000	203148
46900000000	203165
47000000000	203045
47100000000	202641
47200000000	203000
47300000000	201014
47400000000	202553
47500000000	203777
47600000000	202988
47700000000	202893
47800000000	203316
47900000000	203131
48000000000	203049
48100000000	203552
48200000000	203461
48300000000	203084
48400000000	202451
48500000000	202745
48600000000	203277
48700000000	203137
48800000000	203220
48900000000	202886
49000000000	203196
49100000000	202536
49200000000	202713
49300000000	202903
49400000000	203237
49500000000	203476
49600000000	203027
49700000000	203491
49800000000	202507
49900000000	202526
50000000000	205615
50100000000	208383
50200000000	207648
50300000000	207733
50400000000	207718
50500000000	207668
50600000000	208839
50700000000	208803
50800000000	208296
50900000000	207906
51000000000	207778
51100000000	207936
51200000000	207357
51300000000	208508
51400000000	208629
51500000000	208217
51600000000	208031
51700000000	208048
51800000000	209049
51900000000	208298
52000000000	208438
52100000000	208202
52200000000	208776
52300000000	208743
52400000000	208131
52500000000	208788
52600000000	207598
52700000000	208563
52800000000	208431
52900000000	208367
53000000000	208292
53100000000	208185
53200000000	208199
53300000000	207962
53400000000	207861
53500000000	208919
53600000000	207446
53700000000	208667
53800000000	208165
53900000000	209019
54000000000	209279
54100000000	209027
54200000000	208026
54300000000	209003
54400000000	208244
54500000000	207509
54600000000	208422
54700000000	208348
54800000000	208600
54900000000	208089
55000000000	209383
55100000000	209412
55200000000	209313
55300000000	209171
55400000000	207560
55500000000	207837
55600000000	208006
55700000000	208220
55800000000	209525
55900000000	208479
56000000000	208790
56100000000	207979
56200000000	208455
56300000000	207683
56400000000	206920
56500000000	208221
56600000000	208292
56700000000	208718
56800000000	208287
56900000000	207250
57000000000	207968
57100000000	208332
57200000000	207659
57300000000	208180
57400000000	208155
57500000000	207833
57600000000	207911
57700000000	207478
57800000000	208019
57900000000	207943
58000000000	207982
58100000000	208830
58200000000	208055
58300000000	208639
58400000000	208393
58500000000	208551
58600000000	207937
58700000000	208222
58800000000	207758
58900000000	208361
59000000000	208196
59100000000	209327
59200000000	208741
59300000000	209231
59400000000	208188
59500000000	207604
59600000000	208323
59700000000	208153
59800000000	208356
59900000000	208231
60000000000	209245
60100000000	209008
60200000000	208871
60300000000	208943
60400000000	208840
60500000000	207919
60600000000	209327
60700000000	208573
60800000000	209056
60900000000	208370
61000000000	208614
61100000000	207980
61200000000	208634
61300000000	209439
61400000000	208318
61500000000	209306
61600000000	207580
61700000000	207667
61800000000	209012
61900000000	209092
