"Time (ps)"	"Counts per bin"
0	1222
500000	1227
1000000	1245
1500000	1180
2000000	1206
2500000	1177
3000000	1159
3500000	1255
4000000	1218
4500000	1212
5000000	1155
5500000	1215
6000000	1256
6500000	1126
7000000	1180
7500000	1209
8000000	1216
8500000	1206
9000000	1229
9500000	1200
10000000	1172
10500000	1239
11000000	1169
11500000	1177
12000000	1181
12500000	1122
13000000	1216
13500000	1204
14000000	1157
14500000	1160
15000000	1129
15500000	1184
16000000	1202
16500000	1180
17000000	1158
17500000	1057
18000000	1056
18500000	1146
19000000	1180
19500000	1123
20000000	1142
20500000	1091
21000000	1158
21500000	1107
22000000	1147
22500000	1131
23000000	1098
23500000	1120
24000000	1048
24500000	1132
25000000	1089
25500000	1019
26000000	1104
26500000	1112
27000000	1094
27500000	1083
28000000	1087
28500000	1101
29000000	1011
29500000	1077
30000000	1073
30500000	1024
31000000	1010
31500000	1098
32000000	1041
32500000	1058
33000000	1076
33500000	1025
34000000	1012
34500000	1004
35000000	1010
35500000	1002
36000000	1019
36500000	1026
37000000	1043
37500000	1068
38000000	1023
38500000	965
39000000	972
39500000	1024
40000000	1036
40500000	948
41000000	951
41500000	1007
42000000	1010
42500000	1017
43000000	989
43500000	993
44000000	1048
44500000	940
45000000	964
45500000	954
46000000	964
46500000	984
47000000	989
47500000	928
48000000	996
48500000	928
49000000	953
49500000	916
50000000	912
50500000	927
51000000	897
51500000	993
52000000	989
52500000	909
53000000	937
53500000	961
54000000	856
54500000	924
55000000	953
55500000	886
56000000	871
56500000	915
57000000	861
57500000	920
58000000	882
58500000	865
59000000	860
59500000	913
60000000	960
60500000	915
61000000	868
61500000	872
62000000	894
62500000	937
63000000	826
63500000	833
64000000	871
64500000	866
65000000	860
65500000	884
66000000	885
66500000	842
67000000	887
67500000	843
68000000	891
68500000	873
69000000	843
69500000	829
70000000	868
70500000	768
71000000	880
71500000	848
72000000	835
72500000	782
73000000	844
73500000	882
74000000	784
74500000	797
75000000	811
75500000	760
76000000	780
76500000	814
77000000	811
77500000	745
78000000	837
78500000	813
79000000	833
79500000	803
80000000	817
80500000	773
81000000	772
81500000	751
82000000	728
82500000	786
83000000	750
83500000	822
84000000	807
84500000	840
85000000	791
85500000	742
86000000	771
86500000	750
87000000	696
87500000	732
88000000	759
88500000	771
89000000	737
89500000	713
90000000	739
90500000	720
91000000	692
91500000	707
92000000	793
92500000	684
93000000	739
93500000	729
94000000	759
94500000	755
95000000	717
95500000	686
96000000	721
96500000	705
97000000	720
97500000	694
98000000	685
98500000	728
99000000	698
99500000	685
100000000	677
100500000	690
101000000	683
101500000	730
102000000	703
102500000	719
103000000	654
103500000	701
104000000	691
104500000	681
105000000	669
105500000	673
106000000	647
106500000	614
107000000	658
107500000	665
108000000	669
108500000	687
109000000	678
109500000	680
110000000	679
110500000	667
111000000	598
111500000	666
112000000	678
112500000	707
113000000	594
113500000	658
114000000	647
114500000	653
115000000	565
115500000	635
116000000	678
116500000	612
117000000	657
117500000	664
118000000	655
118500000	647
119000000	607
119500000	634
120000000	624
120500000	661
121000000	580
121500000	592
122000000	625
122500000	636
123000000	623
123500000	565
