"Time (ps)"	"Counts per bin"
0	248198
100000000	251179
200000000	251131
300000000	252366
400000000	252355
500000000	252148
600000000	253277
700000000	252059
800000000	252340
900000000	251443
1000000000	252281
1100000000	251719
1200000000	252293
1300000000	253011
1400000000	252260
1500000000	253295
1600000000	252940
1700000000	253236
1800000000	252857
1900000000	252702
2000000000	252833
2100000000	253603
2200000000	251440
2300000000	253116
2400000000	252442
2500000000	253081
2600000000	253051
2700000000	252077
2800000000	252843
2900000000	251969
3000000000	252082
3100000000	252011
3200000000	252242
3300000000	252705
3400000000	252094
3500000000	252385
3600000000	252617
3700000000	253164
3800000000	252186
3900000000	252456
4000000000	252386
4100000000	251741
4200000000	253096
4300000000	252930
4400000000	252887
4500000000	252212
4600000000	252817
4700000000	252807
4800000000	253411
4900000000	252046
5000000000	251993
5100000000	251429
5200000000	252867
5300000000	253022
5400000000	253129
5500000000	252840
5600000000	252464
5700000000	252757
5800000000	253592
5900000000	253066
6000000000	252390
6100000000	252375
6200000000	252165
6300000000	252586
6400000000	252237
6500000000	253443
6600000000	252227
6700000000	252608
6800000000	252258
6900000000	251822
7000000000	252583
7100000000	252790
7200000000	253390
7300000000	253280
7400000000	252190
7500000000	252897
7600000000	252540
7700000000	252254
7800000000	253138
7900000000	252490
8000000000	252398
8100000000	252814
8200000000	253139
8300000000	251819
8400000000	252251
8500000000	252462
8600000000	252155
8700000000	253081
8800000000	252971
8900000000	253405
9000000000	251837
9100000000	251723
9200000000	252034
9300000000	253072
9400000000	252299
9500000000	252525
9600000000	253592
9700000000	252700
9800000000	252098
9900000000	252697
10000000000	252584
10100000000	251924
10200000000	252509
10300000000	252899
10400000000	253327
10500000000	252352
10600000000	252268
10700000000	252020
10800000000	252257
10900000000	252854
11000000000	252621
11100000000	252168
11200000000	252129
11300000000	253910
11400000000	252961
11500000000	253351
11600000000	253078
11700000000	252007
11800000000	252295
11900000000	252170
12000000000	252284
12100000000	252167
12200000000	252111
12300000000	251902
12400000000	252481
12500000000	252991
12600000000	252507
12700000000	251836
12800000000	252675
12900000000	253211
13000000000	252992
13100000000	252837
13200000000	253239
13300000000	253319
13400000000	252420
13500000000	252408
13600000000	252317
13700000000	253526
13800000000	253488
13900000000	252357
14000000000	251798
14100000000	252953
14200000000	253075
14300000000	252794
14400000000	252813
14500000000	252608
14600000000	252889
14700000000	251411
14800000000	252652
14900000000	252228
15000000000	252880
15100000000	253108
15200000000	251946
15300000000	252270
15400000000	253148
15500000000	252442
15600000000	252576
15700000000	252351
15800000000	252513
15900000000	252172
16000000000	252608
16100000000	252162
16200000000	252176
16300000000	252127
16400000000	251860
16500000000	252886
16600000000	252415
16700000000	252480
16800000000	252230
16900000000	252735
17000000000	252791
17100000000	252348
17200000000	252643
17300000000	252439
17400000000	252112
17500000000	252073
17600000000	252560
17700000000	253120
17800000000	252925
17900000000	252006
18000000000	253119
18100000000	251937
18200000000	251870
18300000000	252079
18400000000	253472
18500000000	252387
18600000000	252858
18700000000	252070
18800000000	252612
18900000000	252229
19000000000	252673
19100000000	252223
19200000000	253085
19300000000	252632
19400000000	252768
19500000000	252304
19600000000	251899
19700000000	252389
19800000000	253046
19900000000	252602
20000000000	252139
20100000000	253204
20200000000	251421
20300000000	252458
20400000000	253260
20500000000	252969
20600000000	252688
20700000000	251578
20800000000	252339
20900000000	252704
21000000000	251938
21100000000	252829
21200000000	253025
21300000000	252688
21400000000	252841
21500000000	253221
21600000000	253010
21700000000	251519
21800000000	252071
21900000000	253752
22000000000	253066
22100000000	252765
22200000000	253340
22300000000	253012
22400000000	253000
22500000000	252155
22600000000	253356
22700000000	252877
22800000000	252734
22900000000	252236
23000000000	252246
23100000000	253220
23200000000	253303
23300000000	252505
23400000000	252000
23500000000	253251
23600000000	252394
23700000000	252985
23800000000	252685
23900000000	252377
24000000000	252679
24100000000	253168
24200000000	252675
24300000000	252690
24400000000	253119
24500000000	252812
24600000000	252135
24700000000	252515
24800000000	252125
24900000000	251717
25000000000	252317
25100000000	250657
25200000000	250534
25300000000	250820
25400000000	250327
25500000000	250386
25600000000	249428
25700000000	248980
25800000000	250029
25900000000	249146
26000000000	248767
26100000000	249733
26200000000	248171
26300000000	248970
26400000000	248642
26500000000	247579
26600000000	247234
26700000000	249187
26800000000	248481
26900000000	248599
27000000000	249350
27100000000	249132
27200000000	248978
27300000000	248598
27400000000	249074
27500000000	248460
27600000000	247309
27700000000	247883
27800000000	247635
27900000000	247999
28000000000	247857
28100000000	248136
28200000000	248170
28300000000	247761
28400000000	248091
28500000000	247736
28600000000	247131
28700000000	248916
28800000000	247232
28900000000	248066
29000000000	247471
29100000000	247290
29200000000	248174
29300000000	247805
29400000000	246299
29500000000	248725
29600000000	247594
29700000000	247982
29800000000	248372
29900000000	247963
30000000000	247868
30100000000	247742
30200000000	247287
30300000000	247981
30400000000	248316
30500000000	246943
30600000000	247792
30700000000	246838
30800000000	247248
30900000000	247039
31000000000	245859
31100000000	246789
31200000000	246927
31300000000	247273
31400000000	246824
31500000000	245992
31600000000	246760
31700000000	246063
31800000000	247272
31900000000	247208
32000000000	245832
32100000000	247201
32200000000	248104
32300000000	247086
32400000000	247216
32500000000	247109
32600000000	247136
32700000000	246066
32800000000	247292
32900000000	247145
33000000000	246967
33100000000	246414
33200000000	247472
33300000000	247126
33400000000	246960
33500000000	247174
33600000000	246966
33700000000	247258
33800000000	246144
33900000000	246714
34000000000	246496
34100000000	246462
34200000000	245731
34300000000	246597
34400000000	246222
34500000000	245145
34600000000	245879
34700000000	245685
34800000000	246223
34900000000	245116
35000000000	244847
35100000000	246213
35200000000	246505
35300000000	245914
35400000000	246188
35500000000	245389
35600000000	245177
35700000000	245193
35800000000	245833
35900000000	247205
36000000000	246228
36100000000	247047
36200000000	245356
36300000000	245533
36400000000	246313
36500000000	246394
36600000000	246510
36700000000	246714
36800000000	246745
36900000000	246222
37000000000	245079
37100000000	246314
37200000000	245410
37300000000	246312
37400000000	245573
37500000000	246534
37600000000	246545
37700000000	246078
37800000000	246584
37900000000	245942
38000000000	246331
38100000000	245935
38200000000	245408
38300000000	246125
38400000000	246928
38500000000	245585
38600000000	246032
38700000000	246401
38800000000	246888
38900000000	247039
39000000000	247769
39100000000	245828
39200000000	247085
39300000000	246646
39400000000	246896
39500000000	246278
39600000000	246327
39700000000	246377
39800000000	246135
39900000000	247278
40000000000	246750
40100000000	246732
40200000000	246923
40300000000	245649
40400000000	247531
40500000000	246477
40600000000	246505
40700000000	246056
40800000000	246542
40900000000	246554
41000000000	246036
41100000000	245284
41200000000	246345
41300000000	245361
41400000000	245926
41500000000	245581
41600000000	245694
41700000000	246404
41800000000	245143
41900000000	245729
42000000000	246363
42100000000	245048
42200000000	246298
42300000000	246583
42400000000	244649
42500000000	245982
42600000000	245342
42700000000	245788
42800000000	245461
42900000000	245308
43000000000	245233
43100000000	244844
43200000000	245242
43300000000	244607
43400000000	245427
43500000000	245798
43600000000	244565
43700000000	245213
43800000000	246423
43900000000	243712
44000000000	246237
44100000000	244720
44200000000	246429
44300000000	244939
44400000000	244760
44500000000	244732
44600000000	246345
44700000000	244908
44800000000	245557
44900000000	244365
45000000000	245561
45100000000	244797
45200000000	246116
45300000000	245145
45400000000	245745
45500000000	245079
45600000000	244659
45700000000	245220
45800000000	245882
45900000000	245543
46000000000	245656
46100000000	245642
46200000000	245030
46300000000	245123
46400000000	245589
46500000000	246050
46600000000	245706
46700000000	245241
46800000000	245243
46900000000	245373
47000000000	245483
47100000000	245468
47200000000	245501
47300000000	245299
47400000000	245191
47500000000	245843
47600000000	244841
47700000000	244568
47800000000	244879
47900000000	245494
48000000000	246180
48100000000	245291
48200000000	245126
48300000000	245714
48400000000	246121
48500000000	245690
48600000000	244854
48700000000	245831
48800000000	246159
48900000000	246200
49000000000	244326
49100000000	246664
49200000000	245563
49300000000	246193
49400000000	246004
49500000000	245316
49600000000	245625
49700000000	245240
49800000000	245529
49900000000	245050
50000000000	248063
50100000000	251186
50200000000	250911
50300000000	252453
50400000000	252255
50500000000	252117
50600000000	253349
50700000000	251974
50800000000	252332
50900000000	251484
51000000000	252282
51100000000	251611
51200000000	252262
51300000000	253118
51400000000	252152
51500000000	253169
51600000000	252860
51700000000	253233
51800000000	252851
51900000000	252643
52000000000	252933
52100000000	253572
52200000000	251319
52300000000	253239
52400000000	252389
52500000000	253110
52600000000	252811
52700000000	252136
52800000000	252805
52900000000	252067
53000000000	251951
53100000000	252092
53200000000	252089
53300000000	252868
53400000000	251912
53500000000	252370
53600000000	252736
53700000000	252997
53800000000	252284
53900000000	252324
54000000000	252429
54100000000	251564
54200000000	253187
54300000000	252738
54400000000	253014
54500000000	252177
54600000000	252765
54700000000	252832
54800000000	253304
54900000000	252133
55000000000	251800
55100000000	251430
55200000000	252853
55300000000	253094
55400000000	253063
55500000000	252865
55600000000	252453
55700000000	252710
55800000000	253434
55900000000	253128
56000000000	252359
56100000000	252414
56200000000	252019
56300000000	252589
56400000000	252375
56500000000	253270
56600000000	252112
56700000000	252651
56800000000	252334
56900000000	251779
57000000000	252358
57100000000	252904
57200000000	253331
57300000000	253268
57400000000	252090
57500000000	252949
57600000000	252463
57700000000	252379
57800000000	252897
57900000000	252692
58000000000	252233
58100000000	252737
58200000000	253066
58300000000	251872
58400000000	252247
58500000000	252453
58600000000	252177
58700000000	252805
58800000000	253037
58900000000	253372
59000000000	251871
59100000000	251750
59200000000	251921
59300000000	253236
59400000000	252162
59500000000	252450
59600000000	253540
59700000000	252584
59800000000	252095
59900000000	252648
60000000000	252645
60100000000	251956
60200000000	252477
60300000000	252751
60400000000	253379
60500000000	252453
60600000000	252050
60700000000	252098
60800000000	252162
60900000000	252900
61000000000	252547
61100000000	252224
61200000000	251945
61300000000	253784
61400000000	253307
61500000000	252981
61600000000	253276
61700000000	252029
61800000000	252162
61900000000	252173
62000000000	252151
62100000000	252156
62200000000	252164
62300000000	251913
62400000000	252542
62500000000	252696
62600000000	252568
62700000000	251848
62800000000	252534
62900000000	253347
63000000000	252934
63100000000	252616
63200000000	253416
63300000000	253135
63400000000	252356
63500000000	252491
63600000000	252249
63700000000	253482
63800000000	253437
63900000000	252342
64000000000	251896
64100000000	252788
64200000000	253224
64300000000	252676
64400000000	252748
64500000000	252552
64600000000	252855
64700000000	251521
64800000000	252529
64900000000	252348
65000000000	252511
65100000000	253294
65200000000	251991
65300000000	252115
65400000000	253237
65500000000	252488
65600000000	252450
65700000000	252317
65800000000	252529
65900000000	251981
66000000000	252591
66100000000	252304
66200000000	252213
66300000000	251943
66400000000	251757
66500000000	252923
66600000000	252415
66700000000	252407
66800000000	252238
66900000000	252535
67000000000	252880
67100000000	252521
67200000000	252512
67300000000	252467
67400000000	251942
67500000000	252118
67600000000	252633
67700000000	252848
67800000000	252950
67900000000	252021
68000000000	253112
68100000000	251941
68200000000	251958
68300000000	251865
68400000000	253644
68500000000	252292
68600000000	252766
68700000000	251904
68800000000	252668
68900000000	252289
69000000000	252661
69100000000	252188
69200000000	253055
69300000000	252683
69400000000	252680
69500000000	252272
69600000000	251885
69700000000	252335
69800000000	253060
69900000000	252516
70000000000	252075
70100000000	253282
70200000000	251282
70300000000	252364
70400000000	253353
70500000000	253078
70600000000	252444
70700000000	251669
70800000000	252180
70900000000	252749
71000000000	251934
71100000000	252781
71200000000	252984
71300000000	252818
71400000000	252684
71500000000	253274
71600000000	252852
71700000000	251528
71800000000	252216
71900000000	253412
72000000000	253100
72100000000	252738
72200000000	253323
72300000000	253072
72400000000	253005
72500000000	252096
72600000000	253218
72700000000	252950
72800000000	252715
72900000000	252175
73000000000	252347
73100000000	252985
73200000000	253315
73300000000	252438
73400000000	252270
73500000000	253009
73600000000	252322
73700000000	252894
73800000000	252539
73900000000	252704
74000000000	252603
74100000000	253047
74200000000	252703
74300000000	252810
74400000000	253026
74500000000	252725
74600000000	252017
74700000000	252463
74800000000	252136
74900000000	251784
75000000000	252080
75100000000	250906
75200000000	250458
75300000000	250610
75400000000	250586
75500000000	250177
75600000000	249495
75700000000	248924
75800000000	250074
75900000000	249054
76000000000	248815
76100000000	249648
76200000000	248230
76300000000	248868
76400000000	248538
76500000000	247502
76600000000	247330
76700000000	249180
76800000000	248521
76900000000	248483
77000000000	249388
77100000000	249142
77200000000	248891
77300000000	248444
77400000000	249091
77500000000	248529
77600000000	247398
77700000000	247674
77800000000	247757
77900000000	247897
78000000000	247830
78100000000	248147
78200000000	248139
78300000000	247550
78400000000	248284
78500000000	247607
78600000000	247133
78700000000	248917
78800000000	247233
78900000000	247866
79000000000	247547
79100000000	247364
79200000000	248243
79300000000	247579
79400000000	246344
79500000000	248688
79600000000	247547
79700000000	247976
79800000000	248286
79900000000	248022
80000000000	247737
80100000000	247838
80200000000	247226
80300000000	247807
80400000000	248412
80500000000	246763
80600000000	247936
80700000000	246862
80800000000	247197
80900000000	247089
81000000000	245779
81100000000	246663
81200000000	247167
81300000000	246964
81400000000	246848
81500000000	245989
81600000000	246799
81700000000	246044
81800000000	247011
81900000000	247232
82000000000	245860
82100000000	247190
82200000000	247841
82300000000	247488
82400000000	246974
82500000000	247146
82600000000	247125
82700000000	246158
82800000000	247157
82900000000	247118
83000000000	246855
83100000000	246475
83200000000	247257
83300000000	247396
83400000000	246887
83500000000	247131
83600000000	246925
83700000000	247095
83800000000	246070
83900000000	246769
84000000000	246565
84100000000	246297
84200000000	245795
84300000000	246354
84400000000	246364
84500000000	245170
84600000000	245753
84700000000	245608
84800000000	246244
84900000000	245066
85000000000	244858
85100000000	246321
85200000000	246404
85300000000	245829
85400000000	246153
85500000000	245457
85600000000	245179
85700000000	245095
85800000000	245904
85900000000	247100
86000000000	246161
86100000000	246972
86200000000	245389
86300000000	245622
86400000000	246076
86500000000	246382
86600000000	246791
86700000000	246503
86800000000	246617
86900000000	246295
87000000000	244900
87100000000	246376
87200000000	245319
87300000000	246453
87400000000	245426
87500000000	246565
87600000000	246574
87700000000	246124
87800000000	246407
87900000000	245895
88000000000	246385
88100000000	245780
88200000000	245485
88300000000	245992
88400000000	246933
88500000000	245570
88600000000	245940
88700000000	246443
88800000000	246842
88900000000	247033
89000000000	247799
89100000000	245747
89200000000	247120
89300000000	246489
89400000000	246781
89500000000	246410
89600000000	246227
89700000000	246421
89800000000	246049
89900000000	247355
90000000000	246682
90100000000	246709
90200000000	246797
90300000000	245663
90400000000	247641
90500000000	246287
90600000000	246475
90700000000	246153
90800000000	246538
90900000000	246452
91000000000	246098
91100000000	245104
91200000000	246338
91300000000	245501
91400000000	245834
91500000000	245518
91600000000	245715
91700000000	246326
91800000000	245226
91900000000	245633
92000000000	246344
92100000000	244981
92200000000	246140
92300000000	246611
92400000000	244656
92500000000	245931
92600000000	245486
92700000000	245646
92800000000	245171
92900000000	245523
93000000000	245393
93100000000	244575
93200000000	245272
93300000000	244494
93400000000	245310
93500000000	245876
93600000000	244777
93700000000	244910
93800000000	246396
93900000000	243891
94000000000	246118
94100000000	244630
94200000000	246587
94300000000	244710
94400000000	244838
94500000000	244677
94600000000	246316
94700000000	244933
94800000000	245443
94900000000	244403
95000000000	245543
95100000000	244755
95200000000	246224
95300000000	245044
95400000000	245774
95500000000	244912
95600000000	244721
95700000000	245132
95800000000	245759
95900000000	245613
96000000000	245587
96100000000	245651
96200000000	244994
96300000000	244959
96400000000	245770
96500000000	245880
96600000000	245758
96700000000	245075
96800000000	245243
96900000000	245439
97000000000	245473
97100000000	245493
97200000000	245571
97300000000	245226
97400000000	244982
97500000000	245839
97600000000	244848
97700000000	244568
97800000000	244892
97900000000	245408
98000000000	246181
98100000000	245374
98200000000	245153
98300000000	245704
98400000000	245801
98500000000	245741
98600000000	244874
98700000000	245748
98800000000	246325
98900000000	246215
99000000000	244205
99100000000	246567
99200000000	245506
99300000000	246234
99400000000	246024
99500000000	245170
99600000000	245621
99700000000	245223
99800000000	245715
99900000000	244726
