"Time (ps)"	"Counts per bin"
0	270258
20000000	276229
40000000	277633
60000000	278474
80000000	278255
100000000	280405
120000000	280367
140000000	279908
160000000	280649
180000000	280775
200000000	280409
220000000	280353
240000000	281397
260000000	280438
280000000	280649
300000000	280198
320000000	280289
340000000	280806
360000000	280588
380000000	280465
400000000	279438
420000000	280946
440000000	280258
460000000	280235
480000000	279389
500000000	280519
520000000	280280
540000000	280892
560000000	280890
580000000	279920
600000000	280606
620000000	279637
640000000	279443
660000000	279426
680000000	280290
700000000	280908
720000000	280398
740000000	280032
760000000	280999
780000000	280761
800000000	280144
820000000	280271
840000000	281156
860000000	280569
880000000	281043
900000000	280612
920000000	279609
940000000	279681
960000000	280423
980000000	280111
1000000000	280454
1020000000	279758
1040000000	279526
1060000000	280890
1080000000	280466
1100000000	279352
1120000000	279777
1140000000	281269
1160000000	280344
1180000000	280403
1200000000	279957
1220000000	279544
1240000000	279605
1260000000	279981
1280000000	279819
1300000000	280213
1320000000	280313
1340000000	280673
1360000000	280064
1380000000	280140
1400000000	280143
1420000000	280313
1440000000	281203
1460000000	280426
1480000000	280904
1500000000	280326
1520000000	280789
1540000000	279771
1560000000	279494
1580000000	280279
1600000000	279677
1620000000	279878
1640000000	279362
1660000000	280404
1680000000	279810
1700000000	280905
1720000000	280763
1740000000	280627
1760000000	280462
1780000000	281357
1800000000	279464
1820000000	279722
1840000000	280347
1860000000	279790
1880000000	280650
1900000000	279652
1920000000	280754
1940000000	279981
1960000000	280435
1980000000	281518
2000000000	280240
2020000000	280389
2040000000	280477
2060000000	279804
2080000000	280430
2100000000	280341
2120000000	280525
2140000000	279805
2160000000	280520
2180000000	280265
2200000000	279767
2220000000	279694
2240000000	279592
2260000000	280658
2280000000	279829
2300000000	279863
2320000000	280822
2340000000	280205
2360000000	280422
2380000000	280535
2400000000	280054
2420000000	280420
2440000000	280054
2460000000	279205
2480000000	279851
2500000000	279004
2520000000	280280
2540000000	278458
2560000000	279933
2580000000	279859
2600000000	280191
2620000000	280234
2640000000	280815
2660000000	279624
2680000000	280613
2700000000	280002
2720000000	279595
2740000000	280231
2760000000	280037
2780000000	280136
2800000000	280215
2820000000	279925
2840000000	280053
2860000000	279663
2880000000	280014
2900000000	280285
2920000000	280084
2940000000	279812
2960000000	280208
2980000000	281558
3000000000	280479
3020000000	280575
3040000000	279981
3060000000	280866
3080000000	280457
3100000000	279898
3120000000	279618
3140000000	279333
3160000000	279833
3180000000	279541
3200000000	280080
3220000000	279880
3240000000	279830
3260000000	280538
3280000000	278774
3300000000	280841
3320000000	279932
3340000000	280512
3360000000	279973
3380000000	280566
3400000000	280098
3420000000	280311
3440000000	279666
3460000000	280539
3480000000	280179
3500000000	279888
3520000000	280292
3540000000	280371
3560000000	280514
3580000000	279377
3600000000	280102
3620000000	279703
3640000000	279971
3660000000	280539
3680000000	279882
3700000000	280060
3720000000	279487
3740000000	280119
3760000000	279502
3780000000	279968
3800000000	279662
3820000000	279845
3840000000	280260
3860000000	280765
3880000000	280867
3900000000	280150
3920000000	279642
3940000000	278883
3960000000	279973
3980000000	279488
4000000000	280321
4020000000	279999
4040000000	280690
4060000000	280868
4080000000	280187
4100000000	280806
4120000000	280154
4140000000	279765
4160000000	279963
4180000000	279728
4200000000	281169
4220000000	280650
4240000000	279420
4260000000	279454
4280000000	280232
4300000000	280136
4320000000	279332
4340000000	281123
4360000000	280063
4380000000	279449
4400000000	281259
4420000000	279288
4440000000	281429
4460000000	279334
4480000000	280052
4500000000	280256
4520000000	279706
4540000000	281283
4560000000	280633
4580000000	279554
4600000000	280263
4620000000	280397
4640000000	279541
4660000000	279950
4680000000	280263
4700000000	279116
4720000000	280469
4740000000	280681
4760000000	279997
4780000000	280546
4800000000	279291
4820000000	279750
4840000000	280496
4860000000	278940
4880000000	280231
4900000000	280057
4920000000	280668
4940000000	280167
4960000000	279469
4980000000	279834
5000000000	280047
5020000000	278522
5040000000	277190
5060000000	275607
5080000000	275166
5100000000	274510
5120000000	273759
5140000000	273574
5160000000	273749
5180000000	272972
5200000000	273319
5220000000	273373
5240000000	272466
5260000000	273223
5280000000	272136
5300000000	273219
5320000000	272955
5340000000	272207
5360000000	272381
5380000000	271921
5400000000	272608
5420000000	271819
5440000000	272246
5460000000	272156
5480000000	272878
5500000000	272373
5520000000	272087
5540000000	272316
5560000000	272379
5580000000	271927
5600000000	272030
5620000000	272249
5640000000	272629
5660000000	271930
5680000000	272731
5700000000	272346
5720000000	272111
