"Time (ps)"	"Counts per bin"
0	196133
200000000	198127
400000000	198374
600000000	198321
800000000	197608
1000000000	197789
1200000000	197076
1400000000	198256
1600000000	197896
1800000000	198371
2000000000	198647
2200000000	198113
2400000000	197658
2600000000	198302
2800000000	197637
3000000000	197424
3200000000	197063
3400000000	197991
3600000000	197473
3800000000	197658
4000000000	197322
4200000000	198151
4400000000	197408
4600000000	197551
4800000000	198109
5000000000	197897
5200000000	198915
5400000000	197894
5600000000	196703
5800000000	197927
6000000000	198319
6200000000	197464
6400000000	198038
6600000000	198000
6800000000	198727
7000000000	198083
7200000000	197323
7400000000	197729
7600000000	198000
7800000000	197459
8000000000	198007
8200000000	197361
8400000000	198493
8600000000	197794
8800000000	198003
9000000000	197629
9200000000	198203
9400000000	197561
9600000000	197235
9800000000	197786
10000000000	197805
10200000000	197823
10400000000	197601
10600000000	198103
10800000000	197664
11000000000	197386
11200000000	196693
11400000000	197382
11600000000	197732
11800000000	196401
12000000000	197999
12200000000	198299
12400000000	197848
12600000000	197437
12800000000	197919
13000000000	197499
13200000000	198673
13400000000	197605
13600000000	198051
13800000000	197859
14000000000	197543
14200000000	197690
14400000000	197552
14600000000	198172
14800000000	197099
15000000000	197471
15200000000	197854
15400000000	198269
15600000000	198833
15800000000	197801
16000000000	197960
16200000000	197091
16400000000	198795
16600000000	198211
16800000000	197988
17000000000	198089
17200000000	196766
17400000000	197239
17600000000	197873
17800000000	197699
18000000000	197124
18200000000	197773
18400000000	198112
18600000000	196745
18800000000	196949
19000000000	197874
19200000000	197690
19400000000	197398
19600000000	198013
19800000000	197498
20000000000	197107
20200000000	197686
20400000000	197595
20600000000	197114
20800000000	197423
21000000000	197557
21200000000	197356
21400000000	197531
21600000000	196326
21800000000	198014
22000000000	197583
22200000000	197642
22400000000	197342
22600000000	197619
22800000000	197378
23000000000	197499
23200000000	196721
23400000000	197005
23600000000	196637
23800000000	197330
24000000000	198139
24200000000	197527
24400000000	197825
24600000000	197195
24800000000	197313
25000000000	198883
25200000000	196999
25400000000	197880
25600000000	198410
25800000000	198058
26000000000	197977
26200000000	197508
26400000000	197570
26600000000	196698
