"Time (ps)"	"Counts per bin"
0	381855
100000000	383885
200000000	383474
300000000	383884
400000000	384144
500000000	384347
600000000	383898
700000000	383619
800000000	384184
900000000	383216
1000000000	383698
1100000000	383779
1200000000	384616
1300000000	383338
1400000000	384060
1500000000	382490
1600000000	384758
1700000000	384201
1800000000	384396
1900000000	384543
2000000000	385013
2100000000	383959
2200000000	384159
2300000000	383986
2400000000	384225
2500000000	384308
2600000000	383635
2700000000	384678
2800000000	384911
2900000000	384730
3000000000	384414
3100000000	385853
3200000000	385443
3300000000	384902
3400000000	384774
3500000000	385293
3600000000	384638
3700000000	385209
3800000000	384760
3900000000	385463
4000000000	384359
4100000000	384439
4200000000	384827
4300000000	384911
4400000000	385314
4500000000	383826
4600000000	384510
4700000000	384512
4800000000	384390
4900000000	384652
5000000000	383813
5100000000	384043
5200000000	384293
5300000000	384857
5400000000	384840
5500000000	384333
5600000000	384291
5700000000	383893
5800000000	383802
5900000000	384279
6000000000	384098
6100000000	383747
6200000000	384989
6300000000	384266
6400000000	384271
6500000000	383260
6600000000	384948
6700000000	383725
6800000000	385599
6900000000	384835
7000000000	384684
7100000000	384375
7200000000	384130
7300000000	384767
7400000000	383605
7500000000	385523
7600000000	385612
7700000000	383527
7800000000	384132
7900000000	384918
8000000000	383115
8100000000	384797
8200000000	383282
8300000000	384718
8400000000	383694
8500000000	383274
8600000000	384400
8700000000	383825
8800000000	383947
8900000000	384877
9000000000	384759
9100000000	384876
9200000000	384894
9300000000	383321
9400000000	384028
9500000000	384289
9600000000	383649
9700000000	384936
9800000000	383818
9900000000	383757
10000000000	384728
10100000000	385346
10200000000	385779
10300000000	384902
10400000000	384684
10500000000	384055
10600000000	384075
10700000000	384506
10800000000	383760
10900000000	384259
11000000000	384978
11100000000	384932
11200000000	386133
11300000000	383595
11400000000	385049
11500000000	383812
11600000000	382911
11700000000	383720
11800000000	384087
11900000000	383693
12000000000	383704
12100000000	383725
12200000000	383658
12300000000	384454
12400000000	383926
12500000000	383614
12600000000	384065
12700000000	383598
12800000000	385262
12900000000	384474
13000000000	384854
13100000000	385221
13200000000	382955
13300000000	385103
13400000000	384071
13500000000	383902
13600000000	383760
13700000000	383644
13800000000	384536
13900000000	384497
14000000000	383989
14100000000	384132
14200000000	383423
14300000000	383374
14400000000	383875
14500000000	384077
14600000000	384335
14700000000	384003
14800000000	383304
14900000000	384448
15000000000	384256
15100000000	382984
15200000000	384604
15300000000	383999
15400000000	384432
15500000000	383378
15600000000	384740
15700000000	385255
15800000000	383667
15900000000	384092
16000000000	384005
16100000000	384417
16200000000	382985
16300000000	384684
16400000000	384262
16500000000	383640
16600000000	383757
16700000000	384391
16800000000	384362
16900000000	384290
17000000000	384777
17100000000	385273
17200000000	385039
17300000000	385501
17400000000	383812
17500000000	384480
17600000000	384460
17700000000	384576
17800000000	384869
17900000000	383397
18000000000	384336
18100000000	384008
18200000000	383577
18300000000	383430
18400000000	383328
18500000000	384121
18600000000	384919
18700000000	383507
18800000000	383666
18900000000	384710
19000000000	385310
19100000000	385325
19200000000	384140
19300000000	384721
19400000000	384199
19500000000	385492
19600000000	384720
19700000000	384131
19800000000	384938
19900000000	384082
20000000000	383480
20100000000	383394
20200000000	384605
20300000000	384071
20400000000	384062
20500000000	384021
20600000000	384077
20700000000	385235
20800000000	385223
20900000000	384045
21000000000	383922
21100000000	384764
21200000000	384958
21300000000	384448
21400000000	384347
21500000000	384192
21600000000	385043
21700000000	383397
21800000000	383635
21900000000	383351
22000000000	384395
22100000000	384621
22200000000	385178
22300000000	384192
22400000000	384005
22500000000	383459
22600000000	384384
22700000000	384075
22800000000	384539
22900000000	385441
23000000000	384653
23100000000	385398
23200000000	383334
23300000000	384735
23400000000	384600
23500000000	385106
23600000000	385267
23700000000	384242
23800000000	383893
23900000000	384989
24000000000	384158
24100000000	385873
24200000000	385291
24300000000	384852
24400000000	383667
24500000000	384195
24600000000	384712
24700000000	384533
24800000000	385071
24900000000	384490
25000000000	384910
25100000000	382298
25200000000	382203
25300000000	381367
25400000000	381372
25500000000	381575
25600000000	382557
25700000000	382528
25800000000	381206
25900000000	382308
26000000000	380888
26100000000	380556
26200000000	381740
26300000000	381056
26400000000	381779
26500000000	380373
26600000000	381796
26700000000	381218
26800000000	379125
26900000000	380656
27000000000	380902
27100000000	380464
27200000000	379485
27300000000	381264
27400000000	380515
27500000000	382413
27600000000	380014
27700000000	380249
27800000000	379084
27900000000	380281
28000000000	380802
28100000000	380994
28200000000	380010
28300000000	379501
28400000000	380102
28500000000	380634
28600000000	380318
28700000000	379578
28800000000	380392
28900000000	379618
29000000000	379521
29100000000	379961
29200000000	380098
29300000000	379771
29400000000	380903
29500000000	380080
29600000000	380324
29700000000	379534
29800000000	379561
29900000000	379180
30000000000	380142
30100000000	378400
30200000000	379782
30300000000	379137
30400000000	379493
30500000000	379326
30600000000	379659
30700000000	379990
30800000000	378339
30900000000	379165
31000000000	379422
31100000000	380124
31200000000	379778
31300000000	377266
31400000000	379717
31500000000	379732
31600000000	379594
31700000000	380148
31800000000	379892
31900000000	379562
32000000000	379196
32100000000	378448
32200000000	379002
32300000000	379816
32400000000	379656
32500000000	380790
32600000000	378927
32700000000	379552
32800000000	378853
32900000000	379831
33000000000	377213
33100000000	377296
33200000000	377762
33300000000	378817
33400000000	378125
33500000000	379148
33600000000	378551
33700000000	378496
33800000000	378219
33900000000	378989
34000000000	378691
34100000000	378504
34200000000	378800
34300000000	378263
34400000000	379404
34500000000	378774
34600000000	378712
34700000000	379589
34800000000	379557
34900000000	377856
35000000000	378251
35100000000	379088
35200000000	378995
35300000000	379203
35400000000	379194
35500000000	378804
35600000000	379292
35700000000	378351
35800000000	378774
35900000000	379306
36000000000	378257
36100000000	378289
36200000000	379273
36300000000	379465
36400000000	378383
36500000000	378727
36600000000	378717
36700000000	379370
36800000000	377486
36900000000	378215
37000000000	379211
37100000000	377558
37200000000	377706
37300000000	378483
37400000000	378799
37500000000	378760
37600000000	378349
37700000000	378189
37800000000	376986
37900000000	377803
38000000000	378621
38100000000	379723
38200000000	378318
38300000000	378030
38400000000	378223
38500000000	377961
38600000000	378637
38700000000	378499
38800000000	377699
38900000000	378372
39000000000	378679
39100000000	377978
39200000000	377517
39300000000	377944
39400000000	377403
39500000000	378120
39600000000	378577
39700000000	378590
39800000000	376992
39900000000	377565
40000000000	377960
40100000000	378573
40200000000	377870
40300000000	378584
40400000000	378688
40500000000	378029
40600000000	378599
40700000000	377352
40800000000	377555
40900000000	377976
41000000000	378800
41100000000	378306
41200000000	377561
41300000000	377589
41400000000	377979
41500000000	377874
41600000000	378674
41700000000	377068
41800000000	378013
41900000000	378594
42000000000	378375
42100000000	377860
42200000000	377957
42300000000	378980
42400000000	378219
42500000000	378547
42600000000	378463
42700000000	378330
42800000000	377759
42900000000	376687
43000000000	378517
43100000000	378050
43200000000	378043
43300000000	377997
43400000000	378693
43500000000	378034
43600000000	378292
43700000000	379294
43800000000	378352
43900000000	378554
44000000000	378521
44100000000	377922
44200000000	377163
44300000000	378919
44400000000	379101
44500000000	378816
44600000000	377853
44700000000	378893
44800000000	377725
44900000000	377259
45000000000	378790
45100000000	378568
45200000000	377026
45300000000	378440
45400000000	377728
45500000000	378885
45600000000	378881
45700000000	377990
45800000000	378856
45900000000	378414
46000000000	378516
46100000000	380155
46200000000	378913
46300000000	377887
46400000000	378351
46500000000	376995
46600000000	378393
46700000000	378155
46800000000	378163
46900000000	378451
47000000000	376891
47100000000	378428
47200000000	377191
47300000000	377013
47400000000	377304
47500000000	378243
47600000000	377645
47700000000	378593
47800000000	378687
47900000000	377974
48000000000	378344
48100000000	377981
48200000000	377987
48300000000	378516
48400000000	377323
48500000000	378885
48600000000	377937
48700000000	379360
48800000000	377939
48900000000	378551
49000000000	378306
49100000000	378379
49200000000	377992
49300000000	378223
49400000000	378104
49500000000	378743
49600000000	378685
49700000000	378388
49800000000	378550
49900000000	378504
50000000000	381496
50100000000	384022
50200000000	383423
50300000000	383803
50400000000	384064
50500000000	384352
50600000000	383859
50700000000	383454
50800000000	384314
50900000000	383169
51000000000	383549
51100000000	383757
51200000000	384677
51300000000	383285
51400000000	383998
51500000000	382498
51600000000	384660
51700000000	384319
51800000000	384368
51900000000	384495
52000000000	384841
52100000000	384008
52200000000	384071
52300000000	384032
52400000000	384019
52500000000	384308
52600000000	383683
52700000000	384581
52800000000	385028
52900000000	384715
53000000000	384229
53100000000	385746
53200000000	385452
53300000000	384835
53400000000	384733
53500000000	385411
53600000000	384562
53700000000	385141
53800000000	384875
53900000000	385362
54000000000	384170
54100000000	384483
54200000000	384639
54300000000	385090
54400000000	385372
54500000000	383564
54600000000	384549
54700000000	384350
54800000000	384461
54900000000	384717
55000000000	383727
55100000000	384201
55200000000	383817
55300000000	384935
55400000000	384864
55500000000	384342
55600000000	384318
55700000000	383813
55800000000	383861
55900000000	384036
56000000000	384212
56100000000	383748
56200000000	384800
56300000000	384261
56400000000	384214
56500000000	383299
56600000000	384989
56700000000	383827
56800000000	385333
56900000000	384857
57000000000	384523
57100000000	384514
57200000000	384144
57300000000	384616
57400000000	383430
57500000000	385696
57600000000	385513
57700000000	383554
57800000000	384078
57900000000	384811
58000000000	382999
58100000000	385020
58200000000	383041
58300000000	384962
58400000000	383590
58500000000	383145
58600000000	384368
58700000000	383753
58800000000	383908
58900000000	384916
59000000000	384575
59100000000	385001
59200000000	384741
59300000000	383298
59400000000	384007
59500000000	384326
59600000000	383565
59700000000	385000
59800000000	383716
59900000000	383606
60000000000	384800
60100000000	385345
60200000000	385506
60300000000	385217
60400000000	384589
60500000000	384153
60600000000	383763
60700000000	384515
60800000000	383594
60900000000	384274
61000000000	385084
61100000000	384889
61200000000	386067
61300000000	383747
61400000000	384607
61500000000	383938
61600000000	382974
61700000000	383849
61800000000	383828
61900000000	383631
62000000000	383707
62100000000	383682
62200000000	383661
62300000000	384401
62400000000	383789
62500000000	383761
62600000000	383879
62700000000	383718
62800000000	384986
62900000000	384486
63000000000	384903
63100000000	385147
63200000000	383098
63300000000	384981
63400000000	383963
63500000000	383932
63600000000	383807
63700000000	383585
63800000000	384337
63900000000	384490
64000000000	383989
64100000000	384228
64200000000	383366
64300000000	383252
64400000000	383843
64500000000	384198
64600000000	384068
64700000000	384067
64800000000	383493
64900000000	384206
65000000000	384176
65100000000	382900
65200000000	384534
65300000000	383878
65400000000	384516
65500000000	383444
65600000000	384634
65700000000	385182
65800000000	383948
65900000000	383771
66000000000	384069
66100000000	384389
66200000000	383008
66300000000	384483
66400000000	384202
66500000000	383686
66600000000	383854
66700000000	384320
66800000000	384261
66900000000	384368
67000000000	384607
67100000000	385114
67200000000	385118
67300000000	385645
67400000000	383502
67500000000	384623
67600000000	384234
67700000000	384740
67800000000	384913
67900000000	383360
68000000000	384300
68100000000	383926
68200000000	383550
68300000000	383357
68400000000	383504
68500000000	383838
68600000000	385089
68700000000	383442
68800000000	383504
68900000000	384776
69000000000	385194
69100000000	385373
69200000000	383983
69300000000	384710
69400000000	384200
69500000000	385438
69600000000	384629
69700000000	384138
69800000000	384970
69900000000	383676
70000000000	383621
70100000000	383417
70200000000	384608
70300000000	384007
70400000000	384021
70500000000	384001
70600000000	384092
70700000000	385250
70800000000	385144
70900000000	383952
71000000000	383970
71100000000	384530
71200000000	385176
71300000000	384442
71400000000	384117
71500000000	384200
71600000000	384978
71700000000	383526
71800000000	383499
71900000000	383204
72000000000	384386
72100000000	384823
72200000000	384964
72300000000	384120
72400000000	383911
72500000000	383592
72600000000	384361
72700000000	384039
72800000000	384572
72900000000	385184
73000000000	384840
73100000000	385350
73200000000	383047
73300000000	384887
73400000000	384503
73500000000	384878
73600000000	385387
73700000000	384003
73800000000	384260
73900000000	384887
74000000000	383991
74100000000	385974
74200000000	385216
74300000000	384758
74400000000	383783
74500000000	384052
74600000000	384767
74700000000	384456
74800000000	385069
74900000000	384453
75000000000	384824
75100000000	382211
75200000000	382477
75300000000	381202
75400000000	381259
75500000000	381590
75600000000	382366
75700000000	382641
75800000000	381071
75900000000	382414
76000000000	380819
76100000000	380376
76200000000	381783
76300000000	380984
76400000000	381749
76500000000	380533
76600000000	381731
76700000000	381195
76800000000	379056
76900000000	380748
77000000000	380762
77100000000	380481
77200000000	379286
77300000000	381242
77400000000	380707
77500000000	382311
77600000000	379892
77700000000	380315
77800000000	378933
77900000000	380182
78000000000	380936
78100000000	380931
78200000000	379924
78300000000	379834
78400000000	379860
78500000000	380446
78600000000	380295
78700000000	379548
78800000000	380330
78900000000	379775
79000000000	379380
79100000000	379752
79200000000	380037
79300000000	379874
79400000000	380878
79500000000	380131
79600000000	380142
79700000000	379778
79800000000	379233
79900000000	378994
80000000000	380428
80100000000	378376
80200000000	379502
80300000000	378941
