"Time (ps)"	"Counts per bin"
0	1207802
5000000	1208965
10000000	1207031
15000000	1206477
20000000	1208543
25000000	1205922
30000000	1208637
35000000	1208883
40000000	1208346
45000000	1209342
50000000	1209626
55000000	1209573
60000000	1207872
65000000	1210751
70000000	1208609
75000000	1209495
80000000	1209219
85000000	1208971
90000000	1208221
95000000	1208468
100000000	1208216
105000000	1210531
110000000	1210178
115000000	1208714
120000000	1210440
125000000	1210364
130000000	1209864
135000000	1209177
140000000	1210858
145000000	1208559
150000000	1209715
155000000	1209973
160000000	1210441
165000000	1210582
170000000	1207868
175000000	1210306
180000000	1209986
185000000	1211129
190000000	1208801
195000000	1208954
200000000	1207826
205000000	1210808
210000000	1210620
215000000	1209387
220000000	1208544
225000000	1209106
230000000	1211513
235000000	1210060
240000000	1211702
245000000	1212016
250000000	1210761
255000000	1210412
260000000	1211536
265000000	1208876
270000000	1209806
275000000	1210951
280000000	1211007
285000000	1211564
290000000	1209426
295000000	1210319
300000000	1211180
305000000	1210787
310000000	1210612
315000000	1209863
320000000	1211042
325000000	1210032
330000000	1210488
335000000	1208913
340000000	1209810
345000000	1209678
350000000	1211090
355000000	1208314
360000000	1209422
365000000	1212225
370000000	1209938
375000000	1210235
380000000	1210475
385000000	1209820
390000000	1210935
395000000	1211742
400000000	1210427
405000000	1212759
410000000	1210313
415000000	1209340
420000000	1210701
425000000	1210467
430000000	1210136
435000000	1211805
440000000	1210086
445000000	1210214
450000000	1210454
455000000	1209548
460000000	1208828
465000000	1210884
470000000	1210936
475000000	1213380
480000000	1209547
485000000	1211445
490000000	1211071
495000000	1210396
500000000	1212270
505000000	1213006
510000000	1210438
515000000	1209504
520000000	1211623
525000000	1208933
530000000	1210204
535000000	1211307
540000000	1212620
545000000	1210809
550000000	1210065
555000000	1210093
560000000	1208960
565000000	1211565
570000000	1212306
575000000	1209791
580000000	1207994
585000000	1211006
590000000	1210563
595000000	1209478
600000000	1211810
605000000	1209163
610000000	1211121
615000000	1211757
620000000	1211930
625000000	1211494
630000000	1212449
635000000	1212184
640000000	1209631
645000000	1209171
650000000	1210646
655000000	1210757
660000000	1210850
665000000	1210977
670000000	1212082
675000000	1210846
680000000	1211632
685000000	1210031
690000000	1209526
695000000	1210713
700000000	1210434
705000000	1212212
710000000	1209623
715000000	1213053
720000000	1210691
725000000	1210932
730000000	1211918
735000000	1210887
740000000	1208722
745000000	1210673
750000000	1208419
755000000	1208771
760000000	1210684
765000000	1212172
770000000	1210042
775000000	1212216
780000000	1211519
785000000	1209820
790000000	1211723
795000000	1210093
800000000	1210203
805000000	1209948
810000000	1211911
815000000	1212186
820000000	1211063
825000000	1211574
830000000	1211247
835000000	1209755
840000000	1210361
845000000	1210640
850000000	1210776
855000000	1210332
860000000	1209550
865000000	1208954
870000000	1210169
875000000	1213849
880000000	1210109
885000000	1211132
890000000	1210748
895000000	1210976
900000000	1212910
905000000	1212835
910000000	1210833
915000000	1209753
920000000	1209356
925000000	1211028
930000000	1209259
935000000	1210246
940000000	1211078
945000000	1212786
950000000	1210963
955000000	1211480
960000000	1211525
965000000	1211657
970000000	1210375
975000000	1210110
980000000	1211250
985000000	1210222
990000000	1211789
995000000	1210325
1000000000	1209594
1005000000	1210677
1010000000	1209931
1015000000	1211749
1020000000	1210177
1025000000	1210592
1030000000	1209057
1035000000	1208693
1040000000	1210953
1045000000	1210718
1050000000	1212065
1055000000	1210666
1060000000	1209877
1065000000	1208079
1070000000	1211297
1075000000	1210117
1080000000	1209476
1085000000	1208870
1090000000	1209146
1095000000	1210320
1100000000	1208210
1105000000	1206940
1110000000	1208244
1115000000	1207501
1120000000	1211118
1125000000	1210387
1130000000	1207600
1135000000	1209734
1140000000	1209061
1145000000	1209307
1150000000	1208381
1155000000	1208807
1160000000	1207454
1165000000	1207808
1170000000	1207242
1175000000	1207456
1180000000	1207068
1185000000	1208595
1190000000	1207346
1195000000	1207540
1200000000	1208475
1205000000	1206105
1210000000	1208110
1215000000	1209899
1220000000	1208692
1225000000	1207836
1230000000	1208596
1235000000	1207007
1240000000	1207578
1245000000	1207246
1250000000	1208340
1255000000	1207755
1260000000	1207310
1265000000	1209016
1270000000	1206950
1275000000	1207986
1280000000	1207928
1285000000	1206218
1290000000	1208156
1295000000	1207192
1300000000	1209324
1305000000	1206390
1310000000	1208367
1315000000	1207583
1320000000	1206617
1325000000	1205502
1330000000	1207963
1335000000	1207206
1340000000	1208223
1345000000	1207682
1350000000	1207395
1355000000	1207801
1360000000	1208446
1365000000	1208768
1370000000	1208559
1375000000	1206672
1380000000	1206336
1385000000	1206751
1390000000	1206059
1395000000	1206323
1400000000	1204124
1405000000	1205468
1410000000	1207526
1415000000	1207582
1420000000	1209480
1425000000	1207919
1430000000	1208391
1435000000	1207666
1440000000	1208090
1445000000	1206335
1450000000	1208704
1455000000	1210021
1460000000	1206164
1465000000	1207364
1470000000	1207601
1475000000	1207690
1480000000	1207182
1485000000	1206774
1490000000	1206414
1495000000	1208415
1500000000	1207080
1505000000	1208410
1510000000	1206018
1515000000	1206814
1520000000	1208671
1525000000	1208014
1530000000	1208094
1535000000	1206699
1540000000	1207904
1545000000	1208056
1550000000	1206738
1555000000	1207752
1560000000	1208033
