"Time (ps)"	"Counts per bin"
0	231
20000000	219
40000000	226
60000000	213
80000000	221
100000000	211
120000000	214
140000000	209
160000000	212
180000000	200
200000000	208
220000000	210
240000000	197
260000000	202
280000000	190
300000000	205
320000000	207
340000000	203
360000000	225
380000000	233
400000000	206
420000000	212
440000000	223
460000000	221
480000000	197
500000000	189
520000000	205
540000000	199
560000000	217
580000000	186
600000000	215
620000000	191
640000000	195
660000000	203
680000000	208
700000000	218
720000000	224
740000000	197
760000000	196
780000000	178
800000000	195
820000000	190
840000000	219
860000000	182
880000000	203
900000000	239
920000000	218
940000000	212
960000000	191
980000000	190
1000000000	234
1020000000	230
1040000000	200
1060000000	191
1080000000	200
1100000000	186
1120000000	210
1140000000	229
1160000000	199
1180000000	196
1200000000	183
1220000000	221
1240000000	204
1260000000	209
1280000000	225
1300000000	224
1320000000	183
1340000000	217
1360000000	205
1380000000	192
1400000000	210
1420000000	194
1440000000	200
1460000000	226
1480000000	196
1500000000	218
1520000000	200
1540000000	189
1560000000	208
1580000000	198
1600000000	227
1620000000	195
1640000000	228
1660000000	211
1680000000	237
1700000000	191
1720000000	213
1740000000	215
1760000000	201
1780000000	204
1800000000	213
1820000000	190
1840000000	193
1860000000	210
1880000000	210
1900000000	207
1920000000	212
1940000000	218
1960000000	205
1980000000	223
2000000000	200
2020000000	207
2040000000	204
2060000000	197
2080000000	193
2100000000	219
2120000000	197
2140000000	202
2160000000	218
2180000000	204
2200000000	214
2220000000	208
2240000000	181
2260000000	203
2280000000	203
2300000000	217
2320000000	190
2340000000	211
2360000000	202
2380000000	227
2400000000	209
2420000000	212
2440000000	232
2460000000	222
2480000000	205
2500000000	198
2520000000	211
2540000000	220
2560000000	194
2580000000	213
2600000000	205
2620000000	201
2640000000	203
2660000000	225
2680000000	194
2700000000	206
2720000000	219
2740000000	211
2760000000	207
2780000000	198
2800000000	232
2820000000	189
2840000000	215
2860000000	215
2880000000	222
2900000000	208
2920000000	217
2940000000	203
2960000000	191
2980000000	230
3000000000	209
3020000000	226
3040000000	202
3060000000	205
3080000000	212
3100000000	197
3120000000	197
3140000000	206
3160000000	187
3180000000	180
3200000000	219
3220000000	232
3240000000	226
3260000000	212
3280000000	205
3300000000	206
3320000000	205
3340000000	186
3360000000	208
3380000000	208
3400000000	207
3420000000	201
3440000000	197
3460000000	218
3480000000	205
3500000000	214
3520000000	219
3540000000	221
3560000000	210
3580000000	195
3600000000	215
3620000000	199
3640000000	225
3660000000	214
3680000000	224
3700000000	173
3720000000	234
3740000000	186
3760000000	218
3780000000	223
3800000000	231
3820000000	215
3840000000	228
3860000000	241
3880000000	212
3900000000	227
3920000000	190
3940000000	219
3960000000	182
3980000000	208
4000000000	206
4020000000	187
4040000000	199
4060000000	209
4080000000	218
4100000000	207
4120000000	206
4140000000	220
4160000000	208
4180000000	210
4200000000	229
4220000000	207
4240000000	205
4260000000	204
4280000000	212
4300000000	182
4320000000	210
4340000000	195
4360000000	210
4380000000	245
4400000000	224
4420000000	200
4440000000	194
4460000000	203
4480000000	207
4500000000	226
4520000000	221
4540000000	209
4560000000	184
4580000000	213
4600000000	210
4620000000	211
4640000000	170
4660000000	215
4680000000	225
4700000000	177
4720000000	211
4740000000	204
4760000000	239
4780000000	198
4800000000	195
4820000000	218
4840000000	214
4860000000	191
4880000000	206
4900000000	207
4920000000	194
4940000000	212
4960000000	208
4980000000	201
5000000000	196
5020000000	209
5040000000	223
5060000000	213
5080000000	182
5100000000	199
5120000000	223
5140000000	195
5160000000	221
5180000000	224
5200000000	208
5220000000	211
5240000000	224
5260000000	212
5280000000	180
5300000000	214
5320000000	228
5340000000	194
5360000000	204
5380000000	195
5400000000	203
5420000000	208
5440000000	195
5460000000	202
5480000000	233
5500000000	204
5520000000	179
5540000000	193
5560000000	198
5580000000	213
5600000000	206
5620000000	237
5640000000	208
5660000000	202
5680000000	188
5700000000	181
5720000000	183
5740000000	223
5760000000	210
5780000000	180
5800000000	166
5820000000	209
5840000000	191
5860000000	220
5880000000	198
5900000000	210
5920000000	183
5940000000	193
5960000000	212
5980000000	221
6000000000	220
6020000000	200
6040000000	210
6060000000	194
6080000000	241
6100000000	235
6120000000	192
6140000000	195
6160000000	198
6180000000	213
6200000000	199
6220000000	222
6240000000	194
6260000000	231
6280000000	212
6300000000	205
6320000000	206
6340000000	237
6360000000	209
6380000000	163
6400000000	208
6420000000	193
6440000000	222
6460000000	228
6480000000	203
6500000000	219
6520000000	194
6540000000	223
6560000000	219
6580000000	222
6600000000	218
6620000000	196
6640000000	198
6660000000	225
6680000000	200
6700000000	207
6720000000	215
6740000000	204
6760000000	184
6780000000	204
6800000000	220
6820000000	200
6840000000	221
6860000000	181
6880000000	223
6900000000	216
6920000000	235
6940000000	218
6960000000	186
6980000000	177
7000000000	203
7020000000	214
7040000000	193
7060000000	205
7080000000	223
7100000000	172
7120000000	229
7140000000	225
7160000000	208
7180000000	213
7200000000	210
7220000000	199
7240000000	210
7260000000	216
7280000000	205
7300000000	207
7320000000	241
7340000000	198
7360000000	207
7380000000	224
7400000000	210
7420000000	209
7440000000	227
7460000000	206
7480000000	185
7500000000	216
7520000000	212
7540000000	218
7560000000	199
7580000000	217
7600000000	210
7620000000	223
7640000000	201
7660000000	201
7680000000	205
7700000000	222
7720000000	208
7740000000	210
7760000000	198
7780000000	206
7800000000	191
7820000000	203
7840000000	201
