"Time (ps)"	"Counts per bin"
0	49
20000000	55
40000000	70
60000000	40
80000000	59
100000000	59
120000000	49
140000000	54
160000000	54
180000000	53
200000000	67
220000000	54
240000000	50
260000000	47
280000000	47
300000000	63
320000000	57
340000000	57
360000000	57
380000000	51
400000000	50
420000000	46
440000000	33
460000000	47
480000000	51
500000000	54
520000000	50
540000000	43
560000000	46
580000000	52
600000000	45
620000000	39
640000000	55
660000000	59
680000000	59
700000000	60
720000000	66
740000000	50
760000000	52
780000000	54
800000000	58
820000000	57
840000000	52
860000000	59
880000000	51
900000000	59
920000000	50
940000000	56
960000000	44
980000000	43
1000000000	60
1020000000	46
1040000000	43
1060000000	52
1080000000	50
1100000000	54
1120000000	54
1140000000	54
1160000000	55
1180000000	50
1200000000	73
1220000000	57
1240000000	47
1260000000	59
1280000000	41
1300000000	65
1320000000	56
1340000000	61
1360000000	35
1380000000	48
1400000000	48
1420000000	45
1440000000	54
1460000000	62
1480000000	50
1500000000	57
1520000000	43
1540000000	56
1560000000	56
1580000000	40
1600000000	68
1620000000	51
1640000000	48
1660000000	48
1680000000	55
1700000000	51
1720000000	70
1740000000	34
1760000000	53
1780000000	58
1800000000	40
1820000000	44
1840000000	54
1860000000	53
1880000000	56
1900000000	60
1920000000	54
1940000000	47
1960000000	57
1980000000	63
2000000000	50
2020000000	66
2040000000	42
2060000000	54
2080000000	40
2100000000	47
2120000000	58
2140000000	61
2160000000	57
2180000000	52
2200000000	63
2220000000	75
2240000000	57
2260000000	38
2280000000	45
2300000000	52
2320000000	59
2340000000	55
2360000000	59
2380000000	55
2400000000	58
2420000000	45
2440000000	53
2460000000	54
2480000000	49
2500000000	51
2520000000	41
2540000000	56
2560000000	57
2580000000	53
2600000000	53
2620000000	53
2640000000	46
2660000000	42
2680000000	46
2700000000	66
2720000000	60
2740000000	59
2760000000	42
2780000000	56
2800000000	54
2820000000	50
2840000000	70
2860000000	62
2880000000	45
2900000000	57
2920000000	47
2940000000	44
2960000000	56
2980000000	57
3000000000	49
3020000000	44
3040000000	58
3060000000	61
3080000000	59
3100000000	53
3120000000	47
3140000000	42
3160000000	51
3180000000	56
3200000000	50
3220000000	59
3240000000	52
3260000000	41
3280000000	47
3300000000	49
3320000000	50
3340000000	41
3360000000	59
3380000000	55
3400000000	45
3420000000	68
3440000000	48
3460000000	57
3480000000	48
3500000000	43
3520000000	59
3540000000	50
3560000000	49
3580000000	52
3600000000	48
3620000000	48
3640000000	53
3660000000	65
3680000000	44
3700000000	53
3720000000	57
3740000000	66
3760000000	56
3780000000	48
3800000000	65
3820000000	54
3840000000	50
3860000000	65
3880000000	52
3900000000	42
3920000000	49
3940000000	40
3960000000	53
3980000000	62
4000000000	44
4020000000	37
4040000000	44
4060000000	46
4080000000	60
4100000000	49
4120000000	58
4140000000	41
4160000000	38
4180000000	58
4200000000	51
4220000000	51
4240000000	53
4260000000	57
4280000000	56
4300000000	54
4320000000	44
4340000000	59
4360000000	44
4380000000	56
4400000000	61
4420000000	51
4440000000	69
4460000000	40
4480000000	56
4500000000	57
4520000000	52
4540000000	52
4560000000	55
4580000000	47
4600000000	58
4620000000	55
4640000000	52
4660000000	64
4680000000	52
4700000000	38
4720000000	44
4740000000	63
4760000000	44
4780000000	54
4800000000	58
4820000000	55
4840000000	59
4860000000	46
4880000000	52
4900000000	56
4920000000	54
4940000000	54
4960000000	59
4980000000	62
5000000000	38
5020000000	60
