"Time (ps)"	"Counts per bin"
0	194
200000	167
400000	193
600000	186
800000	193
1000000	187
1200000	167
1400000	182
1600000	163
1800000	181
2000000	178
2200000	189
2400000	150
2600000	196
2800000	215
3000000	149
3200000	192
3400000	176
3600000	177
3800000	176
4000000	208
4200000	159
4400000	177
4600000	194
4800000	165
5000000	178
5200000	170
5400000	165
5600000	159
5800000	154
6000000	164
6200000	179
6400000	181
6600000	172
6800000	147
7000000	164
7200000	140
7400000	160
7600000	148
7800000	138
8000000	175
8200000	179
8400000	138
8600000	157
8800000	157
9000000	135
9200000	157
9400000	160
9600000	151
9800000	156
10000000	157
10200000	171
10400000	161
10600000	179
10800000	164
11000000	162
11200000	136
11400000	163
11600000	149
11800000	152
12000000	147
12200000	153
12400000	136
12600000	149
12800000	142
13000000	166
13200000	130
13400000	140
13600000	136
13800000	141
14000000	149
14200000	146
14400000	146
14600000	147
14800000	124
15000000	121
15200000	140
15400000	137
15600000	149
15800000	139
16000000	142
16200000	126
16400000	130
16600000	127
16800000	148
17000000	122
17200000	130
17400000	108
17600000	135
17800000	138
18000000	134
18200000	137
18400000	127
18600000	128
18800000	137
19000000	118
19200000	137
19400000	119
19600000	130
19800000	110
20000000	126
20200000	133
20400000	124
20600000	127
20800000	107
21000000	115
21200000	129
21400000	109
21600000	112
21800000	91
22000000	124
22200000	105
22400000	118
22600000	118
22800000	126
23000000	126
23200000	130
23400000	111
23600000	97
23800000	119
24000000	109
24200000	110
24400000	100
24600000	127
24800000	97
25000000	125
25200000	93
25400000	107
25600000	78
25800000	110
26000000	121
26200000	117
26400000	95
26600000	110
26800000	109
27000000	98
27200000	102
27400000	102
27600000	101
27800000	97
28000000	108
28200000	91
28400000	121
28600000	117
28800000	96
29000000	97
29200000	90
29400000	93
29600000	87
29800000	120
30000000	109
30200000	84
30400000	109
30600000	116
30800000	101
31000000	89
31200000	110
31400000	89
31600000	93
31800000	119
32000000	91
32200000	116
32400000	82
32600000	91
32800000	106
33000000	87
33200000	117
33400000	91
33600000	82
33800000	78
34000000	88
34200000	92
34400000	92
34600000	92
34800000	83
35000000	94
35200000	95
35400000	93
35600000	87
35800000	87
36000000	98
36200000	83
36400000	90
36600000	99
36800000	99
37000000	92
37200000	75
37400000	65
37600000	93
37800000	80
38000000	81
38200000	87
38400000	101
38600000	81
38800000	84
39000000	81
39200000	89
39400000	82
39600000	72
39800000	84
40000000	75
40200000	56
40400000	79
40600000	76
40800000	79
41000000	98
41200000	66
41400000	88
41600000	82
41800000	92
42000000	76
42200000	83
42400000	68
42600000	67
42800000	78
43000000	77
43200000	92
43400000	71
43600000	92
43800000	84
44000000	78
44200000	78
44400000	80
44600000	83
44800000	81
45000000	92
45200000	86
45400000	79
45600000	80
45800000	74
46000000	69
46200000	72
46400000	53
46600000	71
46800000	56
47000000	52
47200000	68
47400000	62
47600000	72
47800000	73
48000000	79
48200000	65
48400000	74
48600000	80
48800000	66
49000000	64
49200000	76
49400000	67
49600000	76
49800000	68
50000000	71
50200000	78
50400000	70
50600000	54
50800000	73
51000000	67
51200000	58
51400000	59
51600000	74
51800000	68
52000000	77
52200000	76
52400000	48
52600000	73
52800000	64
53000000	65
53200000	55
53400000	65
53600000	53
53800000	61
54000000	76
54200000	56
54400000	74
54600000	70
54800000	69
55000000	59
55200000	46
55400000	65
55600000	71
55800000	59
56000000	62
56200000	62
56400000	77
56600000	62
56800000	61
57000000	52
57200000	59
57400000	63
57600000	62
