"Time (ps)"	"Counts per bin"
0	844629
100000000	846164
200000000	846111
300000000	847460
400000000	847536
500000000	846561
600000000	846008
700000000	846767
800000000	847626
900000000	847543
1000000000	847039
1100000000	846955
1200000000	846561
1300000000	847277
1400000000	846611
1500000000	848008
1600000000	846582
1700000000	846268
1800000000	846882
1900000000	846887
2000000000	847025
2100000000	845985
2200000000	845987
2300000000	847806
2400000000	847193
2500000000	848868
2600000000	845502
2700000000	845034
2800000000	845523
2900000000	847454
3000000000	846649
3100000000	847320
3200000000	848529
3300000000	847636
3400000000	846469
3500000000	847063
3600000000	845169
3700000000	847202
3800000000	846725
3900000000	847473
4000000000	847805
4100000000	847827
4200000000	847219
4300000000	846950
4400000000	847359
4500000000	847398
4600000000	845989
4700000000	846641
4800000000	846684
4900000000	847275
5000000000	846392
5100000000	847412
5200000000	847191
5300000000	848179
5400000000	847156
5500000000	844989
5600000000	847582
5700000000	845388
5800000000	847583
5900000000	847739
6000000000	846601
6100000000	846347
6200000000	848374
6300000000	847642
6400000000	848117
6500000000	847573
6600000000	845371
6700000000	847100
6800000000	847009
6900000000	848416
7000000000	847106
7100000000	848169
7200000000	847095
7300000000	845839
7400000000	847973
7500000000	848162
7600000000	848803
7700000000	846965
7800000000	847418
7900000000	848733
8000000000	845966
8100000000	847473
8200000000	847327
8300000000	847060
8400000000	847739
8500000000	846067
8600000000	847747
8700000000	846631
8800000000	847283
8900000000	848350
9000000000	847246
9100000000	848407
9200000000	847374
9300000000	845575
9400000000	846407
9500000000	845898
9600000000	847489
9700000000	847192
9800000000	848551
9900000000	847359
10000000000	846225
10100000000	849883
10200000000	847939
10300000000	847960
10400000000	846999
10500000000	848129
10600000000	847038
10700000000	847020
10800000000	846860
10900000000	847032
11000000000	847632
11100000000	845689
11200000000	848243
11300000000	845200
11400000000	846530
11500000000	848540
11600000000	845541
11700000000	845362
11800000000	847212
11900000000	846595
12000000000	847423
12100000000	848553
12200000000	848359
12300000000	848391
12400000000	848125
12500000000	846888
12600000000	846864
12700000000	846719
12800000000	847272
12900000000	848732
13000000000	847255
13100000000	848036
13200000000	846158
13300000000	847546
13400000000	845964
13500000000	847023
13600000000	847820
13700000000	846695
13800000000	847060
13900000000	846555
14000000000	844615
14100000000	846597
14200000000	847773
14300000000	848516
14400000000	847783
14500000000	847294
14600000000	847816
14700000000	846700
14800000000	846012
14900000000	847893
15000000000	846405
15100000000	847732
15200000000	847001
15300000000	847262
15400000000	847780
15500000000	847368
15600000000	847392
15700000000	846085
15800000000	846014
15900000000	845599
16000000000	847628
16100000000	845677
16200000000	845230
16300000000	847258
16400000000	846384
16500000000	845798
16600000000	847225
16700000000	846426
16800000000	846048
16900000000	845837
17000000000	847370
17100000000	848447
17200000000	847214
17300000000	847710
17400000000	846707
17500000000	847021
17600000000	848510
17700000000	846369
17800000000	846119
17900000000	847257
18000000000	845786
18100000000	847492
18200000000	847636
18300000000	845429
18400000000	846249
18500000000	846110
18600000000	845897
18700000000	847447
18800000000	848127
18900000000	847654
19000000000	848009
19100000000	847215
19200000000	846625
19300000000	846187
19400000000	846096
19500000000	847292
19600000000	847991
19700000000	847810
19800000000	847422
19900000000	846685
20000000000	845709
20100000000	847669
20200000000	848722
20300000000	845551
20400000000	846643
20500000000	846551
20600000000	846545
20700000000	847157
20800000000	847102
20900000000	848170
21000000000	848691
21100000000	846997
21200000000	846462
21300000000	847650
21400000000	846926
21500000000	846481
21600000000	846253
21700000000	844534
21800000000	847309
21900000000	846916
22000000000	848725
22100000000	848474
22200000000	848040
22300000000	848268
22400000000	846087
22500000000	846070
22600000000	848131
22700000000	848131
22800000000	847674
22900000000	847440
23000000000	847940
23100000000	848464
23200000000	848514
23300000000	846633
23400000000	846713
23500000000	846600
23600000000	847113
23700000000	846623
23800000000	846074
23900000000	847298
24000000000	845080
24100000000	846268
24200000000	846407
24300000000	848033
24400000000	846703
24500000000	846765
24600000000	847519
24700000000	848340
24800000000	848201
24900000000	848634
25000000000	849802
25100000000	848541
25200000000	848037
25300000000	846295
25400000000	845573
25500000000	847041
25600000000	846019
25700000000	847244
25800000000	847125
25900000000	846444
26000000000	846561
26100000000	847086
26200000000	846902
26300000000	844311
26400000000	846423
26500000000	844121
26600000000	845436
26700000000	845234
26800000000	846044
26900000000	845157
27000000000	844242
27100000000	847146
27200000000	846275
27300000000	845109
27400000000	844602
27500000000	845000
27600000000	845955
27700000000	846917
27800000000	846237
27900000000	845588
28000000000	845240
28100000000	845814
28200000000	846637
28300000000	847339
28400000000	846353
28500000000	845934
28600000000	845146
28700000000	844967
28800000000	845246
28900000000	845979
29000000000	845788
29100000000	844772
29200000000	845646
29300000000	844948
29400000000	844422
29500000000	845704
29600000000	843865
29700000000	844445
29800000000	845546
29900000000	845739
30000000000	845650
30100000000	845456
30200000000	845838
30300000000	844768
30400000000	843993
30500000000	844473
30600000000	845272
30700000000	843816
30800000000	845383
30900000000	846285
31000000000	844782
31100000000	845160
31200000000	844495
31300000000	844476
31400000000	845858
31500000000	842412
31600000000	844551
31700000000	845889
31800000000	845893
31900000000	843818
32000000000	847105
32100000000	843961
32200000000	845409
32300000000	846562
32400000000	843957
32500000000	844713
32600000000	844195
32700000000	843340
32800000000	845079
32900000000	845304
33000000000	842750
33100000000	846908
33200000000	845597
33300000000	842561
33400000000	844063
33500000000	842635
33600000000	844460
33700000000	842680
33800000000	844435
33900000000	845291
34000000000	843583
34100000000	843413
34200000000	843392
34300000000	845499
34400000000	847613
34500000000	843198
34600000000	844358
34700000000	844707
34800000000	844720
34900000000	846115
35000000000	845035
35100000000	843316
35200000000	845275
35300000000	843990
35400000000	843933
35500000000	843346
35600000000	843697
35700000000	843857
35800000000	843953
35900000000	843547
36000000000	846025
36100000000	845133
36200000000	844820
36300000000	844687
36400000000	844691
36500000000	844315
36600000000	843655
36700000000	844284
36800000000	842850
36900000000	844837
37000000000	845391
37100000000	844122
37200000000	844305
37300000000	843490
37400000000	845410
37500000000	843756
37600000000	844339
37700000000	843549
37800000000	844384
37900000000	843280
38000000000	845451
38100000000	841911
38200000000	843675
38300000000	842993
38400000000	842816
38500000000	844727
38600000000	843573
38700000000	844795
38800000000	844580
38900000000	843059
39000000000	843036
39100000000	843889
39200000000	842661
39300000000	843747
39400000000	843440
39500000000	843781
39600000000	842688
39700000000	844702
39800000000	842831
39900000000	844588
40000000000	843523
40100000000	844538
40200000000	843892
40300000000	844084
40400000000	842883
40500000000	844810
40600000000	842208
40700000000	845516
40800000000	843260
40900000000	844581
41000000000	843405
41100000000	845235
41200000000	844423
41300000000	845269
41400000000	843926
41500000000	844251
41600000000	845060
41700000000	843858
41800000000	843387
41900000000	845497
42000000000	843201
42100000000	843402
42200000000	845175
42300000000	843367
42400000000	843836
42500000000	845252
42600000000	845338
42700000000	845518
42800000000	845675
42900000000	844353
43000000000	843702
43100000000	844333
43200000000	844262
43300000000	843490
43400000000	842820
43500000000	845756
43600000000	843953
43700000000	843447
43800000000	844497
43900000000	843641
44000000000	843590
44100000000	844060
44200000000	840806
44300000000	843600
44400000000	844610
44500000000	843755
44600000000	845042
44700000000	845440
44800000000	844410
44900000000	847370
45000000000	844018
45100000000	843433
45200000000	844900
45300000000	843986
45400000000	845054
45500000000	844853
45600000000	844754
45700000000	844951
45800000000	845726
45900000000	846329
46000000000	843580
46100000000	844367
46200000000	844626
46300000000	844676
46400000000	843871
46500000000	843928
46600000000	844047
46700000000	845547
46800000000	843583
46900000000	844183
47000000000	845013
47100000000	843296
47200000000	842865
47300000000	845373
47400000000	844509
47500000000	844411
47600000000	843998
47700000000	843321
47800000000	844735
47900000000	845067
48000000000	843762
48100000000	845842
48200000000	843739
48300000000	844156
48400000000	843426
48500000000	844754
48600000000	844258
48700000000	845197
48800000000	844902
48900000000	843978
49000000000	843405
49100000000	846264
49200000000	844569
49300000000	844479
49400000000	845919
49500000000	845494
49600000000	843861
49700000000	843981
49800000000	845889
49900000000	844990
50000000000	844584
50100000000	846052
50200000000	846237
50300000000	847158
50400000000	847312
50500000000	846538
50600000000	846235
50700000000	846669
50800000000	847576
50900000000	847282
51000000000	847074
51100000000	846770
51200000000	846663
51300000000	847195
51400000000	846688
51500000000	847578
51600000000	846323
51700000000	846496
51800000000	846549
51900000000	846792
52000000000	846690
52100000000	846092
52200000000	845963
52300000000	847940
52400000000	847131
52500000000	848736
52600000000	845377
52700000000	844989
52800000000	845852
52900000000	847321
53000000000	846499
53100000000	847214
53200000000	848129
53300000000	847886
53400000000	846736
53500000000	847006
53600000000	845317
53700000000	846952
53800000000	846960
53900000000	847013
54000000000	847617
54100000000	847978
54200000000	847107
54300000000	847228
54400000000	847062
54500000000	847183
54600000000	846229
54700000000	846283
54800000000	846675
54900000000	847259
55000000000	846270
55100000000	847227
55200000000	847279
55300000000	847793
55400000000	847187
55500000000	845219
55600000000	847259
55700000000	845379
55800000000	847287
55900000000	847594
56000000000	846471
56100000000	846180
56200000000	848602
56300000000	847585
56400000000	848015
56500000000	847204
56600000000	845432
56700000000	847075
56800000000	846873
56900000000	848144
57000000000	847049
57100000000	848310
57200000000	846793
57300000000	845762
57400000000	847829
57500000000	847819
57600000000	848751
57700000000	846698
57800000000	847336
57900000000	848278
58000000000	846056
58100000000	847414
58200000000	847243
58300000000	847210
58400000000	847815
58500000000	846002
58600000000	847329
58700000000	846905
58800000000	846784
58900000000	848768
59000000000	847242
59100000000	848071
59200000000	847533
59300000000	845517
59400000000	846204
59500000000	846008
59600000000	847125
59700000000	846824
59800000000	848677
59900000000	847071
60000000000	846269
60100000000	849790
60200000000	847978
60300000000	847992
60400000000	846727
60500000000	848206
60600000000	846730
60700000000	846942
60800000000	847091
60900000000	847030
61000000000	847306
61100000000	845938
61200000000	848142
61300000000	845184
61400000000	846395
61500000000	848077
61600000000	845913
61700000000	845108
61800000000	846937
61900000000	846590
62000000000	847229
62100000000	848060
62200000000	848324
62300000000	848810
62400000000	847887
62500000000	846719
62600000000	846879
62700000000	846378
62800000000	847229
62900000000	848587
63000000000	847176
63100000000	847951
63200000000	845966
63300000000	847464
63400000000	846078
63500000000	846994
63600000000	848195
63700000000	846511
63800000000	847019
63900000000	846425
64000000000	844646
64100000000	846461
64200000000	847734
64300000000	848506
64400000000	847330
64500000000	847264
64600000000	847668
64700000000	846535
64800000000	845872
64900000000	848032
65000000000	846182
65100000000	847420
65200000000	846972
65300000000	846974
65400000000	848060
65500000000	847326
65600000000	847403
65700000000	845982
65800000000	845798
65900000000	845505
66000000000	847186
66100000000	846008
66200000000	844995
66300000000	847368
66400000000	846375
66500000000	845685
66600000000	846834
66700000000	846110
66800000000	846035
66900000000	845702
67000000000	847827
67100000000	847916
67200000000	847042
67300000000	847543
67400000000	846777
67500000000	847030
67600000000	848482
67700000000	845888
67800000000	846141
67900000000	847425
68000000000	845580
68100000000	847588
68200000000	847734
68300000000	845635
68400000000	845937
68500000000	845905
68600000000	845842
68700000000	847261
68800000000	848114
68900000000	847638
69000000000	847682
69100000000	847119
69200000000	846889
69300000000	845988
69400000000	846036
69500000000	847199
69600000000	848133
69700000000	847515
69800000000	847515
69900000000	846556
70000000000	845472
70100000000	847324
70200000000	848859
70300000000	845121
70400000000	846614
70500000000	846543
70600000000	846379
70700000000	847242
70800000000	846952
70900000000	848140
71000000000	848591
71100000000	847112
71200000000	846466
71300000000	847462
71400000000	846486
71500000000	846852
71600000000	846134
71700000000	844306
71800000000	847033
71900000000	847063
72000000000	848609
72100000000	848345
72200000000	847814
72300000000	848820
72400000000	845527
72500000000	846205
72600000000	848284
72700000000	847569
72800000000	848174
72900000000	847248
73000000000	848133
73100000000	847846
73200000000	848619
73300000000	846636
73400000000	846480
73500000000	846732
73600000000	846970
73700000000	846380
73800000000	845907
73900000000	847375
74000000000	844969
74100000000	846638
74200000000	846338
74300000000	847640
74400000000	847042
74500000000	846293
74600000000	847495
74700000000	848177
74800000000	847908
74900000000	848518
75000000000	849639
75100000000	848474
75200000000	848110
75300000000	845738
75400000000	845928
75500000000	846753
75600000000	846018
75700000000	847009
75800000000	847235
75900000000	846170
76000000000	846612
76100000000	846860
76200000000	846800
76300000000	843996
76400000000	846380
76500000000	844219
76600000000	845241
76700000000	845024
76800000000	846163
76900000000	844948
77000000000	844350
77100000000	846738
77200000000	846249
77300000000	845445
77400000000	844123
77500000000	844533
77600000000	846158
77700000000	846582
77800000000	846490
77900000000	845234
78000000000	845152
78100000000	845917
78200000000	846362
78300000000	847146
78400000000	846187
78500000000	845687
78600000000	845233
78700000000	844686
78800000000	845231
78900000000	845632
79000000000	845526
79100000000	845420
79200000000	845200
79300000000	844948
79400000000	844016
79500000000	845730
79600000000	843435
79700000000	844222
79800000000	845356
79900000000	845761
80000000000	845597
80100000000	845303
80200000000	845837
80300000000	844654
80400000000	844027
80500000000	844560
80600000000	845090
80700000000	843615
80800000000	844882
80900000000	846577
81000000000	844828
81100000000	844703
81200000000	844590
81300000000	844455
81400000000	845539
81500000000	842419
81600000000	844525
81700000000	845460
81800000000	845807
81900000000	843572
82000000000	847120
82100000000	843912
82200000000	845312
82300000000	846162
82400000000	844018
82500000000	844549
82600000000	844619
82700000000	843490
82800000000	845044
82900000000	845182
83000000000	842991
83100000000	846166
83200000000	845827
83300000000	842475
83400000000	843965
83500000000	842231
83600000000	844578
83700000000	842711
83800000000	844231
83900000000	845178
84000000000	843166
84100000000	843537
84200000000	843277
84300000000	845352
84400000000	847368
84500000000	843297
84600000000	844302
84700000000	844543
84800000000	844816
84900000000	845901
85000000000	845256
85100000000	843219
