"Time (ps)"	"Counts per bin"
0	505478
100000000	509316
200000000	510352
300000000	509603
400000000	510517
500000000	510746
600000000	508349
700000000	509010
800000000	510583
900000000	508901
1000000000	510611
1100000000	507622
1200000000	509677
1300000000	509944
1400000000	509296
1500000000	508353
1600000000	508836
1700000000	509160
1800000000	509499
1900000000	508468
2000000000	509853
2100000000	510928
2200000000	508869
2300000000	509221
2400000000	508712
2500000000	509656
2600000000	510334
2700000000	507368
2800000000	508656
2900000000	507965
3000000000	508990
3100000000	509181
3200000000	509598
3300000000	509089
3400000000	509806
3500000000	510138
3600000000	508399
3700000000	507150
3800000000	509958
3900000000	509436
4000000000	508142
4100000000	508145
4200000000	509135
4300000000	509467
4400000000	508720
4500000000	508920
4600000000	509402
4700000000	508995
4800000000	509139
4900000000	508990
5000000000	509293
5100000000	508812
5200000000	508110
5300000000	508935
5400000000	509749
5500000000	508878
5600000000	508719
5700000000	509612
5800000000	510473
5900000000	509607
6000000000	510068
6100000000	509994
6200000000	510361
6300000000	509652
6400000000	510933
6500000000	510798
6600000000	509605
6700000000	510647
6800000000	509203
6900000000	510948
7000000000	511577
7100000000	509798
7200000000	510661
7300000000	510307
7400000000	511128
7500000000	510929
7600000000	509931
7700000000	511124
7800000000	511749
7900000000	510748
8000000000	512014
8100000000	510694
8200000000	510118
8300000000	509991
8400000000	509974
8500000000	508721
8600000000	510080
8700000000	508096
8800000000	509084
8900000000	507956
9000000000	509248
9100000000	508762
9200000000	508664
9300000000	509757
9400000000	509018
9500000000	508868
9600000000	509729
9700000000	507063
9800000000	510434
9900000000	509399
10000000000	508921
10100000000	509836
10200000000	508375
10300000000	507287
10400000000	509694
10500000000	507942
10600000000	511069
10700000000	508587
10800000000	509386
10900000000	508673
11000000000	510136
11100000000	510366
11200000000	509617
11300000000	509586
11400000000	510110
11500000000	509438
11600000000	510499
11700000000	509294
11800000000	509632
11900000000	509507
12000000000	510006
12100000000	508793
12200000000	509738
12300000000	509222
12400000000	509413
12500000000	509234
12600000000	509240
12700000000	509435
12800000000	510339
12900000000	509086
13000000000	510345
13100000000	509169
13200000000	509464
13300000000	509822
13400000000	509257
13500000000	510064
13600000000	508946
13700000000	509892
13800000000	509931
13900000000	510027
14000000000	510443
14100000000	510377
14200000000	510112
14300000000	510603
14400000000	511594
14500000000	510578
14600000000	512423
14700000000	509306
14800000000	510043
14900000000	509449
15000000000	510169
15100000000	509880
15200000000	509717
15300000000	509716
15400000000	510752
15500000000	508921
15600000000	509512
15700000000	509100
15800000000	509959
15900000000	509586
16000000000	509661
16100000000	509728
16200000000	508725
16300000000	509359
16400000000	509413
16500000000	509305
16600000000	510137
16700000000	507938
16800000000	508763
16900000000	509963
17000000000	509527
17100000000	509718
17200000000	508819
17300000000	510117
17400000000	509905
17500000000	509765
17600000000	508789
17700000000	510262
17800000000	509997
17900000000	510071
18000000000	509101
18100000000	510929
18200000000	509289
18300000000	509964
18400000000	509410
18500000000	509670
18600000000	508235
18700000000	509429
18800000000	508663
18900000000	510425
19000000000	508935
19100000000	509175
19200000000	510360
19300000000	508684
19400000000	508547
19500000000	508095
19600000000	509301
19700000000	509916
19800000000	507999
19900000000	509888
20000000000	509762
20100000000	508219
20200000000	511656
20300000000	508940
20400000000	510077
20500000000	510611
20600000000	508792
20700000000	510639
20800000000	511420
20900000000	509350
21000000000	510504
21100000000	510825
21200000000	510203
21300000000	509287
21400000000	508852
21500000000	509169
21600000000	509432
21700000000	509564
21800000000	509187
21900000000	510467
22000000000	509042
22100000000	509308
22200000000	509488
22300000000	509832
22400000000	509566
22500000000	508153
22600000000	509188
22700000000	510219
22800000000	508772
22900000000	509519
23000000000	509515
23100000000	508779
23200000000	508848
23300000000	508688
23400000000	510155
23500000000	508220
23600000000	508135
23700000000	508746
23800000000	509409
23900000000	509087
24000000000	507934
24100000000	508852
24200000000	508917
24300000000	509716
24400000000	509586
24500000000	508996
24600000000	509403
24700000000	508261
24800000000	508600
24900000000	507887
25000000000	509725
25100000000	506067
25200000000	504429
25300000000	505214
25400000000	505805
25500000000	504785
25600000000	505745
25700000000	504779
25800000000	504397
25900000000	503295
26000000000	506225
26100000000	504288
26200000000	503621
26300000000	502580
26400000000	502809
26500000000	503239
26600000000	503362
26700000000	503385
26800000000	503742
26900000000	503197
27000000000	503716
27100000000	501914
27200000000	502390
27300000000	502989
27400000000	503267
27500000000	502822
27600000000	503403
27700000000	503064
27800000000	502295
27900000000	502073
28000000000	502610
28100000000	502029
28200000000	502834
28300000000	501954
28400000000	502540
28500000000	502259
28600000000	503073
28700000000	503404
28800000000	501561
28900000000	502769
29000000000	501759
29100000000	501826
29200000000	502491
29300000000	502865
29400000000	503625
29500000000	502534
29600000000	501616
29700000000	503020
29800000000	500294
29900000000	502528
30000000000	500586
30100000000	500965
30200000000	500716
30300000000	499506
30400000000	500406
30500000000	499785
30600000000	499297
30700000000	498383
30800000000	499480
30900000000	499859
31000000000	501098
31100000000	502346
31200000000	500914
31300000000	502289
31400000000	500307
31500000000	502030
31600000000	500970
31700000000	501536
31800000000	500896
31900000000	501805
32000000000	502183
32100000000	500639
32200000000	501018
32300000000	501323
32400000000	499791
32500000000	499613
32600000000	500811
32700000000	500329
32800000000	500280
32900000000	500878
33000000000	500651
33100000000	500255
33200000000	500241
33300000000	499650
33400000000	499602
33500000000	500260
33600000000	498648
33700000000	499429
33800000000	499708
33900000000	499370
34000000000	500207
34100000000	498756
34200000000	499620
34300000000	500421
34400000000	500249
34500000000	500386
34600000000	500187
34700000000	498964
34800000000	498594
34900000000	500432
35000000000	500262
35100000000	500355
35200000000	500843
35300000000	500000
35400000000	499532
35500000000	500830
35600000000	501494
35700000000	500764
35800000000	502067
35900000000	501821
36000000000	501316
36100000000	500773
36200000000	501914
36300000000	501028
36400000000	499811
36500000000	501480
36600000000	501850
36700000000	500208
36800000000	500725
36900000000	499609
37000000000	499546
37100000000	499648
37200000000	499448
37300000000	500819
37400000000	499684
37500000000	499766
37600000000	500901
37700000000	501283
37800000000	500472
37900000000	498997
38000000000	500347
38100000000	498697
38200000000	499117
38300000000	499303
38400000000	498467
38500000000	498702
38600000000	498584
38700000000	499613
38800000000	499347
38900000000	499928
39000000000	499198
39100000000	500010
39200000000	500507
39300000000	498999
39400000000	498648
39500000000	500142
39600000000	499270
39700000000	500145
39800000000	499851
39900000000	500574
40000000000	498829
40100000000	498907
40200000000	499793
40300000000	498988
40400000000	498984
40500000000	498947
40600000000	498242
40700000000	500335
40800000000	498798
40900000000	499069
41000000000	500098
41100000000	500018
41200000000	497886
41300000000	497624
41400000000	499007
41500000000	500032
41600000000	499183
41700000000	497710
41800000000	497774
41900000000	498538
42000000000	497378
42100000000	499125
42200000000	499221
42300000000	499191
42400000000	499856
42500000000	499644
42600000000	500313
42700000000	499692
42800000000	500061
42900000000	498573
43000000000	499501
43100000000	498027
43200000000	500200
43300000000	499922
43400000000	498891
43500000000	499376
43600000000	499117
43700000000	498671
43800000000	499517
43900000000	499082
44000000000	498870
44100000000	498163
44200000000	497850
44300000000	498511
44400000000	498221
44500000000	499357
44600000000	499621
44700000000	499719
44800000000	500258
44900000000	499221
45000000000	498497
45100000000	498940
45200000000	499551
45300000000	499128
45400000000	498245
45500000000	498831
45600000000	500148
45700000000	499390
45800000000	498818
45900000000	498635
46000000000	499179
46100000000	498718
46200000000	500330
46300000000	500303
46400000000	500086
46500000000	499370
46600000000	499500
46700000000	499165
46800000000	498630
46900000000	499417
47000000000	499425
47100000000	499687
47200000000	499383
47300000000	499035
47400000000	500083
47500000000	498931
47600000000	500545
47700000000	498725
47800000000	499027
47900000000	499133
48000000000	498770
48100000000	499570
48200000000	499855
48300000000	499193
48400000000	500396
48500000000	499459
48600000000	499354
48700000000	499146
48800000000	499756
48900000000	499923
49000000000	501949
49100000000	500250
49200000000	500112
49300000000	501532
49400000000	499988
49500000000	499747
49600000000	499611
49700000000	500495
49800000000	501456
49900000000	500483
50000000000	505394
50100000000	508978
50200000000	510287
50300000000	509579
50400000000	510591
50500000000	510582
