"Time (ps)"	"Counts per bin"
0	506572
100000000	511155
200000000	512841
300000000	512574
400000000	514042
500000000	513335
600000000	513779
700000000	512921
800000000	512816
900000000	511944
1000000000	512799
1100000000	513414
1200000000	513754
1300000000	512074
1400000000	513094
1500000000	512565
1600000000	512568
1700000000	513388
1800000000	512880
1900000000	513402
2000000000	511537
2100000000	511326
2200000000	511932
2300000000	511686
2400000000	511364
2500000000	512990
2600000000	514170
2700000000	513074
2800000000	513711
2900000000	514263
3000000000	512438
3100000000	513644
3200000000	511848
3300000000	513471
3400000000	511646
3500000000	512355
3600000000	514296
3700000000	512393
3800000000	512616
3900000000	512342
4000000000	512032
4100000000	512372
4200000000	510902
4300000000	513092
4400000000	511506
4500000000	511497
4600000000	512466
4700000000	513023
4800000000	512420
4900000000	512382
5000000000	511982
5100000000	511652
5200000000	512211
5300000000	513131
5400000000	513549
5500000000	512481
5600000000	512092
5700000000	513002
5800000000	513676
5900000000	512505
6000000000	513156
6100000000	513303
6200000000	513551
6300000000	513158
6400000000	513167
6500000000	511876
6600000000	513427
6700000000	512682
6800000000	513286
6900000000	513221
7000000000	513623
7100000000	513109
7200000000	512939
7300000000	512198
7400000000	513139
7500000000	514590
7600000000	512081
7700000000	513908
7800000000	513482
7900000000	513619
8000000000	512615
8100000000	513856
8200000000	513350
8300000000	513908
8400000000	512679
8500000000	511721
8600000000	512998
8700000000	513081
8800000000	513289
8900000000	512792
9000000000	513088
9100000000	512565
9200000000	513092
9300000000	511893
9400000000	513587
9500000000	512127
9600000000	512597
9700000000	514469
9800000000	513289
9900000000	512215
10000000000	512412
10100000000	512774
10200000000	513189
10300000000	513761
10400000000	511727
10500000000	513725
10600000000	513347
10700000000	512933
10800000000	513760
10900000000	512204
11000000000	514059
11100000000	513570
11200000000	512189
11300000000	513464
11400000000	513075
11500000000	511965
11600000000	513526
11700000000	513207
11800000000	512412
11900000000	513517
12000000000	513252
12100000000	512061
12200000000	512340
12300000000	512647
12400000000	514131
12500000000	514532
12600000000	512156
12700000000	511163
