"Time (ps)"	"Counts per bin"
0	1002
100000	1014
200000	1005
300000	956
400000	1011
500000	1029
600000	1034
700000	973
800000	1038
900000	1015
1000000	1008
1100000	1020
1200000	992
1300000	983
1400000	1071
1500000	999
1600000	973
1700000	1001
1800000	969
1900000	994
2000000	1018
2100000	1027
2200000	980
2300000	995
2400000	976
2500000	1012
2600000	1009
2700000	956
2800000	983
2900000	1100
3000000	980
3100000	975
3200000	1011
3300000	1008
3400000	1024
3500000	1028
3600000	998
3700000	973
3800000	971
3900000	993
4000000	939
4100000	1057
4200000	1000
4300000	1071
4400000	963
4500000	971
4600000	977
4700000	986
4800000	980
4900000	972
5000000	975
5100000	1042
5200000	933
5300000	976
5400000	978
5500000	972
5600000	1001
5700000	937
5800000	935
5900000	984
6000000	1007
6100000	965
6200000	936
6300000	966
6400000	969
6500000	1015
6600000	901
6700000	912
6800000	964
6900000	935
7000000	954
7100000	975
7200000	966
7300000	929
7400000	970
7500000	925
7600000	983
7700000	886
7800000	965
7900000	964
8000000	933
8100000	960
8200000	965
8300000	972
8400000	910
8500000	964
8600000	907
8700000	1021
8800000	950
8900000	917
9000000	922
9100000	964
9200000	977
9300000	853
9400000	934
9500000	941
9600000	937
9700000	928
9800000	972
9900000	945
10000000	879
10100000	965
10200000	984
10300000	927
10400000	946
10500000	885
10600000	947
10700000	920
10800000	957
10900000	930
11000000	897
11100000	907
11200000	864
11300000	901
11400000	899
11500000	864
11600000	934
11700000	902
11800000	876
11900000	927
12000000	933
12100000	929
12200000	907
12300000	836
12400000	918
12500000	898
12600000	894
12700000	878
12800000	865
12900000	963
13000000	915
13100000	921
13200000	836
13300000	920
13400000	886
13500000	900
13600000	889
13700000	914
13800000	942
13900000	893
14000000	888
14100000	876
14200000	913
14300000	907
14400000	927
14500000	830
14600000	880
14700000	882
14800000	851
14900000	849
15000000	876
15100000	908
15200000	875
15300000	830
15400000	899
15500000	883
15600000	910
15700000	832
15800000	842
15900000	947
16000000	813
16100000	823
16200000	827
16300000	900
16400000	857
16500000	881
16600000	868
16700000	885
16800000	883
16900000	863
17000000	842
17100000	877
17200000	838
17300000	893
17400000	925
17500000	859
17600000	845
17700000	815
17800000	826
17900000	838
18000000	851
18100000	855
18200000	864
18300000	822
18400000	842
18500000	882
18600000	864
18700000	910
18800000	850
18900000	850
19000000	864
19100000	811
19200000	801
19300000	826
19400000	803
19500000	831
19600000	840
19700000	803
19800000	846
19900000	847
20000000	803
20100000	811
20200000	789
20300000	843
20400000	801
20500000	835
20600000	870
20700000	818
20800000	825
20900000	902
21000000	780
21100000	831
21200000	809
21300000	829
21400000	822
21500000	814
21600000	878
21700000	790
21800000	857
21900000	792
22000000	826
22100000	814
22200000	825
22300000	810
22400000	832
22500000	828
22600000	824
22700000	785
22800000	837
22900000	787
23000000	820
23100000	771
23200000	840
23300000	783
23400000	808
23500000	855
23600000	813
23700000	797
23800000	790
23900000	819
24000000	846
24100000	824
24200000	815
24300000	792
24400000	812
24500000	796
24600000	822
24700000	736
24800000	827
24900000	789
25000000	802
25100000	791
25200000	737
25300000	805
25400000	813
25500000	777
25600000	763
25700000	792
25800000	799
25900000	760
26000000	744
26100000	830
26200000	725
26300000	785
26400000	754
26500000	766
26600000	811
26700000	784
26800000	836
26900000	777
27000000	761
27100000	746
27200000	803
27300000	795
27400000	774
27500000	765
27600000	780
27700000	748
27800000	758
27900000	776
28000000	740
28100000	791
28200000	764
28300000	747
28400000	771
28500000	733
28600000	798
28700000	733
28800000	789
28900000	751
29000000	741
29100000	741
29200000	792
29300000	772
29400000	744
29500000	779
29600000	777
29700000	717
29800000	754
29900000	792
30000000	769
30100000	746
30200000	770
30300000	720
30400000	788
30500000	740
30600000	751
30700000	761
30800000	799
30900000	753
31000000	749
31100000	740
31200000	728
31300000	739
31400000	735
31500000	776
31600000	794
31700000	763
31800000	768
31900000	729
32000000	794
32100000	728
32200000	714
32300000	697
32400000	688
32500000	773
32600000	705
32700000	751
32800000	758
32900000	671
33000000	739
33100000	721
33200000	747
33300000	708
33400000	697
33500000	710
33600000	752
