"Time (ps)"	"Counts per bin"
0	6305
100000	6383
200000	6414
300000	6386
400000	6306
500000	6435
600000	6442
700000	6351
800000	6440
900000	6387
1000000	6445
1100000	6224
1200000	6407
1300000	6516
1400000	6373
1500000	6266
1600000	6433
1700000	6470
1800000	6487
1900000	6358
2000000	6450
2100000	6418
2200000	6274
2300000	6396
2400000	6347
2500000	6475
2600000	6501
2700000	6346
2800000	6311
2900000	6361
3000000	6251
3100000	6397
3200000	6260
3300000	6348
3400000	6378
3500000	6408
3600000	6263
3700000	6268
3800000	6237
3900000	6223
4000000	6227
4100000	6348
4200000	6199
4300000	6265
4400000	6231
4500000	6264
4600000	6343
4700000	6315
4800000	6258
4900000	6187
5000000	6172
5100000	6341
5200000	6201
5300000	6259
5400000	6188
5500000	5966
5600000	6131
5700000	6244
5800000	6169
5900000	6221
6000000	6305
6100000	6262
6200000	6189
6300000	5989
6400000	6096
6500000	6007
6600000	5934
6700000	6010
6800000	6082
6900000	6202
7000000	5953
7100000	5925
7200000	6104
7300000	5957
7400000	6017
7500000	5891
7600000	6057
7700000	5961
7800000	5877
7900000	5985
8000000	5920
8100000	5938
8200000	5970
8300000	5879
8400000	5962
8500000	5942
8600000	5982
8700000	5818
8800000	5796
8900000	5902
9000000	5820
9100000	5817
9200000	5772
9300000	5794
9400000	5812
9500000	5798
9600000	5865
9700000	5723
9800000	5707
9900000	5784
10000000	5789
10100000	5768
10200000	5779
10300000	5687
10400000	5702
10500000	5803
10600000	5691
10700000	5774
10800000	5779
10900000	5721
11000000	5585
11100000	5760
11200000	5681
11300000	5678
11400000	5620
11500000	5735
11600000	5590
11700000	5630
11800000	5614
11900000	5635
12000000	5397
12100000	5660
12200000	5566
12300000	5607
12400000	5668
12500000	5601
12600000	5582
12700000	5490
12800000	5573
12900000	5529
13000000	5557
13100000	5614
13200000	5595
13300000	5324
13400000	5600
13500000	5571
13600000	5482
13700000	5445
13800000	5364
13900000	5493
14000000	5333
14100000	5448
14200000	5298
14300000	5465
14400000	5473
14500000	5392
14600000	5374
14700000	5472
14800000	5316
14900000	5294
15000000	5301
15100000	5322
15200000	5405
15300000	5404
15400000	5417
15500000	5355
15600000	5235
15700000	5502
15800000	5288
15900000	5417
16000000	5238
16100000	5290
16200000	5323
16300000	5189
16400000	5267
16500000	5283
16600000	5212
16700000	5298
16800000	5169
16900000	5222
17000000	5239
17100000	5150
17200000	5293
17300000	5188
17400000	5276
17500000	5100
17600000	5073
17700000	5112
17800000	5121
