"Time (ps)"	"Counts per bin"
0	501870
100000000	503490
200000000	503118
300000000	504575
400000000	504150
500000000	504318
600000000	503976
700000000	505139
800000000	504089
900000000	503851
1000000000	504885
1100000000	504460
1200000000	504141
1300000000	503070
1400000000	504803
1500000000	504113
1600000000	505473
1700000000	505370
1800000000	504282
1900000000	503131
2000000000	503907
2100000000	503787
2200000000	504352
2300000000	503369
2400000000	503882
2500000000	504984
2600000000	503552
2700000000	503715
2800000000	504330
2900000000	504321
3000000000	504623
3100000000	504213
3200000000	504944
3300000000	506125
3400000000	504126
3500000000	504299
3600000000	503373
3700000000	504685
3800000000	504615
3900000000	503310
4000000000	503637
4100000000	504476
4200000000	503169
4300000000	504035
4400000000	504824
4500000000	504232
4600000000	504161
4700000000	503811
4800000000	504193
4900000000	504878
5000000000	505432
5100000000	505480
5200000000	503447
5300000000	504468
5400000000	504640
5500000000	503283
5600000000	504127
5700000000	503839
5800000000	504489
5900000000	503871
6000000000	503173
6100000000	504882
6200000000	504155
6300000000	504170
6400000000	503983
6500000000	503979
6600000000	504553
6700000000	504306
6800000000	503778
6900000000	503054
7000000000	505585
7100000000	504004
7200000000	503724
7300000000	504938
7400000000	504018
7500000000	503172
7600000000	504240
7700000000	504608
7800000000	504481
7900000000	503115
8000000000	504015
8100000000	504020
8200000000	504390
8300000000	506039
8400000000	505417
8500000000	504669
8600000000	505115
8700000000	504368
8800000000	505039
8900000000	502687
9000000000	504686
9100000000	504174
9200000000	505287
9300000000	504709
9400000000	504696
9500000000	504285
9600000000	504292
9700000000	503351
9800000000	504348
9900000000	503744
10000000000	504612
10100000000	505038
10200000000	503996
10300000000	504574
10400000000	504820
10500000000	503911
10600000000	504272
10700000000	505579
10800000000	503636
10900000000	504329
11000000000	504837
11100000000	505259
11200000000	505775
11300000000	505078
11400000000	505621
11500000000	504621
11600000000	504259
11700000000	503764
11800000000	504855
11900000000	503619
12000000000	503909
12100000000	505084
12200000000	505210
12300000000	505255
12400000000	505411
12500000000	504538
12600000000	504067
12700000000	504864
12800000000	504408
12900000000	503373
13000000000	505178
13100000000	505395
13200000000	504581
13300000000	504986
13400000000	504733
13500000000	504679
13600000000	504423
13700000000	503736
13800000000	504719
13900000000	505122
14000000000	504718
14100000000	504512
14200000000	503627
14300000000	504344
14400000000	504775
14500000000	503572
14600000000	505359
14700000000	504807
14800000000	503931
14900000000	504042
15000000000	504828
15100000000	503114
15200000000	504557
15300000000	505630
15400000000	505765
15500000000	505826
15600000000	503810
15700000000	503819
15800000000	503449
15900000000	505654
16000000000	504059
16100000000	504104
16200000000	504245
16300000000	504282
16400000000	503332
16500000000	503811
16600000000	504324
16700000000	504690
16800000000	505071
16900000000	506003
17000000000	503657
17100000000	504513
17200000000	504293
17300000000	503954
17400000000	503985
17500000000	504031
17600000000	504525
17700000000	503848
17800000000	504176
17900000000	503443
18000000000	504159
18100000000	505090
18200000000	505110
18300000000	505358
18400000000	504174
18500000000	504569
18600000000	505156
18700000000	504660
18800000000	505068
18900000000	504851
19000000000	504527
19100000000	504534
19200000000	504670
19300000000	504186
19400000000	505605
19500000000	504114
19600000000	504807
19700000000	506003
19800000000	504647
19900000000	504609
20000000000	504509
20100000000	504114
20200000000	504018
20300000000	503794
20400000000	504059
20500000000	504369
20600000000	504287
20700000000	505081
20800000000	505021
20900000000	504459
21000000000	503568
21100000000	505173
21200000000	504670
21300000000	505100
21400000000	504102
21500000000	505140
21600000000	503382
21700000000	505962
21800000000	505662
21900000000	504886
22000000000	503559
22100000000	504523
22200000000	505517
22300000000	504071
22400000000	505403
22500000000	504912
22600000000	504691
22700000000	504364
22800000000	505413
22900000000	504584
23000000000	504176
23100000000	504540
23200000000	504212
23300000000	504567
23400000000	504807
23500000000	504755
23600000000	503411
23700000000	504052
23800000000	505271
23900000000	504411
24000000000	503427
24100000000	504756
24200000000	503833
24300000000	503207
24400000000	504889
24500000000	505633
24600000000	503987
24700000000	505114
24800000000	502239
24900000000	504629
25000000000	504570
25100000000	504204
25200000000	503362
25300000000	503680
25400000000	503029
25500000000	503937
25600000000	503396
25700000000	503514
25800000000	502572
25900000000	502057
26000000000	502721
26100000000	502838
26200000000	503593
26300000000	502250
26400000000	503043
26500000000	503076
26600000000	502417
26700000000	502535
26800000000	501742
26900000000	502343
27000000000	501892
27100000000	502219
27200000000	502151
27300000000	502370
27400000000	502160
27500000000	501028
27600000000	502673
27700000000	502646
27800000000	502058
27900000000	501838
28000000000	502715
28100000000	502562
28200000000	500504
28300000000	501677
28400000000	502343
28500000000	501605
28600000000	502268
28700000000	501224
28800000000	501066
28900000000	501683
29000000000	502032
29100000000	502205
29200000000	501037
29300000000	501778
29400000000	502729
29500000000	501660
29600000000	501768
29700000000	501133
29800000000	502521
29900000000	501604
30000000000	502784
30100000000	501810
30200000000	502979
30300000000	500951
30400000000	501802
30500000000	500704
30600000000	501704
30700000000	500136
30800000000	501528
30900000000	501258
31000000000	501360
31100000000	500690
31200000000	499324
31300000000	501298
31400000000	500836
31500000000	502361
31600000000	500539
31700000000	501048
31800000000	500412
31900000000	502172
32000000000	501778
32100000000	500932
32200000000	501108
32300000000	501581
32400000000	501345
32500000000	500644
32600000000	501250
32700000000	501723
32800000000	502667
32900000000	501394
33000000000	501780
33100000000	502010
33200000000	501431
33300000000	501757
33400000000	502273
33500000000	502004
33600000000	500231
33700000000	502197
33800000000	502059
33900000000	502089
34000000000	501076
34100000000	502029
34200000000	500112
34300000000	501200
34400000000	500436
34500000000	500649
34600000000	501063
34700000000	500833
34800000000	499701
34900000000	502424
35000000000	500359
35100000000	501233
35200000000	500606
35300000000	501197
35400000000	500580
35500000000	501990
35600000000	501467
35700000000	499746
35800000000	500998
35900000000	502318
36000000000	502021
36100000000	500397
36200000000	500725
36300000000	500714
36400000000	500335
36500000000	500006
36600000000	501823
