"Time (ps)"	"Counts per bin"
0	699534
100000000	701549
200000000	701330
300000000	701358
400000000	702281
500000000	699586
600000000	700863
700000000	701094
800000000	701601
900000000	701964
1000000000	703344
1100000000	702198
1200000000	701640
1300000000	702405
1400000000	702146
1500000000	701974
1600000000	702897
1700000000	702273
1800000000	701755
1900000000	702584
2000000000	703191
2100000000	702396
2200000000	703176
2300000000	702162
2400000000	702697
2500000000	702376
2600000000	701960
2700000000	702909
2800000000	702705
2900000000	703767
3000000000	702461
3100000000	701358
3200000000	703117
3300000000	703243
3400000000	702121
3500000000	702737
3600000000	702887
3700000000	703396
3800000000	702499
3900000000	701845
4000000000	702188
4100000000	702364
4200000000	702297
4300000000	704313
4400000000	703939
4500000000	704423
4600000000	702896
4700000000	703670
4800000000	703634
4900000000	703542
5000000000	704705
5100000000	702423
5200000000	703207
5300000000	703751
5400000000	702913
5500000000	703185
5600000000	704966
5700000000	704265
5800000000	702448
5900000000	703209
6000000000	702313
6100000000	702337
6200000000	702691
6300000000	702271
6400000000	704103
6500000000	702831
6600000000	703305
6700000000	702563
6800000000	703170
6900000000	703708
7000000000	704196
7100000000	704312
7200000000	703626
7300000000	704283
7400000000	703247
7500000000	702679
7600000000	703989
7700000000	704962
7800000000	705184
7900000000	703108
8000000000	703227
8100000000	702773
8200000000	705218
8300000000	702313
8400000000	702939
8500000000	704079
8600000000	703307
8700000000	703901
8800000000	703351
8900000000	704210
9000000000	702854
9100000000	702829
9200000000	703672
9300000000	702433
9400000000	703606
9500000000	702532
9600000000	704037
9700000000	703106
9800000000	704005
9900000000	705054
10000000000	703115
10100000000	703255
10200000000	703055
10300000000	703440
10400000000	702741
10500000000	703268
10600000000	702375
10700000000	703659
10800000000	703766
10900000000	702322
11000000000	702419
11100000000	704026
11200000000	703327
11300000000	703173
11400000000	702336
11500000000	702183
11600000000	702348
11700000000	703641
11800000000	702866
11900000000	703533
12000000000	703411
12100000000	701746
12200000000	703661
12300000000	703416
12400000000	701858
12500000000	703717
12600000000	702944
12700000000	702786
12800000000	703476
12900000000	705290
13000000000	702079
13100000000	703804
13200000000	703255
13300000000	703467
13400000000	702772
13500000000	702287
13600000000	701991
13700000000	702944
13800000000	702252
13900000000	703748
14000000000	702100
14100000000	702881
14200000000	701915
14300000000	702841
14400000000	701393
14500000000	702458
14600000000	702845
14700000000	702422
14800000000	703928
14900000000	702049
15000000000	705155
15100000000	702957
15200000000	704156
15300000000	702494
15400000000	702445
15500000000	700372
15600000000	701177
15700000000	701991
15800000000	702556
15900000000	705251
16000000000	704857
16100000000	702843
16200000000	703500
16300000000	701453
16400000000	704699
16500000000	701757
16600000000	703295
16700000000	701424
16800000000	703585
16900000000	702268
17000000000	702944
17100000000	703469
17200000000	703716
17300000000	704198
17400000000	704561
17500000000	702706
17600000000	701916
17700000000	702459
17800000000	703601
17900000000	703258
18000000000	704740
18100000000	704250
18200000000	703991
18300000000	703382
18400000000	703824
18500000000	703704
18600000000	701242
18700000000	704210
18800000000	701628
18900000000	702923
19000000000	701342
19100000000	702447
19200000000	703536
19300000000	703084
19400000000	703382
19500000000	702509
19600000000	700766
19700000000	701629
19800000000	701784
19900000000	701906
20000000000	702450
20100000000	703761
20200000000	703563
20300000000	702099
20400000000	703714
20500000000	704224
20600000000	704063
20700000000	699853
20800000000	703289
20900000000	701908
21000000000	703423
21100000000	703440
21200000000	702903
21300000000	704490
21400000000	702605
21500000000	703997
21600000000	702981
21700000000	702922
21800000000	703450
21900000000	702854
22000000000	702316
22100000000	703310
22200000000	701742
22300000000	703174
22400000000	703191
22500000000	701577
22600000000	701928
22700000000	701693
22800000000	704056
22900000000	702366
23000000000	702700
23100000000	702762
23200000000	700197
23300000000	702017
