"Time (ps)"	"Counts per bin"
0	501677
100000000	503378
200000000	503640
300000000	504172
400000000	503628
500000000	503124
600000000	505549
700000000	503993
800000000	505653
900000000	503946
1000000000	505035
1100000000	504439
1200000000	504351
1300000000	504962
1400000000	505440
1500000000	503615
1600000000	504191
1700000000	504335
1800000000	505663
1900000000	505873
2000000000	505395
2100000000	505418
2200000000	505266
2300000000	504957
2400000000	504895
2500000000	504099
2600000000	505137
2700000000	506024
2800000000	505431
2900000000	505051
3000000000	505387
3100000000	504266
3200000000	504320
3300000000	505018
3400000000	505175
3500000000	503967
3600000000	503974
3700000000	504836
3800000000	503832
3900000000	504468
4000000000	504743
4100000000	504802
4200000000	505126
4300000000	506050
4400000000	505246
4500000000	505243
4600000000	504129
4700000000	504812
4800000000	505024
4900000000	505199
5000000000	505611
5100000000	505702
5200000000	505280
5300000000	505461
5400000000	505326
5500000000	504811
5600000000	503451
5700000000	504629
5800000000	504908
5900000000	505458
6000000000	504063
6100000000	506166
6200000000	504231
6300000000	504410
6400000000	504861
6500000000	504345
6600000000	504616
6700000000	506175
6800000000	504877
6900000000	504871
7000000000	503465
7100000000	504339
7200000000	505317
7300000000	504818
7400000000	504500
7500000000	505697
7600000000	505359
7700000000	504099
7800000000	504790
7900000000	505209
8000000000	504863
8100000000	505245
8200000000	504396
8300000000	504187
8400000000	503727
8500000000	504526
8600000000	505208
8700000000	505166
8800000000	505381
8900000000	503822
9000000000	505753
9100000000	504722
9200000000	504969
9300000000	505101
9400000000	506291
9500000000	503474
9600000000	505004
9700000000	504452
9800000000	505104
9900000000	504236
10000000000	504187
10100000000	504672
10200000000	504698
10300000000	505423
10400000000	504671
10500000000	504862
10600000000	505694
10700000000	506049
10800000000	505193
10900000000	505317
11000000000	504927
11100000000	504713
11200000000	505218
11300000000	504587
11400000000	505144
11500000000	505103
11600000000	505676
11700000000	504776
11800000000	504800
11900000000	505762
12000000000	504153
12100000000	504941
12200000000	505485
12300000000	504576
12400000000	505520
12500000000	504898
12600000000	506070
12700000000	504812
12800000000	503425
12900000000	506079
13000000000	503703
13100000000	505610
13200000000	505160
13300000000	504057
13400000000	504786
13500000000	505614
13600000000	506029
13700000000	503896
13800000000	504992
13900000000	507244
14000000000	504885
14100000000	505329
14200000000	505389
14300000000	504346
14400000000	504566
14500000000	506191
14600000000	504100
14700000000	503985
14800000000	504827
14900000000	506011
15000000000	505095
15100000000	504725
15200000000	506096
15300000000	504915
15400000000	505470
15500000000	504318
15600000000	505245
15700000000	503483
15800000000	506411
15900000000	505275
16000000000	505921
16100000000	504977
16200000000	505381
16300000000	505379
16400000000	505910
16500000000	505852
16600000000	505098
16700000000	505438
16800000000	505597
16900000000	505109
17000000000	504352
17100000000	506374
17200000000	506027
17300000000	504800
17400000000	504669
17500000000	505016
17600000000	504886
17700000000	504965
17800000000	504719
17900000000	504029
18000000000	505399
18100000000	504864
18200000000	506760
18300000000	505423
18400000000	504613
18500000000	504644
18600000000	505672
18700000000	506009
18800000000	503631
18900000000	504135
19000000000	505345
19100000000	505238
19200000000	505677
19300000000	505026
19400000000	504443
19500000000	504494
19600000000	505139
19700000000	506148
19800000000	505712
19900000000	504442
20000000000	504368
20100000000	504752
20200000000	505495
20300000000	503067
20400000000	505856
20500000000	504518
20600000000	505321
20700000000	505216
20800000000	504931
20900000000	504377
21000000000	504850
21100000000	504913
21200000000	505574
21300000000	505255
21400000000	505439
21500000000	504971
21600000000	503894
21700000000	504828
21800000000	504776
21900000000	503550
22000000000	504792
22100000000	505205
22200000000	505960
22300000000	505648
22400000000	505382
22500000000	505154
22600000000	504870
22700000000	505625
22800000000	504720
22900000000	505886
23000000000	505147
23100000000	505860
23200000000	504630
23300000000	505804
23400000000	504569
23500000000	505802
23600000000	505143
23700000000	504266
23800000000	505692
23900000000	505676
24000000000	505551
24100000000	504971
24200000000	504259
24300000000	505066
24400000000	505910
24500000000	504991
24600000000	504096
24700000000	505469
24800000000	505573
24900000000	505490
25000000000	505144
25100000000	504228
25200000000	504394
25300000000	504259
25400000000	503935
25500000000	503626
25600000000	503447
25700000000	503749
25800000000	504507
25900000000	501722
26000000000	502327
26100000000	503075
26200000000	503268
26300000000	503625
26400000000	503349
26500000000	501939
26600000000	503099
26700000000	501706
26800000000	502125
26900000000	503177
27000000000	503800
27100000000	502210
27200000000	502714
27300000000	502497
27400000000	502661
27500000000	502434
27600000000	503683
27700000000	503288
27800000000	502307
27900000000	501713
28000000000	502973
28100000000	501653
28200000000	502209
28300000000	503144
28400000000	502056
28500000000	502723
28600000000	503088
28700000000	502289
28800000000	502695
28900000000	502197
29000000000	501136
29100000000	502887
29200000000	502040
29300000000	503493
29400000000	501503
29500000000	502449
29600000000	502215
29700000000	502346
29800000000	502767
29900000000	501724
30000000000	501706
30100000000	502292
30200000000	502117
30300000000	501745
30400000000	501229
30500000000	501693
30600000000	500853
30700000000	501946
30800000000	502250
30900000000	502310
31000000000	501592
31100000000	501602
31200000000	502136
31300000000	501664
31400000000	501574
31500000000	501668
31600000000	502120
31700000000	502906
31800000000	501285
31900000000	501477
32000000000	502343
32100000000	501996
32200000000	502653
32300000000	502612
32400000000	502290
32500000000	502525
32600000000	500963
32700000000	500711
32800000000	501723
32900000000	501768
33000000000	501246
33100000000	500457
33200000000	501480
33300000000	501513
33400000000	500426
33500000000	501782
33600000000	500650
33700000000	502188
33800000000	502439
33900000000	499929
34000000000	501643
34100000000	502861
34200000000	500780
34300000000	499999
34400000000	502049
34500000000	503188
34600000000	500913
34700000000	501613
34800000000	500769
34900000000	500496
35000000000	502120
35100000000	501613
35200000000	502110
35300000000	502710
35400000000	500686
35500000000	501339
35600000000	502088
35700000000	501689
35800000000	501149
35900000000	500914
36000000000	501810
36100000000	502267
36200000000	501573
36300000000	501689
36400000000	502923
36500000000	501751
36600000000	502888
36700000000	501683
36800000000	501936
36900000000	501845
37000000000	501233
37100000000	501021
37200000000	501644
37300000000	502083
37400000000	500918
37500000000	501627
37600000000	502377
37700000000	501707
37800000000	501922
37900000000	501790
38000000000	501680
38100000000	501589
38200000000	501391
38300000000	501392
38400000000	502755
38500000000	501477
38600000000	501375
38700000000	500661
38800000000	502167
38900000000	501971
39000000000	501706
39100000000	501793
39200000000	502536
39300000000	500375
39400000000	501940
39500000000	501866
39600000000	502462
39700000000	499997
39800000000	500853
39900000000	502333
40000000000	501426
40100000000	500702
40200000000	500804
40300000000	501313
40400000000	500691
40500000000	501247
40600000000	501593
40700000000	499823
40800000000	501871
40900000000	499479
41000000000	501562
41100000000	501497
41200000000	501588
41300000000	500973
41400000000	502170
41500000000	501587
41600000000	501885
41700000000	501200
41800000000	501363
41900000000	501713
42000000000	501238
42100000000	500174
42200000000	502325
42300000000	501794
42400000000	501418
42500000000	501645
42600000000	501239
42700000000	501607
42800000000	500567
42900000000	501728
43000000000	501168
43100000000	501002
43200000000	501687
43300000000	501096
43400000000	501134
43500000000	501018
43600000000	500953
43700000000	501424
43800000000	501497
43900000000	502173
44000000000	500172
44100000000	501377
44200000000	501692
44300000000	500871
44400000000	500359
44500000000	500488
44600000000	501299
44700000000	499409
44800000000	500858
44900000000	501415
45000000000	500767
45100000000	501920
45200000000	502175
45300000000	501227
45400000000	501298
45500000000	500171
45600000000	502609
45700000000	501119
45800000000	501075
45900000000	501131
46000000000	501619
46100000000	501523
46200000000	501268
46300000000	501395
46400000000	500377
46500000000	500588
46600000000	500091
46700000000	500982
46800000000	501093
46900000000	501563
47000000000	501577
47100000000	499691
