"Time (ps)"	"Counts per bin"
0	698541
100000000	699156
200000000	701437
300000000	701108
400000000	700483
500000000	701684
600000000	700994
700000000	703132
800000000	703062
900000000	702472
1000000000	703179
1100000000	702983
1200000000	702123
1300000000	701453
1400000000	701612
1500000000	703104
1600000000	703169
1700000000	702649
1800000000	702192
1900000000	701850
2000000000	701502
2100000000	702001
2200000000	704104
2300000000	703641
2400000000	701722
2500000000	702226
2600000000	702382
2700000000	702768
2800000000	702513
2900000000	702867
3000000000	702884
3100000000	702643
3200000000	703322
3300000000	702068
3400000000	702739
3500000000	703319
3600000000	701947
3700000000	703383
3800000000	703336
3900000000	703808
4000000000	702768
4100000000	702804
4200000000	701274
4300000000	702891
4400000000	703879
4500000000	700816
4600000000	702574
4700000000	702930
4800000000	703366
4900000000	703065
5000000000	703661
5100000000	702112
5200000000	702508
5300000000	703155
5400000000	703126
5500000000	703248
5600000000	702745
5700000000	703232
5800000000	703426
5900000000	703478
6000000000	703245
6100000000	703646
6200000000	703775
6300000000	703336
6400000000	702277
6500000000	703103
6600000000	703258
6700000000	704199
6800000000	702558
6900000000	703061
7000000000	703758
7100000000	703678
7200000000	702797
7300000000	702563
7400000000	702731
7500000000	704102
7600000000	702616
7700000000	703849
7800000000	703348
7900000000	703719
8000000000	703121
8100000000	703279
8200000000	703606
8300000000	702237
8400000000	702005
8500000000	702624
8600000000	703292
8700000000	701300
8800000000	702963
8900000000	703574
9000000000	703151
9100000000	702780
9200000000	703323
9300000000	703552
9400000000	702747
9500000000	702686
9600000000	704442
9700000000	704163
9800000000	704124
9900000000	703130
10000000000	703736
10100000000	703184
10200000000	704263
10300000000	702697
10400000000	702852
10500000000	703502
10600000000	702882
10700000000	702611
10800000000	703816
10900000000	702993
11000000000	702893
11100000000	702568
11200000000	703256
11300000000	703146
11400000000	704573
11500000000	702611
11600000000	704261
11700000000	702504
11800000000	703271
11900000000	702399
12000000000	702118
12100000000	702225
12200000000	704371
12300000000	703176
12400000000	703087
12500000000	702708
12600000000	703445
12700000000	704240
12800000000	703661
12900000000	704316
13000000000	704573
13100000000	704520
13200000000	704031
13300000000	702518
13400000000	704000
13500000000	702940
13600000000	703275
13700000000	702634
13800000000	704517
13900000000	702795
14000000000	703346
14100000000	701983
14200000000	704553
14300000000	702723
14400000000	701707
14500000000	703300
14600000000	704892
14700000000	703363
14800000000	704633
14900000000	701438
15000000000	702726
15100000000	703797
15200000000	703395
15300000000	703616
15400000000	702959
15500000000	704126
15600000000	702248
15700000000	704389
15800000000	703163
15900000000	704333
16000000000	703541
16100000000	702760
16200000000	704036
16300000000	704225
16400000000	705111
16500000000	704195
16600000000	702841
16700000000	703486
16800000000	703950
16900000000	704828
17000000000	704332
17100000000	703801
17200000000	703880
17300000000	702757
17400000000	703099
17500000000	702562
17600000000	702244
17700000000	703033
17800000000	703683
17900000000	704119
18000000000	703633
18100000000	702247
18200000000	703067
18300000000	703610
18400000000	702040
18500000000	703851
18600000000	703767
18700000000	702225
18800000000	705033
18900000000	703040
19000000000	703996
19100000000	702797
19200000000	704518
19300000000	703943
19400000000	704233
19500000000	704751
19600000000	703368
19700000000	703724
19800000000	701853
19900000000	705247
20000000000	703539
20100000000	702989
20200000000	702471
20300000000	703051
20400000000	703177
20500000000	703199
20600000000	702013
20700000000	704132
20800000000	702648
20900000000	702238
21000000000	703125
21100000000	701733
21200000000	702641
21300000000	703051
21400000000	702846
21500000000	702743
21600000000	704654
21700000000	703123
21800000000	702403
21900000000	702281
22000000000	702803
22100000000	702286
22200000000	703529
22300000000	704191
22400000000	703335
22500000000	704292
22600000000	703298
22700000000	703867
22800000000	703810
22900000000	702445
23000000000	704663
23100000000	702397
23200000000	703509
23300000000	705863
23400000000	703397
23500000000	703310
23600000000	703846
23700000000	703230
23800000000	702790
23900000000	704341
24000000000	702809
24100000000	704021
24200000000	703704
24300000000	703254
24400000000	703577
24500000000	702521
24600000000	703588
24700000000	703247
24800000000	704187
24900000000	703294
25000000000	701565
25100000000	701006
25200000000	701806
25300000000	700956
25400000000	701412
25500000000	699028
25600000000	700010
25700000000	700834
25800000000	700162
25900000000	700404
26000000000	699641
26100000000	700677
26200000000	697611
26300000000	700487
26400000000	700958
26500000000	698988
26600000000	700317
26700000000	700790
26800000000	699765
26900000000	700140
27000000000	698985
27100000000	699158
27200000000	699657
27300000000	699224
27400000000	699000
27500000000	698153
27600000000	698865
27700000000	699289
27800000000	698750
27900000000	699433
28000000000	699391
28100000000	698237
28200000000	697674
28300000000	699164
28400000000	697225
28500000000	697899
28600000000	696984
28700000000	699406
28800000000	697402
28900000000	696859
29000000000	697003
29100000000	696847
29200000000	697766
29300000000	697642
29400000000	698811
29500000000	696144
29600000000	698411
29700000000	699133
29800000000	698251
29900000000	698095
30000000000	697986
30100000000	697791
30200000000	699164
30300000000	697990
30400000000	698535
30500000000	698377
30600000000	696675
30700000000	698117
30800000000	698211
30900000000	698405
31000000000	696928
