"Time (ps)"	"Counts per bin"
0	550131
100000000	552999
200000000	553574
300000000	552862
400000000	553802
500000000	554069
600000000	552823
700000000	553920
800000000	554311
900000000	555187
1000000000	552269
1100000000	553834
1200000000	553504
1300000000	554516
1400000000	553697
1500000000	553244
1600000000	553694
1700000000	554195
1800000000	553184
1900000000	553868
2000000000	553639
2100000000	554635
2200000000	553435
2300000000	553649
2400000000	554709
2500000000	553511
2600000000	554645
2700000000	554922
2800000000	552602
2900000000	553837
3000000000	554671
3100000000	554007
3200000000	553911
3300000000	553551
3400000000	553960
3500000000	555048
3600000000	554185
3700000000	553621
3800000000	554670
3900000000	554231
4000000000	554114
4100000000	554089
4200000000	553472
4300000000	554656
4400000000	554791
4500000000	553796
4600000000	555573
4700000000	553514
4800000000	554925
4900000000	554956
5000000000	554963
5100000000	553820
5200000000	553927
5300000000	553327
5400000000	553193
5500000000	554003
5600000000	553913
5700000000	554974
5800000000	554233
5900000000	553613
6000000000	554619
6100000000	554854
6200000000	555611
6300000000	553459
6400000000	553823
6500000000	554335
6600000000	554480
6700000000	554769
6800000000	553908
6900000000	554363
7000000000	554503
7100000000	554907
7200000000	554249
7300000000	553318
7400000000	554469
7500000000	554105
7600000000	556221
7700000000	555030
7800000000	554802
7900000000	552883
8000000000	555231
8100000000	554451
8200000000	553773
8300000000	554919
8400000000	554958
8500000000	554686
8600000000	555994
8700000000	554514
8800000000	554103
8900000000	554565
9000000000	554942
9100000000	554877
9200000000	554006
9300000000	553979
9400000000	554862
9500000000	555314
9600000000	554214
9700000000	556930
9800000000	554339
9900000000	554767
10000000000	554479
10100000000	554279
10200000000	554659
10300000000	554482
10400000000	555028
10500000000	554434
10600000000	554545
10700000000	555156
10800000000	554997
10900000000	554596
11000000000	555535
11100000000	554635
11200000000	555467
11300000000	554993
11400000000	555252
11500000000	555545
11600000000	554570
11700000000	555237
11800000000	555463
11900000000	556590
12000000000	554788
12100000000	554469
12200000000	555063
12300000000	555252
12400000000	554277
12500000000	553917
12600000000	554096
12700000000	554220
12800000000	554963
12900000000	553639
13000000000	553689
13100000000	554046
13200000000	554390
13300000000	554482
13400000000	554997
13500000000	555672
13600000000	555135
13700000000	554009
13800000000	554578
13900000000	555565
14000000000	555388
14100000000	555358
14200000000	554994
14300000000	554816
14400000000	555732
14500000000	555275
14600000000	554846
14700000000	554220
14800000000	555412
14900000000	555006
15000000000	554714
15100000000	555075
15200000000	553778
15300000000	554586
15400000000	554899
15500000000	554499
15600000000	555197
15700000000	554927
15800000000	554864
15900000000	554800
16000000000	554699
16100000000	554109
16200000000	554705
16300000000	555602
16400000000	555835
16500000000	554454
16600000000	555337
16700000000	555961
16800000000	555732
16900000000	555664
17000000000	554409
17100000000	556027
17200000000	554330
17300000000	555339
17400000000	555682
17500000000	554522
17600000000	555087
17700000000	554673
17800000000	554932
17900000000	555646
18000000000	555310
18100000000	554090
18200000000	555658
18300000000	555162
18400000000	555456
18500000000	554904
18600000000	554996
18700000000	555335
18800000000	555201
18900000000	555103
19000000000	555278
19100000000	554986
19200000000	554800
19300000000	554799
19400000000	555132
19500000000	555713
19600000000	554110
19700000000	555069
19800000000	555287
19900000000	554307
20000000000	554806
20100000000	554365
20200000000	554682
20300000000	554666
20400000000	553007
20500000000	554220
20600000000	554380
20700000000	554222
20800000000	555196
20900000000	554671
21000000000	555330
21100000000	555523
21200000000	554750
21300000000	555437
21400000000	555946
21500000000	554598
21600000000	555443
21700000000	556187
21800000000	554753
21900000000	554335
22000000000	554518
22100000000	554550
22200000000	556257
22300000000	555185
22400000000	555284
22500000000	555013
22600000000	556044
22700000000	555035
22800000000	555691
22900000000	554642
23000000000	554789
23100000000	554501
23200000000	554461
23300000000	555701
23400000000	555381
23500000000	554940
23600000000	555133
23700000000	555063
23800000000	554661
23900000000	555230
24000000000	554045
24100000000	555250
24200000000	555298
24300000000	555824
24400000000	555205
24500000000	554758
24600000000	554558
24700000000	555213
24800000000	554274
24900000000	556158
25000000000	553971
25100000000	554954
25200000000	552857
25300000000	552017
25400000000	550879
25500000000	552983
25600000000	553997
25700000000	552676
25800000000	552118
25900000000	551761
26000000000	551060
26100000000	551363
26200000000	550262
26300000000	552038
26400000000	551647
26500000000	550950
26600000000	550761
26700000000	552550
26800000000	549875
26900000000	551907
27000000000	551033
27100000000	551385
27200000000	550965
27300000000	550725
27400000000	550538
27500000000	550848
27600000000	550497
27700000000	550440
27800000000	550793
27900000000	550917
28000000000	550980
28100000000	551110
28200000000	550890
28300000000	550618
28400000000	550206
28500000000	548665
28600000000	550459
28700000000	550400
28800000000	548312
28900000000	549747
29000000000	550114
29100000000	551446
29200000000	550789
29300000000	550185
29400000000	549958
29500000000	550698
29600000000	548820
29700000000	550004
29800000000	548319
29900000000	548904
30000000000	549492
30100000000	548832
30200000000	549562
30300000000	549349
30400000000	548302
30500000000	549387
30600000000	549206
30700000000	550563
30800000000	550465
30900000000	550415
31000000000	549306
31100000000	549769
31200000000	549170
31300000000	549515
31400000000	549394
31500000000	548994
31600000000	550323
31700000000	549772
31800000000	549345
31900000000	550212
32000000000	549483
32100000000	549746
32200000000	550273
32300000000	547522
32400000000	549759
32500000000	548438
32600000000	549811
32700000000	549698
32800000000	549336
32900000000	548852
33000000000	549248
33100000000	549847
33200000000	550168
33300000000	548687
33400000000	548058
33500000000	548193
33600000000	549325
33700000000	548377
33800000000	549073
33900000000	549586
34000000000	547987
34100000000	549275
34200000000	549403
34300000000	550806
34400000000	547761
34500000000	549255
34600000000	550063
34700000000	549186
34800000000	549138
34900000000	548660
35000000000	547702
35100000000	549110
35200000000	547535
35300000000	548175
35400000000	549081
35500000000	548643
35600000000	548321
35700000000	548236
35800000000	548640
35900000000	549143
36000000000	549695
36100000000	548792
36200000000	548602
36300000000	548141
36400000000	548547
36500000000	547809
36600000000	548772
36700000000	549267
36800000000	548553
36900000000	548875
37000000000	550511
37100000000	548656
37200000000	548321
37300000000	547189
37400000000	548980
37500000000	548653
37600000000	548769
37700000000	549112
37800000000	548211
37900000000	548992
38000000000	549626
38100000000	549618
38200000000	547666
38300000000	548229
38400000000	548847
38500000000	548430
38600000000	548948
38700000000	548655
38800000000	548794
38900000000	547458
39000000000	547953
39100000000	548154
39200000000	549054
39300000000	549275
39400000000	546913
39500000000	547861
39600000000	548015
39700000000	547015
39800000000	548643
39900000000	547757
40000000000	547306
40100000000	548127
40200000000	549518
40300000000	547936
40400000000	548420
40500000000	547284
40600000000	547975
40700000000	547860
40800000000	547071
40900000000	548049
41000000000	549218
41100000000	548587
41200000000	548021
41300000000	548509
41400000000	548218
41500000000	548839
41600000000	547358
41700000000	548626
41800000000	549189
41900000000	548252
42000000000	547594
42100000000	548981
42200000000	547719
42300000000	548746
42400000000	549066
42500000000	547594
42600000000	549013
42700000000	547557
42800000000	548820
42900000000	547504
43000000000	548723
43100000000	548217
43200000000	547758
43300000000	548643
43400000000	546752
43500000000	548753
43600000000	547409
43700000000	548631
43800000000	548814
43900000000	548221
44000000000	548081
44100000000	548068
44200000000	549398
44300000000	547744
44400000000	547416
44500000000	547571
44600000000	548788
44700000000	548055
44800000000	548498
44900000000	547577
45000000000	546879
45100000000	547487
45200000000	547904
45300000000	546489
45400000000	547561
45500000000	547276
45600000000	547958
45700000000	549201
45800000000	546847
45900000000	547657
46000000000	548368
46100000000	548936
46200000000	548566
46300000000	548297
46400000000	547124
46500000000	548625
46600000000	547131
46700000000	547621
46800000000	546139
46900000000	547360
47000000000	547558
47100000000	547522
47200000000	547713
47300000000	547491
47400000000	545601
47500000000	546349
47600000000	547776
47700000000	547643
47800000000	547770
47900000000	546929
48000000000	546087
48100000000	546911
48200000000	547170
48300000000	546761
48400000000	547279
48500000000	548012
48600000000	547521
48700000000	546970
48800000000	547825
48900000000	546341
49000000000	546920
49100000000	547453
49200000000	546982
49300000000	546796
49400000000	546157
49500000000	547077
49600000000	547234
49700000000	548010
49800000000	547594
49900000000	547628
50000000000	549664
50100000000	552419
50200000000	553370
50300000000	552551
50400000000	553129
50500000000	554055
50600000000	552475
50700000000	553690
50800000000	553842
50900000000	555025
51000000000	552110
51100000000	553450
51200000000	553226
51300000000	554102
51400000000	553246
51500000000	553083
51600000000	553222
51700000000	553950
51800000000	552958
51900000000	553234
52000000000	553314
52100000000	554503
52200000000	553129
52300000000	553317
52400000000	554372
52500000000	553135
52600000000	554579
52700000000	554305
52800000000	552503
52900000000	553408
53000000000	554146
53100000000	553938
53200000000	553470
53300000000	553152
53400000000	553763
53500000000	554737
53600000000	553843
53700000000	553299
53800000000	554347
53900000000	553949
54000000000	553742
54100000000	553876
54200000000	553071
54300000000	554371
54400000000	554417
54500000000	553386
54600000000	555228
54700000000	553382
54800000000	554530
54900000000	554654
55000000000	554520
55100000000	553853
55200000000	553389
55300000000	553028
55400000000	552746
55500000000	553776
55600000000	553667
