"Time (ps)"	"Counts per bin"
0	497170
100000000	499568
200000000	500393
300000000	501211
400000000	501425
500000000	502240
600000000	501427
700000000	501354
800000000	500979
900000000	501422
1000000000	500842
1100000000	501093
1200000000	502219
1300000000	502168
1400000000	501948
1500000000	501664
1600000000	502672
1700000000	502468
1800000000	501464
1900000000	502178
2000000000	501671
2100000000	502699
2200000000	501813
2300000000	502089
2400000000	501789
2500000000	501761
2600000000	502033
2700000000	503008
2800000000	502142
2900000000	501907
3000000000	502315
3100000000	502515
3200000000	502379
3300000000	502769
3400000000	502522
3500000000	502514
3600000000	502300
3700000000	502293
3800000000	502450
3900000000	501422
4000000000	502336
4100000000	502686
4200000000	503163
4300000000	501732
4400000000	501994
4500000000	502196
4600000000	503543
4700000000	503458
4800000000	503069
4900000000	502476
5000000000	503632
5100000000	503971
5200000000	501656
5300000000	502282
5400000000	503819
5500000000	502980
5600000000	503018
5700000000	502849
5800000000	502305
5900000000	502854
6000000000	502314
6100000000	501650
6200000000	503466
6300000000	502670
6400000000	502973
6500000000	502439
6600000000	502733
6700000000	503618
6800000000	501982
6900000000	502641
7000000000	502186
7100000000	502524
7200000000	503291
7300000000	503760
7400000000	502575
7500000000	504310
7600000000	503558
7700000000	503470
7800000000	502781
7900000000	502597
8000000000	502562
8100000000	502798
8200000000	502603
8300000000	502566
8400000000	503835
8500000000	502702
8600000000	501674
8700000000	503207
8800000000	502681
8900000000	503392
9000000000	503269
9100000000	502512
9200000000	502236
9300000000	503003
9400000000	504213
9500000000	501980
9600000000	503783
9700000000	502470
9800000000	502608
9900000000	502427
10000000000	502800
10100000000	503404
10200000000	503674
10300000000	503207
10400000000	503163
10500000000	503357
10600000000	503800
10700000000	502511
10800000000	503708
10900000000	503263
11000000000	503394
11100000000	502301
11200000000	503093
11300000000	502091
11400000000	502723
11500000000	502374
11600000000	502170
11700000000	502184
11800000000	503797
11900000000	502966
12000000000	502896
12100000000	503802
12200000000	502732
12300000000	503235
12400000000	504448
12500000000	502897
12600000000	503558
12700000000	503075
12800000000	504063
12900000000	502841
13000000000	502654
13100000000	503870
13200000000	502214
13300000000	502126
13400000000	501847
13500000000	503463
13600000000	503128
13700000000	502820
13800000000	503221
13900000000	503806
14000000000	503267
14100000000	503231
14200000000	503099
14300000000	502606
