"Time (ps)"	"Counts per bin"
0	501954
100000000	500696
200000000	502228
300000000	503099
400000000	502369
500000000	502230
600000000	503387
700000000	502847
800000000	502866
900000000	503005
1000000000	503376
1100000000	503577
1200000000	503026
1300000000	503135
1400000000	503202
1500000000	503691
1600000000	503475
1700000000	502935
1800000000	503841
1900000000	504015
2000000000	502583
2100000000	503360
2200000000	502491
2300000000	504370
2400000000	502630
2500000000	503190
2600000000	504204
2700000000	503097
2800000000	502981
2900000000	504487
3000000000	503731
3100000000	504153
3200000000	503971
3300000000	503831
3400000000	503663
3500000000	504203
3600000000	503369
3700000000	503274
3800000000	503868
3900000000	503355
4000000000	503377
4100000000	504221
4200000000	503120
4300000000	504640
4400000000	503290
4500000000	503511
4600000000	502249
4700000000	503962
4800000000	503744
4900000000	504013
5000000000	504507
5100000000	504111
5200000000	503909
5300000000	504945
5400000000	502902
5500000000	505015
5600000000	503568
5700000000	504257
5800000000	504896
5900000000	505308
6000000000	502498
6100000000	503260
6200000000	503231
6300000000	503814
6400000000	503380
6500000000	504273
6600000000	503709
6700000000	504633
6800000000	504092
6900000000	503434
7000000000	504888
7100000000	504240
7200000000	503490
7300000000	505216
7400000000	503504
7500000000	503600
7600000000	504623
7700000000	505335
7800000000	503493
7900000000	503321
8000000000	505066
8100000000	504358
8200000000	504060
8300000000	504664
8400000000	503575
8500000000	503157
8600000000	504181
8700000000	503390
8800000000	505335
8900000000	504853
9000000000	503858
9100000000	503233
9200000000	504316
9300000000	503228
9400000000	504090
9500000000	504556
9600000000	505328
9700000000	503747
9800000000	503631
9900000000	504811
10000000000	504136
10100000000	505716
10200000000	503014
10300000000	504702
10400000000	503733
10500000000	505482
10600000000	504513
10700000000	504790
10800000000	504366
10900000000	503933
11000000000	505426
11100000000	505208
11200000000	504562
11300000000	504424
11400000000	504577
11500000000	504553
11600000000	504075
11700000000	504967
11800000000	504337
11900000000	504845
12000000000	504139
12100000000	503077
12200000000	503474
12300000000	504705
12400000000	505333
12500000000	504763
12600000000	504730
12700000000	504544
12800000000	505649
12900000000	503630
13000000000	503661
13100000000	504308
13200000000	504590
13300000000	505733
13400000000	504665
13500000000	505212
13600000000	504961
13700000000	503914
13800000000	504627
13900000000	504689
14000000000	505556
14100000000	503693
14200000000	504439
14300000000	502890
14400000000	504723
14500000000	503366
