"Time (ps)"	"Counts per bin"
0	498937
100000000	501724
200000000	501684
300000000	502448
400000000	502644
500000000	502135
600000000	502357
700000000	503733
800000000	503631
900000000	502778
1000000000	503011
1100000000	502980
1200000000	502192
1300000000	503742
1400000000	503238
1500000000	502717
1600000000	503042
1700000000	502131
1800000000	503247
1900000000	502771
2000000000	503409
2100000000	503978
2200000000	503177
2300000000	503865
2400000000	502313
2500000000	503444
2600000000	503528
2700000000	503752
2800000000	502647
2900000000	504078
3000000000	503315
3100000000	503178
3200000000	502264
3300000000	502722
3400000000	502689
3500000000	502014
3600000000	503654
3700000000	503174
3800000000	502886
3900000000	503692
4000000000	503716
4100000000	503962
4200000000	503664
4300000000	503542
4400000000	503317
4500000000	505709
4600000000	503024
4700000000	503395
4800000000	503318
4900000000	503808
5000000000	503981
5100000000	504320
5200000000	502301
5300000000	504686
5400000000	503404
5500000000	503237
5600000000	503839
5700000000	503390
5800000000	502656
5900000000	504752
6000000000	503499
6100000000	505079
6200000000	503952
6300000000	503828
6400000000	503526
6500000000	503856
6600000000	504992
6700000000	504274
6800000000	504868
6900000000	503703
7000000000	504295
7100000000	504088
7200000000	502760
7300000000	503776
7400000000	504330
7500000000	504210
7600000000	504253
7700000000	504388
7800000000	503277
7900000000	503865
8000000000	503675
8100000000	504177
8200000000	505066
8300000000	502938
8400000000	503809
8500000000	503325
8600000000	503981
8700000000	504330
8800000000	504271
8900000000	503495
9000000000	504341
9100000000	504962
9200000000	504290
9300000000	504075
9400000000	504468
9500000000	504243
9600000000	504205
9700000000	503613
9800000000	503752
9900000000	503957
10000000000	504018
10100000000	503952
10200000000	504060
10300000000	503704
10400000000	504741
10500000000	503085
10600000000	504225
10700000000	504629
10800000000	503876
10900000000	504495
11000000000	504086
11100000000	504071
11200000000	503372
11300000000	505106
11400000000	504696
11500000000	503286
11600000000	504040
11700000000	503327
11800000000	504015
11900000000	503898
12000000000	504622
12100000000	504120
12200000000	505009
12300000000	503759
12400000000	503476
12500000000	504103
12600000000	504287
12700000000	504674
12800000000	503574
12900000000	504831
13000000000	504087
13100000000	505442
13200000000	504471
13300000000	503828
13400000000	503422
13500000000	504059
13600000000	504581
13700000000	505269
13800000000	504633
13900000000	503423
14000000000	503933
14100000000	504008
14200000000	503871
14300000000	504670
14400000000	503715
14500000000	503224
14600000000	504038
14700000000	504373
14800000000	503289
14900000000	504632
15000000000	504759
15100000000	504624
15200000000	504692
15300000000	504999
15400000000	503899
15500000000	504153
15600000000	504611
15700000000	504598
15800000000	504204
15900000000	503757
16000000000	504262
16100000000	504789
16200000000	504770
16300000000	504537
16400000000	504472
16500000000	504563
16600000000	505235
16700000000	505006
16800000000	505024
16900000000	502773
17000000000	503016
17100000000	504543
17200000000	505464
17300000000	504450
17400000000	504079
17500000000	503760
17600000000	504954
17700000000	504529
17800000000	504635
17900000000	505168
18000000000	505306
18100000000	504286
18200000000	503944
18300000000	505234
18400000000	505116
18500000000	504946
18600000000	505334
18700000000	504455
18800000000	504168
18900000000	505000
19000000000	504202
19100000000	503135
19200000000	505130
19300000000	503512
19400000000	504468
19500000000	505364
19600000000	504267
19700000000	504533
19800000000	505044
19900000000	503973
20000000000	506279
20100000000	502637
20200000000	503981
20300000000	504475
20400000000	504768
20500000000	504553
20600000000	504634
20700000000	505335
20800000000	503766
20900000000	504927
21000000000	505281
21100000000	503524
21200000000	505070
21300000000	504702
21400000000	504357
21500000000	505156
21600000000	504633
21700000000	503854
21800000000	504586
21900000000	504490
22000000000	504765
22100000000	505056
22200000000	505619
22300000000	504587
22400000000	504790
22500000000	505525
22600000000	504144
22700000000	504497
22800000000	504441
22900000000	505168
23000000000	503232
23100000000	504693
23200000000	504815
23300000000	504560
23400000000	504736
23500000000	504011
23600000000	504383
23700000000	504262
23800000000	505785
23900000000	506497
24000000000	504005
24100000000	504597
24200000000	504263
24300000000	503773
24400000000	505478
24500000000	504364
24600000000	504360
24700000000	504341
24800000000	504218
24900000000	504482
25000000000	505120
25100000000	503536
25200000000	502923
25300000000	501348
25400000000	502899
25500000000	502163
25600000000	501712
25700000000	501785
25800000000	501275
25900000000	502062
26000000000	501241
26100000000	500988
26200000000	501627
26300000000	501083
26400000000	500303
26500000000	501271
26600000000	503176
26700000000	500964
26800000000	501507
26900000000	500742
27000000000	499963
27100000000	500852
27200000000	500061
27300000000	501029
27400000000	500207
27500000000	500563
27600000000	499136
27700000000	499176
27800000000	500708
27900000000	500314
28000000000	500755
28100000000	500631
28200000000	500362
28300000000	500810
28400000000	499121
28500000000	499237
28600000000	499453
28700000000	499726
28800000000	500141
28900000000	500538
29000000000	500017
29100000000	499732
29200000000	499979
29300000000	499958
29400000000	499475
29500000000	498514
29600000000	499856
29700000000	498877
29800000000	498535
29900000000	498962
30000000000	499442
30100000000	499669
30200000000	498671
30300000000	499308
30400000000	499366
30500000000	498496
30600000000	498514
30700000000	499467
30800000000	500485
30900000000	499793
31000000000	497557
31100000000	498060
31200000000	498966
31300000000	499840
31400000000	499658
31500000000	497529
31600000000	498254
31700000000	497969
31800000000	498951
31900000000	499421
32000000000	499102
32100000000	499114
32200000000	498709
32300000000	499706
32400000000	498945
32500000000	498589
32600000000	500344
32700000000	498481
32800000000	499047
32900000000	498900
33000000000	498283
33100000000	498772
33200000000	498355
33300000000	499521
33400000000	497523
33500000000	498278
33600000000	498226
33700000000	498314
33800000000	498875
33900000000	498008
34000000000	497740
34100000000	498520
34200000000	497593
34300000000	498116
34400000000	498040
34500000000	497802
34600000000	497687
34700000000	498560
34800000000	498138
34900000000	499250
35000000000	498318
35100000000	498078
35200000000	497619
35300000000	497794
35400000000	497964
35500000000	497320
35600000000	497594
35700000000	498465
35800000000	497371
35900000000	498038
36000000000	498124
36100000000	498452
36200000000	498055
36300000000	496782
36400000000	497331
36500000000	498372
36600000000	497576
36700000000	498105
36800000000	498518
36900000000	498798
37000000000	497236
37100000000	497873
37200000000	497446
37300000000	499011
37400000000	498292
37500000000	497480
37600000000	497835
37700000000	497035
37800000000	497921
37900000000	498044
38000000000	498406
38100000000	497764
38200000000	497098
38300000000	497965
38400000000	496666
38500000000	498256
38600000000	497047
38700000000	497172
38800000000	496922
38900000000	498637
39000000000	498897
39100000000	498036
39200000000	497155
39300000000	497595
39400000000	496730
39500000000	498052
39600000000	497108
39700000000	496880
39800000000	496595
39900000000	497077
40000000000	497404
40100000000	497829
40200000000	496520
40300000000	497572
40400000000	497223
40500000000	497176
40600000000	496348
40700000000	497458
40800000000	497403
40900000000	498150
41000000000	497204
41100000000	497032
41200000000	498361
41300000000	497936
41400000000	496538
41500000000	497356
41600000000	497582
41700000000	496388
41800000000	497067
41900000000	496139
42000000000	496537
42100000000	498133
42200000000	496667
42300000000	497974
42400000000	496510
42500000000	496769
42600000000	497053
42700000000	496758
42800000000	496696
42900000000	498597
43000000000	497376
43100000000	497023
43200000000	497233
43300000000	497809
43400000000	497741
43500000000	497369
43600000000	496927
43700000000	496380
43800000000	497528
43900000000	497726
44000000000	497391
44100000000	496441
44200000000	497745
44300000000	496696
44400000000	497941
44500000000	496859
44600000000	496591
44700000000	497858
44800000000	498090
44900000000	496045
45000000000	497388
45100000000	497600
45200000000	496973
45300000000	496906
45400000000	497759
45500000000	497694
45600000000	497584
45700000000	497109
45800000000	495596
45900000000	497316
46000000000	496504
46100000000	497055
46200000000	496970
46300000000	498202
46400000000	497386
46500000000	495893
46600000000	497961
46700000000	497551
46800000000	497602
46900000000	496501
47000000000	498078
47100000000	496813
47200000000	497697
47300000000	496918
47400000000	496630
47500000000	497840
47600000000	498188
47700000000	496864
47800000000	496794
47900000000	496732
48000000000	496931
48100000000	496826
48200000000	497548
48300000000	497399
48400000000	496481
48500000000	496912
48600000000	496271
48700000000	497008
48800000000	497132
48900000000	496352
49000000000	497223
49100000000	497544
49200000000	497254
49300000000	497518
49400000000	497579
49500000000	497014
49600000000	496425
49700000000	497053
49800000000	497266
49900000000	497394
50000000000	498488
50100000000	501417
50200000000	501388
50300000000	502030
50400000000	502149
50500000000	501914
50600000000	501688
50700000000	503558
50800000000	503308
50900000000	502311
51000000000	502735
51100000000	502520
51200000000	502076
51300000000	503196
51400000000	502859
51500000000	502339
51600000000	502638
51700000000	501967
51800000000	502739
51900000000	502447
52000000000	502944
52100000000	503606
52200000000	502743
52300000000	503360
52400000000	502300
52500000000	502928
52600000000	503362
52700000000	502944
52800000000	502443
52900000000	503695
53000000000	502944
53100000000	502644
53200000000	502037
53300000000	502308
53400000000	502383
53500000000	501591
53600000000	503341
53700000000	502594
53800000000	502743
53900000000	503137
54000000000	503483
54100000000	503585
54200000000	503178
54300000000	503342
54400000000	503022
54500000000	505039
54600000000	502793
54700000000	502819
54800000000	503258
54900000000	503309
55000000000	503661
55100000000	503994
55200000000	501722
55300000000	504223
55400000000	503146
55500000000	502869
55600000000	503405
55700000000	502969
55800000000	502399
55900000000	504260
56000000000	503294
56100000000	504510
56200000000	503691
56300000000	503533
56400000000	503054
56500000000	503575
56600000000	504443
56700000000	504074
56800000000	504451
56900000000	503478
57000000000	503777
57100000000	503721
57200000000	502486
57300000000	503283
57400000000	503767
57500000000	503884
57600000000	504048
57700000000	503943
57800000000	502908
57900000000	503574
58000000000	503268
58100000000	503716
58200000000	504660
58300000000	502719
58400000000	503482
58500000000	502873
58600000000	503703
58700000000	504045
58800000000	503824
58900000000	503088
59000000000	504053
59100000000	504431
59200000000	503967
59300000000	503582
59400000000	504251
59500000000	503848
59600000000	503725
59700000000	503365
59800000000	503330
59900000000	503637
60000000000	503634
60100000000	503538
60200000000	503632
60300000000	503586
60400000000	504264
60500000000	502827
60600000000	503616
60700000000	504198
60800000000	503610
60900000000	504237
61000000000	503769
61100000000	503686
61200000000	502787
61300000000	504736
61400000000	504416
61500000000	503199
61600000000	503322
61700000000	502914
61800000000	503680
61900000000	503516
62000000000	504314
62100000000	503838
62200000000	504349
62300000000	503441
62400000000	503207
62500000000	503727
62600000000	503995
62700000000	504256
62800000000	503206
62900000000	504460
63000000000	503554
63100000000	505274
63200000000	504042
63300000000	503386
63400000000	502972
63500000000	503817
63600000000	504033
63700000000	504965
63800000000	504379
63900000000	503114
64000000000	503600
64100000000	503652
64200000000	503391
64300000000	504221
64400000000	503392
64500000000	502851
64600000000	503757
