"Time (ps)"	"Counts per bin"
0	504245
100000000	505799
200000000	506729
300000000	506785
400000000	506032
500000000	507155
600000000	506577
700000000	506880
800000000	506383
900000000	507231
1000000000	507575
1100000000	506530
1200000000	505730
1300000000	507327
1400000000	506199
1500000000	506588
1600000000	506328
1700000000	506771
1800000000	508273
1900000000	507133
2000000000	507254
2100000000	506531
2200000000	506592
2300000000	507508
2400000000	507708
2500000000	507647
2600000000	506618
2700000000	506362
2800000000	507982
2900000000	508002
3000000000	506295
3100000000	507125
3200000000	508475
3300000000	507676
3400000000	507102
3500000000	507070
3600000000	507523
3700000000	508050
3800000000	506083
3900000000	506567
4000000000	505767
4100000000	507183
4200000000	507118
4300000000	508057
4400000000	505650
4500000000	506585
4600000000	508373
4700000000	506235
4800000000	506638
4900000000	508028
5000000000	506901
5100000000	508360
5200000000	509080
5300000000	506402
5400000000	507239
5500000000	506562
5600000000	506999
5700000000	508283
5800000000	508086
5900000000	507794
6000000000	507891
6100000000	508265
6200000000	507023
6300000000	507234
6400000000	507837
6500000000	507187
6600000000	508003
6700000000	507105
6800000000	508051
6900000000	508098
7000000000	506274
7100000000	506689
7200000000	507503
7300000000	507351
7400000000	508402
7500000000	507413
7600000000	507761
7700000000	507273
7800000000	507656
7900000000	506576
8000000000	508200
8100000000	507009
8200000000	506541
8300000000	506373
8400000000	506528
8500000000	507388
8600000000	507913
8700000000	507455
8800000000	507244
8900000000	507118
9000000000	506807
9100000000	508031
9200000000	508631
9300000000	506936
9400000000	508572
9500000000	507568
9600000000	506867
9700000000	508099
9800000000	507073
9900000000	507687
10000000000	507917
10100000000	506946
10200000000	507334
10300000000	507630
10400000000	506600
10500000000	506481
10600000000	507602
10700000000	508311
10800000000	507147
10900000000	506925
11000000000	506688
11100000000	506934
11200000000	508209
11300000000	508075
11400000000	507440
11500000000	508474
11600000000	507894
11700000000	507302
11800000000	507019
11900000000	506551
12000000000	505882
12100000000	508764
12200000000	507325
12300000000	507391
12400000000	507234
12500000000	507358
12600000000	506894
12700000000	507424
12800000000	507435
12900000000	508912
13000000000	508722
13100000000	507918
13200000000	507750
13300000000	506369
13400000000	507821
13500000000	507458
13600000000	508028
13700000000	507995
13800000000	507609
13900000000	507521
14000000000	507471
14100000000	507321
14200000000	507885
14300000000	507915
14400000000	509192
14500000000	507575
14600000000	507081
14700000000	508492
14800000000	507653
14900000000	506433
15000000000	507613
15100000000	507793
15200000000	507796
15300000000	507397
15400000000	508694
15500000000	508157
15600000000	506475
15700000000	507404
15800000000	508140
15900000000	508516
16000000000	509065
16100000000	508396
16200000000	506995
16300000000	506862
16400000000	507120
16500000000	508062
16600000000	508500
16700000000	508317
16800000000	508031
16900000000	507318
17000000000	506924
17100000000	506999
17200000000	507965
17300000000	507370
17400000000	508564
17500000000	507645
17600000000	508392
17700000000	507578
17800000000	508337
17900000000	508540
18000000000	508612
18100000000	505935
18200000000	508234
18300000000	506909
18400000000	506599
18500000000	507367
18600000000	507982
18700000000	507555
18800000000	506704
18900000000	507527
19000000000	508015
19100000000	507267
19200000000	507820
19300000000	508607
19400000000	507770
19500000000	506811
19600000000	508660
19700000000	507000
19800000000	508012
19900000000	506463
20000000000	507831
20100000000	508299
20200000000	508450
20300000000	507792
20400000000	506790
20500000000	508679
20600000000	507750
20700000000	509181
20800000000	508073
20900000000	508768
21000000000	507982
21100000000	507646
21200000000	507979
21300000000	507412
21400000000	507756
21500000000	508927
21600000000	507278
21700000000	508972
21800000000	508728
21900000000	507446
22000000000	506889
22100000000	507090
22200000000	508006
22300000000	507762
22400000000	507838
22500000000	506863
22600000000	508238
22700000000	507143
22800000000	506970
22900000000	508103
23000000000	507973
23100000000	507989
23200000000	508144
23300000000	507059
23400000000	507637
23500000000	507974
23600000000	508443
23700000000	507718
23800000000	508192
23900000000	506917
24000000000	507034
24100000000	506824
24200000000	507896
24300000000	506971
24400000000	507963
