"Time (ps)"	"Counts per bin"
0	5694731
100000000	5703503
200000000	5703713
300000000	5700547
400000000	5698798
500000000	5699146
600000000	5701001
700000000	5703092
800000000	5704683
900000000	5698254
1000000000	5702286
1100000000	5701401
1200000000	5697551
1300000000	5700843
1400000000	5701314
1500000000	5702961
1600000000	5702489
1700000000	5703386
1800000000	5699098
1900000000	5697922
2000000000	5697547
2100000000	5703132
2200000000	5701576
2300000000	5698938
2400000000	5699818
2500000000	5699853
2600000000	5699904
2700000000	5696789
2800000000	5704276
2900000000	5696382
3000000000	5697054
3100000000	5699818
3200000000	5697212
3300000000	5702815
3400000000	5701821
3500000000	5701001
3600000000	5698435
3700000000	5700064
3800000000	5697947
3900000000	5702866
4000000000	5701747
4100000000	5699697
4200000000	5704873
4300000000	5701031
4400000000	5702453
4500000000	5704799
4600000000	5701762
4700000000	5701082
4800000000	5699736
4900000000	5700496
5000000000	5698605
5100000000	5699498
5200000000	5699672
5300000000	5703300
5400000000	5701185
5500000000	5701594
5600000000	5701386
5700000000	5701667
5800000000	5697003
5900000000	5697319
6000000000	5704255
6100000000	5696515
6200000000	5701145
6300000000	5704619
6400000000	5699049
6500000000	5701742
6600000000	5697065
6700000000	5697072
6800000000	5701023
6900000000	5702633
7000000000	5698464
7100000000	5703649
7200000000	5700753
7300000000	5703810
7400000000	5702180
7500000000	5699360
7600000000	5705498
7700000000	5699020
7800000000	5701995
7900000000	5700756
8000000000	5698201
8100000000	5701543
8200000000	5702297
8300000000	5700118
8400000000	5699084
8500000000	5700100
8600000000	5702339
8700000000	5702663
8800000000	5700426
8900000000	5697211
9000000000	5699147
9100000000	5699055
9200000000	5701234
9300000000	5700821
9400000000	5701281
9500000000	5697420
9600000000	5702128
9700000000	5698080
9800000000	5700279
9900000000	5698282
10000000000	5699900
10100000000	5700974
10200000000	5701210
10300000000	5702405
10400000000	5700646
10500000000	5700029
10600000000	5698784
10700000000	5698992
10800000000	5698679
10900000000	5703942
11000000000	5701324
11100000000	5699315
11200000000	5699279
11300000000	5697192
11400000000	5699992
11500000000	5696392
11600000000	5700617
11700000000	5696265
11800000000	5701328
11900000000	5698849
12000000000	5705150
12100000000	5698547
12200000000	5703462
12300000000	5699946
12400000000	5699975
12500000000	5700434
12600000000	5701782
12700000000	5699660
12800000000	5696791
12900000000	5701395
13000000000	5699983
13100000000	5696735
13200000000	5699410
13300000000	5695614
13400000000	5699394
13500000000	5700913
13600000000	5696779
13700000000	5697236
13800000000	5698639
13900000000	5698903
14000000000	5697861
14100000000	5698820
14200000000	5699761
14300000000	5697983
14400000000	5700853
14500000000	5701530
14600000000	5702243
14700000000	5698304
14800000000	5699306
14900000000	5697758
15000000000	5701538
15100000000	5702180
15200000000	5702844
15300000000	5701984
15400000000	5698504
15500000000	5701744
15600000000	5701166
15700000000	5695309
15800000000	5701889
15900000000	5699815
16000000000	5701744
16100000000	5697634
16200000000	5696993
16300000000	5701376
16400000000	5703745
16500000000	5697750
16600000000	5701071
16700000000	5699702
16800000000	5700123
16900000000	5703592
17000000000	5694219
17100000000	5693604
17200000000	5699196
17300000000	5697634
17400000000	5696930
17500000000	5697231
17600000000	5701483
17700000000	5696370
17800000000	5698494
17900000000	5697452
18000000000	5700526
18100000000	5704469
18200000000	5696617
18300000000	5699834
18400000000	5699187
18500000000	5697381
18600000000	5699801
18700000000	5700173
18800000000	5701878
18900000000	5703711
19000000000	5694163
19100000000	5700162
19200000000	5697096
19300000000	5698028
19400000000	5702669
19500000000	5698963
19600000000	5702850
19700000000	5699569
19800000000	5695574
19900000000	5699727
20000000000	5699265
20100000000	5698606
20200000000	5693616
20300000000	5693212
20400000000	5698893
20500000000	5696935
20600000000	5699284
20700000000	5697504
20800000000	5696990
20900000000	5697344
21000000000	5697770
21100000000	5699995
21200000000	5697863
21300000000	5698744
21400000000	5698772
21500000000	5698770
21600000000	5700374
21700000000	5702366
21800000000	5700019
21900000000	5696920
22000000000	5699293
22100000000	5700599
22200000000	5705596
22300000000	5700975
22400000000	5703343
22500000000	5700900
22600000000	5703490
22700000000	5697724
22800000000	5699631
22900000000	5698955
23000000000	5698545
23100000000	5700504
23200000000	5697159
23300000000	5695830
23400000000	5700074
23500000000	5701150
23600000000	5706578
23700000000	5700142
23800000000	5694145
23900000000	5698060
24000000000	5700225
24100000000	5700689
24200000000	5699554
24300000000	5696417
24400000000	5701293
24500000000	5696419
24600000000	5695228
24700000000	5700645
24800000000	5697931
24900000000	5699926
25000000000	5698774
25100000000	5700813
25200000000	5696138
25300000000	5697815
25400000000	5693449
25500000000	5699572
25600000000	5698554
25700000000	5700865
25800000000	5694328
25900000000	5697856
26000000000	5694008
26100000000	5696746
26200000000	5697351
26300000000	5699719
26400000000	5692646
26500000000	5695200
26600000000	5696853
26700000000	5699825
26800000000	5697188
26900000000	5698328
27000000000	5696885
27100000000	5698869
27200000000	5700271
27300000000	5693462
27400000000	5696433
27500000000	5695090
27600000000	5693746
27700000000	5696746
27800000000	5691952
27900000000	5698969
28000000000	5695085
28100000000	5701791
28200000000	5698783
28300000000	5696512
28400000000	5696275
28500000000	5694866
28600000000	5693728
28700000000	5694724
28800000000	5693184
28900000000	5697075
29000000000	5698364
29100000000	5697210
29200000000	5697307
29300000000	5697774
29400000000	5695413
29500000000	5697357
29600000000	5698862
29700000000	5694375
29800000000	5695608
29900000000	5696410
30000000000	5698125
30100000000	5693406
30200000000	5694106
30300000000	5692067
30400000000	5699151
30500000000	5695416
30600000000	5695651
30700000000	5692196
30800000000	5696558
30900000000	5698336
31000000000	5693536
31100000000	5692371
31200000000	5694164
31300000000	5695306
31400000000	5697580
31500000000	5694392
31600000000	5692176
31700000000	5695334
31800000000	5693261
31900000000	5696065
32000000000	5696166
32100000000	5693258
32200000000	5697208
32300000000	5693545
32400000000	5695160
32500000000	5698988
32600000000	5696304
32700000000	5694582
32800000000	5696955
32900000000	5693375
33000000000	5694525
33100000000	5694905
33200000000	5694063
33300000000	5693532
33400000000	5698067
33500000000	5691583
33600000000	5696930
33700000000	5695321
33800000000	5695453
33900000000	5696507
34000000000	5697058
34100000000	5695523
34200000000	5696764
34300000000	5693603
34400000000	5693126
34500000000	5694160
34600000000	5690951
34700000000	5698548
34800000000	5693427
34900000000	5696296
35000000000	5696675
35100000000	5696665
35200000000	5694003
35300000000	5695795
35400000000	5693969
35500000000	5697630
35600000000	5696024
35700000000	5693221
35800000000	5691963
35900000000	5692793
36000000000	5698355
36100000000	5699624
36200000000	5694740
36300000000	5698545
36400000000	5691826
36500000000	5694546
36600000000	5695540
36700000000	5695239
36800000000	5696446
36900000000	5695661
37000000000	5696742
37100000000	5696248
37200000000	5696444
37300000000	5695613
37400000000	5695739
37500000000	5695914
37600000000	5694603
37700000000	5697280
37800000000	5697198
37900000000	5694892
38000000000	5697237
38100000000	5694340
38200000000	5694145
38300000000	5694852
38400000000	5692586
38500000000	5695081
38600000000	5695783
38700000000	5697021
38800000000	5692354
38900000000	5691542
39000000000	5694645
39100000000	5697115
39200000000	5692736
39300000000	5696924
39400000000	5691507
39500000000	5697650
39600000000	5695921
39700000000	5699860
39800000000	5694165
39900000000	5694904
40000000000	5696879
40100000000	5692611
40200000000	5694918
40300000000	5691558
40400000000	5693071
40500000000	5695585
40600000000	5699959
40700000000	5699207
40800000000	5694707
40900000000	5696805
41000000000	5695370
41100000000	5697304
41200000000	5692964
41300000000	5695375
41400000000	5694560
41500000000	5695379
41600000000	5691110
41700000000	5693737
41800000000	5691729
41900000000	5695880
42000000000	5694017
42100000000	5696316
42200000000	5692096
42300000000	5690836
42400000000	5692614
42500000000	5694838
42600000000	5690139
42700000000	5696181
42800000000	5694297
42900000000	5695207
43000000000	5696084
43100000000	5698882
43200000000	5696236
43300000000	5693235
43400000000	5694139
43500000000	5695786
43600000000	5694647
43700000000	5692394
43800000000	5696082
43900000000	5693658
44000000000	5693298
44100000000	5696816
44200000000	5696453
44300000000	5697227
44400000000	5696758
44500000000	5694770
44600000000	5695486
44700000000	5696924
44800000000	5693169
44900000000	5696460
45000000000	5691995
45100000000	5694779
45200000000	5685608
45300000000	5696589
45400000000	5695667
45500000000	5689949
45600000000	5693450
45700000000	5693436
45800000000	5694711
45900000000	5691381
46000000000	5696833
46100000000	5694321
46200000000	5694587
46300000000	5693648
46400000000	5693999
46500000000	5692486
46600000000	5695605
46700000000	5692718
46800000000	5692362
46900000000	5694347
47000000000	5695311
47100000000	5696659
47200000000	5695856
47300000000	5695705
47400000000	5696766
47500000000	5700135
47600000000	5695392
47700000000	5692709
47800000000	5696959
47900000000	5693847
48000000000	5690977
48100000000	5695414
48200000000	5694707
48300000000	5693357
48400000000	5694866
48500000000	5691601
48600000000	5694180
48700000000	5692854
48800000000	5692587
48900000000	5694363
49000000000	5691372
49100000000	5694233
49200000000	5692458
49300000000	5697872
49400000000	5692708
49500000000	5696366
49600000000	5693822
49700000000	5693119
49800000000	5689541
49900000000	5694331
50000000000	5693965
50100000000	5702040
50200000000	5701897
50300000000	5699767
50400000000	5696943
50500000000	5698345
50600000000	5697811
50700000000	5702284
50800000000	5702914
50900000000	5697568
51000000000	5701014
51100000000	5700222
51200000000	5695788
51300000000	5699245
51400000000	5699102
51500000000	5702341
51600000000	5701774
51700000000	5701686
51800000000	5697404
51900000000	5696654
52000000000	5696514
52100000000	5700977
52200000000	5699961
52300000000	5698243
52400000000	5697858
52500000000	5697950
52600000000	5698915
52700000000	5695593
52800000000	5702500
52900000000	5695438
53000000000	5694971
53100000000	5698870
53200000000	5696156
53300000000	5701004
53400000000	5699700
53500000000	5699667
53600000000	5697451
53700000000	5698757
53800000000	5696581
53900000000	5700922
54000000000	5700535
54100000000	5698604
54200000000	5703124
54300000000	5699880
54400000000	5700621
54500000000	5703521
54600000000	5699880
54700000000	5699654
54800000000	5698960
54900000000	5698974
55000000000	5697349
55100000000	5697723
55200000000	5698663
55300000000	5701280
55400000000	5700005
55500000000	5700370
55600000000	5700210
55700000000	5700188
55800000000	5695837
55900000000	5695692
56000000000	5702546
56100000000	5695069
56200000000	5699666
56300000000	5703019
56400000000	5698203
56500000000	5699855
56600000000	5695449
56700000000	5695389
56800000000	5700560
56900000000	5700438
57000000000	5697014
57100000000	5702350
57200000000	5699393
57300000000	5702368
57400000000	5701069
57500000000	5697371
57600000000	5703618
57700000000	5698723
57800000000	5700324
57900000000	5699350
58000000000	5696694
58100000000	5700755
58200000000	5700200
58300000000	5698344
58400000000	5697375
58500000000	5699468
58600000000	5700378
58700000000	5701652
58800000000	5698418
58900000000	5696129
59000000000	5697642
59100000000	5697777
59200000000	5699775
59300000000	5699328
59400000000	5699855
59500000000	5695678
59600000000	5700590
59700000000	5697252
59800000000	5698741
59900000000	5696464
60000000000	5698699
60100000000	5700100
60200000000	5699257
60300000000	5700736
60400000000	5699837
60500000000	5698421
60600000000	5697295
60700000000	5697281
60800000000	5697793
60900000000	5702227
61000000000	5699918
61100000000	5697844
61200000000	5698186
