"Time (ps)"	"Counts per bin"
0	999833
100000000	999505
200000000	1000975
300000000	1001770
400000000	1001992
500000000	1001453
600000000	1000770
700000000	1000972
800000000	1002196
900000000	1001292
1000000000	1001623
1100000000	999870
1200000000	1000062
1300000000	1000383
1400000000	1001838
1500000000	1001646
1600000000	1001726
1700000000	1001670
1800000000	1001778
1900000000	1000379
2000000000	1002154
2100000000	1000606
2200000000	1001051
2300000000	1001301
2400000000	1002698
2500000000	1001992
2600000000	1000797
2700000000	1000364
2800000000	1002648
2900000000	1001531
3000000000	1002502
3100000000	1003481
3200000000	1001165
3300000000	1001294
3400000000	1001736
3500000000	1002370
3600000000	1001639
3700000000	1002171
3800000000	999774
3900000000	1001057
4000000000	1001781
4100000000	1002612
4200000000	1001112
4300000000	1001807
4400000000	1001433
4500000000	1000361
4600000000	1001656
4700000000	1002251
4800000000	1001429
4900000000	1001139
5000000000	1000682
5100000000	1003352
5200000000	1001123
5300000000	1002957
5400000000	1002761
5500000000	1001329
5600000000	1000298
5700000000	999098
5800000000	998783
5900000000	1002114
6000000000	1002151
6100000000	1000247
6200000000	1000697
6300000000	1002109
6400000000	1001216
6500000000	1002205
6600000000	1000796
6700000000	1000818
6800000000	1002498
6900000000	1001072
7000000000	1001834
7100000000	1000228
7200000000	1003083
7300000000	1002257
7400000000	1002041
7500000000	1001451
7600000000	1003331
7700000000	1001012
7800000000	1001075
7900000000	1002562
8000000000	1001568
8100000000	1001753
8200000000	1001694
8300000000	1002782
8400000000	1000993
8500000000	1003075
8600000000	1001296
8700000000	1002546
8800000000	1001589
8900000000	1002588
9000000000	1001828
9100000000	1002554
9200000000	1002387
9300000000	1000517
9400000000	1002372
9500000000	1001332
9600000000	1001468
9700000000	1001146
9800000000	1003572
9900000000	1000851
10000000000	1002161
10100000000	1000885
10200000000	1001906
10300000000	999757
10400000000	1002371
10500000000	1002004
10600000000	1002709
10700000000	1002127
10800000000	1003621
10900000000	1002384
11000000000	1002263
11100000000	1001167
11200000000	1000863
11300000000	1000768
11400000000	999914
11500000000	1001475
11600000000	1002914
11700000000	1002050
11800000000	1002233
11900000000	1002478
12000000000	1003555
12100000000	1002015
12200000000	1001544
12300000000	1003155
12400000000	1002310
12500000000	1001904
12600000000	1004030
12700000000	1002041
12800000000	1000819
12900000000	1002080
13000000000	1002189
13100000000	1002302
13200000000	1002165
13300000000	1002758
13400000000	1001063
13500000000	1001088
13600000000	1001232
13700000000	1000978
13800000000	1000956
13900000000	1003405
14000000000	1001647
14100000000	1001528
14200000000	1000641
14300000000	1002138
14400000000	1000775
14500000000	1001117
14600000000	1001592
14700000000	1002693
14800000000	1001068
14900000000	1000828
15000000000	1001404
15100000000	1001897
15200000000	1002458
15300000000	1001403
15400000000	1000584
15500000000	1000748
15600000000	1001671
15700000000	1002440
15800000000	1001287
15900000000	1002238
16000000000	1002524
16100000000	1004380
16200000000	1001994
16300000000	1002865
16400000000	1001178
16500000000	1003703
16600000000	1002765
16700000000	1001347
16800000000	1002957
16900000000	1001632
17000000000	1001320
17100000000	1003051
17200000000	1001468
17300000000	1003178
17400000000	1001863
17500000000	1001222
17600000000	1001081
17700000000	1002758
17800000000	1001239
17900000000	1002468
18000000000	1002664
18100000000	1003148
18200000000	1002706
18300000000	1002412
18400000000	1002113
18500000000	1003632
18600000000	1002645
18700000000	1002961
18800000000	1002943
18900000000	1002713
19000000000	1000885
19100000000	1003501
19200000000	1001824
19300000000	1001005
19400000000	1001102
19500000000	1002395
19600000000	999922
19700000000	1002378
19800000000	1001673
19900000000	1003631
20000000000	1001990
20100000000	1001472
20200000000	1002214
20300000000	1003831
20400000000	1001924
20500000000	1002191
20600000000	1001980
20700000000	1001185
20800000000	1002786
20900000000	1001449
21000000000	1001510
21100000000	1002246
21200000000	1002783
21300000000	1001996
21400000000	1002227
21500000000	1003145
21600000000	1000540
21700000000	1002459
21800000000	1000836
21900000000	1001854
22000000000	1001451
22100000000	1002465
22200000000	1003171
22300000000	1001033
22400000000	1001420
22500000000	1000891
22600000000	1003080
22700000000	1001126
22800000000	1001923
22900000000	1002917
23000000000	1000519
23100000000	1003309
23200000000	1001983
23300000000	1002639
23400000000	1002240
23500000000	1003695
23600000000	1003341
23700000000	1000768
23800000000	1001608
23900000000	1003120
24000000000	1002470
24100000000	1000951
24200000000	1001744
24300000000	1002872
24400000000	1002181
24500000000	1002001
24600000000	1003514
24700000000	1000856
24800000000	1001622
24900000000	1001630
25000000000	1001106
25100000000	1000451
25200000000	997764
25300000000	999379
25400000000	998779
25500000000	1001108
25600000000	998574
25700000000	998593
25800000000	997188
25900000000	998922
26000000000	1001768
26100000000	998342
26200000000	999589
26300000000	999251
26400000000	998952
26500000000	999432
26600000000	998640
26700000000	997799
26800000000	997259
26900000000	998332
27000000000	1000163
27100000000	997688
27200000000	995619
27300000000	998580
27400000000	998721
27500000000	998163
27600000000	999286
27700000000	998046
27800000000	998994
27900000000	998634
28000000000	998266
28100000000	998761
28200000000	997931
28300000000	997462
28400000000	999185
28500000000	998252
28600000000	997272
28700000000	999315
28800000000	998956
28900000000	997801
29000000000	998800
29100000000	997191
29200000000	999014
29300000000	996613
29400000000	998179
29500000000	997376
29600000000	998218
29700000000	998152
29800000000	997889
29900000000	997068
30000000000	999071
30100000000	996629
30200000000	998327
30300000000	997865
30400000000	1000524
30500000000	997529
30600000000	998047
30700000000	999040
30800000000	999942
30900000000	998300
31000000000	998823
31100000000	996730
31200000000	998892
31300000000	998501
31400000000	997431
31500000000	998542
31600000000	997989
31700000000	996558
31800000000	998180
31900000000	997141
32000000000	998004
32100000000	999689
32200000000	996252
32300000000	997679
32400000000	997642
32500000000	996549
32600000000	995155
32700000000	997513
32800000000	997830
32900000000	998193
33000000000	997246
33100000000	998793
33200000000	999610
33300000000	997539
33400000000	997213
33500000000	996814
33600000000	998375
33700000000	998753
33800000000	999526
33900000000	998156
34000000000	997660
34100000000	997194
34200000000	997046
34300000000	998552
34400000000	996349
34500000000	998780
34600000000	997947
34700000000	997729
34800000000	997102
34900000000	998606
35000000000	997152
35100000000	997352
35200000000	998076
35300000000	998155
35400000000	996983
35500000000	998197
35600000000	999583
35700000000	998984
35800000000	997928
35900000000	997874
36000000000	998460
36100000000	997912
36200000000	998080
36300000000	998066
36400000000	996501
36500000000	996193
36600000000	998906
36700000000	998371
36800000000	997376
36900000000	997731
37000000000	996739
37100000000	997595
37200000000	997597
37300000000	999405
37400000000	997163
37500000000	998798
37600000000	997571
37700000000	998135
37800000000	998672
37900000000	995790
38000000000	997574
38100000000	998004
38200000000	996576
38300000000	996331
38400000000	998574
38500000000	998365
38600000000	998529
38700000000	997779
38800000000	996917
38900000000	998135
39000000000	995744
39100000000	997610
39200000000	997288
39300000000	997988
39400000000	997885
39500000000	998780
39600000000	996534
39700000000	997300
39800000000	998114
39900000000	996850
40000000000	996851
40100000000	997704
40200000000	996606
40300000000	998334
40400000000	997082
40500000000	998354
40600000000	998467
40700000000	996719
40800000000	997509
40900000000	998109
41000000000	998254
41100000000	998768
41200000000	997759
41300000000	997815
41400000000	998523
41500000000	998010
41600000000	996976
41700000000	998326
41800000000	998082
41900000000	998243
42000000000	997050
42100000000	998748
42200000000	995926
42300000000	998766
42400000000	997484
42500000000	996647
42600000000	997283
42700000000	996484
42800000000	996035
42900000000	996981
43000000000	997188
43100000000	996811
43200000000	998690
43300000000	997001
43400000000	998069
43500000000	997633
43600000000	996918
43700000000	996110
43800000000	997669
43900000000	999524
44000000000	998025
44100000000	995945
44200000000	998118
44300000000	995170
44400000000	996910
44500000000	997925
44600000000	998519
44700000000	996728
44800000000	997046
44900000000	999482
45000000000	997677
45100000000	995449
45200000000	997938
45300000000	996409
45400000000	996910
45500000000	998097
45600000000	997404
45700000000	998112
45800000000	998537
45900000000	996234
46000000000	998187
46100000000	998276
46200000000	998215
46300000000	997844
46400000000	995971
46500000000	996783
46600000000	997740
46700000000	996238
46800000000	998530
46900000000	996710
47000000000	996984
47100000000	998037
47200000000	998535
47300000000	996218
47400000000	995532
47500000000	998445
47600000000	997340
47700000000	996252
47800000000	997104
47900000000	997824
48000000000	997730
48100000000	998441
48200000000	996132
48300000000	999456
48400000000	996860
48500000000	997280
48600000000	997693
48700000000	998348
48800000000	997108
48900000000	997134
49000000000	996006
49100000000	997182
49200000000	997287
49300000000	997597
49400000000	996658
49500000000	997877
49600000000	996857
49700000000	997580
49800000000	996702
49900000000	998374
50000000000	999269
50100000000	999123
50200000000	1000604
50300000000	1001102
50400000000	1001392
50500000000	1001212
50600000000	1000002
50700000000	1000594
50800000000	1001778
50900000000	1000672
51000000000	1001283
51100000000	999401
51200000000	999376
51300000000	1000364
51400000000	1001217
51500000000	1001325
51600000000	1001154
51700000000	1000980
51800000000	1001510
51900000000	999691
52000000000	1001692
52100000000	1000425
52200000000	1000120
52300000000	1001295
52400000000	1001925
52500000000	1001589
52600000000	1000272
52700000000	1000201
52800000000	1001734
52900000000	1001443
53000000000	1002008
53100000000	1002796
53200000000	1000889
53300000000	1000662
53400000000	1001095
53500000000	1002067
53600000000	1001125
53700000000	1001577
53800000000	999344
53900000000	1000725
54000000000	1001030
54100000000	1002165
54200000000	1000625
54300000000	1001306
54400000000	1001146
54500000000	999834
54600000000	1001276
54700000000	1001842
54800000000	1000820
54900000000	1000906
55000000000	1000288
55100000000	1002643
55200000000	1001040
55300000000	1001958
55400000000	1001999
55500000000	1001247
55600000000	999956
55700000000	998481
55800000000	998432
55900000000	1001397
56000000000	1001905
56100000000	999798
56200000000	1000141
56300000000	1001832
56400000000	1000575
56500000000	1001700
56600000000	1000227
56700000000	1000351
56800000000	1001865
56900000000	1000684
57000000000	1001574
57100000000	999782
57200000000	1002513
57300000000	1001626
57400000000	1001897
57500000000	1000915
57600000000	1002835
57700000000	1000466
57800000000	1000544
57900000000	1002122
58000000000	1000959
58100000000	1001145
58200000000	1001383
58300000000	1002187
58400000000	1000457
58500000000	1002804
58600000000	1001000
58700000000	1001956
58800000000	1001145
58900000000	1002020
59000000000	1001393
59100000000	1002406
59200000000	1001549
59300000000	1000083
59400000000	1001552
59500000000	1001191
59600000000	1000860
59700000000	1000850
59800000000	1003008
59900000000	1000282
60000000000	1001929
60100000000	1000184
60200000000	1001534
60300000000	999201
60400000000	1002164
60500000000	1001582
60600000000	1001705
60700000000	1001818
60800000000	1003163
60900000000	1001842
61000000000	1001738
61100000000	1001088
61200000000	1000277
61300000000	999950
61400000000	999657
61500000000	1001038
61600000000	1002370
61700000000	1001727
61800000000	1001653
61900000000	1001933
62000000000	1003247
62100000000	1001288
62200000000	1001199
62300000000	1002554
62400000000	1002014
62500000000	1001404
62600000000	1003780
62700000000	1001203
62800000000	1000458
62900000000	1001547
63000000000	1001849
63100000000	1001562
63200000000	1001669
63300000000	1002126
63400000000	1001136
63500000000	1000524
63600000000	1000527
63700000000	1000554
63800000000	1000638
63900000000	1002913
64000000000	1000947
64100000000	1001354
64200000000	1000132
64300000000	1001446
64400000000	1000239
64500000000	1000836
64600000000	1001020
64700000000	1002199
64800000000	1000502
64900000000	1000809
65000000000	1000470
65100000000	1001612
65200000000	1002078
65300000000	1000647
65400000000	1000434
65500000000	1000016
65600000000	1001440
65700000000	1001748
65800000000	1000746
65900000000	1001905
66000000000	1001887
66100000000	1004087
66200000000	1001491
66300000000	1002454
66400000000	1000553
66500000000	1003274
66600000000	1002205
66700000000	1001035
66800000000	1002375
66900000000	1001221
67000000000	1000768
67100000000	1002634
67200000000	1001035
67300000000	1002679
67400000000	1001406
67500000000	1000481
67600000000	1000778
67700000000	1002286
67800000000	1000878
67900000000	1001870
68000000000	1002384
68100000000	1002165
68200000000	1002448
68300000000	1002056
68400000000	1001405
68500000000	1003360
68600000000	1002160
68700000000	1002584
68800000000	1002269
68900000000	1002431
69000000000	1000522
69100000000	1002885
69200000000	1001162
69300000000	1000690
69400000000	1000810
69500000000	1001484
69600000000	999637
69700000000	1002074
69800000000	1001201
69900000000	1002945
70000000000	1001572
70100000000	1001050
70200000000	1001606
70300000000	1003658
70400000000	1001222
70500000000	1001784
70600000000	1001385
70700000000	1001054
70800000000	1002305
70900000000	1000900
71000000000	1000787
71100000000	1001930
71200000000	1002191
71300000000	1001469
71400000000	1001752
71500000000	1002676
71600000000	1000340
71700000000	1001948
71800000000	1000080
71900000000	1001558
72000000000	1001081
72100000000	1001768
72200000000	1002964
72300000000	1000531
72400000000	1000930
72500000000	1000672
72600000000	1002426
72700000000	1000442
72800000000	1001394
72900000000	1002557
73000000000	1000120
73100000000	1002827
73200000000	1001381
73300000000	1002069
73400000000	1002084
73500000000	1003159
73600000000	1002857
73700000000	1000257
73800000000	1001165
73900000000	1002499
74000000000	1002059
74100000000	1000661
74200000000	1001123
74300000000	1002123
74400000000	1001719
74500000000	1001708
74600000000	1003120
74700000000	1000349
74800000000	1001219
74900000000	1001175
75000000000	1000786
75100000000	999904
75200000000	997580
75300000000	998690
75400000000	998290
75500000000	1000432
75600000000	998567
75700000000	998025
75800000000	996339
75900000000	998453
76000000000	1001404
76100000000	997837
76200000000	999060
76300000000	998929
76400000000	998561
76500000000	998807
76600000000	998099
76700000000	997583
76800000000	996610
76900000000	997899
77000000000	999550
77100000000	997419
77200000000	994983
77300000000	998066
77400000000	998421
77500000000	997683
77600000000	998779
77700000000	997765
77800000000	998145
77900000000	998604
78000000000	997471
78100000000	998561
78200000000	997159
78300000000	997299
78400000000	998280
78500000000	998160
78600000000	996715
78700000000	998842
78800000000	998242
78900000000	997285
79000000000	998434
79100000000	997109
79200000000	998057
79300000000	996559
79400000000	997497
79500000000	996768
79600000000	997961
79700000000	997376
79800000000	997483
79900000000	996753
80000000000	998281
80100000000	996835
80200000000	997329
80300000000	997554
80400000000	999892
80500000000	997000
80600000000	997750
80700000000	998627
80800000000	999359
80900000000	997522
81000000000	998500
81100000000	996493
81200000000	998558
81300000000	997520
81400000000	997484
81500000000	997834
81600000000	997629
81700000000	995998
81800000000	997764
81900000000	996372
82000000000	997802
82100000000	999012
82200000000	995775
82300000000	997165
82400000000	997149
82500000000	996238
82600000000	994629
82700000000	997143
82800000000	997478
82900000000	997554
83000000000	996640
83100000000	998370
83200000000	999156
83300000000	996948
83400000000	996836
83500000000	996490
83600000000	997844
83700000000	997981
83800000000	999533
83900000000	997460
84000000000	997046
84100000000	996622
84200000000	996947
84300000000	997736
84400000000	996192
84500000000	998106
84600000000	997381
84700000000	997690
84800000000	996493
