"Time (ps)"	"Counts per bin"
0	500510
100000000	501566
200000000	501681
300000000	502057
400000000	502174
500000000	501090
600000000	501867
700000000	502465
800000000	502789
900000000	501966
1000000000	502721
1100000000	502242
1200000000	503171
1300000000	502602
1400000000	502686
1500000000	502759
1600000000	502787
1700000000	502886
1800000000	502116
1900000000	502204
2000000000	500815
2100000000	502011
2200000000	502145
2300000000	502770
2400000000	502547
2500000000	503072
2600000000	502049
2700000000	502359
2800000000	502384
2900000000	502357
3000000000	503828
3100000000	501526
3200000000	501501
3300000000	502934
3400000000	502708
3500000000	502314
3600000000	502098
3700000000	503826
3800000000	501843
3900000000	503327
4000000000	502030
4100000000	503161
4200000000	501593
4300000000	502760
4400000000	502463
4500000000	502567
4600000000	502699
4700000000	502258
4800000000	503044
4900000000	501405
5000000000	503225
5100000000	501509
5200000000	501985
5300000000	502214
5400000000	501752
5500000000	502196
5600000000	502536
5700000000	502812
5800000000	501690
5900000000	502434
6000000000	502968
6100000000	501447
6200000000	503172
6300000000	502883
6400000000	502400
6500000000	501716
6600000000	502416
6700000000	502894
6800000000	501087
6900000000	503447
7000000000	502706
7100000000	502111
7200000000	502163
7300000000	501524
7400000000	501842
7500000000	503030
7600000000	501670
7700000000	501091
7800000000	502137
7900000000	502361
8000000000	502612
8100000000	503146
8200000000	501873
8300000000	502707
8400000000	502669
8500000000	501858
8600000000	503158
8700000000	501341
8800000000	502286
8900000000	500133
9000000000	503060
9100000000	502909
9200000000	503040
9300000000	502095
9400000000	502548
9500000000	502692
9600000000	501167
9700000000	501719
9800000000	503440
9900000000	501554
10000000000	502215
10100000000	502767
10200000000	501605
10300000000	501587
10400000000	502615
10500000000	501601
10600000000	501883
10700000000	501278
10800000000	502112
10900000000	502126
11000000000	501256
11100000000	502875
11200000000	503283
11300000000	502378
11400000000	501872
11500000000	501611
11600000000	502988
11700000000	501496
11800000000	502658
11900000000	502452
12000000000	502165
12100000000	502497
12200000000	501982
12300000000	501271
12400000000	502205
12500000000	503025
12600000000	501935
12700000000	502666
12800000000	501929
12900000000	502189
13000000000	500916
13100000000	502705
13200000000	501886
13300000000	501917
13400000000	503274
13500000000	502466
13600000000	502891
13700000000	502810
13800000000	502503
13900000000	500240
14000000000	502465
14100000000	502897
14200000000	501427
14300000000	503489
14400000000	503198
14500000000	502298
14600000000	502021
14700000000	502437
14800000000	503322
14900000000	501732
15000000000	501542
15100000000	502439
15200000000	502017
15300000000	502002
15400000000	502978
15500000000	501431
15600000000	503262
15700000000	502397
15800000000	502129
15900000000	501929
16000000000	502254
16100000000	501409
16200000000	501208
16300000000	502240
16400000000	502517
16500000000	502235
16600000000	503411
16700000000	502286
16800000000	502369
16900000000	502800
17000000000	502242
17100000000	501410
17200000000	502065
17300000000	502212
17400000000	502631
17500000000	502507
17600000000	502259
17700000000	501993
17800000000	501103
17900000000	502533
18000000000	502088
18100000000	502781
18200000000	501597
18300000000	501899
18400000000	502443
18500000000	501600
18600000000	502378
18700000000	503420
18800000000	502616
18900000000	501890
19000000000	501456
19100000000	502125
19200000000	503268
19300000000	502375
19400000000	501939
19500000000	500797
19600000000	503204
