"Time (ps)"	"Counts per bin"
0	998989
100000000	1001104
200000000	1001238
300000000	1000888
400000000	1003226
500000000	998967
600000000	1001249
700000000	1000894
800000000	1001598
900000000	1002260
1000000000	1002374
1100000000	1001790
1200000000	1000806
1300000000	1001690
1400000000	1002546
1500000000	1001568
1600000000	1001273
1700000000	999817
1800000000	999721
1900000000	1000110
2000000000	1000562
2100000000	999853
2200000000	1003323
2300000000	1002621
2400000000	1000797
2500000000	1000887
2600000000	1002011
2700000000	1000719
2800000000	1000324
2900000000	1001288
3000000000	1001776
3100000000	1001221
3200000000	1002179
3300000000	1001170
3400000000	1001007
3500000000	1001880
3600000000	1002660
3700000000	1002983
3800000000	1000666
3900000000	1000619
4000000000	1001963
4100000000	1000874
4200000000	1002827
4300000000	1002225
4400000000	1000856
4500000000	1002337
4600000000	1002038
4700000000	1001641
4800000000	1000213
4900000000	1001370
5000000000	1001194
5100000000	1001099
5200000000	1002278
5300000000	1002260
5400000000	1000642
5500000000	1000076
5600000000	999686
5700000000	1000314
5800000000	1001316
5900000000	1000901
6000000000	1000016
6100000000	1000958
6200000000	999952
6300000000	1000935
6400000000	1001472
6500000000	1002395
6600000000	1002330
6700000000	1001070
6800000000	1000482
6900000000	1002071
7000000000	1002789
7100000000	1002195
7200000000	1002037
7300000000	1002502
7400000000	1002048
7500000000	999097
7600000000	1002374
7700000000	1002991
7800000000	1002189
7900000000	1000892
8000000000	1001991
8100000000	1000175
8200000000	1001915
8300000000	1001859
8400000000	1000250
8500000000	1001081
8600000000	1000596
8700000000	1002906
8800000000	1000405
8900000000	999989
9000000000	1001621
9100000000	1000698
9200000000	999592
9300000000	1000529
9400000000	999861
9500000000	1000568
9600000000	1001317
9700000000	1000654
9800000000	1002000
9900000000	1001267
10000000000	1000171
10100000000	1000674
10200000000	1000399
10300000000	1000712
10400000000	1001153
10500000000	999312
10600000000	1000222
10700000000	1000056
10800000000	1002620
10900000000	1000514
11000000000	1000273
11100000000	1001565
11200000000	1002019
11300000000	1001965
11400000000	998968
11500000000	1001167
11600000000	1001415
11700000000	1000675
11800000000	1001801
11900000000	1002075
12000000000	1000681
12100000000	1001146
12200000000	1000612
12300000000	1000503
12400000000	1000835
12500000000	1000110
12600000000	999999
12700000000	1001658
12800000000	1001455
12900000000	999689
13000000000	1001098
13100000000	1001451
13200000000	1000954
13300000000	999955
13400000000	1001429
13500000000	1002769
13600000000	1000446
13700000000	1000901
13800000000	1001668
13900000000	1000698
14000000000	1001212
14100000000	1000711
14200000000	1000738
14300000000	1000865
14400000000	999651
14500000000	1000468
14600000000	998919
14700000000	1001608
14800000000	1001217
14900000000	1001333
15000000000	1000953
15100000000	1002326
15200000000	1002784
15300000000	1000936
15400000000	1001429
15500000000	1001845
15600000000	1000811
15700000000	999635
15800000000	1000942
15900000000	1000274
16000000000	1001397
16100000000	1003106
16200000000	1001712
16300000000	1000764
16400000000	1000219
16500000000	1001020
16600000000	1000514
16700000000	1001676
16800000000	1002750
16900000000	1002166
17000000000	1002049
17100000000	1000418
17200000000	1000722
17300000000	1001938
17400000000	1000238
17500000000	1001333
17600000000	1003342
17700000000	1002147
17800000000	1000998
17900000000	1001011
18000000000	1002155
18100000000	1001081
18200000000	1000546
18300000000	999894
18400000000	1001146
18500000000	1002455
18600000000	1000456
18700000000	1000365
18800000000	1002791
18900000000	1001751
19000000000	1000644
19100000000	1001761
19200000000	1001077
19300000000	1000948
19400000000	1000132
19500000000	1000745
19600000000	1001766
19700000000	1001278
19800000000	1000031
19900000000	1002707
20000000000	1000055
20100000000	1000259
20200000000	1000821
20300000000	1002370
20400000000	1000391
20500000000	1001666
20600000000	1000346
20700000000	1000873
20800000000	1001762
20900000000	1000485
21000000000	1001190
21100000000	1000793
21200000000	1001265
21300000000	1001388
21400000000	1000737
21500000000	1002058
21600000000	1000388
21700000000	1002464
21800000000	1000674
21900000000	998490
22000000000	1001245
22100000000	1001720
22200000000	1000065
22300000000	1000301
22400000000	998395
22500000000	1003402
22600000000	1000387
22700000000	1000479
22800000000	1003614
22900000000	998856
23000000000	1002578
23100000000	1001961
23200000000	1000458
23300000000	1000933
23400000000	1001931
23500000000	1002336
23600000000	1002150
23700000000	1001319
23800000000	1000089
23900000000	1000058
24000000000	1001377
24100000000	999260
24200000000	1000184
24300000000	1000456
24400000000	1002352
24500000000	1001693
24600000000	1001240
24700000000	1001048
24800000000	1001134
24900000000	1000730
25000000000	1001418
25100000000	996944
25200000000	996711
25300000000	999305
25400000000	996406
25500000000	996717
25600000000	994985
25700000000	996793
25800000000	997977
25900000000	997835
26000000000	996654
26100000000	996991
26200000000	994384
26300000000	997942
26400000000	996238
26500000000	996624
26600000000	996393
26700000000	996325
26800000000	995541
26900000000	995114
27000000000	996174
27100000000	995055
27200000000	997198
27300000000	996023
27400000000	996320
27500000000	996032
27600000000	996215
27700000000	995785
27800000000	996329
27900000000	995695
28000000000	995767
28100000000	994993
28200000000	995523
28300000000	996230
28400000000	996804
28500000000	997407
28600000000	996813
28700000000	996738
28800000000	996682
28900000000	995818
29000000000	995423
29100000000	995048
29200000000	995721
29300000000	995980
29400000000	996364
29500000000	997429
29600000000	994935
29700000000	994618
29800000000	996126
29900000000	995494
30000000000	995439
30100000000	996317
30200000000	996067
30300000000	996161
30400000000	995867
30500000000	997087
30600000000	994479
30700000000	995495
30800000000	995055
30900000000	995675
31000000000	995217
31100000000	995656
31200000000	996627
31300000000	995241
31400000000	995759
31500000000	995756
31600000000	996805
31700000000	994489
31800000000	997463
31900000000	996010
32000000000	996029
32100000000	995577
32200000000	994792
32300000000	996240
32400000000	995485
32500000000	995477
32600000000	996724
32700000000	996152
32800000000	994753
32900000000	996114
33000000000	996413
33100000000	996341
33200000000	995447
33300000000	995600
33400000000	996225
33500000000	996182
33600000000	996888
33700000000	995758
33800000000	994752
33900000000	997744
34000000000	994755
34100000000	995539
34200000000	995444
34300000000	996250
34400000000	996730
34500000000	997997
34600000000	996685
34700000000	996681
34800000000	995851
34900000000	996368
35000000000	997106
35100000000	995335
35200000000	997944
35300000000	994871
35400000000	994327
35500000000	995977
35600000000	997303
35700000000	997524
35800000000	995805
35900000000	994699
36000000000	994356
36100000000	995978
36200000000	995706
36300000000	994795
36400000000	996173
36500000000	995425
36600000000	996672
36700000000	996240
36800000000	993843
36900000000	994855
37000000000	996366
37100000000	996919
37200000000	992622
37300000000	995131
37400000000	995164
37500000000	997715
37600000000	994409
37700000000	995986
37800000000	997550
37900000000	995019
38000000000	994246
38100000000	995274
38200000000	995431
38300000000	996777
38400000000	996339
38500000000	996641
38600000000	996686
38700000000	994293
38800000000	994261
38900000000	995337
39000000000	995032
39100000000	994512
39200000000	997599
39300000000	996248
39400000000	996944
39500000000	996454
39600000000	994669
39700000000	996345
39800000000	995799
39900000000	996856
40000000000	996098
40100000000	996102
40200000000	994935
40300000000	994696
40400000000	996756
40500000000	995810
40600000000	995533
40700000000	997053
40800000000	996648
40900000000	995305
41000000000	999041
41100000000	997174
41200000000	997706
41300000000	996243
41400000000	996392
41500000000	996890
41600000000	996680
41700000000	994653
41800000000	996483
41900000000	997366
42000000000	996472
42100000000	996113
42200000000	995890
42300000000	997840
42400000000	995668
42500000000	993675
42600000000	995488
42700000000	997044
42800000000	996773
42900000000	994649
43000000000	996238
43100000000	996961
43200000000	996246
43300000000	995705
43400000000	995060
43500000000	996391
43600000000	996213
43700000000	995048
43800000000	993052
43900000000	997110
44000000000	996188
44100000000	996846
44200000000	995862
44300000000	996870
44400000000	995727
44500000000	996056
44600000000	996246
44700000000	996568
44800000000	996023
44900000000	997126
45000000000	996257
45100000000	997645
45200000000	993734
45300000000	995471
45400000000	995739
45500000000	997210
45600000000	996208
45700000000	995886
45800000000	996228
45900000000	998144
46000000000	996206
46100000000	996776
46200000000	996892
46300000000	995609
46400000000	996875
46500000000	995600
46600000000	994980
46700000000	996844
46800000000	995885
46900000000	996412
47000000000	996732
47100000000	996642
47200000000	996925
47300000000	996748
47400000000	997204
47500000000	996469
47600000000	997139
47700000000	996650
47800000000	997593
47900000000	996689
48000000000	996135
48100000000	994663
48200000000	996735
48300000000	996304
48400000000	994916
48500000000	995798
48600000000	993815
48700000000	995522
48800000000	996366
48900000000	994819
49000000000	996215
49100000000	997082
49200000000	996013
49300000000	997279
49400000000	994621
49500000000	995858
49600000000	995741
49700000000	995709
49800000000	997166
49900000000	995361
50000000000	998307
50100000000	1000710
50200000000	1000782
50300000000	1000414
50400000000	1002736
50500000000	998727
50600000000	1000273
50700000000	1000553
50800000000	1001114
50900000000	1001784
51000000000	1001829
51100000000	1001338
51200000000	1000595
51300000000	1001007
51400000000	1002088
51500000000	1001277
51600000000	1000608
51700000000	999474
51800000000	999203
51900000000	999376
52000000000	1000324
52100000000	999531
52200000000	1002623
52300000000	1001883
52400000000	1000315
52500000000	1000479
52600000000	1001867
52700000000	999931
52800000000	1000006
52900000000	1000484
53000000000	1001467
53100000000	1000519
53200000000	1001804
53300000000	1000847
53400000000	1000422
53500000000	1001697
53600000000	1001986
53700000000	1002315
53800000000	1000317
53900000000	1000108
54000000000	1001489
54100000000	1000453
54200000000	1002269
54300000000	1001592
54400000000	1000475
54500000000	1001906
54600000000	1001521
54700000000	1001683
54800000000	999458
54900000000	1000669
55000000000	1000690
55100000000	1000542
55200000000	1002130
55300000000	1001724
55400000000	1000089
55500000000	999846
55600000000	998948
55700000000	999820
55800000000	1000804
55900000000	1000328
56000000000	999876
56100000000	1000177
56200000000	999067
56300000000	1000747
56400000000	1001080
56500000000	1001923
56600000000	1001813
56700000000	1000500
56800000000	1000075
56900000000	1001474
57000000000	1002505
57100000000	1001562
57200000000	1001332
57300000000	1002136
57400000000	1001654
57500000000	998758
57600000000	1001748
57700000000	1002309
57800000000	1002116
57900000000	1000092
58000000000	1001458
58100000000	999936
58200000000	1001281
58300000000	1001267
58400000000	999735
58500000000	1000837
58600000000	999883
58700000000	1002641
58800000000	999984
58900000000	999547
59000000000	1001247
59100000000	1000068
59200000000	998834
59300000000	1000333
59400000000	999458
59500000000	1000047
59600000000	1000751
59700000000	999892
59800000000	1001680
59900000000	1000663
60000000000	1000106
60100000000	999905
60200000000	999887
60300000000	1000294
60400000000	1000621
60500000000	998658
60600000000	999759
60700000000	999574
60800000000	1002187
60900000000	999925
61000000000	999691
61100000000	1001361
61200000000	1001642
61300000000	1001253
61400000000	998176
61500000000	1001072
61600000000	1001111
61700000000	1000007
61800000000	1001309
61900000000	1001707
62000000000	1000299
62100000000	1000657
62200000000	999811
62300000000	1000076
62400000000	1000328
62500000000	999823
62600000000	999666
62700000000	1000968
62800000000	1000979
62900000000	999355
63000000000	1000403
63100000000	1001042
63200000000	1000484
63300000000	999458
63400000000	1001167
63500000000	1002204
63600000000	999807
63700000000	1000328
63800000000	1001354
63900000000	1000244
64000000000	1000682
64100000000	999917
64200000000	1000587
64300000000	1000243
64400000000	998996
64500000000	999940
64600000000	998726
64700000000	1001000
64800000000	1000827
64900000000	1000904
65000000000	1000252
65100000000	1002005
65200000000	1002317
65300000000	1000705
65400000000	1000539
65500000000	1001442
65600000000	1000304
65700000000	999163
65800000000	1000557
65900000000	999737
66000000000	1000754
66100000000	1002936
66200000000	1000994
66300000000	1000384
66400000000	999863
66500000000	1000327
66600000000	1000166
66700000000	1001330
66800000000	1001964
66900000000	1001753
67000000000	1001495
67100000000	1000059
67200000000	1000224
67300000000	1001490
67400000000	999652
67500000000	1000865
67600000000	1002729
67700000000	1001636
67800000000	1000664
67900000000	1000330
68000000000	1001936
68100000000	1000197
68200000000	1000564
68300000000	999278
68400000000	1000743
68500000000	1001800
68600000000	999846
68700000000	999900
68800000000	1002427
68900000000	1001278
69000000000	999998
69100000000	1001062
69200000000	1000521
69300000000	1000927
69400000000	999493
69500000000	1000409
69600000000	1001244
69700000000	1000680
69800000000	999335
69900000000	1002250
70000000000	999577
70100000000	999927
70200000000	1000378
70300000000	1001946
70400000000	999607
70500000000	1001539
70600000000	999390
70700000000	1000693
70800000000	1001424
70900000000	1000068
71000000000	1000604
71100000000	1000237
71200000000	1000598
71300000000	1000970
71400000000	1000206
71500000000	1001646
71600000000	999932
71700000000	1001857
71800000000	999991
71900000000	998262
72000000000	1000882
72100000000	1001067
72200000000	999372
72300000000	1000014
72400000000	997889
72500000000	1002954
72600000000	1000235
72700000000	999788
72800000000	1002886
72900000000	998541
73000000000	1001963
73100000000	1001457
73200000000	1000132
73300000000	1000341
73400000000	1001529
73500000000	1001774
73600000000	1001611
73700000000	1000859
73800000000	999489
73900000000	999829
74000000000	1001086
74100000000	998863
74200000000	999322
74300000000	999646
74400000000	1002202
74500000000	1001283
74600000000	1001078
74700000000	1000478
74800000000	1000369
74900000000	1000066
75000000000	1001124
75100000000	996599
75200000000	996071
75300000000	998714
75400000000	996235
75500000000	996425
75600000000	994211
75700000000	996414
75800000000	997580
75900000000	997115
76000000000	996050
76100000000	996561
76200000000	994163
76300000000	997163
76400000000	995888
76500000000	996473
76600000000	995704
76700000000	995882
76800000000	995051
76900000000	994503
77000000000	995616
77100000000	994659
77200000000	996746
77300000000	995562
77400000000	995837
77500000000	995910
77600000000	995684
77700000000	994929
77800000000	996155
77900000000	995176
78000000000	995104
78100000000	994541
78200000000	994941
78300000000	995690
78400000000	996264
78500000000	997060
78600000000	996475
78700000000	996257
78800000000	995844
78900000000	995669
79000000000	995048
79100000000	994477
79200000000	995113
79300000000	995444
79400000000	995945
79500000000	997143
79600000000	994242
79700000000	993812
79800000000	995849
79900000000	995071
80000000000	995084
80100000000	995538
80200000000	996004
80300000000	995389
80400000000	995437
80500000000	996326
80600000000	994332
80700000000	994829
80800000000	994578
80900000000	995201
81000000000	994820
81100000000	995052
81200000000	996358
81300000000	994595
81400000000	995601
81500000000	995054
81600000000	996461
81700000000	993834
81800000000	997078
81900000000	995330
82000000000	995521
82100000000	995492
82200000000	994436
82300000000	995751
82400000000	994643
82500000000	995001
82600000000	996674
82700000000	995378
82800000000	994088
82900000000	995502
83000000000	996196
83100000000	995787
83200000000	995110
83300000000	994943
83400000000	995909
83500000000	995784
83600000000	996168
83700000000	995549
83800000000	994080
83900000000	997147
84000000000	994397
84100000000	994969
84200000000	994898
84300000000	995752
84400000000	996373
84500000000	997155
84600000000	996113
84700000000	996984
84800000000	994945
84900000000	995600
85000000000	996689
85100000000	995067
85200000000	997284
85300000000	994690
85400000000	994013
85500000000	995047
85600000000	996998
85700000000	997004
85800000000	995374
85900000000	994149
86000000000	993777
86100000000	995487
86200000000	995743
86300000000	994073
86400000000	995427
86500000000	994963
86600000000	996157
86700000000	995926
86800000000	993427
86900000000	994185
87000000000	995976
87100000000	996349
87200000000	992512
87300000000	994528
87400000000	994711
87500000000	996985
87600000000	994117
87700000000	995724
87800000000	996541
87900000000	994713
88000000000	993920
88100000000	994652
88200000000	995144
88300000000	996548
88400000000	995262
88500000000	996139
88600000000	996293
88700000000	993829
88800000000	993830
88900000000	994779
89000000000	994685
89100000000	993987
89200000000	997263
89300000000	995373
89400000000	996859
89500000000	995799
89600000000	994034
89700000000	996075
89800000000	995251
89900000000	996388
90000000000	995330
90100000000	995925
90200000000	994308
90300000000	994242
90400000000	996141
90500000000	995258
90600000000	995394
90700000000	996516
90800000000	996450
90900000000	994647
91000000000	998242
91100000000	996769
91200000000	997365
91300000000	995784
91400000000	995899
91500000000	996344
91600000000	996359
91700000000	994426
91800000000	995600
91900000000	996819
92000000000	996183
92100000000	995496
92200000000	995629
92300000000	997239
92400000000	995096
92500000000	993381
92600000000	994756
92700000000	996365
92800000000	996870
92900000000	993873
93000000000	995437
93100000000	996826
93200000000	996060
