"Time (ps)"	"Counts per bin"
0	4893
100000000	4735
200000000	4874
300000000	4746
400000000	4792
500000000	4729
600000000	4705
700000000	4690
800000000	4752
900000000	4692
1000000000	4685
1100000000	4759
1200000000	4668
1300000000	4737
1400000000	4714
1500000000	4736
1600000000	4664
1700000000	4692
1800000000	4714
1900000000	4761
2000000000	4697
2100000000	4751
2200000000	4761
2300000000	4716
2400000000	4580
2500000000	4804
2600000000	4687
2700000000	4658
2800000000	4671
2900000000	4612
3000000000	4710
3100000000	4744
3200000000	4748
3300000000	4613
3400000000	4715
3500000000	4718
3600000000	4610
3700000000	4729
3800000000	4703
3900000000	4696
4000000000	4606
4100000000	4652
4200000000	4718
4300000000	4661
4400000000	4664
4500000000	4814
4600000000	4621
4700000000	4794
4800000000	4694
4900000000	4709
5000000000	4596
5100000000	4663
5200000000	4602
5300000000	4546
5400000000	4646
5500000000	4614
5600000000	4783
5700000000	4685
5800000000	4702
5900000000	4767
6000000000	4663
6100000000	4727
6200000000	4611
6300000000	4807
6400000000	4648
6500000000	4730
6600000000	4730
6700000000	4656
6800000000	4656
6900000000	4645
7000000000	4748
7100000000	4765
7200000000	4658
7300000000	4612
7400000000	4719
7500000000	4639
7600000000	4835
7700000000	4639
7800000000	4668
7900000000	4672
8000000000	4748
8100000000	4730
8200000000	4692
8300000000	4683
8400000000	4702
8500000000	4577
8600000000	4724
8700000000	4581
8800000000	4582
8900000000	4597
9000000000	4756
9100000000	4702
9200000000	4803
9300000000	4615
9400000000	4603
9500000000	4761
9600000000	4851
9700000000	4673
9800000000	4741
9900000000	4631
10000000000	4593
10100000000	4667
10200000000	4721
10300000000	4642
10400000000	4814
10500000000	4797
10600000000	4616
10700000000	4615
10800000000	4782
10900000000	4664
11000000000	4727
11100000000	4692
11200000000	4637
11300000000	4653
11400000000	4594
11500000000	4852
11600000000	4728
11700000000	4831
11800000000	4701
11900000000	4621
12000000000	4797
12100000000	4628
12200000000	4845
12300000000	4686
12400000000	4749
12500000000	4731
12600000000	4687
12700000000	4598
12800000000	4591
12900000000	4575
13000000000	4554
13100000000	4644
13200000000	4770
13300000000	4662
13400000000	4854
13500000000	4609
13600000000	4623
13700000000	4687
13800000000	4663
13900000000	4781
14000000000	4751
14100000000	4661
14200000000	4692
14300000000	4636
14400000000	4806
14500000000	4648
14600000000	4819
14700000000	4694
14800000000	4817
14900000000	4675
15000000000	4697
15100000000	4697
15200000000	4799
15300000000	4665
15400000000	4696
15500000000	4726
15600000000	4753
15700000000	4550
15800000000	4745
15900000000	4648
16000000000	4700
16100000000	4651
16200000000	4678
16300000000	4476
16400000000	4700
16500000000	4623
16600000000	4890
16700000000	4694
16800000000	4684
16900000000	4759
17000000000	4746
17100000000	4692
17200000000	4724
17300000000	4695
17400000000	4847
17500000000	4765
17600000000	4652
17700000000	4737
17800000000	4772
17900000000	4720
18000000000	4582
18100000000	4815
18200000000	4652
18300000000	4752
18400000000	4724
18500000000	4747
18600000000	4559
18700000000	4779
18800000000	4540
18900000000	4704
19000000000	4756
19100000000	4751
19200000000	4660
19300000000	4801
19400000000	4743
19500000000	4690
19600000000	4603
19700000000	4727
19800000000	4702
19900000000	4606
20000000000	4620
20100000000	4749
20200000000	4576
20300000000	4521
20400000000	4691
20500000000	4710
20600000000	4601
20700000000	4664
20800000000	4815
20900000000	4775
21000000000	4691
21100000000	4648
21200000000	4620
21300000000	4619
21400000000	4610
21500000000	4689
21600000000	4584
21700000000	4687
21800000000	4569
21900000000	4740
22000000000	4751
22100000000	4627
22200000000	4635
22300000000	4699
22400000000	4759
22500000000	4633
22600000000	4721
22700000000	4603
22800000000	4714
22900000000	4732
23000000000	4777
23100000000	4651
23200000000	4635
23300000000	4836
23400000000	4757
23500000000	4617
23600000000	4733
23700000000	4706
23800000000	4652
23900000000	4604
24000000000	4682
24100000000	4734
24200000000	4661
24300000000	4679
24400000000	4780
24500000000	4717
24600000000	4673
24700000000	4817
24800000000	4583
24900000000	4689
25000000000	4718
25100000000	4890
25200000000	4781
25300000000	4980
25400000000	4865
25500000000	4826
25600000000	4888
25700000000	4967
25800000000	5029
25900000000	4906
26000000000	4942
26100000000	5041
26200000000	4958
26300000000	4936
26400000000	5043
26500000000	4976
26600000000	4956
26700000000	5027
26800000000	5157
26900000000	4927
27000000000	5017
27100000000	4958
27200000000	4966
27300000000	5024
27400000000	4838
27500000000	4857
27600000000	5019
27700000000	4925
27800000000	5016
27900000000	4946
28000000000	5146
28100000000	4910
28200000000	4911
28300000000	4885
28400000000	5020
28500000000	4978
28600000000	4924
