"Time (ps)"	"Counts per bin"
0	50032
100000000	50237
200000000	49545
300000000	49850
400000000	49701
500000000	49577
600000000	49860
700000000	49713
800000000	49895
900000000	49543
1000000000	49537
1100000000	49448
1200000000	49494
1300000000	49684
1400000000	49905
1500000000	49452
1600000000	49621
1700000000	50005
1800000000	49408
1900000000	49503
2000000000	49575
2100000000	49572
2200000000	49560
2300000000	49557
2400000000	49970
2500000000	49614
2600000000	49228
2700000000	49545
2800000000	49520
2900000000	50007
3000000000	49929
3100000000	49607
3200000000	49308
3300000000	49830
3400000000	49573
3500000000	49673
3600000000	49538
3700000000	49973
3800000000	49412
3900000000	49613
4000000000	49263
4100000000	49309
4200000000	49463
4300000000	49861
4400000000	49517
4500000000	49439
4600000000	50032
4700000000	49566
4800000000	49929
4900000000	49773
5000000000	49682
5100000000	49753
5200000000	49537
5300000000	49739
5400000000	49510
5500000000	49857
5600000000	49853
5700000000	49502
5800000000	49440
5900000000	49543
6000000000	49241
6100000000	49258
6200000000	49491
6300000000	50064
6400000000	49524
6500000000	49934
6600000000	49387
6700000000	49421
6800000000	49609
6900000000	49608
7000000000	49832
7100000000	49839
7200000000	49132
7300000000	49263
7400000000	49370
7500000000	49761
7600000000	49821
7700000000	49744
7800000000	49676
7900000000	49787
8000000000	49376
8100000000	49726
8200000000	49481
8300000000	49984
8400000000	49857
8500000000	49308
8600000000	49826
8700000000	49587
8800000000	49180
8900000000	49286
9000000000	49790
9100000000	49550
9200000000	49510
9300000000	49488
9400000000	49237
9500000000	49320
9600000000	49579
9700000000	49528
9800000000	49654
9900000000	49622
10000000000	49591
10100000000	49737
10200000000	49546
10300000000	49612
10400000000	49763
10500000000	49711
10600000000	49537
10700000000	49836
10800000000	49675
10900000000	49933
11000000000	49868
11100000000	49470
11200000000	49921
11300000000	49537
11400000000	49875
11500000000	49369
11600000000	49692
11700000000	49596
11800000000	49561
11900000000	49330
12000000000	49663
12100000000	49081
12200000000	49773
12300000000	49669
12400000000	50300
12500000000	49442
12600000000	49637
12700000000	49612
12800000000	49367
12900000000	49049
13000000000	49644
13100000000	49482
13200000000	49876
13300000000	49591
13400000000	49655
13500000000	49575
13600000000	49653
13700000000	49685
13800000000	49339
13900000000	49737
14000000000	49713
14100000000	49645
14200000000	49898
14300000000	49517
14400000000	49022
14500000000	49473
14600000000	49402
14700000000	49281
14800000000	49471
14900000000	49090
15000000000	49997
15100000000	49315
15200000000	49323
15300000000	49647
15400000000	49429
15500000000	49506
15600000000	49206
15700000000	49294
15800000000	49415
15900000000	49654
16000000000	49888
16100000000	49545
16200000000	48748
16300000000	49512
16400000000	49503
16500000000	49561
16600000000	49671
16700000000	49457
16800000000	49113
16900000000	49432
17000000000	49226
17100000000	49461
17200000000	49627
17300000000	49610
17400000000	49373
17500000000	49870
17600000000	49598
17700000000	49249
17800000000	49770
17900000000	49342
18000000000	49414
18100000000	49550
18200000000	49639
18300000000	49828
18400000000	49719
18500000000	49288
18600000000	49570
18700000000	49343
18800000000	49614
18900000000	49621
19000000000	49282
19100000000	49668
19200000000	49507
19300000000	49433
19400000000	49361
19500000000	48952
19600000000	49377
19700000000	49712
19800000000	49814
19900000000	49169
20000000000	50163
20100000000	49486
20200000000	49472
20300000000	49561
20400000000	49159
20500000000	49204
20600000000	49591
20700000000	49763
20800000000	49177
20900000000	49608
21000000000	49428
21100000000	49633
21200000000	49642
21300000000	49515
21400000000	49673
21500000000	49485
21600000000	49690
21700000000	49726
21800000000	49319
21900000000	49914
22000000000	49895
22100000000	49051
22200000000	50037
22300000000	49561
22400000000	49649
22500000000	49837
22600000000	49487
22700000000	50092
22800000000	49453
22900000000	49513
23000000000	49487
23100000000	49386
23200000000	49397
23300000000	49217
23400000000	49625
23500000000	49148
23600000000	49076
23700000000	49776
23800000000	49620
23900000000	49659
24000000000	49144
24100000000	49512
24200000000	49420
24300000000	49717
24400000000	49254
24500000000	49234
24600000000	49756
24700000000	49411
24800000000	49628
24900000000	50030
25000000000	49450
25100000000	49215
25200000000	49528
25300000000	49869
25400000000	50313
25500000000	50126
25600000000	50023
25700000000	49758
25800000000	49797
25900000000	49955
26000000000	49727
26100000000	49895
26200000000	50076
26300000000	50176
26400000000	50278
26500000000	49744
26600000000	50489
26700000000	49745
26800000000	50235
26900000000	49808
27000000000	50006
27100000000	49916
27200000000	49479
27300000000	49998
27400000000	50028
27500000000	49915
27600000000	49927
27700000000	49901
27800000000	49629
27900000000	49602
28000000000	50304
28100000000	50266
28200000000	49950
28300000000	49523
28400000000	50022
28500000000	50178
28600000000	49995
28700000000	50147
28800000000	50232
28900000000	49876
29000000000	50007
29100000000	49857
29200000000	50468
29300000000	50347
29400000000	49255
29500000000	49876
29600000000	50103
29700000000	49992
29800000000	50003
29900000000	50212
30000000000	49925
30100000000	49590
30200000000	49883
30300000000	49670
30400000000	50335
30500000000	49828
30600000000	49554
30700000000	49841
30800000000	50109
30900000000	49622
31000000000	49809
31100000000	49797
31200000000	50133
31300000000	49632
31400000000	49841
31500000000	49936
31600000000	49517
31700000000	49893
31800000000	50070
31900000000	49653
32000000000	49474
32100000000	50404
32200000000	49912
32300000000	50230
32400000000	50229
32500000000	49649
32600000000	49550
32700000000	49502
32800000000	50420
32900000000	49904
33000000000	49732
33100000000	49535
33200000000	49667
33300000000	49786
33400000000	50077
33500000000	49919
33600000000	49898
33700000000	49736
33800000000	49819
33900000000	49560
34000000000	49494
34100000000	49768
34200000000	49652
34300000000	50281
34400000000	49494
34500000000	49835
34600000000	49867
34700000000	49830
34800000000	50126
34900000000	49567
35000000000	49504
35100000000	49727
35200000000	49630
35300000000	49738
35400000000	49706
35500000000	50087
35600000000	49967
35700000000	49595
35800000000	50235
35900000000	49736
36000000000	50082
36100000000	49826
36200000000	50188
36300000000	49842
36400000000	49487
36500000000	49885
36600000000	50088
36700000000	49776
36800000000	49816
36900000000	49659
37000000000	49936
37100000000	49535
37200000000	49762
37300000000	49846
37400000000	49966
37500000000	50138
37600000000	49937
37700000000	49688
37800000000	50023
37900000000	49671
38000000000	49629
38100000000	49851
38200000000	49840
38300000000	50222
38400000000	50223
38500000000	49549
38600000000	49989
38700000000	49760
38800000000	49243
38900000000	49586
39000000000	49774
39100000000	49854
39200000000	49820
39300000000	49906
39400000000	49559
39500000000	50088
39600000000	49834
39700000000	49884
39800000000	49658
39900000000	50277
40000000000	50004
40100000000	49671
40200000000	49704
40300000000	50183
40400000000	49918
40500000000	50036
40600000000	49931
40700000000	49636
40800000000	49825
40900000000	49832
41000000000	49632
41100000000	49575
41200000000	49642
41300000000	49926
41400000000	49851
41500000000	49989
41600000000	49842
41700000000	49530
41800000000	49902
41900000000	50270
42000000000	49876
42100000000	50106
42200000000	49894
42300000000	49481
42400000000	49650
42500000000	49714
42600000000	49823
42700000000	50195
42800000000	49293
42900000000	49498
43000000000	49551
43100000000	49868
43200000000	49721
43300000000	50007
43400000000	49807
43500000000	49427
43600000000	49159
43700000000	49773
43800000000	49855
43900000000	49783
44000000000	49468
44100000000	50044
44200000000	49742
44300000000	49962
44400000000	50017
44500000000	49818
44600000000	49705
44700000000	49841
44800000000	49661
44900000000	49539
45000000000	49781
45100000000	49909
45200000000	49357
45300000000	50006
45400000000	49636
45500000000	49777
45600000000	49712
45700000000	49565
45800000000	49451
45900000000	49826
46000000000	50113
46100000000	49328
46200000000	49514
46300000000	49870
46400000000	50009
46500000000	50263
46600000000	50122
46700000000	49732
46800000000	49938
46900000000	49672
47000000000	49862
47100000000	49838
47200000000	49670
47300000000	49507
47400000000	49902
47500000000	49679
47600000000	49620
47700000000	49735
47800000000	49829
47900000000	49963
48000000000	49835
48100000000	49973
48200000000	49962
48300000000	49817
48400000000	49915
48500000000	49500
48600000000	49852
48700000000	50106
48800000000	50022
48900000000	50228
49000000000	49937
49100000000	49447
49200000000	49942
49300000000	49766
49400000000	49437
49500000000	49530
49600000000	49975
49700000000	50098
49800000000	49781
49900000000	49873
50000000000	50096
50100000000	50153
50200000000	49563
50300000000	49896
50400000000	49618
50500000000	49598
50600000000	49837
50700000000	49725
50800000000	49898
50900000000	49530
51000000000	49490
51100000000	49593
51200000000	49404
51300000000	49668
51400000000	49852
51500000000	49516
51600000000	49574
51700000000	49992
51800000000	49384
51900000000	49551
52000000000	49527
52100000000	49613
52200000000	49567
52300000000	49522
52400000000	49981
52500000000	49622
52600000000	49163
52700000000	49623
52800000000	49514
52900000000	49943
53000000000	49950
53100000000	49621
53200000000	49274
53300000000	49844
53400000000	49582
53500000000	49636
53600000000	49573
53700000000	49874
53800000000	49455
53900000000	49549
54000000000	49326
54100000000	49329
54200000000	49427
54300000000	49790
54400000000	49643
54500000000	49361
54600000000	50012
54700000000	49590
54800000000	49931
54900000000	49740
55000000000	49706
55100000000	49714
55200000000	49511
55300000000	49725
55400000000	49563
55500000000	49870
55600000000	49789
55700000000	49473
55800000000	49484
55900000000	49523
56000000000	49286
56100000000	49246
56200000000	49462
56300000000	50011
56400000000	49551
56500000000	49925
56600000000	49369
56700000000	49460
56800000000	49633
