"Time (ps)"	"Counts per bin"
0	97852
100000000	98761
200000000	99116
300000000	99612
400000000	99844
500000000	100078
600000000	99031
700000000	100015
800000000	99262
900000000	100411
1000000000	99616
1100000000	99913
1200000000	100087
1300000000	99711
1400000000	99851
1500000000	99131
1600000000	99681
1700000000	99638
1800000000	99359
1900000000	99714
2000000000	100130
2100000000	99781
2200000000	100178
2300000000	99745
2400000000	99764
2500000000	99816
2600000000	100030
2700000000	100053
2800000000	100424
2900000000	100105
3000000000	99541
3100000000	100061
3200000000	100256
3300000000	99347
3400000000	99709
3500000000	100188
3600000000	100068
3700000000	100202
3800000000	100682
3900000000	99367
4000000000	100253
4100000000	99214
4200000000	99333
4300000000	99705
4400000000	100457
4500000000	100338
4600000000	99941
4700000000	99732
4800000000	100195
4900000000	99471
5000000000	100223
5100000000	99396
5200000000	99412
5300000000	100417
5400000000	99922
5500000000	99418
5600000000	99669
5700000000	99785
5800000000	99833
5900000000	100117
6000000000	100048
6100000000	99158
6200000000	100489
6300000000	100189
6400000000	99862
6500000000	99846
6600000000	100313
6700000000	100053
6800000000	100328
6900000000	99793
7000000000	100452
7100000000	99960
7200000000	99361
7300000000	100309
7400000000	100597
7500000000	100240
7600000000	99864
7700000000	99944
7800000000	99726
7900000000	99626
8000000000	100646
8100000000	99798
8200000000	100276
8300000000	99729
8400000000	99879
8500000000	100264
8600000000	100034
8700000000	99565
8800000000	99795
8900000000	99711
9000000000	99438
9100000000	100357
9200000000	100273
9300000000	99700
9400000000	100065
9500000000	99803
9600000000	100223
9700000000	100034
9800000000	99785
9900000000	100176
10000000000	99969
10100000000	99889
10200000000	99751
10300000000	99946
10400000000	99861
10500000000	100401
10600000000	100267
10700000000	100021
10800000000	100127
10900000000	100028
11000000000	100547
11100000000	100239
11200000000	100325
11300000000	100065
11400000000	99846
11500000000	100206
11600000000	99763
11700000000	100281
11800000000	100032
11900000000	99960
12000000000	99590
12100000000	99897
12200000000	100118
12300000000	99839
12400000000	99857
12500000000	100230
12600000000	100557
12700000000	99740
12800000000	99873
12900000000	99929
13000000000	100686
13100000000	99766
13200000000	99732
13300000000	100239
13400000000	99868
13500000000	100002
13600000000	99871
13700000000	100319
13800000000	99891
13900000000	100190
14000000000	100694
14100000000	99965
14200000000	99668
14300000000	100068
14400000000	100207
14500000000	100532
14600000000	99121
14700000000	100333
14800000000	99927
14900000000	100136
15000000000	100165
15100000000	99522
15200000000	99516
15300000000	100370
15400000000	100180
15500000000	100300
15600000000	100204
15700000000	100133
15800000000	99964
15900000000	99954
16000000000	99900
16100000000	99890
16200000000	100245
16300000000	99953
16400000000	101114
16500000000	99616
16600000000	100120
16700000000	99950
16800000000	99911
16900000000	100190
17000000000	99817
17100000000	100111
17200000000	99448
17300000000	100079
17400000000	99806
17500000000	100289
17600000000	100398
17700000000	100525
17800000000	100065
17900000000	100317
18000000000	100058
18100000000	99733
18200000000	100202
18300000000	99585
18400000000	99818
18500000000	99484
18600000000	99585
18700000000	99658
18800000000	100078
18900000000	100513
19000000000	99915
19100000000	99529
19200000000	100153
19300000000	100183
19400000000	99889
19500000000	99693
19600000000	100075
19700000000	99798
19800000000	100013
19900000000	100073
20000000000	99303
20100000000	99852
20200000000	100677
20300000000	100248
20400000000	100390
20500000000	100270
20600000000	100124
20700000000	99507
20800000000	100211
20900000000	100113
21000000000	100213
21100000000	100082
21200000000	99717
21300000000	100242
21400000000	100174
21500000000	99898
21600000000	99802
21700000000	99458
21800000000	100641
21900000000	99631
22000000000	99468
22100000000	100323
22200000000	99912
22300000000	100403
22400000000	100396
22500000000	100203
22600000000	99842
22700000000	100325
22800000000	100167
22900000000	99465
23000000000	99526
23100000000	99901
23200000000	100140
23300000000	99565
23400000000	100232
23500000000	100132
23600000000	99555
23700000000	100232
23800000000	100461
23900000000	99802
24000000000	99759
24100000000	100520
24200000000	99924
24300000000	100188
24400000000	99876
24500000000	100393
24600000000	100891
24700000000	100506
24800000000	99810
24900000000	99775
25000000000	98851
25100000000	98961
25200000000	98529
25300000000	97561
25400000000	97563
25500000000	97062
25600000000	97045
25700000000	96644
25800000000	96862
25900000000	96259
26000000000	96754
26100000000	96635
26200000000	96608
26300000000	96715
26400000000	96745
26500000000	96666
26600000000	96277
26700000000	95845
26800000000	96581
26900000000	96775
27000000000	96760
27100000000	96327
27200000000	96820
27300000000	96796
27400000000	96163
27500000000	96795
27600000000	96538
27700000000	96741
27800000000	96851
27900000000	96722
28000000000	96673
28100000000	97543
28200000000	96626
28300000000	96634
28400000000	96730
28500000000	96953
28600000000	97100
28700000000	96308
28800000000	96676
28900000000	96940
29000000000	97182
29100000000	96752
29200000000	96248
29300000000	96943
29400000000	97187
29500000000	96101
29600000000	96573
29700000000	96357
29800000000	97107
29900000000	96833
30000000000	96712
30100000000	97682
30200000000	96385
30300000000	96463
30400000000	96521
30500000000	96983
30600000000	96616
30700000000	96852
30800000000	96828
30900000000	96988
31000000000	96607
31100000000	97071
31200000000	96873
31300000000	96807
31400000000	97806
31500000000	97005
31600000000	96335
31700000000	96531
31800000000	97407
31900000000	96876
32000000000	96998
32100000000	97503
32200000000	97154
32300000000	96908
32400000000	96545
32500000000	97612
32600000000	96966
32700000000	97388
32800000000	97170
32900000000	97204
33000000000	97169
33100000000	97004
33200000000	97055
33300000000	97370
33400000000	96507
33500000000	96959
33600000000	96505
33700000000	97028
33800000000	97381
33900000000	97594
34000000000	96907
34100000000	97154
34200000000	97254
34300000000	96565
34400000000	96844
34500000000	96754
34600000000	96719
34700000000	96709
34800000000	97223
34900000000	96777
35000000000	96905
35100000000	96609
35200000000	97295
35300000000	97469
35400000000	96819
35500000000	97467
35600000000	97406
35700000000	97002
35800000000	96991
35900000000	97258
36000000000	96430
36100000000	97331
36200000000	97258
36300000000	97129
36400000000	96833
36500000000	97633
36600000000	97323
36700000000	97404
36800000000	96808
36900000000	97273
37000000000	96450
37100000000	97072
37200000000	97228
37300000000	96709
37400000000	97517
37500000000	97213
37600000000	97247
37700000000	97243
37800000000	97254
37900000000	97320
38000000000	97317
38100000000	96905
38200000000	96671
38300000000	96971
38400000000	97383
38500000000	97081
38600000000	97127
38700000000	97048
38800000000	97187
38900000000	97319
39000000000	97191
39100000000	97756
39200000000	97284
39300000000	97130
39400000000	97021
39500000000	97083
39600000000	97353
39700000000	97371
39800000000	97158
39900000000	97197
40000000000	96896
40100000000	96761
40200000000	97285
40300000000	97738
40400000000	97237
40500000000	96994
40600000000	97228
40700000000	96950
40800000000	97057
40900000000	96732
41000000000	97170
41100000000	97530
41200000000	97421
41300000000	96972
41400000000	96948
41500000000	96751
41600000000	96889
41700000000	96894
41800000000	97285
41900000000	97634
42000000000	97465
42100000000	96676
42200000000	97265
42300000000	97601
42400000000	97676
42500000000	97158
42600000000	97657
42700000000	96848
42800000000	96950
42900000000	96827
43000000000	96972
43100000000	97450
43200000000	97298
43300000000	96923
43400000000	97440
43500000000	96896
43600000000	96923
43700000000	96516
43800000000	97698
43900000000	96304
44000000000	96912
44100000000	97420
44200000000	97035
44300000000	96740
44400000000	96442
44500000000	97073
44600000000	97244
44700000000	96802
44800000000	96668
44900000000	97199
45000000000	97134
45100000000	96464
45200000000	96901
45300000000	97116
45400000000	96897
45500000000	97285
45600000000	97137
45700000000	97154
45800000000	97587
45900000000	97496
46000000000	97352
46100000000	97143
46200000000	96677
46300000000	97104
46400000000	97636
46500000000	97058
46600000000	96964
46700000000	97268
46800000000	97024
46900000000	97304
47000000000	97244
47100000000	97088
47200000000	97646
47300000000	97381
47400000000	96733
47500000000	97041
47600000000	97889
47700000000	96930
47800000000	97089
47900000000	97408
48000000000	97084
48100000000	97537
48200000000	97393
48300000000	97467
48400000000	97744
48500000000	97417
48600000000	97602
48700000000	97412
48800000000	97100
48900000000	97277
49000000000	97743
49100000000	97242
49200000000	97306
49300000000	97122
49400000000	97407
49500000000	97390
49600000000	97313
49700000000	97545
49800000000	97489
49900000000	97455
50000000000	97864
50100000000	98610
50200000000	99099
50300000000	99573
50400000000	99800
50500000000	99960
50600000000	99038
50700000000	99933
50800000000	99146
50900000000	100339
51000000000	99631
51100000000	99873
51200000000	100061
51300000000	99647
51400000000	99859
51500000000	98995
51600000000	99640
51700000000	99620
51800000000	99198
51900000000	99740
52000000000	100070
52100000000	99751
52200000000	100028
52300000000	99818
52400000000	99722
52500000000	99729
52600000000	99921
52700000000	100044
52800000000	100432
52900000000	99994
53000000000	99427
53100000000	100028
53200000000	100238
53300000000	99388
53400000000	99649
53500000000	100056
53600000000	100045
53700000000	100103
53800000000	100614
53900000000	99295
54000000000	100198
54100000000	99198
54200000000	99380
54300000000	99470
54400000000	100404
54500000000	100391
54600000000	99784
54700000000	99738
54800000000	100085
54900000000	99502
55000000000	100130
55100000000	99395
55200000000	99396
55300000000	100314
55400000000	99819
55500000000	99416
55600000000	99578
55700000000	99726
55800000000	99789
55900000000	99990
56000000000	100043
56100000000	99085
56200000000	100286
56300000000	100272
56400000000	99821
56500000000	99779
56600000000	100417
56700000000	99896
56800000000	100206
56900000000	99750
57000000000	100282
57100000000	100081
57200000000	99288
57300000000	100230
57400000000	100522
57500000000	100196
57600000000	99783
57700000000	99845
57800000000	99823
57900000000	99414
58000000000	100595
58100000000	99802
58200000000	100142
58300000000	99742
58400000000	99726
58500000000	100246
58600000000	100034
58700000000	99482
58800000000	99805
58900000000	99629
59000000000	99520
59100000000	100129
59200000000	100295
59300000000	99618
59400000000	100053
59500000000	99717
59600000000	100166
59700000000	99961
59800000000	99720
59900000000	100058
60000000000	99979
60100000000	99843
60200000000	99705
60300000000	99862
60400000000	99862
60500000000	100326
60600000000	100229
60700000000	99884
60800000000	100186
60900000000	99889
61000000000	100555
61100000000	100099
61200000000	100351
61300000000	99953
61400000000	99858
61500000000	100188
61600000000	99755
61700000000	99966
61800000000	100228
61900000000	99816
62000000000	99579
62100000000	99884
62200000000	100059
62300000000	99656
62400000000	99796
62500000000	100188
62600000000	100607
62700000000	99701
62800000000	99802
62900000000	99916
63000000000	100627
63100000000	99634
63200000000	99812
63300000000	100116
63400000000	99801
63500000000	99976
63600000000	99798
63700000000	100376
63800000000	99755
63900000000	100083
64000000000	100677
64100000000	99861
64200000000	99679
64300000000	99973
64400000000	100232
64500000000	100454
64600000000	99034
64700000000	100279
64800000000	99959
64900000000	100026
65000000000	100191
65100000000	99485
65200000000	99421
65300000000	100204
65400000000	100063
65500000000	100279
65600000000	100283
65700000000	100034
65800000000	99988
65900000000	99952
66000000000	99805
66100000000	99839
66200000000	100100
66300000000	99933
66400000000	100957
66500000000	99563
66600000000	100173
66700000000	99888
66800000000	99847
66900000000	100120
67000000000	99866
67100000000	99980
67200000000	99380
67300000000	99970
67400000000	99761
67500000000	100372
67600000000	100283
67700000000	100516
67800000000	99962
67900000000	100300
68000000000	99996
68100000000	99676
68200000000	100132
68300000000	99619
68400000000	99690
68500000000	99446
68600000000	99473
68700000000	99678
68800000000	99952
68900000000	100386
69000000000	99991
69100000000	99474
69200000000	100123
69300000000	100173
69400000000	99687
69500000000	99680
69600000000	100056
69700000000	99764
69800000000	99975
69900000000	100009
70000000000	99299
70100000000	99751
70200000000	100593
70300000000	100185
70400000000	100389
70500000000	100259
70600000000	100006
70700000000	99365
70800000000	100214
70900000000	100076
71000000000	100191
71100000000	100038
71200000000	99723
71300000000	100140
71400000000	100126
71500000000	99829
71600000000	99772
71700000000	99375
71800000000	100636
71900000000	99645
72000000000	99340
72100000000	100215
72200000000	99863
72300000000	100423
72400000000	100371
72500000000	100184
72600000000	99682
72700000000	100327
72800000000	100083
72900000000	99485
73000000000	99470
73100000000	99812
73200000000	100006
73300000000	99644
73400000000	100085
73500000000	100224
73600000000	99486
73700000000	100183
73800000000	100335
73900000000	99786
74000000000	99762
74100000000	100396
74200000000	99775
74300000000	100244
74400000000	99733
74500000000	100424
74600000000	100810
74700000000	100459
74800000000	99779
74900000000	99936
75000000000	98733
75100000000	98919
75200000000	98310
75300000000	97569
75400000000	97549
75500000000	96990
75600000000	96985
75700000000	96708
75800000000	96635
75900000000	96338
76000000000	96657
76100000000	96643
76200000000	96576
76300000000	96684
76400000000	96614
76500000000	96697
76600000000	96209
76700000000	95710
76800000000	96603
76900000000	96777
77000000000	96707
77100000000	96278
77200000000	96763
77300000000	96713
77400000000	96065
77500000000	96734
77600000000	96615
77700000000	96681
77800000000	96720
77900000000	96801
78000000000	96562
78100000000	97305
78200000000	96764
78300000000	96540
78400000000	96723
78500000000	96893
78600000000	97019
78700000000	96274
78800000000	96624
78900000000	96950
79000000000	97155
79100000000	96703
79200000000	96132
79300000000	96848
79400000000	97177
79500000000	96168
79600000000	96443
79700000000	96311
79800000000	97069
79900000000	96726
80000000000	96733
80100000000	97494
80200000000	96324
80300000000	96465
80400000000	96572
80500000000	96852
80600000000	96714
80700000000	96759
80800000000	96651
80900000000	97107
81000000000	96543
81100000000	96918
81200000000	96831
81300000000	96775
81400000000	97744
81500000000	96929
81600000000	96388
81700000000	96418
81800000000	97331
81900000000	96799
82000000000	96962
82100000000	97403
82200000000	97156
82300000000	96779
82400000000	96580
82500000000	97610
82600000000	96821
82700000000	97363
82800000000	97244
82900000000	97110
83000000000	97036
83100000000	97014
83200000000	96979
83300000000	97337
83400000000	96376
83500000000	97012
83600000000	96365
83700000000	97024
