"Time (ps)"	"Counts per bin"
0	477
1000000	514
2000000	501
3000000	481
4000000	492
5000000	491
6000000	523
7000000	470
8000000	530
9000000	493
10000000	493
11000000	486
12000000	460
13000000	488
14000000	505
15000000	469
16000000	474
17000000	506
18000000	477
19000000	466
20000000	435
21000000	461
22000000	467
23000000	460
24000000	476
25000000	453
26000000	457
27000000	465
28000000	409
29000000	450
30000000	477
31000000	446
32000000	451
33000000	443
34000000	448
35000000	453
36000000	416
37000000	415
38000000	428
39000000	409
40000000	419
41000000	428
42000000	420
43000000	437
44000000	416
45000000	438
46000000	451
47000000	412
48000000	395
49000000	452
50000000	390
51000000	403
52000000	363
53000000	382
54000000	418
55000000	409
56000000	370
57000000	409
58000000	370
59000000	398
60000000	390
61000000	394
62000000	373
63000000	374
64000000	387
65000000	357
66000000	375
67000000	348
68000000	353
69000000	392
70000000	355
71000000	334
72000000	368
73000000	341
74000000	309
75000000	375
76000000	359
77000000	350
78000000	335
79000000	347
80000000	325
81000000	312
82000000	333
83000000	342
84000000	345
85000000	351
86000000	313
87000000	338
88000000	341
89000000	303
90000000	315
91000000	327
92000000	320
93000000	291
94000000	317
95000000	320
96000000	309
97000000	312
98000000	292
99000000	309
100000000	300
101000000	314
102000000	298
103000000	299
104000000	314
105000000	307
106000000	296
107000000	280
108000000	250
109000000	300
110000000	283
111000000	298
112000000	293
113000000	300
114000000	286
115000000	295
116000000	307
117000000	276
118000000	291
119000000	265
120000000	268
121000000	261
122000000	284
123000000	306
124000000	285
125000000	272
126000000	246
127000000	221
128000000	270
129000000	271
130000000	287
131000000	278
132000000	253
133000000	248
134000000	273
135000000	249
136000000	258
137000000	233
138000000	251
139000000	266
140000000	256
141000000	233
142000000	251
143000000	293
144000000	237
145000000	253
146000000	253
147000000	231
148000000	236
149000000	232
150000000	236
151000000	244
152000000	259
153000000	215
154000000	220
155000000	266
156000000	216
157000000	263
158000000	202
159000000	227
160000000	228
161000000	216
162000000	219
163000000	201
164000000	216
165000000	212
166000000	206
167000000	218
168000000	208
169000000	203
170000000	215
171000000	205
172000000	202
173000000	219
174000000	220
175000000	203
176000000	226
177000000	191
178000000	192
179000000	232
180000000	212
181000000	201
182000000	181
183000000	211
184000000	184
185000000	180
186000000	209
187000000	176
188000000	189
189000000	188
190000000	205
191000000	218
192000000	185
193000000	176
194000000	190
195000000	172
196000000	182
197000000	188
198000000	188
199000000	178
200000000	180
201000000	189
202000000	184
203000000	182
204000000	149
205000000	188
206000000	165
207000000	188
208000000	148
209000000	196
210000000	184
211000000	181
212000000	155
213000000	182
214000000	159
215000000	154
216000000	171
217000000	177
218000000	206
219000000	151
220000000	157
221000000	171
222000000	166
223000000	156
224000000	177
225000000	175
226000000	150
227000000	160
228000000	142
229000000	151
230000000	131
231000000	155
232000000	125
233000000	147
234000000	168
235000000	164
236000000	163
237000000	148
238000000	151
239000000	145
240000000	154
241000000	154
242000000	143
243000000	157
244000000	145
245000000	126
246000000	140
247000000	137
248000000	129
249000000	158
250000000	155
251000000	137
252000000	131
253000000	134
254000000	135
255000000	131
256000000	129
257000000	128
258000000	135
259000000	141
260000000	134
261000000	140
262000000	125
263000000	119
264000000	128
265000000	152
266000000	129
267000000	135
268000000	133
269000000	139
270000000	150
271000000	132
272000000	148
273000000	128
274000000	119
275000000	102
276000000	114
277000000	122
278000000	143
279000000	119
280000000	131
281000000	117
282000000	104
283000000	105
284000000	148
285000000	112
286000000	122
287000000	131
288000000	110
289000000	112
290000000	114
291000000	134
292000000	111
293000000	110
294000000	112
295000000	90
296000000	119
297000000	128
298000000	110
299000000	97
300000000	93
301000000	98
302000000	130
303000000	104
304000000	105
305000000	108
306000000	102
307000000	105
308000000	100
309000000	106
310000000	95
311000000	97
312000000	98
313000000	103
314000000	97
315000000	110
316000000	103
317000000	94
318000000	109
319000000	103
320000000	108
321000000	116
322000000	97
323000000	97
324000000	112
325000000	92
326000000	116
327000000	94
328000000	101
329000000	107
330000000	95
331000000	83
332000000	89
333000000	78
334000000	87
335000000	98
336000000	104
337000000	100
338000000	96
339000000	93
340000000	82
341000000	88
342000000	90
343000000	104
344000000	98
345000000	97
346000000	80
347000000	73
348000000	100
349000000	101
350000000	84
351000000	99
352000000	95
353000000	87
354000000	86
355000000	86
356000000	80
357000000	86
358000000	76
359000000	65
360000000	88
361000000	71
362000000	88
363000000	76
364000000	102
365000000	90
366000000	83
367000000	77
368000000	77
369000000	69
370000000	89
371000000	84
372000000	70
373000000	90
374000000	87
375000000	91
376000000	82
377000000	71
378000000	78
379000000	75
380000000	80
381000000	76
382000000	79
383000000	72
384000000	66
385000000	66
386000000	79
387000000	81
388000000	65
389000000	63
390000000	67
391000000	61
392000000	67
393000000	73
394000000	86
395000000	71
396000000	81
397000000	68
398000000	66
399000000	82
400000000	68
401000000	65
402000000	81
403000000	72
404000000	64
405000000	76
406000000	67
407000000	67
408000000	65
409000000	47
410000000	70
411000000	61
412000000	75
413000000	60
414000000	67
415000000	55
416000000	53
417000000	72
418000000	72
419000000	48
420000000	71
421000000	58
422000000	79
423000000	61
424000000	73
425000000	64
426000000	54
427000000	59
428000000	73
429000000	55
430000000	60
431000000	84
432000000	47
433000000	64
434000000	64
435000000	51
436000000	60
437000000	62
438000000	73
439000000	55
440000000	45
441000000	69
442000000	52
443000000	63
444000000	78
445000000	54
446000000	62
447000000	67
448000000	46
449000000	58
450000000	63
451000000	60
452000000	64
453000000	67
454000000	49
455000000	65
456000000	60
457000000	57
458000000	52
459000000	46
460000000	61
461000000	40
462000000	54
463000000	50
464000000	53
465000000	39
466000000	62
467000000	56
468000000	51
469000000	63
470000000	56
471000000	59
472000000	44
473000000	43
474000000	64
475000000	43
476000000	65
477000000	46
478000000	53
479000000	44
480000000	54
481000000	47
482000000	46
483000000	47
484000000	50
485000000	45
486000000	48
487000000	54
488000000	52
489000000	43
490000000	48
491000000	44
492000000	54
493000000	49
494000000	50
495000000	52
496000000	48
497000000	48
498000000	41
499000000	60
500000000	37
501000000	43
502000000	46
503000000	40
504000000	53
505000000	38
506000000	55
507000000	45
508000000	42
509000000	43
510000000	41
511000000	35
512000000	49
513000000	51
514000000	55
515000000	52
516000000	37
517000000	46
518000000	40
519000000	49
520000000	47
521000000	51
522000000	37
523000000	31
524000000	44
525000000	32
526000000	36
527000000	49
528000000	36
529000000	37
530000000	35
531000000	37
532000000	49
533000000	48
534000000	36
535000000	33
536000000	47
537000000	40
538000000	50
539000000	43
540000000	31
541000000	29
542000000	26
543000000	38
544000000	45
545000000	30
546000000	32
547000000	46
548000000	32
549000000	34
550000000	25
551000000	49
552000000	25
553000000	36
554000000	33
555000000	36
556000000	25
557000000	36
558000000	36
559000000	44
560000000	31
561000000	36
562000000	26
563000000	43
564000000	39
565000000	30
566000000	31
567000000	28
568000000	18
569000000	34
570000000	36
571000000	37
572000000	33
573000000	36
574000000	24
575000000	30
576000000	31
577000000	32
578000000	42
579000000	35
580000000	42
581000000	27
582000000	36
583000000	37
584000000	30
585000000	37
586000000	38
587000000	43
588000000	45
589000000	33
590000000	34
591000000	32
592000000	29
593000000	21
594000000	30
595000000	35
596000000	29
597000000	26
598000000	25
599000000	34
600000000	30
601000000	28
602000000	28
603000000	23
604000000	29
605000000	32
606000000	33
607000000	21
608000000	23
609000000	29
610000000	19
611000000	28
612000000	35
613000000	29
614000000	30
615000000	42
616000000	29
617000000	31
618000000	28
619000000	28
620000000	37
621000000	28
622000000	38
623000000	31
624000000	28
625000000	30
626000000	27
627000000	32
628000000	30
629000000	23
630000000	35
631000000	33
632000000	13
633000000	24
634000000	27
635000000	27
636000000	28
637000000	25
638000000	18
639000000	33
640000000	24
641000000	23
642000000	29
643000000	21
644000000	20
645000000	41
646000000	32
647000000	23
648000000	21
649000000	28
650000000	20
651000000	22
652000000	26
653000000	22
654000000	31
655000000	20
656000000	20
657000000	18
658000000	34
659000000	23
660000000	16
661000000	22
662000000	12
663000000	32
664000000	23
665000000	28
666000000	23
667000000	23
668000000	20
669000000	29
670000000	25
671000000	24
672000000	30
673000000	21
674000000	17
675000000	24
676000000	30
677000000	25
678000000	14
679000000	22
680000000	26
681000000	23
682000000	22
683000000	20
684000000	23
685000000	12
686000000	27
687000000	22
688000000	24
689000000	18
690000000	33
691000000	31
692000000	20
693000000	33
694000000	20
695000000	23
696000000	19
697000000	12
698000000	22
699000000	20
700000000	17
701000000	21
702000000	29
703000000	17
704000000	23
705000000	20
706000000	23
707000000	25
708000000	30
709000000	19
710000000	25
711000000	28
712000000	24
713000000	28
714000000	17
715000000	23
716000000	19
717000000	24
718000000	22
719000000	20
720000000	15
721000000	9
722000000	15
723000000	12
724000000	22
725000000	18
726000000	20
727000000	16
728000000	15
729000000	13
730000000	20
731000000	19
732000000	17
733000000	22
734000000	25
735000000	21
736000000	19
737000000	19
738000000	24
739000000	21
740000000	14
741000000	14
742000000	19
743000000	16
744000000	18
745000000	7
746000000	14
747000000	20
748000000	20
749000000	14
750000000	18
751000000	16
752000000	20
753000000	14
754000000	21
755000000	15
756000000	14
757000000	13
758000000	29
759000000	15
760000000	22
761000000	19
762000000	19
763000000	15
764000000	15
765000000	19
766000000	30
767000000	17
768000000	16
769000000	10
770000000	26
771000000	18
772000000	20
773000000	18
774000000	21
775000000	17
776000000	21
777000000	19
778000000	17
779000000	17
780000000	15
781000000	15
782000000	17
783000000	12
784000000	12
785000000	14
786000000	9
787000000	21
788000000	17
789000000	10
790000000	12
791000000	20
792000000	18
793000000	9
794000000	18
795000000	21
796000000	10
797000000	17
798000000	12
799000000	20
800000000	12
801000000	5
802000000	13
803000000	20
804000000	9
805000000	17
806000000	12
807000000	15
808000000	9
809000000	8
810000000	15
811000000	10
812000000	23
813000000	13
814000000	13
815000000	13
816000000	10
817000000	21
818000000	15
819000000	11
820000000	16
821000000	14
822000000	14
823000000	9
824000000	18
825000000	6
826000000	13
827000000	7
828000000	11
829000000	17
830000000	17
831000000	8
832000000	14
833000000	19
834000000	13
835000000	18
836000000	15
837000000	16
838000000	15
839000000	9
840000000	15
841000000	5
842000000	10
843000000	17
844000000	13
845000000	6
846000000	13
847000000	11
848000000	16
849000000	13
850000000	11
851000000	13
852000000	9
853000000	16
854000000	11
855000000	10
856000000	8
857000000	12
858000000	10
859000000	16
860000000	10
861000000	14
862000000	1
863000000	8
864000000	7
865000000	8
866000000	12
867000000	12
868000000	18
869000000	8
870000000	10
871000000	9
872000000	13
873000000	16
874000000	6
875000000	9
876000000	13
877000000	9
878000000	8
879000000	16
880000000	14
881000000	13
882000000	13
883000000	8
884000000	8
885000000	8
886000000	16
887000000	12
888000000	10
889000000	11
890000000	17
891000000	9
892000000	12
893000000	8
894000000	2
895000000	7
896000000	16
897000000	8
898000000	8
899000000	13
900000000	16
901000000	7
902000000	12
903000000	12
904000000	16
905000000	8
906000000	18
907000000	7
908000000	13
909000000	6
910000000	7
911000000	11
912000000	12
913000000	9
914000000	11
915000000	4
916000000	9
917000000	11
918000000	6
919000000	14
920000000	6
921000000	5
922000000	6
923000000	12
924000000	5
925000000	10
926000000	10
927000000	11
928000000	13
929000000	9
930000000	11
931000000	8
932000000	10
933000000	11
934000000	10
935000000	12
936000000	7
937000000	18
938000000	4
939000000	11
940000000	7
941000000	7
942000000	7
943000000	7
944000000	13
945000000	6
946000000	7
947000000	6
948000000	1
949000000	10
950000000	10
951000000	9
952000000	11
953000000	10
954000000	10
955000000	5
956000000	5
957000000	11
958000000	8
959000000	10
960000000	9
961000000	8
962000000	7
963000000	7
964000000	5
965000000	6
966000000	6
967000000	4
968000000	4
969000000	3
970000000	11
971000000	1
972000000	5
973000000	7
974000000	4
975000000	11
976000000	5
977000000	9
978000000	9
979000000	8
980000000	5
981000000	10
982000000	8
983000000	9
984000000	4
985000000	10
986000000	4
987000000	9
988000000	9
989000000	6
990000000	10
991000000	9
992000000	4
993000000	10
994000000	3
995000000	10
996000000	10
997000000	3
998000000	6
999000000	5
