"Time (ps)"	"Counts per bin"
0	2003
100000000	1809
200000000	1782
300000000	1714
400000000	1636
500000000	1670
600000000	1542
700000000	1518
800000000	1577
900000000	1526
1000000000	1544
1100000000	1523
1200000000	1543
1300000000	1484
1400000000	1523
1500000000	1493
1600000000	1520
1700000000	1504
1800000000	1541
1900000000	1544
2000000000	1507
2100000000	1454
2200000000	1423
2300000000	1482
2400000000	1519
2500000000	1564
2600000000	1456
2700000000	1444
2800000000	1502
2900000000	1448
3000000000	1483
3100000000	1495
3200000000	1494
3300000000	1472
3400000000	1452
3500000000	1468
3600000000	1414
3700000000	1481
3800000000	1509
3900000000	1508
4000000000	1549
4100000000	1432
4200000000	1478
4300000000	1428
4400000000	1433
4500000000	1442
4600000000	1469
4700000000	1495
4800000000	1468
4900000000	1480
5000000000	1381
5100000000	1537
5200000000	1518
5300000000	1408
5400000000	1462
5500000000	1464
5600000000	1512
5700000000	1538
5800000000	1497
5900000000	1430
6000000000	1343
6100000000	1481
6200000000	1449
6300000000	1452
6400000000	1493
6500000000	1487
6600000000	1481
6700000000	1442
6800000000	1429
6900000000	1461
7000000000	1392
7100000000	1539
7200000000	1489
7300000000	1412
7400000000	1437
7500000000	1455
7600000000	1486
7700000000	1511
7800000000	1479
7900000000	1390
8000000000	1457
8100000000	1443
8200000000	1522
8300000000	1558
8400000000	1513
8500000000	1485
8600000000	1471
8700000000	1369
8800000000	1423
8900000000	1445
9000000000	1525
9100000000	1490
9200000000	1403
9300000000	1374
9400000000	1368
9500000000	1455
9600000000	1446
9700000000	1531
9800000000	1451
9900000000	1406
10000000000	1486
10100000000	1492
10200000000	1438
10300000000	1462
10400000000	1488
10500000000	1428
10600000000	1458
10700000000	1494
10800000000	1480
10900000000	1452
11000000000	1544
11100000000	1425
11200000000	1419
11300000000	1492
11400000000	1465
11500000000	1475
11600000000	1479
11700000000	1457
11800000000	1425
11900000000	1465
12000000000	1369
12100000000	1464
12200000000	1434
12300000000	1422
12400000000	1462
12500000000	1440
12600000000	1430
12700000000	1473
12800000000	1524
12900000000	1533
13000000000	1436
13100000000	1461
13200000000	1523
13300000000	1482
13400000000	1516
13500000000	1457
13600000000	1362
13700000000	1469
13800000000	1527
13900000000	1452
14000000000	1482
14100000000	1465
14200000000	1475
14300000000	1429
14400000000	1495
14500000000	1503
14600000000	1461
14700000000	1500
14800000000	1551
14900000000	1448
15000000000	1368
15100000000	1506
15200000000	1485
15300000000	1468
15400000000	1439
15500000000	1426
15600000000	1423
15700000000	1416
15800000000	1412
15900000000	1520
16000000000	1455
16100000000	1443
16200000000	1464
16300000000	1444
16400000000	1399
16500000000	1467
16600000000	1400
16700000000	1433
16800000000	1538
16900000000	1453
17000000000	1463
17100000000	1454
17200000000	1506
17300000000	1478
17400000000	1474
17500000000	1532
17600000000	1438
17700000000	1470
17800000000	1414
17900000000	1439
18000000000	1463
18100000000	1423
18200000000	1423
18300000000	1467
18400000000	1536
18500000000	1456
18600000000	1502
18700000000	1429
18800000000	1453
18900000000	1425
19000000000	1412
19100000000	1450
19200000000	1434
19300000000	1437
19400000000	1369
19500000000	1435
19600000000	1383
19700000000	1470
19800000000	1427
19900000000	1386
20000000000	1462
20100000000	1477
20200000000	1486
20300000000	1480
20400000000	1459
20500000000	1550
20600000000	1427
20700000000	1445
20800000000	1457
20900000000	1485
21000000000	1449
21100000000	1475
21200000000	1495
21300000000	1448
21400000000	1403
21500000000	1418
