"Time (ps)"	"Counts per bin"
0	449
100000000	408
200000000	363
300000000	311
400000000	295
500000000	329
600000000	291
700000000	248
800000000	278
900000000	234
1000000000	240
1100000000	248
1200000000	264
1300000000	259
1400000000	246
1500000000	225
1600000000	237
1700000000	243
1800000000	242
1900000000	245
2000000000	240
2100000000	267
2200000000	220
2300000000	228
2400000000	224
2500000000	252
2600000000	235
2700000000	222
2800000000	225
2900000000	216
3000000000	225
3100000000	234
3200000000	255
3300000000	252
3400000000	230
3500000000	228
3600000000	225
3700000000	228
3800000000	224
3900000000	247
4000000000	225
4100000000	235
4200000000	234
4300000000	241
4400000000	274
4500000000	259
4600000000	207
4700000000	239
4800000000	228
4900000000	212
5000000000	223
5100000000	225
5200000000	224
5300000000	238
5400000000	235
5500000000	237
5600000000	220
5700000000	250
5800000000	224
5900000000	241
6000000000	237
6100000000	229
6200000000	235
6300000000	255
6400000000	216
6500000000	206
6600000000	226
6700000000	215
6800000000	228
6900000000	222
7000000000	228
7100000000	240
7200000000	223
7300000000	246
7400000000	217
7500000000	232
7600000000	239
7700000000	221
7800000000	228
7900000000	222
8000000000	219
8100000000	235
8200000000	260
8300000000	209
8400000000	228
8500000000	264
8600000000	217
8700000000	255
8800000000	233
8900000000	234
9000000000	260
9100000000	218
9200000000	246
9300000000	256
9400000000	252
9500000000	241
9600000000	213
9700000000	229
9800000000	247
9900000000	229
10000000000	222
10100000000	213
10200000000	219
10300000000	237
10400000000	270
10500000000	252
10600000000	234
10700000000	237
10800000000	229
10900000000	205
11000000000	244
11100000000	241
11200000000	222
11300000000	240
11400000000	275
11500000000	215
11600000000	236
11700000000	237
11800000000	268
11900000000	243
12000000000	205
12100000000	214
12200000000	229
12300000000	229
12400000000	264
12500000000	279
12600000000	240
12700000000	228
12800000000	256
12900000000	222
13000000000	221
13100000000	238
13200000000	216
13300000000	232
13400000000	215
13500000000	212
13600000000	224
13700000000	237
13800000000	222
13900000000	210
14000000000	255
14100000000	218
14200000000	229
14300000000	254
14400000000	218
14500000000	214
14600000000	226
14700000000	214
14800000000	201
14900000000	234
15000000000	207
15100000000	239
15200000000	226
15300000000	251
15400000000	237
15500000000	254
15600000000	271
15700000000	203
15800000000	238
15900000000	215
16000000000	245
16100000000	229
16200000000	235
16300000000	223
16400000000	232
16500000000	241
16600000000	223
16700000000	261
16800000000	242
16900000000	228
17000000000	220
17100000000	233
17200000000	273
17300000000	238
17400000000	225
17500000000	279
17600000000	240
17700000000	233
17800000000	226
17900000000	219
18000000000	209
18100000000	235
18200000000	228
18300000000	236
18400000000	233
18500000000	240
18600000000	233
18700000000	235
18800000000	216
18900000000	224
19000000000	217
19100000000	213
19200000000	203
19300000000	240
19400000000	225
19500000000	223
19600000000	230
19700000000	206
19800000000	222
19900000000	192
20000000000	204
20100000000	245
20200000000	237
20300000000	222
20400000000	212
20500000000	212
20600000000	219
20700000000	230
20800000000	218
20900000000	225
21000000000	223
21100000000	227
21200000000	241
21300000000	217
21400000000	238
21500000000	244
21600000000	220
21700000000	216
21800000000	258
21900000000	226
22000000000	238
22100000000	218
22200000000	235
22300000000	230
22400000000	227
22500000000	227
22600000000	232
22700000000	208
22800000000	271
22900000000	221
23000000000	238
23100000000	219
23200000000	250
23300000000	230
23400000000	216
23500000000	227
23600000000	230
23700000000	229
23800000000	204
23900000000	232
24000000000	231
24100000000	246
24200000000	232
24300000000	262
24400000000	205
24500000000	220
24600000000	251
24700000000	222
24800000000	228
24900000000	206
25000000000	243
25100000000	272
