"Time (ps)"	"Counts per bin"
0	112
1000000	97
2000000	107
3000000	94
4000000	85
5000000	112
6000000	104
7000000	70
8000000	96
9000000	96
10000000	95
11000000	96
12000000	107
13000000	117
14000000	93
15000000	111
16000000	75
17000000	104
18000000	109
19000000	90
20000000	92
21000000	95
22000000	89
23000000	93
24000000	96
25000000	96
26000000	87
27000000	91
28000000	99
29000000	95
30000000	97
31000000	97
32000000	87
33000000	103
34000000	79
35000000	105
36000000	87
37000000	103
38000000	87
39000000	107
40000000	83
41000000	101
42000000	87
43000000	97
44000000	96
45000000	84
46000000	80
47000000	85
48000000	99
49000000	81
50000000	87
51000000	80
52000000	80
53000000	91
54000000	82
55000000	72
56000000	99
57000000	78
58000000	92
59000000	77
60000000	84
61000000	91
62000000	100
63000000	81
64000000	97
65000000	75
66000000	100
67000000	83
68000000	70
69000000	107
70000000	94
71000000	93
72000000	78
73000000	95
74000000	79
75000000	83
76000000	94
77000000	86
78000000	80
79000000	64
80000000	77
81000000	68
82000000	82
83000000	74
84000000	92
85000000	86
86000000	60
87000000	90
88000000	77
89000000	84
90000000	73
91000000	76
92000000	82
93000000	85
94000000	92
95000000	72
96000000	68
97000000	69
98000000	81
99000000	76
100000000	84
101000000	88
102000000	83
103000000	76
104000000	73
105000000	85
106000000	75
107000000	76
108000000	55
109000000	68
110000000	65
111000000	78
112000000	67
113000000	86
114000000	68
115000000	62
116000000	86
117000000	73
118000000	62
119000000	57
120000000	71
121000000	58
122000000	59
123000000	62
124000000	65
125000000	70
126000000	70
127000000	69
128000000	61
129000000	74
130000000	70
131000000	77
132000000	75
133000000	63
134000000	55
135000000	76
136000000	68
137000000	67
138000000	65
139000000	59
140000000	69
141000000	65
142000000	67
143000000	68
144000000	66
145000000	83
146000000	61
147000000	78
148000000	62
149000000	77
150000000	49
151000000	60
152000000	69
153000000	66
154000000	73
155000000	51
156000000	52
157000000	56
158000000	61
159000000	54
160000000	62
161000000	56
162000000	56
163000000	56
164000000	61
165000000	59
166000000	67
167000000	58
168000000	64
169000000	66
170000000	66
171000000	66
172000000	72
173000000	70
174000000	73
175000000	65
176000000	67
177000000	61
178000000	59
179000000	46
180000000	70
181000000	54
182000000	48
183000000	73
184000000	66
185000000	60
186000000	56
187000000	55
188000000	71
189000000	59
190000000	53
191000000	42
192000000	56
193000000	60
194000000	65
195000000	56
196000000	51
197000000	65
198000000	64
199000000	43
200000000	68
201000000	58
202000000	37
203000000	51
204000000	50
205000000	58
206000000	44
207000000	60
208000000	45
209000000	47
210000000	56
211000000	57
212000000	61
213000000	64
214000000	49
215000000	39
216000000	58
217000000	56
218000000	46
219000000	45
220000000	49
221000000	55
222000000	42
223000000	43
224000000	37
225000000	46
226000000	49
227000000	55
228000000	65
229000000	45
230000000	52
231000000	60
232000000	44
233000000	49
234000000	51
235000000	52
236000000	39
237000000	51
238000000	46
239000000	46
240000000	53
241000000	41
242000000	46
243000000	49
244000000	51
245000000	54
246000000	45
247000000	48
248000000	57
249000000	50
250000000	46
251000000	48
252000000	57
253000000	31
254000000	43
255000000	49
256000000	48
257000000	48
258000000	30
259000000	48
260000000	38
261000000	47
262000000	32
263000000	38
264000000	48
265000000	31
266000000	43
267000000	42
268000000	56
269000000	45
270000000	46
271000000	52
272000000	42
273000000	35
274000000	51
275000000	28
276000000	45
277000000	56
278000000	40
279000000	35
280000000	38
281000000	57
282000000	34
283000000	51
284000000	43
285000000	33
286000000	35
287000000	37
288000000	40
289000000	49
290000000	27
291000000	43
292000000	40
293000000	42
294000000	36
295000000	36
296000000	46
297000000	49
298000000	38
299000000	38
300000000	40
301000000	43
302000000	31
303000000	46
304000000	44
305000000	41
306000000	36
307000000	38
308000000	43
309000000	36
310000000	37
311000000	35
312000000	32
313000000	34
314000000	26
315000000	40
316000000	41
317000000	31
318000000	42
319000000	38
320000000	47
321000000	26
322000000	38
323000000	41
324000000	46
325000000	38
326000000	36
327000000	34
328000000	32
329000000	48
330000000	58
331000000	39
332000000	37
333000000	30
334000000	27
335000000	42
336000000	42
337000000	41
338000000	42
339000000	28
340000000	27
341000000	38
342000000	33
343000000	36
344000000	37
345000000	41
346000000	24
347000000	46
348000000	44
349000000	33
350000000	41
351000000	30
352000000	44
353000000	45
354000000	39
355000000	32
356000000	30
357000000	34
358000000	34
359000000	30
360000000	35
361000000	39
362000000	41
363000000	32
364000000	38
365000000	23
366000000	37
367000000	33
368000000	37
369000000	34
370000000	40
371000000	40
372000000	36
373000000	32
374000000	23
375000000	23
376000000	33
377000000	38
378000000	33
379000000	36
380000000	25
381000000	42
382000000	35
383000000	34
384000000	37
385000000	23
386000000	37
387000000	33
388000000	32
389000000	50
390000000	27
391000000	36
392000000	34
393000000	40
394000000	25
395000000	28
396000000	32
397000000	28
398000000	35
399000000	46
400000000	30
401000000	36
402000000	29
403000000	27
404000000	21
405000000	28
