"Time (ps)"	"Counts per bin"
0	199
500000	193
1000000	191
1500000	188
2000000	195
2500000	187
3000000	173
3500000	187
4000000	177
4500000	182
5000000	190
5500000	186
6000000	205
6500000	167
7000000	163
7500000	220
8000000	193
8500000	154
9000000	167
9500000	194
10000000	200
10500000	181
11000000	183
11500000	186
12000000	208
12500000	180
13000000	194
13500000	167
14000000	184
14500000	188
15000000	161
15500000	176
16000000	185
16500000	215
17000000	195
17500000	178
18000000	204
18500000	185
19000000	181
19500000	204
20000000	178
20500000	185
21000000	184
21500000	158
22000000	173
22500000	184
23000000	187
23500000	177
24000000	181
24500000	184
25000000	179
25500000	162
26000000	208
26500000	191
27000000	174
27500000	183
28000000	173
28500000	192
29000000	168
29500000	163
30000000	168
30500000	178
31000000	157
31500000	181
32000000	156
32500000	197
33000000	182
33500000	179
34000000	173
34500000	186
35000000	168
35500000	190
36000000	167
36500000	185
37000000	199
37500000	168
38000000	176
38500000	161
39000000	176
39500000	168
40000000	189
40500000	173
41000000	173
41500000	154
42000000	203
42500000	150
43000000	174
43500000	187
44000000	162
44500000	179
45000000	175
45500000	191
46000000	155
46500000	167
47000000	180
47500000	176
48000000	168
48500000	151
49000000	142
49500000	175
50000000	163
50500000	161
51000000	197
51500000	148
52000000	161
52500000	161
53000000	151
53500000	185
54000000	165
54500000	186
55000000	166
55500000	162
56000000	157
56500000	175
57000000	155
57500000	167
58000000	153
58500000	178
59000000	167
59500000	168
60000000	157
60500000	180
61000000	174
61500000	174
62000000	172
62500000	147
63000000	152
63500000	172
64000000	171
64500000	142
65000000	151
65500000	193
66000000	174
66500000	176
67000000	157
67500000	162
68000000	168
68500000	143
69000000	200
69500000	158
70000000	161
70500000	140
71000000	156
71500000	154
72000000	166
72500000	173
73000000	159
73500000	178
74000000	177
74500000	148
75000000	145
75500000	147
76000000	147
76500000	150
77000000	134
77500000	149
78000000	153
78500000	155
79000000	151
79500000	169
80000000	158
80500000	178
81000000	154
81500000	164
82000000	174
82500000	154
83000000	181
83500000	135
84000000	133
84500000	162
85000000	156
85500000	166
86000000	136
86500000	126
87000000	155
87500000	167
88000000	133
88500000	160
89000000	154
89500000	179
90000000	156
90500000	147
91000000	156
91500000	148
92000000	149
92500000	174
93000000	150
93500000	168
94000000	136
94500000	149
95000000	133
95500000	139
96000000	155
96500000	129
97000000	138
97500000	141
98000000	151
98500000	138
99000000	166
99500000	168
100000000	150
100500000	165
101000000	134
101500000	135
102000000	142
102500000	152
103000000	142
103500000	142
104000000	131
104500000	170
105000000	132
105500000	166
106000000	149
106500000	147
107000000	148
107500000	166
108000000	162
108500000	147
109000000	141
109500000	142
110000000	137
110500000	136
111000000	143
111500000	124
112000000	150
112500000	128
