"Time (ps)"	"Counts per bin"
0	9995
100000000	9855
200000000	9704
300000000	9661
400000000	9499
500000000	9718
600000000	9535
700000000	9495
800000000	9560
900000000	9503
1000000000	9647
1100000000	9615
1200000000	9456
1300000000	9530
1400000000	9477
1500000000	9764
1600000000	9543
1700000000	9376
1800000000	9537
1900000000	9408
2000000000	9447
2100000000	9394
2200000000	9567
2300000000	9353
2400000000	9530
2500000000	9534
2600000000	9564
2700000000	9382
2800000000	9716
2900000000	9515
3000000000	9403
3100000000	9504
3200000000	9602
3300000000	9444
3400000000	9611
3500000000	9541
3600000000	9560
3700000000	9469
3800000000	9330
3900000000	9457
4000000000	9624
4100000000	9555
4200000000	9588
4300000000	9508
4400000000	9503
4500000000	9673
4600000000	9451
4700000000	9682
4800000000	9470
4900000000	9489
5000000000	9369
5100000000	9558
5200000000	9551
5300000000	9532
5400000000	9580
5500000000	9444
5600000000	9576
5700000000	9403
5800000000	9567
5900000000	9605
6000000000	9478
6100000000	9493
6200000000	9555
6300000000	9570
6400000000	9578
6500000000	9422
6600000000	9322
6700000000	9603
6800000000	9487
6900000000	9633
7000000000	9603
7100000000	9494
7200000000	9576
7300000000	9547
7400000000	9659
7500000000	9829
7600000000	9675
7700000000	9602
7800000000	9596
7900000000	9508
8000000000	9710
8100000000	9561
8200000000	9418
8300000000	9480
8400000000	9537
8500000000	9612
8600000000	9591
8700000000	9703
8800000000	9535
8900000000	9466
9000000000	9556
9100000000	9585
9200000000	9690
9300000000	9481
9400000000	9635
9500000000	9621
9600000000	9351
9700000000	9500
9800000000	9599
9900000000	9774
10000000000	9717
10100000000	9591
10200000000	9534
10300000000	9402
10400000000	9655
10500000000	9705
10600000000	9595
10700000000	9667
10800000000	9805
10900000000	9750
11000000000	9689
11100000000	9634
11200000000	9593
11300000000	9558
11400000000	9422
11500000000	9592
11600000000	9748
11700000000	9599
11800000000	9575
11900000000	9714
12000000000	9579
12100000000	9586
12200000000	9625
12300000000	9569
12400000000	9520
12500000000	9569
12600000000	9616
12700000000	9781
12800000000	9584
12900000000	9560
13000000000	9530
13100000000	9461
13200000000	9734
13300000000	9540
13400000000	9540
13500000000	9371
13600000000	9494
13700000000	9583
13800000000	9487
13900000000	9616
14000000000	9424
14100000000	9370
14200000000	9679
14300000000	9514
14400000000	9593
14500000000	9558
14600000000	9317
14700000000	9696
14800000000	9644
14900000000	9497
15000000000	9650
15100000000	9551
15200000000	9438
15300000000	9569
15400000000	9595
15500000000	9468
15600000000	9554
15700000000	9450
15800000000	9639
15900000000	9430
16000000000	9411
16100000000	9624
16200000000	9639
16300000000	9603
16400000000	9461
16500000000	9522
16600000000	9458
16700000000	9508
16800000000	9478
16900000000	9531
17000000000	9477
17100000000	9621
17200000000	9591
17300000000	9574
17400000000	9737
17500000000	9671
17600000000	9594
17700000000	9607
17800000000	9497
17900000000	9712
18000000000	9624
18100000000	9590
18200000000	9623
18300000000	9616
18400000000	9406
18500000000	9455
18600000000	9397
18700000000	9563
18800000000	9582
18900000000	9634
19000000000	9577
19100000000	9638
19200000000	9477
19300000000	9541
19400000000	9682
19500000000	9639
19600000000	9692
19700000000	9493
19800000000	9522
19900000000	9730
20000000000	9745
20100000000	9463
20200000000	9616
20300000000	9699
20400000000	9595
20500000000	9539
20600000000	9506
20700000000	9603
20800000000	9581
20900000000	9732
21000000000	9615
21100000000	9563
21200000000	9557
21300000000	9492
21400000000	9563
21500000000	9445
21600000000	9675
21700000000	9692
21800000000	9752
21900000000	9431
22000000000	9761
22100000000	9607
22200000000	9363
22300000000	9674
22400000000	9654
22500000000	9480
22600000000	9765
22700000000	9801
22800000000	9415
22900000000	9564
23000000000	9577
23100000000	9734
23200000000	9582
23300000000	9501
23400000000	9504
23500000000	9654
23600000000	9667
23700000000	9606
23800000000	9507
23900000000	9601
24000000000	9801
24100000000	9521
24200000000	9605
24300000000	9552
24400000000	9654
24500000000	9733
24600000000	9257
24700000000	9512
24800000000	9486
24900000000	9764
25000000000	9766
25100000000	9679
25200000000	9606
25300000000	9741
25400000000	9636
25500000000	9762
25600000000	9683
25700000000	9803
25800000000	9921
25900000000	9926
26000000000	9921
26100000000	9820
26200000000	9814
26300000000	9891
26400000000	9766
26500000000	9845
26600000000	9942
26700000000	9696
26800000000	9869
26900000000	10011
27000000000	9901
27100000000	9749
27200000000	9931
27300000000	9886
27400000000	9986
27500000000	9905
27600000000	9781
27700000000	9810
27800000000	9843
27900000000	9798
28000000000	10032
28100000000	10121
28200000000	10173
28300000000	9902
28400000000	10140
28500000000	10059
28600000000	10002
28700000000	9989
28800000000	10022
28900000000	9967
29000000000	9954
29100000000	9940
29200000000	10015
29300000000	9919
29400000000	9972
29500000000	10012
29600000000	10120
29700000000	9921
29800000000	9946
29900000000	9979
30000000000	9821
30100000000	10087
30200000000	9940
30300000000	9852
30400000000	10053
30500000000	10071
30600000000	10028
30700000000	10079
30800000000	10003
30900000000	9985
31000000000	9978
31100000000	9920
31200000000	9883
31300000000	9994
31400000000	10016
31500000000	9921
31600000000	10198
31700000000	10048
31800000000	9909
31900000000	9909
32000000000	10039
32100000000	10051
32200000000	9972
32300000000	10273
32400000000	10035
32500000000	10065
32600000000	9826
32700000000	9975
32800000000	10022
32900000000	10009
33000000000	9992
33100000000	9811
33200000000	9821
33300000000	9942
33400000000	9868
33500000000	9940
33600000000	10138
33700000000	9958
33800000000	10082
33900000000	10215
34000000000	10162
34100000000	9951
34200000000	9995
34300000000	10010
34400000000	10136
34500000000	9971
34600000000	10068
34700000000	10125
34800000000	10012
34900000000	10027
35000000000	9903
35100000000	10073
35200000000	9968
35300000000	10088
35400000000	9960
35500000000	10154
35600000000	9876
35700000000	9973
35800000000	10099
35900000000	10073
36000000000	9888
36100000000	10145
36200000000	9890
36300000000	10028
36400000000	10066
36500000000	10001
36600000000	9923
36700000000	9934
36800000000	9970
36900000000	10033
37000000000	9782
37100000000	9938
37200000000	9954
37300000000	9972
37400000000	10079
37500000000	10030
37600000000	9952
37700000000	10092
37800000000	10016
37900000000	10042
38000000000	10406
38100000000	10139
38200000000	9882
38300000000	10103
38400000000	9977
38500000000	10114
38600000000	9990
38700000000	9972
38800000000	10100
38900000000	9960
39000000000	9930
39100000000	10008
39200000000	10055
39300000000	10133
39400000000	9963
39500000000	9935
39600000000	9783
39700000000	10026
39800000000	9999
39900000000	10018
40000000000	9947
40100000000	10158
40200000000	10046
40300000000	9945
40400000000	9803
40500000000	10008
40600000000	9971
40700000000	9898
40800000000	9876
40900000000	10156
41000000000	10020
41100000000	9932
41200000000	10016
41300000000	9963
