"Time (ps)"	"Counts per bin"
0	35825
100000000	35943
200000000	36372
300000000	36234
400000000	36412
500000000	35740
600000000	36187
700000000	36679
800000000	36242
900000000	36159
1000000000	36211
1100000000	36568
1200000000	36123
1300000000	36160
1400000000	35957
1500000000	36044
1600000000	36026
1700000000	35787
1800000000	36335
1900000000	35897
2000000000	36208
2100000000	36009
2200000000	36202
2300000000	36353
2400000000	36123
2500000000	36158
2600000000	36226
2700000000	36058
2800000000	36263
2900000000	36134
3000000000	36114
3100000000	36083
3200000000	36098
3300000000	36204
3400000000	36222
3500000000	36169
3600000000	36453
3700000000	35759
3800000000	35992
3900000000	35996
4000000000	36023
4100000000	36530
4200000000	36180
4300000000	36491
4400000000	36479
4500000000	36155
4600000000	36332
4700000000	36199
4800000000	36188
4900000000	36495
5000000000	36236
5100000000	36100
5200000000	36237
5300000000	36644
5400000000	36219
5500000000	36108
5600000000	36297
5700000000	35969
5800000000	36630
5900000000	36073
6000000000	36377
6100000000	36147
6200000000	36218
6300000000	36487
6400000000	36385
6500000000	36489
6600000000	36257
6700000000	36288
6800000000	36144
6900000000	36478
7000000000	36296
7100000000	36459
7200000000	36531
7300000000	36329
7400000000	35754
7500000000	36361
7600000000	36642
7700000000	36366
7800000000	36193
7900000000	36238
8000000000	36457
8100000000	36062
8200000000	36508
8300000000	36200
8400000000	36220
8500000000	36359
8600000000	36078
8700000000	36190
8800000000	36750
8900000000	36179
9000000000	36398
9100000000	36274
9200000000	35976
9300000000	36196
9400000000	36172
9500000000	36278
9600000000	36329
9700000000	36434
9800000000	36242
9900000000	35963
10000000000	36368
10100000000	36193
10200000000	36433
10300000000	35912
10400000000	35903
10500000000	36273
10600000000	36305
10700000000	36184
10800000000	35740
10900000000	36072
11000000000	36067
11100000000	36354
11200000000	36130
11300000000	36143
11400000000	36119
11500000000	35963
11600000000	36232
11700000000	36268
11800000000	35980
11900000000	36091
12000000000	36111
12100000000	35971
12200000000	36181
12300000000	36392
12400000000	36562
12500000000	35763
12600000000	36189
12700000000	36066
12800000000	36354
12900000000	35988
13000000000	36408
13100000000	36831
13200000000	36122
13300000000	36140
13400000000	36636
13500000000	36433
13600000000	36201
13700000000	36216
13800000000	36361
13900000000	36368
14000000000	36322
14100000000	36226
14200000000	36392
14300000000	36337
14400000000	36343
14500000000	36351
14600000000	35819
14700000000	36224
14800000000	36143
14900000000	36375
15000000000	36577
15100000000	36590
15200000000	36315
15300000000	36436
15400000000	36108
15500000000	36251
15600000000	36450
15700000000	36026
15800000000	36662
15900000000	36517
16000000000	36141
16100000000	36341
16200000000	36146
16300000000	35982
16400000000	36039
16500000000	35939
16600000000	36056
16700000000	36526
16800000000	36216
16900000000	36135
17000000000	36405
17100000000	35983
17200000000	36338
17300000000	36351
17400000000	36440
17500000000	36366
17600000000	36453
17700000000	36195
17800000000	35981
17900000000	36013
18000000000	36520
18100000000	36301
18200000000	36295
18300000000	36892
18400000000	36155
18500000000	35658
18600000000	36035
18700000000	36111
18800000000	36295
18900000000	36182
19000000000	36051
19100000000	36360
19200000000	36202
19300000000	36096
19400000000	36413
19500000000	36128
19600000000	35837
19700000000	36352
19800000000	36150
19900000000	36166
20000000000	36333
20100000000	36323
20200000000	36053
20300000000	36167
20400000000	36210
20500000000	36142
20600000000	35937
20700000000	36113
20800000000	36072
20900000000	35788
21000000000	36735
21100000000	36464
21200000000	36245
21300000000	36233
21400000000	36058
21500000000	35901
21600000000	36302
21700000000	36309
21800000000	36499
21900000000	36368
22000000000	36660
22100000000	36126
22200000000	36540
22300000000	36295
22400000000	36103
22500000000	36308
22600000000	36475
22700000000	36683
22800000000	36403
22900000000	36160
23000000000	36176
23100000000	36216
23200000000	35910
23300000000	36382
23400000000	36090
23500000000	36122
23600000000	35774
23700000000	36563
23800000000	36129
23900000000	36141
24000000000	35938
24100000000	36585
24200000000	36455
24300000000	36178
24400000000	36400
24500000000	36391
24600000000	36176
24700000000	36230
24800000000	35716
24900000000	36251
25000000000	36269
25100000000	36312
25200000000	36405
25300000000	36516
25400000000	36244
25500000000	35976
25600000000	36155
25700000000	35935
25800000000	35798
25900000000	36642
26000000000	35847
26100000000	36041
26200000000	36183
26300000000	36284
26400000000	36117
26500000000	36149
26600000000	35941
26700000000	36203
26800000000	36324
26900000000	36057
27000000000	36174
27100000000	36090
27200000000	36061
27300000000	35826
27400000000	36147
27500000000	36100
27600000000	36576
27700000000	36665
27800000000	35993
27900000000	35827
28000000000	36024
28100000000	35917
28200000000	36119
28300000000	36229
28400000000	36467
28500000000	36215
28600000000	36645
28700000000	36346
28800000000	36219
28900000000	35963
29000000000	36363
29100000000	36154
29200000000	36209
29300000000	35996
29400000000	36554
29500000000	35941
29600000000	36025
29700000000	36291
29800000000	36476
29900000000	36440
30000000000	36105
30100000000	36467
30200000000	36503
30300000000	35968
30400000000	36146
30500000000	36691
30600000000	36264
30700000000	35950
30800000000	35986
30900000000	36523
31000000000	36136
31100000000	36126
31200000000	36491
31300000000	36262
31400000000	36035
31500000000	36436
31600000000	36579
31700000000	36584
31800000000	35931
31900000000	36544
32000000000	36131
32100000000	36524
32200000000	35885
32300000000	36227
32400000000	36525
32500000000	36147
32600000000	35983
32700000000	36193
32800000000	36339
32900000000	36185
33000000000	35686
33100000000	35959
33200000000	36413
33300000000	36176
33400000000	36115
33500000000	35748
33600000000	36109
33700000000	36266
33800000000	36248
33900000000	36533
34000000000	36142
34100000000	36236
34200000000	36391
34300000000	36062
34400000000	36277
34500000000	36137
34600000000	36336
34700000000	36590
34800000000	36058
34900000000	36202
35000000000	36203
35100000000	36092
35200000000	36014
35300000000	36037
35400000000	36224
35500000000	36440
35600000000	36078
35700000000	36432
35800000000	36086
35900000000	36095
36000000000	36037
36100000000	36255
36200000000	36000
36300000000	36174
36400000000	36275
36500000000	36243
36600000000	36449
36700000000	36095
36800000000	36179
36900000000	36402
37000000000	35821
37100000000	35982
37200000000	36084
37300000000	36255
37400000000	36372
37500000000	36176
37600000000	36197
37700000000	36175
37800000000	36297
37900000000	36259
38000000000	36212
38100000000	36394
38200000000	35972
38300000000	35931
38400000000	36269
38500000000	36342
38600000000	36146
38700000000	36199
38800000000	36092
38900000000	36433
39000000000	36176
39100000000	36124
39200000000	36014
39300000000	36094
39400000000	36331
39500000000	36321
39600000000	36557
39700000000	35979
39800000000	36194
39900000000	36186
40000000000	36375
40100000000	36442
40200000000	36597
40300000000	36273
40400000000	35968
40500000000	36450
40600000000	36256
40700000000	35834
40800000000	35799
40900000000	36410
41000000000	36295
41100000000	36020
41200000000	35986
41300000000	36012
41400000000	36458
41500000000	35859
41600000000	36373
41700000000	36187
41800000000	36370
41900000000	36105
42000000000	36035
42100000000	35982
42200000000	36483
42300000000	35815
42400000000	36261
42500000000	36287
42600000000	36098
42700000000	36249
42800000000	36049
42900000000	36521
43000000000	36240
43100000000	35842
43200000000	36293
43300000000	36178
43400000000	36183
43500000000	36031
43600000000	36267
43700000000	36295
43800000000	36166
43900000000	35925
44000000000	36571
44100000000	36352
44200000000	36562
44300000000	36195
44400000000	36260
44500000000	36318
44600000000	36286
44700000000	36332
44800000000	36487
44900000000	36034
45000000000	36119
45100000000	36079
45200000000	35988
45300000000	36013
45400000000	36294
45500000000	36224
45600000000	36005
45700000000	36071
45800000000	36250
45900000000	35968
46000000000	36242
