"Time (ps)"	"Channel 2 - Counts per bin"
0	7931
10000000000	7776
20000000000	7812
30000000000	7599
40000000000	7747
50000000000	7783
60000000000	7865
70000000000	7862
80000000000	7648
90000000000	7995
100000000000	7800
110000000000	7701
120000000000	7769
130000000000	7812
140000000000	7697
150000000000	7800
160000000000	7762
170000000000	7848
180000000000	7808
190000000000	7703
200000000000	7740
210000000000	7785
220000000000	7881
230000000000	7877
240000000000	7999
250000000000	7678
260000000000	7788
270000000000	7965
280000000000	7943
290000000000	7877
300000000000	7875
310000000000	7720
320000000000	7935
330000000000	7674
340000000000	7923
350000000000	7841
360000000000	8037
370000000000	7679
380000000000	7746
390000000000	7881
400000000000	7781
410000000000	8044
420000000000	7836
430000000000	7781
440000000000	7839
450000000000	7860
460000000000	7916
470000000000	7858
480000000000	7785
490000000000	7817
500000000000	7885
510000000000	7669
520000000000	8078
530000000000	7737
540000000000	7865
550000000000	8072
560000000000	7870
570000000000	8042
580000000000	7738
590000000000	7652
600000000000	7891
610000000000	7809
620000000000	7895
630000000000	7725
640000000000	7856
650000000000	7876
660000000000	7632
670000000000	7885
680000000000	7851
690000000000	7847
700000000000	7911
710000000000	7582
720000000000	7852
730000000000	7927
740000000000	7996
750000000000	7814
760000000000	7785
770000000000	8046
780000000000	7787
790000000000	7676
800000000000	7954
810000000000	7708
820000000000	7924
830000000000	7812
840000000000	7803
850000000000	8049
860000000000	7682
870000000000	7928
880000000000	7877
890000000000	7808
900000000000	7925
910000000000	7852
920000000000	8001
930000000000	8021
940000000000	7948
950000000000	7869
960000000000	7973
970000000000	7764
980000000000	7938
990000000000	7937
1000000000000	7790
1010000000000	7664
1020000000000	7803
1030000000000	7853
1040000000000	8018
1050000000000	7923
1060000000000	7826
1070000000000	7941
1080000000000	7634
1090000000000	8157
1100000000000	7667
1110000000000	7726
1120000000000	7815
1130000000000	7872
1140000000000	7873
1150000000000	7605
1160000000000	7907
1170000000000	7795
1180000000000	7941
1190000000000	7721
1200000000000	8104
1210000000000	7888
1220000000000	7910
1230000000000	7930
1240000000000	7767
1250000000000	7890
1260000000000	7789
1270000000000	7913
1280000000000	7923
1290000000000	7757
1300000000000	7990
1310000000000	8103
1320000000000	7832
1330000000000	8174
1340000000000	7936
1350000000000	7887
1360000000000	7842
1370000000000	8067
1380000000000	7710
1390000000000	7885
1400000000000	7719
1410000000000	7815
1420000000000	7984
1430000000000	7758
1440000000000	7914
1450000000000	7744
1460000000000	7895
1470000000000	7902
1480000000000	7873
1490000000000	7794
1500000000000	7847
1510000000000	7988
1520000000000	7964
1530000000000	8082
1540000000000	7934
1550000000000	7936
1560000000000	7976
1570000000000	8033
1580000000000	7743
1590000000000	7923
1600000000000	7968
1610000000000	7797
1620000000000	8012
1630000000000	7973
1640000000000	8022
1650000000000	7846
1660000000000	8021
1670000000000	7833
1680000000000	7873
1690000000000	7959
1700000000000	8026
1710000000000	7825
1720000000000	7905
1730000000000	7774
1740000000000	7992
1750000000000	7750
1760000000000	7912
1770000000000	7868
1780000000000	7994
1790000000000	7798
1800000000000	8022
1810000000000	8015
1820000000000	7788
1830000000000	7971
1840000000000	7853
1850000000000	7774
1860000000000	7839
1870000000000	7885
1880000000000	7818
1890000000000	7893
1900000000000	8070
1910000000000	7838
1920000000000	7816
1930000000000	7777
1940000000000	7664
1950000000000	7964
1960000000000	7934
1970000000000	8071
1980000000000	7896
1990000000000	7672
2000000000000	7851
2010000000000	7911
2020000000000	7800
2030000000000	7919
2040000000000	7986
2050000000000	7898
2060000000000	7969
2070000000000	7924
2080000000000	7917
2090000000000	7892
2100000000000	7745
2110000000000	7957
2120000000000	7940
2130000000000	7891
2140000000000	8010
2150000000000	7836
2160000000000	7895
2170000000000	7878
2180000000000	7914
2190000000000	7697
2200000000000	7826
2210000000000	7899
2220000000000	7882
2230000000000	7810
2240000000000	7910
2250000000000	7628
2260000000000	7884
2270000000000	7771
2280000000000	7766
2290000000000	7803
2300000000000	7746
2310000000000	7875
2320000000000	7958
2330000000000	7905
2340000000000	7767
2350000000000	7846
2360000000000	7783
2370000000000	7809
2380000000000	7832
2390000000000	7575
2400000000000	7892
2410000000000	7636
2420000000000	7841
2430000000000	7744
2440000000000	7932
2450000000000	7778
2460000000000	7761
2470000000000	7850
2480000000000	7929
2490000000000	7875
2500000000000	7968
2510000000000	7916
2520000000000	7797
2530000000000	7864
2540000000000	7765
2550000000000	7835
2560000000000	7738
2570000000000	7771
2580000000000	7892
2590000000000	7723
2600000000000	7928
2610000000000	7671
2620000000000	8114
2630000000000	7812
2640000000000	7941
2650000000000	7950
2660000000000	7702
2670000000000	7870
2680000000000	7762
2690000000000	7923
2700000000000	8027
2710000000000	8036
2720000000000	7905
2730000000000	8084
2740000000000	7945
2750000000000	7914
2760000000000	7947
2770000000000	7797
2780000000000	7679
2790000000000	8045
2800000000000	7971
2810000000000	7816
2820000000000	7845
2830000000000	7867
2840000000000	7950
2850000000000	8091
2860000000000	7811
2870000000000	7805
2880000000000	7848
2890000000000	7781
2900000000000	7928
2910000000000	7913
2920000000000	8018
2930000000000	8003
2940000000000	7849
2950000000000	7921
2960000000000	8016
2970000000000	7905
2980000000000	8006
