"Time (ps)"	"Channel 2 - Counts per bin"
0	8581
10000000000	8395
20000000000	8340
30000000000	7944
40000000000	8475
50000000000	8493
60000000000	8593
70000000000	8253
80000000000	8073
90000000000	8418
100000000000	8542
110000000000	8439
120000000000	8203
130000000000	8165
140000000000	8325
150000000000	8524
160000000000	8296
170000000000	8377
180000000000	8256
190000000000	8645
200000000000	8549
210000000000	8500
220000000000	8265
230000000000	8237
240000000000	8547
250000000000	8444
260000000000	8181
270000000000	8151
280000000000	8284
290000000000	8548
300000000000	8574
310000000000	8380
320000000000	8251
330000000000	8237
340000000000	8504
350000000000	8696
360000000000	8678
370000000000	8127
380000000000	8257
390000000000	8509
400000000000	8480
410000000000	8411
420000000000	8203
430000000000	8308
440000000000	8388
450000000000	8641
460000000000	8405
470000000000	8509
480000000000	8176
490000000000	8642
500000000000	8528
510000000000	8510
520000000000	8280
530000000000	8323
540000000000	8443
550000000000	8703
560000000000	8617
570000000000	8168
580000000000	8110
590000000000	8298
600000000000	8693
610000000000	8457
620000000000	8212
630000000000	8204
640000000000	8474
650000000000	8453
660000000000	8423
670000000000	8229
680000000000	8080
690000000000	8440
700000000000	8492
710000000000	8494
720000000000	8148
730000000000	8212
740000000000	8456
750000000000	8457
760000000000	8545
770000000000	8146
780000000000	8050
790000000000	8395
800000000000	8667
810000000000	8525
820000000000	8204
830000000000	8124
840000000000	8522
850000000000	8492
860000000000	8490
870000000000	8252
880000000000	8253
890000000000	8384
900000000000	8507
910000000000	8298
920000000000	8236
930000000000	8193
940000000000	8322
950000000000	8473
960000000000	8304
970000000000	8323
980000000000	8397
990000000000	8519
1000000000000	8446
1010000000000	8467
1020000000000	8264
1030000000000	8277
1040000000000	8355
1050000000000	8542
1060000000000	8528
1070000000000	8186
1080000000000	8158
1090000000000	8480
1100000000000	8471
1110000000000	8344
1120000000000	8430
1130000000000	8180
1140000000000	8544
1150000000000	8305
1160000000000	8542
1170000000000	7998
1180000000000	8156
1190000000000	8409
1200000000000	8590
1210000000000	8399
1220000000000	8167
1230000000000	8226
1240000000000	8448
1250000000000	8556
1260000000000	8219
1270000000000	8289
1280000000000	8338
1290000000000	8194
1300000000000	8631
1310000000000	8590
1320000000000	8141
1330000000000	8129
1340000000000	8267
1350000000000	8497
1360000000000	8369
1370000000000	8374
1380000000000	8157
1390000000000	8426
1400000000000	8390
1410000000000	8422
1420000000000	8236
1430000000000	7980
1440000000000	8525
1450000000000	8388
1460000000000	8418
1470000000000	8255
1480000000000	8248
1490000000000	8428
1500000000000	8507
1510000000000	8620
1520000000000	8136
1530000000000	8184
1540000000000	8450
1550000000000	8590
1560000000000	8538
1570000000000	8176
1580000000000	8152
1590000000000	8360
1600000000000	8450
1610000000000	8362
1620000000000	8176
1630000000000	8110
1640000000000	8580
1650000000000	8410
1660000000000	8374
1670000000000	8110
1680000000000	8176
1690000000000	8490
1700000000000	8397
1710000000000	8422
1720000000000	8381
1730000000000	8143
1740000000000	8432
1750000000000	8431
1760000000000	8374
1770000000000	8204
1780000000000	8261
1790000000000	8334
1800000000000	8599
1810000000000	8275
1820000000000	8188
1830000000000	8265
1840000000000	8286
1850000000000	8513
1860000000000	8361
1870000000000	8113
1880000000000	8299
1890000000000	8642
1900000000000	8600
