"Time (ps)"	"Channel 2 - Counts per bin"
0	1
10000000000	5
20000000000	5
30000000000	3
40000000000	0
50000000000	4
60000000000	0
70000000000	1
80000000000	3
90000000000	5
100000000000	0
110000000000	4
120000000000	2
130000000000	0
140000000000	2
150000000000	2
160000000000	2
170000000000	2
180000000000	7
190000000000	0
200000000000	4
210000000000	2
220000000000	2
230000000000	1
240000000000	2
250000000000	2
260000000000	1
270000000000	2
280000000000	1
290000000000	3
300000000000	1
310000000000	4
320000000000	2
330000000000	6
340000000000	5
350000000000	4
360000000000	5
370000000000	4
380000000000	3
390000000000	0
400000000000	2
410000000000	0
420000000000	3
430000000000	2
440000000000	2
450000000000	2
460000000000	4
470000000000	2
480000000000	1
490000000000	4
500000000000	3
510000000000	2
520000000000	4
530000000000	0
540000000000	1
550000000000	1
560000000000	2
570000000000	2
580000000000	4
590000000000	3
600000000000	5
610000000000	1
620000000000	2
630000000000	6
640000000000	1
650000000000	2
660000000000	2
670000000000	0
680000000000	0
690000000000	0
700000000000	3
710000000000	0
720000000000	1
730000000000	2
740000000000	1
750000000000	2
760000000000	1
770000000000	1
780000000000	2
790000000000	3
800000000000	4
810000000000	3
820000000000	3
830000000000	2
840000000000	4
850000000000	1
860000000000	2
870000000000	3
880000000000	2
890000000000	2
900000000000	3
910000000000	1
920000000000	3
930000000000	1
940000000000	2
950000000000	1
960000000000	8
970000000000	0
980000000000	1
990000000000	1
1000000000000	3
1010000000000	2
1020000000000	0
1030000000000	3
1040000000000	5
1050000000000	4
1060000000000	3
1070000000000	2
1080000000000	3
1090000000000	1
1100000000000	3
1110000000000	1
1120000000000	2
1130000000000	0
1140000000000	3
1150000000000	1
1160000000000	2
1170000000000	3
1180000000000	3
1190000000000	4
1200000000000	2
1210000000000	3
1220000000000	1
1230000000000	3
1240000000000	2
1250000000000	4
1260000000000	3
1270000000000	0
1280000000000	0
1290000000000	3
1300000000000	2
1310000000000	0
1320000000000	5
1330000000000	2
1340000000000	3
1350000000000	2
1360000000000	0
1370000000000	3
1380000000000	2
1390000000000	3
1400000000000	1
1410000000000	3
1420000000000	5
1430000000000	1
1440000000000	0
1450000000000	2
1460000000000	1
1470000000000	2
1480000000000	3
1490000000000	1
1500000000000	2
1510000000000	0
1520000000000	0
1530000000000	0
1540000000000	3
1550000000000	0
1560000000000	0
1570000000000	4
1580000000000	1
1590000000000	3
1600000000000	2
1610000000000	4
1620000000000	1
1630000000000	4
1640000000000	0
1650000000000	0
1660000000000	1
1670000000000	1
1680000000000	2
1690000000000	1
1700000000000	2
1710000000000	3
1720000000000	4
1730000000000	0
1740000000000	1
1750000000000	4
1760000000000	2
1770000000000	3
1780000000000	0
1790000000000	3
1800000000000	1
1810000000000	4
1820000000000	1
1830000000000	1
1840000000000	2
1850000000000	2
1860000000000	0
1870000000000	3
1880000000000	1
1890000000000	0
1900000000000	4
1910000000000	3
1920000000000	5
1930000000000	2
1940000000000	2
1950000000000	2
1960000000000	3
1970000000000	0
1980000000000	1
1990000000000	4
2000000000000	2
2010000000000	4
2020000000000	3
2030000000000	1
2040000000000	3
2050000000000	3
2060000000000	2
2070000000000	0
2080000000000	3
2090000000000	3
2100000000000	4
2110000000000	2
2120000000000	3
2130000000000	1
2140000000000	5
2150000000000	2
2160000000000	2
2170000000000	1
2180000000000	1
2190000000000	0
2200000000000	3
2210000000000	3
2220000000000	3
2230000000000	3
2240000000000	2
2250000000000	2
2260000000000	2
2270000000000	4
2280000000000	3
2290000000000	5
2300000000000	4
2310000000000	2
2320000000000	4
2330000000000	4
2340000000000	0
2350000000000	2
2360000000000	0
2370000000000	0
2380000000000	3
2390000000000	4
2400000000000	1
2410000000000	4
2420000000000	5
2430000000000	2
2440000000000	3
2450000000000	3
2460000000000	4
2470000000000	3
2480000000000	2
2490000000000	1
2500000000000	3
2510000000000	3
2520000000000	2
2530000000000	2
2540000000000	4
2550000000000	3
2560000000000	2
2570000000000	4
2580000000000	3
2590000000000	0
2600000000000	0
2610000000000	5
2620000000000	4
2630000000000	10
2640000000000	2
2650000000000	2
2660000000000	3
2670000000000	4
2680000000000	5
2690000000000	2
2700000000000	6
2710000000000	2
2720000000000	2
2730000000000	2
2740000000000	5
2750000000000	5
2760000000000	4
2770000000000	1
2780000000000	1
2790000000000	3
2800000000000	5
2810000000000	3
2820000000000	2
2830000000000	3
2840000000000	1
2850000000000	0
2860000000000	2
2870000000000	3
2880000000000	4
2890000000000	1
2900000000000	2
2910000000000	1
2920000000000	4
2930000000000	2
2940000000000	3
2950000000000	3
2960000000000	2
2970000000000	3
2980000000000	1
2990000000000	2
3000000000000	5
3010000000000	2
3020000000000	4
3030000000000	4
3040000000000	0
3050000000000	1
3060000000000	1
3070000000000	4
3080000000000	3
3090000000000	3
3100000000000	5
3110000000000	4
3120000000000	6
3130000000000	6
3140000000000	0
3150000000000	3
3160000000000	3
3170000000000	4
3180000000000	1
3190000000000	1
3200000000000	0
3210000000000	0
3220000000000	1
3230000000000	3
3240000000000	1
3250000000000	5
3260000000000	3
3270000000000	3
3280000000000	1
3290000000000	0
3300000000000	6
3310000000000	4
3320000000000	3
3330000000000	6
3340000000000	2
3350000000000	1
3360000000000	5
3370000000000	4
3380000000000	2
3390000000000	2
3400000000000	3
3410000000000	0
3420000000000	3
3430000000000	1
3440000000000	1
3450000000000	1
3460000000000	4
3470000000000	3
3480000000000	1
3490000000000	3
3500000000000	2
3510000000000	4
3520000000000	0
3530000000000	1
3540000000000	2
3550000000000	1
3560000000000	4
3570000000000	2
3580000000000	2
3590000000000	2
3600000000000	3
3610000000000	2
3620000000000	5
3630000000000	3
3640000000000	3
3650000000000	5
3660000000000	4
3670000000000	1
3680000000000	3
3690000000000	0
3700000000000	5
3710000000000	3
3720000000000	2
3730000000000	3
3740000000000	3
3750000000000	4
3760000000000	2
3770000000000	3
3780000000000	0
3790000000000	1
3800000000000	2
3810000000000	2
3820000000000	3
3830000000000	4
3840000000000	1
3850000000000	7
3860000000000	4
3870000000000	2
3880000000000	2
3890000000000	3
3900000000000	7
3910000000000	2
3920000000000	1
3930000000000	3
3940000000000	1
3950000000000	4
3960000000000	2
3970000000000	5
3980000000000	3
3990000000000	2
4000000000000	2
4010000000000	2
4020000000000	1
4030000000000	5
4040000000000	3
4050000000000	2
4060000000000	1
4070000000000	1
4080000000000	2
4090000000000	4
4100000000000	5
4110000000000	4
4120000000000	3
4130000000000	2
4140000000000	3
4150000000000	5
4160000000000	2
4170000000000	2
4180000000000	2
4190000000000	2
4200000000000	5
4210000000000	3
4220000000000	2
4230000000000	2
4240000000000	4
4250000000000	4
4260000000000	3
4270000000000	5
4280000000000	3
4290000000000	2
4300000000000	2
4310000000000	1
4320000000000	0
4330000000000	2
4340000000000	3
4350000000000	3
4360000000000	1
4370000000000	1
4380000000000	3
4390000000000	3
4400000000000	3
4410000000000	1
4420000000000	2
4430000000000	2
4440000000000	2
4450000000000	0
4460000000000	2
4470000000000	2
4480000000000	3
4490000000000	5
4500000000000	4
4510000000000	6
4520000000000	1
4530000000000	7
4540000000000	3
4550000000000	1
4560000000000	2
4570000000000	1
4580000000000	3
4590000000000	4
4600000000000	2
4610000000000	4
4620000000000	1
4630000000000	6
4640000000000	5
4650000000000	1
4660000000000	4
4670000000000	0
4680000000000	3
4690000000000	0
4700000000000	2
4710000000000	5
4720000000000	1
4730000000000	1
4740000000000	1
4750000000000	2
4760000000000	2
4770000000000	3
4780000000000	2
4790000000000	1
4800000000000	0
4810000000000	3
4820000000000	2
4830000000000	2
4840000000000	1
4850000000000	2
4860000000000	1
4870000000000	0
4880000000000	2
4890000000000	4
4900000000000	3
4910000000000	2
4920000000000	2
4930000000000	1
4940000000000	4
4950000000000	6
4960000000000	3
4970000000000	2
4980000000000	1
4990000000000	2
5000000000000	1
5010000000000	0
5020000000000	2
5030000000000	6
5040000000000	4
5050000000000	2
5060000000000	2
5070000000000	1
5080000000000	1
5090000000000	2
5100000000000	3
5110000000000	3
5120000000000	1
5130000000000	0
5140000000000	3
5150000000000	1
5160000000000	2
5170000000000	3
5180000000000	2
5190000000000	3
5200000000000	4
5210000000000	3
5220000000000	0
5230000000000	1
5240000000000	4
5250000000000	2
5260000000000	3
5270000000000	3
5280000000000	4
5290000000000	1
5300000000000	2
5310000000000	1
5320000000000	3
5330000000000	5
5340000000000	4
5350000000000	2
5360000000000	2
5370000000000	1
5380000000000	4
5390000000000	5
5400000000000	3
5410000000000	1
5420000000000	4
5430000000000	2
5440000000000	2
5450000000000	1
5460000000000	2
5470000000000	5
5480000000000	5
5490000000000	0
5500000000000	3
5510000000000	1
5520000000000	1
5530000000000	2
5540000000000	2
5550000000000	4
5560000000000	2
5570000000000	4
5580000000000	2
5590000000000	1
5600000000000	0
5610000000000	1
5620000000000	4
5630000000000	2
5640000000000	2
5650000000000	5
5660000000000	3
5670000000000	3
5680000000000	2
5690000000000	4
5700000000000	1
5710000000000	3
5720000000000	6
5730000000000	3
5740000000000	5
5750000000000	2
5760000000000	2
5770000000000	3
5780000000000	3
5790000000000	3
5800000000000	2
5810000000000	5
5820000000000	2
5830000000000	1
5840000000000	1
5850000000000	3
5860000000000	2
5870000000000	1
5880000000000	4
5890000000000	1
5900000000000	0
5910000000000	9
5920000000000	4
5930000000000	2
5940000000000	1
5950000000000	2
5960000000000	5
5970000000000	1
5980000000000	3
5990000000000	4
6000000000000	4
6010000000000	2
6020000000000	5
6030000000000	2
6040000000000	2
6050000000000	3
6060000000000	2
6070000000000	2
6080000000000	0
6090000000000	0
6100000000000	2
6110000000000	2
6120000000000	1
6130000000000	1
6140000000000	3
6150000000000	2
6160000000000	1
6170000000000	1
6180000000000	1
6190000000000	2
6200000000000	0
6210000000000	3
6220000000000	3
6230000000000	5
6240000000000	2
6250000000000	2
6260000000000	1
6270000000000	6
6280000000000	3
6290000000000	3
6300000000000	4
6310000000000	2
6320000000000	6
6330000000000	4
6340000000000	0
6350000000000	0
6360000000000	2
6370000000000	3
6380000000000	1
6390000000000	3
6400000000000	2
6410000000000	7
6420000000000	1
6430000000000	3
6440000000000	5
6450000000000	1
6460000000000	4
6470000000000	0
6480000000000	1
6490000000000	0
6500000000000	0
6510000000000	4
6520000000000	4
6530000000000	2
6540000000000	2
6550000000000	3
6560000000000	3
6570000000000	5
6580000000000	2
6590000000000	3
6600000000000	3
6610000000000	3
6620000000000	1
6630000000000	3
6640000000000	3
6650000000000	1
6660000000000	4
6670000000000	4
6680000000000	0
6690000000000	1
6700000000000	5
6710000000000	4
6720000000000	1
6730000000000	2
6740000000000	3
6750000000000	2
6760000000000	1
6770000000000	2
6780000000000	3
6790000000000	6
6800000000000	3
6810000000000	6
6820000000000	5
6830000000000	1
6840000000000	4
6850000000000	3
6860000000000	1
6870000000000	2
6880000000000	4
6890000000000	3
6900000000000	0
6910000000000	2
6920000000000	1
6930000000000	2
6940000000000	2
6950000000000	1
6960000000000	0
6970000000000	1
6980000000000	4
6990000000000	6
7000000000000	3
7010000000000	4
7020000000000	3
7030000000000	1
7040000000000	2
7050000000000	2
7060000000000	2
7070000000000	2
7080000000000	6
7090000000000	2
7100000000000	4
7110000000000	1
7120000000000	2
7130000000000	3
7140000000000	4
7150000000000	4
7160000000000	7
7170000000000	1
7180000000000	1
7190000000000	4
7200000000000	2
7210000000000	4
7220000000000	0
7230000000000	5
7240000000000	0
7250000000000	4
7260000000000	1
7270000000000	1
7280000000000	1
7290000000000	3
7300000000000	4
7310000000000	2
7320000000000	2
7330000000000	3
7340000000000	2
7350000000000	2
7360000000000	2
7370000000000	2
7380000000000	1
7390000000000	3
7400000000000	5
7410000000000	2
7420000000000	3
7430000000000	2
7440000000000	3
7450000000000	5
7460000000000	6
7470000000000	3
7480000000000	3
7490000000000	4
7500000000000	0
7510000000000	1
7520000000000	5
7530000000000	4
7540000000000	3
7550000000000	4
7560000000000	1
7570000000000	0
7580000000000	2
7590000000000	3
7600000000000	2
7610000000000	0
7620000000000	2
7630000000000	6
7640000000000	2
7650000000000	3
7660000000000	1
7670000000000	1
7680000000000	2
7690000000000	6
7700000000000	1
7710000000000	1
7720000000000	2
7730000000000	2
7740000000000	1
7750000000000	2
7760000000000	1
7770000000000	3
7780000000000	2
7790000000000	2
7800000000000	3
7810000000000	2
7820000000000	2
7830000000000	2
7840000000000	5
7850000000000	8
7860000000000	4
7870000000000	0
7880000000000	1
7890000000000	3
7900000000000	4
7910000000000	1
7920000000000	1
7930000000000	3
7940000000000	1
7950000000000	3
7960000000000	2
7970000000000	2
7980000000000	2
7990000000000	1
8000000000000	1
8010000000000	2
8020000000000	2
8030000000000	3
8040000000000	2
8050000000000	3
8060000000000	1
8070000000000	2
8080000000000	1
8090000000000	2
8100000000000	2
8110000000000	1
8120000000000	2
8130000000000	1
8140000000000	3
8150000000000	2
8160000000000	2
8170000000000	1
8180000000000	4
8190000000000	1
8200000000000	1
8210000000000	1
8220000000000	3
8230000000000	0
8240000000000	1
8250000000000	2
8260000000000	2
8270000000000	2
8280000000000	2
8290000000000	2
8300000000000	0
8310000000000	3
8320000000000	3
8330000000000	1
8340000000000	2
8350000000000	2
8360000000000	3
8370000000000	3
8380000000000	2
8390000000000	4
8400000000000	3
8410000000000	5
8420000000000	2
8430000000000	2
8440000000000	5
8450000000000	5
8460000000000	2
8470000000000	3
8480000000000	5
8490000000000	5
8500000000000	2
8510000000000	0
8520000000000	3
8530000000000	3
8540000000000	0
8550000000000	4
8560000000000	4
8570000000000	5
8580000000000	2
8590000000000	3
8600000000000	2
8610000000000	3
8620000000000	2
8630000000000	4
8640000000000	7
8650000000000	1
8660000000000	1
8670000000000	5
8680000000000	0
8690000000000	2
8700000000000	4
8710000000000	2
8720000000000	1
8730000000000	1
8740000000000	1
8750000000000	3
8760000000000	3
8770000000000	5
8780000000000	2
8790000000000	0
8800000000000	1
8810000000000	2
8820000000000	1
8830000000000	2
8840000000000	2
8850000000000	3
8860000000000	2
8870000000000	4
8880000000000	3
8890000000000	3
8900000000000	4
8910000000000	2
8920000000000	4
8930000000000	2
8940000000000	4
8950000000000	6
8960000000000	1
8970000000000	4
8980000000000	1
8990000000000	2
9000000000000	3
9010000000000	3
9020000000000	5
9030000000000	2
9040000000000	2
9050000000000	0
9060000000000	3
9070000000000	3
9080000000000	1
9090000000000	1
9100000000000	5
9110000000000	1
9120000000000	4
9130000000000	3
9140000000000	0
9150000000000	3
9160000000000	1
9170000000000	5
9180000000000	1
9190000000000	4
9200000000000	2
9210000000000	3
9220000000000	0
9230000000000	3
9240000000000	8
9250000000000	6
9260000000000	2
9270000000000	1
9280000000000	3
9290000000000	4
9300000000000	1
9310000000000	0
9320000000000	2
9330000000000	0
9340000000000	2
9350000000000	3
9360000000000	1
9370000000000	1
9380000000000	0
9390000000000	2
9400000000000	2
9410000000000	4
9420000000000	3
9430000000000	2
9440000000000	6
9450000000000	3
9460000000000	2
9470000000000	2
9480000000000	4
9490000000000	1
9500000000000	4
9510000000000	2
9520000000000	1
9530000000000	4
9540000000000	3
9550000000000	4
9560000000000	4
9570000000000	0
9580000000000	2
9590000000000	2
9600000000000	3
9610000000000	2
9620000000000	3
9630000000000	1
9640000000000	0
9650000000000	1
9660000000000	2
9670000000000	2
9680000000000	4
9690000000000	0
9700000000000	4
9710000000000	3
9720000000000	3
9730000000000	2
9740000000000	1
9750000000000	1
9760000000000	2
9770000000000	1
9780000000000	2
9790000000000	1
9800000000000	1
9810000000000	3
9820000000000	5
9830000000000	2
9840000000000	4
9850000000000	1
9860000000000	2
9870000000000	3
9880000000000	2
9890000000000	2
9900000000000	2
9910000000000	4
9920000000000	4
9930000000000	1
9940000000000	2
9950000000000	1
9960000000000	3
9970000000000	5
9980000000000	0
9990000000000	3
