"Time (ps)"	"Channel 2 - Counts per bin"
0	17289
10000000000	16831
20000000000	16944
30000000000	16968
40000000000	16994
50000000000	16690
60000000000	17188
70000000000	16550
80000000000	17290
90000000000	17071
100000000000	16942
110000000000	16834
120000000000	16982
130000000000	16640
140000000000	17283
150000000000	16673
160000000000	17272
170000000000	16450
180000000000	17379
190000000000	17047
200000000000	17151
210000000000	16558
220000000000	17164
230000000000	16700
240000000000	17733
250000000000	16539
260000000000	17700
270000000000	16495
280000000000	17511
290000000000	16634
300000000000	17380
310000000000	16460
320000000000	17421
330000000000	16922
340000000000	16941
350000000000	16989
360000000000	17034
370000000000	16896
380000000000	17128
390000000000	16894
400000000000	17194
410000000000	16838
420000000000	17246
430000000000	17354
440000000000	16984
450000000000	17157
460000000000	16763
470000000000	16790
480000000000	17042
490000000000	17119
500000000000	16950
510000000000	17303
520000000000	16858
530000000000	17274
540000000000	17211
550000000000	16934
560000000000	17256
570000000000	16920
580000000000	17509
590000000000	17192
600000000000	17081
610000000000	17314
620000000000	16856
630000000000	17280
640000000000	17593
650000000000	17165
660000000000	17320
670000000000	16749
680000000000	17253
690000000000	17241
700000000000	16940
710000000000	17155
720000000000	16982
730000000000	17115
740000000000	17143
750000000000	16862
760000000000	17059
770000000000	17053
780000000000	16904
790000000000	17100
800000000000	17210
810000000000	17189
820000000000	17177
830000000000	17154
840000000000	17023
850000000000	17220
860000000000	16903
870000000000	17234
880000000000	17273
890000000000	17218
900000000000	17357
910000000000	17063
920000000000	16810
930000000000	17049
940000000000	17009
950000000000	17416
960000000000	16877
970000000000	17167
980000000000	17273
990000000000	16919
1000000000000	17124
1010000000000	17101
1020000000000	16963
1030000000000	17261
1040000000000	17237
1050000000000	17102
1060000000000	17034
1070000000000	16990
1080000000000	17045
1090000000000	17280
1100000000000	17391
1110000000000	17270
1120000000000	17118
1130000000000	17445
1140000000000	17365
1150000000000	17435
1160000000000	17103
1170000000000	17220
1180000000000	17263
1190000000000	17136
1200000000000	16892
1210000000000	17209
1220000000000	16977
1230000000000	17247
1240000000000	17056
1250000000000	17045
1260000000000	17218
1270000000000	17093
1280000000000	16887
1290000000000	17282
1300000000000	17026
1310000000000	17439
1320000000000	17232
1330000000000	17260
1340000000000	17018
1350000000000	17100
1360000000000	16966
1370000000000	17469
1380000000000	17457
1390000000000	17417
1400000000000	17279
1410000000000	17463
1420000000000	17446
1430000000000	17159
1440000000000	17199
1450000000000	17414
1460000000000	17344
1470000000000	17241
1480000000000	17402
1490000000000	17173
1500000000000	17484
1510000000000	16871
1520000000000	17505
1530000000000	17001
1540000000000	17242
1550000000000	17414
1560000000000	17410
1570000000000	17449
1580000000000	17384
1590000000000	16839
1600000000000	17429
1610000000000	16939
1620000000000	17518
1630000000000	16494
1640000000000	17497
1650000000000	16859
1660000000000	17213
1670000000000	17108
1680000000000	17451
1690000000000	17295
1700000000000	17764
1710000000000	17262
1720000000000	17415
1730000000000	17101
1740000000000	17364
1750000000000	17209
1760000000000	17731
1770000000000	16990
1780000000000	17692
1790000000000	16909
1800000000000	17449
1810000000000	17062
1820000000000	17527
1830000000000	16996
1840000000000	17273
1850000000000	16971
1860000000000	17463
1870000000000	16922
1880000000000	17444
1890000000000	16988
1900000000000	17284
1910000000000	17035
1920000000000	17358
1930000000000	16824
1940000000000	17542
1950000000000	17077
1960000000000	17361
1970000000000	17457
1980000000000	17123
1990000000000	17467
2000000000000	16905
2010000000000	16948
2020000000000	17681
2030000000000	17140
2040000000000	17250
2050000000000	17171
2060000000000	17266
2070000000000	17363
2080000000000	17125
2090000000000	17403
2100000000000	17043
2110000000000	17531
2120000000000	17058
2130000000000	17521
2140000000000	16847
2150000000000	17397
2160000000000	16936
2170000000000	17230
