"Time (ps)"	"Counts per bin"
0	48724
100000000	49107
200000000	49283
300000000	49126
400000000	49696
500000000	49819
600000000	49794
700000000	49790
800000000	49797
900000000	50133
1000000000	49564
1100000000	49788
1200000000	49474
1300000000	49764
1400000000	50435
1500000000	49558
1600000000	49858
1700000000	50289
1800000000	50025
1900000000	50069
2000000000	49840
2100000000	49836
2200000000	50386
2300000000	50038
2400000000	49958
2500000000	50170
2600000000	50139
2700000000	50145
2800000000	50176
2900000000	50067
3000000000	49991
3100000000	50065
3200000000	49934
3300000000	50309
3400000000	50500
3500000000	49914
3600000000	50046
3700000000	50059
3800000000	50144
3900000000	50225
4000000000	50257
4100000000	50000
4200000000	50062
4300000000	49714
4400000000	49791
4500000000	50117
4600000000	50288
4700000000	49952
4800000000	50070
4900000000	50167
5000000000	50136
5100000000	49828
5200000000	50160
5300000000	50114
5400000000	50120
5500000000	50135
5600000000	49900
5700000000	49871
5800000000	49652
5900000000	50056
6000000000	50035
6100000000	49906
6200000000	49934
6300000000	50164
6400000000	50162
6500000000	49924
6600000000	50093
6700000000	50219
6800000000	50125
6900000000	49837
7000000000	50364
7100000000	49880
7200000000	50443
7300000000	50069
7400000000	50080
7500000000	49913
7600000000	50282
7700000000	49932
7800000000	50116
7900000000	49918
8000000000	50005
8100000000	49683
8200000000	49995
8300000000	50449
8400000000	49885
8500000000	49741
8600000000	49990
8700000000	50146
8800000000	50057
8900000000	50027
9000000000	49662
9100000000	49947
9200000000	49925
9300000000	49602
9400000000	50362
9500000000	49804
9600000000	50269
9700000000	49893
9800000000	49764
9900000000	50135
10000000000	49989
10100000000	49871
10200000000	49377
10300000000	50017
10400000000	49988
10500000000	50312
10600000000	50203
10700000000	50074
10800000000	49959
10900000000	50551
11000000000	49891
11100000000	50175
11200000000	50253
11300000000	50130
11400000000	50263
11500000000	49897
11600000000	49716
11700000000	49610
11800000000	49904
11900000000	50167
12000000000	49854
12100000000	49856
12200000000	49811
12300000000	49829
12400000000	49846
12500000000	50236
12600000000	50032
12700000000	50295
12800000000	50228
12900000000	49475
13000000000	49596
13100000000	49947
13200000000	49881
13300000000	49996
13400000000	49939
13500000000	49673
13600000000	49899
13700000000	50065
13800000000	50024
13900000000	49601
14000000000	50173
14100000000	49750
14200000000	49661
14300000000	50230
14400000000	49798
14500000000	49792
14600000000	49867
14700000000	49838
14800000000	49710
14900000000	49994
15000000000	49808
15100000000	49930
15200000000	49937
15300000000	50037
15400000000	50203
15500000000	50031
15600000000	49946
15700000000	49757
15800000000	50128
15900000000	49724
16000000000	49740
16100000000	49904
16200000000	49966
16300000000	50178
16400000000	50112
16500000000	50365
16600000000	50078
16700000000	49700
16800000000	49920
16900000000	49890
17000000000	49690
17100000000	50134
17200000000	50060
17300000000	49913
17400000000	50141
17500000000	49796
17600000000	49766
17700000000	50184
17800000000	49587
17900000000	49841
18000000000	50014
18100000000	50395
18200000000	50111
18300000000	49778
18400000000	49979
18500000000	50323
18600000000	49924
18700000000	49823
18800000000	50069
18900000000	49578
19000000000	50043
19100000000	50042
19200000000	50080
19300000000	50237
19400000000	49816
19500000000	49739
19600000000	50024
19700000000	50085
19800000000	49930
19900000000	49786
20000000000	50294
20100000000	50376
20200000000	49863
20300000000	49825
20400000000	50041
20500000000	50063
20600000000	50207
20700000000	50563
20800000000	49925
20900000000	49808
21000000000	50156
21100000000	49610
21200000000	50084
21300000000	49684
21400000000	49572
21500000000	50154
21600000000	50064
21700000000	49927
21800000000	49516
21900000000	49898
22000000000	50152
22100000000	49724
22200000000	50367
22300000000	49669
22400000000	49931
22500000000	49820
22600000000	50522
22700000000	50260
22800000000	49851
22900000000	49829
23000000000	49877
23100000000	49988
23200000000	49378
23300000000	49890
23400000000	49985
23500000000	50327
23600000000	49695
23700000000	49847
23800000000	50302
23900000000	50095
24000000000	50069
24100000000	49950
24200000000	49682
24300000000	49954
24400000000	49992
24500000000	49706
24600000000	49850
24700000000	49432
24800000000	50308
24900000000	49696
25000000000	49889
25100000000	49728
25200000000	48779
25300000000	49129
25400000000	49280
25500000000	48588
25600000000	48768
25700000000	48591
25800000000	49098
25900000000	48564
26000000000	48627
26100000000	48298
26200000000	48427
26300000000	48670
26400000000	48274
26500000000	48503
26600000000	48604
26700000000	48434
26800000000	48636
26900000000	48301
27000000000	48675
27100000000	48432
27200000000	48575
27300000000	48022
27400000000	47840
27500000000	48342
27600000000	48200
27700000000	48107
27800000000	49002
27900000000	48340
28000000000	48555
28100000000	48240
28200000000	48749
28300000000	48688
28400000000	48524
28500000000	48717
28600000000	48154
28700000000	48252
28800000000	48400
28900000000	48635
29000000000	48202
29100000000	48578
29200000000	48303
29300000000	48400
29400000000	48315
29500000000	48458
29600000000	48956
29700000000	48427
29800000000	48777
29900000000	48114
30000000000	48359
30100000000	48201
30200000000	48410
30300000000	48459
30400000000	48523
30500000000	48706
30600000000	48969
30700000000	48707
30800000000	48666
30900000000	48382
31000000000	48606
31100000000	48191
31200000000	48396
31300000000	48725
31400000000	48101
31500000000	48510
31600000000	48400
31700000000	47836
31800000000	48308
31900000000	48408
32000000000	48263
32100000000	48291
32200000000	48579
32300000000	48613
32400000000	48135
32500000000	48218
32600000000	48317
32700000000	48873
32800000000	48647
32900000000	48515
33000000000	48372
33100000000	48109
33200000000	48131
33300000000	48174
33400000000	48095
33500000000	48455
33600000000	48674
33700000000	48589
33800000000	48496
33900000000	48846
34000000000	48995
34100000000	48468
34200000000	48281
34300000000	48580
34400000000	48706
34500000000	48594
34600000000	48906
34700000000	48075
34800000000	48197
34900000000	48399
35000000000	48926
35100000000	48559
35200000000	48639
35300000000	48405
35400000000	47904
35500000000	48092
35600000000	48551
35700000000	48570
35800000000	48487
35900000000	48696
36000000000	48799
36100000000	48498
36200000000	48227
36300000000	48299
36400000000	48549
36500000000	48531
36600000000	48555
36700000000	48575
36800000000	48330
36900000000	48272
37000000000	48785
37100000000	48817
37200000000	48918
37300000000	48970
37400000000	48958
37500000000	48697
37600000000	48559
37700000000	48227
37800000000	48640
37900000000	48568
38000000000	48611
38100000000	48601
38200000000	48331
38300000000	48787
38400000000	48569
38500000000	48793
38600000000	48799
38700000000	48556
38800000000	48570
38900000000	48679
39000000000	48673
39100000000	48163
39200000000	48749
39300000000	48721
39400000000	48495
39500000000	48522
39600000000	48563
39700000000	48687
39800000000	48948
39900000000	48550
40000000000	48636
40100000000	48854
40200000000	48328
40300000000	48704
40400000000	48228
40500000000	48822
40600000000	48426
40700000000	48239
40800000000	48650
40900000000	48616
41000000000	48568
41100000000	48491
41200000000	48376
41300000000	48028
41400000000	48251
41500000000	48938
41600000000	48577
41700000000	48417
41800000000	48499
41900000000	48697
42000000000	48485
42100000000	48344
42200000000	48557
42300000000	48260
42400000000	48511
42500000000	48650
42600000000	48622
42700000000	48615
42800000000	48935
42900000000	48505
43000000000	48586
43100000000	48390
43200000000	48641
43300000000	48327
43400000000	48799
43500000000	48306
43600000000	48476
43700000000	48686
43800000000	48554
43900000000	48667
44000000000	48705
44100000000	48515
44200000000	48663
44300000000	48232
