"Time (ps)"	"Counts per bin"
0	5780
400000	5705
800000	5855
1200000	5694
1600000	5695
2000000	5661
2400000	5625
2800000	5634
3200000	5482
3600000	5412
4000000	5333
4400000	5367
4800000	5296
5200000	5359
5600000	5140
6000000	5273
6400000	5250
6800000	5019
7200000	5047
7600000	5089
8000000	4872
8400000	4960
8800000	5054
9200000	4956
9600000	4865
10000000	4712
10400000	4745
10800000	4699
11200000	4651
11600000	4615
12000000	4659
12400000	4507
12800000	4445
13200000	4499
13600000	4409
14000000	4458
14400000	4392
14800000	4371
15200000	4285
15600000	4256
16000000	4282
16400000	4194
16800000	4242
17200000	4326
17600000	4142
18000000	4198
18400000	4081
18800000	3948
19200000	4082
19600000	4021
20000000	3955
20400000	3985
20800000	3972
21200000	3838
21600000	3897
22000000	3897
22400000	3705
22800000	3859
23200000	3843
23600000	3733
24000000	3750
24400000	3780
24800000	3724
25200000	3706
25600000	3674
26000000	3695
26400000	3611
26800000	3576
27200000	3573
27600000	3614
28000000	3438
28400000	3491
28800000	3482
29200000	3487
29600000	3562
30000000	3452
30400000	3430
30800000	3353
31200000	3464
31600000	3306
32000000	3362
32400000	3392
32800000	3332
33200000	3144
33600000	3279
34000000	3196
34400000	3213
34800000	3181
35200000	3250
35600000	3191
36000000	3133
36400000	3133
36800000	3157
37200000	3237
37600000	3188
38000000	3069
38400000	2964
38800000	2985
39200000	2992
39600000	2997
40000000	3000
40400000	2910
40800000	3009
41200000	2832
41600000	2946
42000000	2841
42400000	2949
42800000	2847
43200000	2921
43600000	2966
44000000	2867
44400000	2862
44800000	2753
45200000	2761
45600000	2807
46000000	2830
46400000	2865
46800000	2843
47200000	2684
47600000	2725
48000000	2699
48400000	2776
48800000	2700
49200000	2709
49600000	2625
50000000	2577
50400000	2546
50800000	2583
51200000	2623
51600000	2601
52000000	2532
52400000	2647
52800000	2504
53200000	2578
53600000	2567
54000000	2489
54400000	2454
54800000	2512
55200000	2510
55600000	2538
56000000	2446
56400000	2461
56800000	2491
57200000	2435
57600000	2450
58000000	2435
58400000	2344
58800000	2395
59200000	2346
59600000	2401
60000000	2331
60400000	2359
60800000	2369
61200000	2310
61600000	2354
62000000	2304
62400000	2291
62800000	2312
63200000	2299
63600000	2136
64000000	2255
64400000	2246
64800000	2253
65200000	2185
65600000	2313
66000000	2196
66400000	2214
66800000	2116
67200000	2162
67600000	2189
68000000	2279
68400000	2180
68800000	2129
69200000	2108
69600000	2125
70000000	2101
70400000	2122
70800000	2093
71200000	2020
71600000	2074
72000000	2000
72400000	2136
72800000	2052
73200000	2043
73600000	2037
74000000	2074
74400000	2046
74800000	1990
75200000	2013
75600000	2001
76000000	2009
76400000	1989
76800000	2032
77200000	1869
