"Time (ps)"	"Counts per bin"
0	147778
1000000	148124
2000000	148188
3000000	148065
4000000	148463
5000000	148454
6000000	148950
7000000	148978
8000000	147681
9000000	148496
10000000	148087
11000000	147816
12000000	148036
13000000	148353
14000000	148307
15000000	148210
16000000	148102
17000000	148442
18000000	147749
19000000	147520
20000000	147980
21000000	148143
22000000	148287
23000000	147750
24000000	147714
25000000	147963
26000000	148177
27000000	148633
28000000	147546
29000000	147993
30000000	148751
31000000	147675
32000000	147518
33000000	148180
34000000	146934
35000000	147510
36000000	148249
37000000	148323
38000000	147459
39000000	147236
40000000	147872
41000000	148492
42000000	148098
43000000	147714
44000000	147814
45000000	147472
46000000	147325
47000000	147828
48000000	147482
49000000	147569
50000000	147803
51000000	148097
52000000	148052
53000000	148180
54000000	147606
55000000	147777
56000000	147308
57000000	147069
58000000	148273
59000000	148007
60000000	146955
61000000	147506
62000000	147621
63000000	147240
64000000	147689
65000000	147887
66000000	148019
67000000	147786
68000000	147456
69000000	147742
70000000	147618
71000000	148106
72000000	147593
73000000	147817
74000000	147440
75000000	147981
76000000	147879
77000000	147981
78000000	147581
79000000	147181
80000000	147243
81000000	147757
82000000	147514
83000000	146950
84000000	147582
85000000	147702
86000000	147737
87000000	147058
88000000	146625
89000000	148113
90000000	147515
91000000	147465
92000000	147327
93000000	148099
94000000	147901
95000000	147137
96000000	147571
97000000	147367
98000000	147201
99000000	147558
100000000	146920
101000000	147179
102000000	147143
103000000	147144
104000000	148080
105000000	147556
106000000	147229
107000000	147913
108000000	147834
109000000	147696
110000000	147224
111000000	147221
112000000	147572
113000000	147273
114000000	147356
115000000	147444
116000000	147489
117000000	147605
118000000	146863
119000000	147599
120000000	147254
121000000	147310
122000000	147037
123000000	146727
124000000	147440
125000000	146988
126000000	147098
127000000	147808
128000000	146851
129000000	146450
130000000	147759
131000000	146991
132000000	147497
133000000	147115
134000000	147978
135000000	147737
136000000	147584
137000000	148049
138000000	146741
139000000	146756
140000000	147773
141000000	147445
142000000	147697
143000000	147377
144000000	147432
145000000	147432
146000000	147337
147000000	147496
148000000	147630
149000000	147422
150000000	146883
151000000	147139
152000000	147076
153000000	147456
154000000	147250
155000000	147174
156000000	146778
157000000	147329
158000000	147226
159000000	147138
160000000	147350
161000000	147363
162000000	146623
163000000	147240
164000000	147489
165000000	147419
166000000	147495
167000000	147457
168000000	146323
169000000	147025
170000000	147408
171000000	147051
172000000	146906
173000000	147465
174000000	147177
175000000	147767
176000000	146710
177000000	147441
178000000	147385
179000000	146582
180000000	146948
181000000	147920
182000000	146881
183000000	147449
184000000	147355
185000000	147588
186000000	146814
187000000	147200
188000000	147125
189000000	147298
190000000	146036
191000000	147398
192000000	147503
193000000	146993
194000000	147260
195000000	147373
196000000	146750
197000000	146809
198000000	146521
199000000	147248
200000000	147110
201000000	147451
202000000	146921
203000000	146888
204000000	147437
205000000	147005
206000000	147109
207000000	147203
208000000	146806
209000000	147620
210000000	146568
211000000	146997
212000000	147288
213000000	146788
214000000	147384
215000000	146539
216000000	146230
217000000	147313
218000000	147199
219000000	146940
220000000	146878
221000000	146672
222000000	147110
223000000	146491
224000000	147708
225000000	147340
226000000	147180
227000000	146166
228000000	147289
229000000	147631
230000000	146677
231000000	146778
232000000	146880
233000000	146732
234000000	146865
235000000	147356
236000000	147683
237000000	146342
238000000	147227
239000000	147117
240000000	146358
241000000	146372
242000000	146304
243000000	147406
244000000	147087
245000000	146446
246000000	146854
247000000	146722
248000000	147312
249000000	146443
250000000	146257
251000000	147002
252000000	146532
253000000	146740
254000000	146347
255000000	147313
256000000	146677
257000000	147041
258000000	146901
259000000	147200
260000000	146511
261000000	146683
262000000	147774
263000000	146773
264000000	146665
265000000	147303
266000000	147171
267000000	147764
268000000	147032
269000000	146699
270000000	147268
271000000	146330
272000000	147350
273000000	146627
274000000	147293
275000000	147176
276000000	147507
277000000	147331
278000000	146992
279000000	146365
280000000	147147
281000000	147606
282000000	147008
283000000	147262
284000000	147253
285000000	146910
286000000	147419
287000000	147339
288000000	146870
289000000	146653
290000000	146546
291000000	146585
292000000	147450
293000000	146315
294000000	147538
295000000	146759
296000000	146335
297000000	146638
298000000	146746
299000000	146900
300000000	146699
301000000	146558
302000000	147340
303000000	146400
304000000	147084
305000000	146446
306000000	147297
307000000	146435
308000000	146302
309000000	147294
310000000	146254
311000000	146898
312000000	146573
313000000	146385
314000000	146572
315000000	147132
316000000	146442
317000000	146501
318000000	146304
319000000	146905
320000000	146973
321000000	146969
322000000	147021
323000000	146293
324000000	146933
325000000	147273
326000000	147109
327000000	147149
328000000	147223
329000000	147127
330000000	147111
331000000	146532
332000000	146299
333000000	146582
334000000	146454
335000000	146463
336000000	146671
337000000	146580
338000000	147056
339000000	146565
340000000	146254
341000000	146868
342000000	146673
343000000	146634
344000000	146890
345000000	147072
346000000	146583
347000000	146957
348000000	146961
349000000	146325
350000000	146902
351000000	146145
352000000	147467
353000000	147136
354000000	146927
355000000	146691
356000000	146425
357000000	146653
358000000	146672
359000000	147250
360000000	146073
361000000	146904
362000000	146980
363000000	145918
364000000	145918
365000000	146711
366000000	146640
367000000	147171
368000000	146759
369000000	146502
370000000	146760
371000000	146330
372000000	146901
373000000	146776
374000000	147174
375000000	146058
376000000	146726
377000000	146949
378000000	146537
379000000	146685
380000000	146983
381000000	146310
382000000	146641
383000000	146385
384000000	145773
385000000	146705
386000000	146718
387000000	147021
388000000	146396
389000000	146625
390000000	146328
391000000	147108
392000000	145783
393000000	146252
394000000	146913
395000000	146399
396000000	146462
397000000	146964
398000000	147377
399000000	146788
400000000	146798
401000000	146931
402000000	146278
403000000	146604
404000000	145972
405000000	146532
406000000	146773
407000000	147292
408000000	147035
409000000	146516
410000000	146045
411000000	146540
412000000	146940
413000000	146515
414000000	146866
415000000	145626
416000000	147018
417000000	146752
418000000	146075
419000000	146262
420000000	146503
421000000	146448
422000000	147068
423000000	146311
424000000	147181
425000000	146492
426000000	147321
427000000	146742
428000000	146089
429000000	147037
430000000	147028
431000000	146512
432000000	146083
433000000	147144
434000000	146450
435000000	145931
436000000	146624
437000000	146537
438000000	146221
439000000	147001
440000000	145886
441000000	146545
442000000	146729
443000000	146980
444000000	146643
445000000	146890
446000000	146155
447000000	146618
448000000	147016
449000000	146931
