"Time (ps)"	"Counts per bin"
0	112396
1000000	112066
2000000	112189
3000000	112355
4000000	112356
5000000	112423
6000000	112312
7000000	112484
8000000	111830
9000000	112079
10000000	111940
11000000	112530
12000000	111352
13000000	112530
14000000	112603
15000000	111971
16000000	112256
17000000	111824
18000000	111415
19000000	112065
20000000	112105
21000000	111532
22000000	111935
23000000	112395
24000000	111992
25000000	112188
26000000	112320
27000000	111909
28000000	111951
29000000	112456
30000000	111673
31000000	112213
32000000	111915
33000000	112191
34000000	111954
35000000	111361
36000000	111622
37000000	111506
38000000	111907
39000000	111475
40000000	112043
41000000	111949
42000000	111649
43000000	112376
44000000	112398
45000000	112131
46000000	111510
47000000	111860
48000000	111996
49000000	112356
50000000	111341
51000000	111845
52000000	111309
53000000	111429
54000000	111885
55000000	111303
56000000	111779
57000000	110789
58000000	111361
59000000	112236
60000000	111525
61000000	111814
62000000	111298
63000000	111302
64000000	110883
65000000	111305
66000000	111856
67000000	111051
68000000	111131
69000000	111867
70000000	111732
71000000	111436
72000000	111652
73000000	111111
74000000	111576
75000000	111511
76000000	111364
77000000	111659
78000000	111023
79000000	111365
80000000	111095
81000000	110906
82000000	111425
83000000	111106
84000000	110771
85000000	111623
86000000	110846
87000000	111212
88000000	110863
89000000	111082
90000000	111315
91000000	111265
92000000	111383
93000000	111779
94000000	111054
95000000	110958
96000000	111272
97000000	111630
98000000	111603
99000000	111365
100000000	111415
101000000	111274
102000000	111462
103000000	110960
104000000	110734
105000000	111108
106000000	111246
107000000	110712
108000000	111312
109000000	110838
110000000	110985
111000000	110727
112000000	111404
113000000	110900
114000000	111018
115000000	111096
116000000	111125
117000000	110846
118000000	111206
119000000	110608
120000000	111130
121000000	110787
122000000	111304
123000000	111373
124000000	111002
125000000	111279
126000000	110760
127000000	110404
128000000	111362
129000000	110753
130000000	111253
131000000	110993
132000000	110159
133000000	111293
134000000	110780
135000000	111314
136000000	110683
137000000	110894
138000000	111191
139000000	111344
140000000	110795
141000000	111027
142000000	110470
143000000	110399
144000000	110579
145000000	110325
146000000	110971
147000000	110234
148000000	111355
149000000	110955
150000000	110137
151000000	110853
152000000	111542
153000000	110705
154000000	110308
155000000	110269
156000000	110615
157000000	111242
158000000	110188
159000000	111121
160000000	110804
161000000	110711
162000000	109959
163000000	110566
164000000	110396
165000000	110498
166000000	110567
167000000	110764
168000000	110730
169000000	110914
170000000	110385
171000000	110256
172000000	111064
173000000	110383
174000000	110928
175000000	110478
176000000	110684
177000000	110711
178000000	109907
179000000	110090
180000000	110134
181000000	111343
182000000	110620
183000000	110903
184000000	110599
185000000	110395
186000000	109717
187000000	110036
188000000	110394
189000000	110562
190000000	110525
191000000	110537
192000000	111154
193000000	110437
194000000	110155
195000000	110208
196000000	110762
197000000	110322
198000000	110285
199000000	110782
200000000	110259
201000000	110601
202000000	110560
203000000	110159
204000000	110638
205000000	110985
206000000	110204
207000000	110643
208000000	110459
209000000	110408
210000000	110914
211000000	109988
212000000	110072
213000000	110247
214000000	110403
215000000	110447
216000000	110632
217000000	110497
218000000	110291
219000000	109978
220000000	110241
221000000	110080
222000000	110131
223000000	109936
224000000	110342
225000000	109816
226000000	110389
227000000	110265
228000000	110657
229000000	109994
230000000	110293
231000000	110026
232000000	110663
233000000	110576
234000000	110121
235000000	110552
236000000	110865
237000000	110046
238000000	110051
239000000	110257
240000000	110445
241000000	110487
242000000	110607
243000000	110139
244000000	109836
245000000	109937
246000000	109983
247000000	110413
248000000	110411
249000000	110173
250000000	109987
251000000	109381
252000000	111080
253000000	110491
254000000	110394
255000000	110325
256000000	109874
257000000	110302
258000000	110049
259000000	109754
260000000	110014
261000000	110523
262000000	110533
263000000	110249
264000000	110005
265000000	109675
266000000	110213
267000000	109565
268000000	110034
269000000	110436
270000000	110499
271000000	109788
272000000	110460
273000000	109628
274000000	110422
275000000	110334
276000000	109985
277000000	109794
278000000	110412
279000000	110174
280000000	110279
281000000	109536
282000000	110760
283000000	110682
284000000	110170
285000000	109733
286000000	110367
287000000	110032
288000000	110673
289000000	110222
290000000	110033
291000000	110084
292000000	109642
293000000	109944
294000000	109974
295000000	110200
296000000	109535
297000000	109945
298000000	109669
299000000	110059
300000000	109885
301000000	109394
302000000	110166
303000000	109910
304000000	110001
305000000	109796
306000000	109816
307000000	110467
308000000	110342
309000000	110158
310000000	110192
311000000	110325
312000000	110150
313000000	110199
314000000	109431
315000000	109244
316000000	109872
317000000	109220
318000000	110029
319000000	109842
320000000	109895
321000000	110410
322000000	109796
323000000	109711
324000000	109692
325000000	109644
326000000	109867
327000000	110308
328000000	109765
329000000	109693
330000000	109630
331000000	110136
332000000	110011
333000000	109937
334000000	109917
335000000	109893
336000000	109496
337000000	110296
338000000	109871
339000000	109514
340000000	109961
341000000	110298
342000000	110034
343000000	109520
344000000	110111
345000000	109999
346000000	109641
347000000	110015
348000000	109477
349000000	109925
350000000	109940
351000000	108947
352000000	109931
353000000	109876
354000000	109903
355000000	109708
356000000	109315
357000000	110583
358000000	109482
359000000	109415
360000000	110379
361000000	110023
362000000	109177
363000000	109841
364000000	110306
365000000	109973
366000000	109624
367000000	110379
368000000	109880
369000000	109856
370000000	109727
371000000	110215
372000000	109967
373000000	109006
374000000	109368
375000000	110408
376000000	110077
377000000	110283
378000000	109815
379000000	108979
380000000	109654
381000000	109799
382000000	109697
383000000	110144
384000000	109983
385000000	109079
386000000	109715
387000000	109465
388000000	109131
389000000	109626
390000000	109240
391000000	109463
392000000	109404
393000000	109561
394000000	109766
395000000	109451
396000000	109094
397000000	109792
398000000	110275
399000000	109733
400000000	109539
401000000	109746
402000000	109870
403000000	109925
404000000	110295
405000000	109974
406000000	109365
407000000	109347
408000000	109576
409000000	109819
410000000	109738
411000000	109375
412000000	109947
413000000	109009
414000000	110054
415000000	109999
416000000	109836
417000000	109588
418000000	109266
419000000	109468
420000000	109821
421000000	109383
422000000	109626
423000000	109255
424000000	110185
425000000	109252
426000000	109523
427000000	109407
428000000	109443
429000000	109370
430000000	109386
431000000	109169
432000000	109762
433000000	109557
434000000	109037
