"Time (ps)"	"Counts per bin"
0	441
10000000	2553
20000000	6340
30000000	6630
40000000	7137
50000000	6996
60000000	7324
70000000	7481
80000000	7630
90000000	7691
100000000	7955
110000000	7894
120000000	7933
130000000	7737
140000000	8537
150000000	8846
160000000	8427
170000000	8540
180000000	8662
190000000	8693
200000000	8823
210000000	8970
220000000	9069
230000000	8841
240000000	8705
250000000	8966
260000000	8966
270000000	9185
280000000	9032
290000000	8932
300000000	9291
310000000	9268
320000000	9166
330000000	9007
340000000	9178
350000000	9662
360000000	9447
370000000	9421
380000000	9654
390000000	9719
400000000	9512
410000000	9328
420000000	9503
430000000	9486
440000000	9325
450000000	9482
460000000	9115
470000000	9144
480000000	9341
490000000	9336
500000000	9719
510000000	9757
520000000	9553
530000000	9708
540000000	9781
550000000	9997
560000000	9892
570000000	9840
580000000	9639
590000000	9970
600000000	9776
610000000	9782
620000000	9854
630000000	10017
640000000	10056
650000000	10023
660000000	10020
670000000	9935
680000000	9908
690000000	10102
700000000	9923
710000000	10007
720000000	10074
730000000	9770
740000000	9974
750000000	9848
760000000	10139
770000000	9907
780000000	9817
790000000	9739
800000000	9820
810000000	9785
820000000	9795
830000000	9886
840000000	10165
850000000	10134
860000000	10068
870000000	10066
880000000	10376
890000000	10145
900000000	10080
910000000	10102
920000000	10241
930000000	10250
940000000	10356
950000000	10266
960000000	10186
970000000	10270
980000000	10325
990000000	10410
1000000000	10205
1010000000	10259
1020000000	10048
1030000000	10066
1040000000	10482
1050000000	10498
1060000000	10284
1070000000	10362
1080000000	10691
1090000000	10362
1100000000	10686
1110000000	10509
1120000000	10530
1130000000	10339
1140000000	10508
1150000000	10600
1160000000	10617
1170000000	10529
1180000000	10731
1190000000	10502
1200000000	10555
1210000000	10771
1220000000	10407
1230000000	10468
1240000000	10460
1250000000	10389
1260000000	10469
1270000000	10246
1280000000	10114
1290000000	10150
1300000000	10296
1310000000	10150
1320000000	10100
1330000000	10279
1340000000	10416
1350000000	10321
1360000000	10369
1370000000	10582
1380000000	10460
1390000000	10576
1400000000	10732
1410000000	10996
1420000000	10770
1430000000	10787
1440000000	10789
1450000000	10546
1460000000	10845
1470000000	10976
1480000000	10607
1490000000	10742
1500000000	10809
1510000000	10789
1520000000	10900
1530000000	10635
1540000000	10576
1550000000	10452
1560000000	10682
1570000000	10788
1580000000	10510
1590000000	10700
1600000000	10525
1610000000	10666
1620000000	10770
1630000000	10481
1640000000	10543
1650000000	10585
1660000000	10850
1670000000	10953
1680000000	11101
1690000000	10976
1700000000	10986
1710000000	10974
1720000000	10808
1730000000	10911
1740000000	10723
1750000000	10428
1760000000	10335
1770000000	10554
1780000000	10695
1790000000	10538
1800000000	10545
1810000000	10743
1820000000	10869
1830000000	10987
1840000000	11014
1850000000	11080
1860000000	10969
1870000000	10968
1880000000	10719
1890000000	10956
1900000000	10732
1910000000	10791
1920000000	10661
1930000000	10714
1940000000	10747
1950000000	10942
1960000000	10634
1970000000	10888
1980000000	10772
1990000000	10786
2000000000	10764
2010000000	10834
2020000000	10897
2030000000	10401
2040000000	10752
2050000000	10454
2060000000	10430
2070000000	10519
2080000000	10524
2090000000	10599
2100000000	10505
2110000000	10621
2120000000	10494
2130000000	10604
2140000000	10509
2150000000	10708
2160000000	10877
2170000000	10740
2180000000	11013
2190000000	11008
2200000000	11056
2210000000	10717
2220000000	10700
2230000000	10873
2240000000	11116
2250000000	11219
2260000000	11462
2270000000	11369
2280000000	11251
2290000000	11010
2300000000	10910
2310000000	10823
2320000000	11214
2330000000	11254
2340000000	10952
2350000000	11064
2360000000	11142
2370000000	11179
2380000000	11060
2390000000	11106
2400000000	11097
2410000000	11002
2420000000	11079
2430000000	11153
2440000000	11158
2450000000	11165
2460000000	11276
2470000000	10901
2480000000	11103
2490000000	10949
2500000000	10835
2510000000	10625
2520000000	10833
2530000000	10722
2540000000	10886
2550000000	11123
2560000000	10717
2570000000	10856
2580000000	11027
2590000000	10955
2600000000	10858
2610000000	10737
2620000000	10731
2630000000	10926
2640000000	11005
2650000000	10789
2660000000	10950
2670000000	11136
2680000000	11189
2690000000	11066
2700000000	11223
2710000000	10972
2720000000	10973
2730000000	10936
2740000000	10832
2750000000	10830
2760000000	11070
2770000000	11036
2780000000	11025
2790000000	10913
2800000000	11187
2810000000	11019
2820000000	11141
2830000000	11120
2840000000	10943
2850000000	10944
2860000000	10958
2870000000	10821
2880000000	10992
2890000000	10936
2900000000	10931
2910000000	11074
2920000000	10924
2930000000	11051
2940000000	11156
2950000000	10926
2960000000	10893
2970000000	11121
2980000000	11147
2990000000	10898
3000000000	11016
3010000000	11174
3020000000	10998
3030000000	11264
3040000000	11169
3050000000	10991
3060000000	10972
3070000000	11000
3080000000	10749
3090000000	10802
3100000000	10706
3110000000	10923
3120000000	10857
3130000000	10842
3140000000	11134
3150000000	11038
3160000000	11031
