"Time (ps)"	"Counts per bin"
0	4
30000	4
60000	3
90000	5
120000	5
150000	6
180000	5
210000	8
240000	10
270000	6
300000	7
330000	5
360000	8
390000	4
420000	10
450000	8
480000	3
510000	4
540000	4
570000	5
600000	16
630000	2
660000	2
690000	3
720000	3
750000	3
780000	4
810000	6
840000	2
870000	6
900000	4
930000	6
960000	5
990000	6
1020000	3
1050000	4
1080000	5
1110000	4
1140000	5
1170000	5
1200000	2
1230000	3
1260000	6
1290000	9
1320000	8
1350000	5
1380000	4
1410000	5
1440000	10
1470000	8
1500000	7
1530000	7
1560000	4
1590000	2
1620000	2
1650000	2
1680000	7
1710000	5
1740000	8
1770000	6
1800000	8
1830000	8
1860000	6
1890000	6
1920000	9
1950000	5
1980000	7
2010000	5
2040000	6
2070000	6
2100000	3
2130000	6
2160000	8
2190000	6
2220000	2
2250000	5
2280000	4
2310000	3
2340000	5
2370000	3
2400000	5
2430000	7
2460000	1
2490000	6
2520000	5
2550000	3
2580000	7
2610000	3
2640000	3
2670000	3
2700000	3
2730000	5
2760000	5
2790000	3
2820000	9
2850000	3
2880000	7
2910000	6
2940000	2
2970000	1
3000000	8
3030000	4
3060000	5
3090000	7
3120000	6
3150000	8
3180000	6
3210000	5
3240000	5
3270000	5
3300000	10
3330000	5
3360000	3
3390000	6
3420000	8
3450000	10
3480000	3
3510000	2
3540000	6
3570000	8
3600000	4
3630000	6
3660000	3
3690000	4
3720000	3
3750000	4
3780000	3
3810000	6
3840000	1
3870000	6
3900000	4
3930000	6
3960000	6
3990000	2
4020000	3
4050000	7
4080000	7
4110000	5
4140000	3
4170000	6
4200000	8
4230000	3
4260000	7
4290000	3
4320000	6
4350000	4
4380000	5
4410000	6
4440000	9
4470000	5
4500000	2
4530000	4
4560000	7
4590000	4
4620000	6
4650000	6
4680000	4
4710000	5
4740000	4
4770000	7
4800000	5
4830000	5
4860000	10
4890000	11
4920000	6
4950000	4
4980000	6
5010000	10
5040000	6
5070000	6
5100000	1
5130000	6
5160000	4
5190000	9
5220000	3
5250000	6
5280000	6
5310000	5
5340000	6
5370000	5
5400000	5
5430000	9
5460000	4
5490000	5
5520000	7
5550000	7
5580000	11
5610000	5
5640000	5
5670000	8
5700000	4
5730000	4
5760000	5
5790000	5
5820000	6
5850000	4
5880000	3
5910000	5
5940000	2
5970000	5
6000000	3
6030000	6
6060000	8
6090000	4
6120000	2
6150000	4
6180000	1
6210000	5
6240000	6
6270000	5
6300000	5
6330000	1
6360000	7
6390000	7
6420000	1
6450000	7
6480000	7
6510000	5
6540000	4
6570000	1
6600000	6
6630000	5
6660000	4
6690000	4
6720000	4
6750000	6
6780000	1
6810000	4
6840000	7
6870000	4
6900000	2
6930000	8
6960000	5
6990000	3
7020000	3
7050000	10
7080000	6
7110000	10
7140000	3
7170000	10
