"Time (ps)"	"Counts per bin"
0	46
20000	43
40000	45
60000	43
80000	33
100000	38
120000	42
140000	45
160000	36
180000	37
200000	40
220000	41
240000	42
260000	40
280000	44
300000	47
320000	38
340000	37
360000	40
380000	48
400000	41
420000	35
440000	59
460000	39
480000	40
500000	44
520000	39
540000	46
560000	43
580000	36
600000	48
620000	45
640000	39
660000	29
680000	39
700000	38
720000	45
740000	47
760000	48
780000	38
800000	33
820000	39
840000	46
860000	46
880000	35
900000	30
920000	35
940000	47
960000	48
980000	35
1000000	37
1020000	42
1040000	38
1060000	40
1080000	50
1100000	50
1120000	35
1140000	46
1160000	46
1180000	41
1200000	35
1220000	55
1240000	51
1260000	46
1280000	38
1300000	32
1320000	40
1340000	39
1360000	34
1380000	29
1400000	39
1420000	49
1440000	39
1460000	48
1480000	46
1500000	38
1520000	41
1540000	46
1560000	39
1580000	54
1600000	35
1620000	41
1640000	50
1660000	41
1680000	33
1700000	42
1720000	36
1740000	45
1760000	48
1780000	32
1800000	38
1820000	42
1840000	33
1860000	53
1880000	41
1900000	47
1920000	45
1940000	45
1960000	48
1980000	44
2000000	50
2020000	29
2040000	33
2060000	37
2080000	55
2100000	43
2120000	55
2140000	34
2160000	53
2180000	61
2200000	34
2220000	57
2240000	48
2260000	31
2280000	41
2300000	40
2320000	33
2340000	47
2360000	47
2380000	34
2400000	51
2420000	36
2440000	46
2460000	44
2480000	48
2500000	37
2520000	53
2540000	43
2560000	53
2580000	40
2600000	47
2620000	35
2640000	47
2660000	40
2680000	52
2700000	40
2720000	38
2740000	52
2760000	45
2780000	31
2800000	43
2820000	41
2840000	39
2860000	59
2880000	42
2900000	36
2920000	35
2940000	40
2960000	48
2980000	37
3000000	38
3020000	34
3040000	30
3060000	54
3080000	35
3100000	41
3120000	38
3140000	41
3160000	43
3180000	34
3200000	35
3220000	40
3240000	49
3260000	53
3280000	47
3300000	32
3320000	45
3340000	36
3360000	25
3380000	40
3400000	42
3420000	44
3440000	42
3460000	35
3480000	41
3500000	31
3520000	44
3540000	35
3560000	49
3580000	40
3600000	43
3620000	37
3640000	60
3660000	40
3680000	56
3700000	45
3720000	39
3740000	34
3760000	36
3780000	35
3800000	42
3820000	37
3840000	41
3860000	38
3880000	40
3900000	46
3920000	39
3940000	48
3960000	38
3980000	42
4000000	36
4020000	49
4040000	36
4060000	36
4080000	34
4100000	48
4120000	44
4140000	44
4160000	57
4180000	36
4200000	46
4220000	52
4240000	50
4260000	47
4280000	40
4300000	57
4320000	37
4340000	36
4360000	55
4380000	52
4400000	42
4420000	31
4440000	36
4460000	31
4480000	41
4500000	47
4520000	51
4540000	43
4560000	49
4580000	36
4600000	56
4620000	38
4640000	40
4660000	49
4680000	45
4700000	48
4720000	38
4740000	48
4760000	40
4780000	48
4800000	32
4820000	39
4840000	42
4860000	42
4880000	48
4900000	36
4920000	42
4940000	46
4960000	40
4980000	49
5000000	36
5020000	38
5040000	50
5060000	45
5080000	33
5100000	50
5120000	25
5140000	39
5160000	42
5180000	36
5200000	40
5220000	35
5240000	52
5260000	41
5280000	41
