"Time (ps)"	"Counts per bin"
0	15237
5000	15286
10000	15431
15000	15760
20000	15476
25000	15677
30000	15583
35000	15797
40000	16085
45000	16156
50000	16165
55000	16251
60000	16560
65000	16579
70000	16612
75000	16757
80000	17072
85000	16940
90000	16922
95000	17136
100000	17194
105000	17328
110000	17624
115000	17714
120000	17860
125000	17653
130000	17915
135000	18097
140000	18314
145000	18326
150000	18233
155000	18253
160000	18380
165000	18422
170000	18597
175000	18771
180000	18747
185000	18614
190000	18862
195000	19116
200000	19172
205000	19325
210000	18914
215000	19559
220000	19419
225000	19363
230000	19742
235000	19340
240000	19870
245000	19734
250000	19908
255000	19872
260000	19869
265000	19709
270000	20008
275000	19977
280000	19799
285000	19888
290000	20143
295000	20207
300000	20164
305000	20170
310000	20200
315000	20340
320000	20250
325000	20432
330000	20247
335000	20388
340000	20449
345000	20309
350000	20461
355000	20199
360000	20692
365000	20291
370000	20256
375000	20218
380000	20313
385000	20355
390000	20499
395000	20223
400000	20354
405000	20044
410000	20231
415000	20248
420000	20257
425000	20273
430000	20021
435000	19971
440000	19947
445000	19994
450000	20015
455000	20143
460000	19845
465000	19891
470000	19820
475000	19777
480000	19899
485000	19797
490000	19433
495000	19879
500000	19392
505000	19819
510000	19576
515000	19432
520000	19626
525000	19512
530000	19343
535000	19538
540000	19188
545000	19169
550000	19164
555000	19129
560000	19159
565000	19126
570000	19332
575000	18965
580000	18701
585000	18838
590000	18740
595000	18658
600000	18857
605000	18756
610000	18712
615000	18364
620000	18545
625000	18861
630000	18567
635000	18540
640000	18767
645000	18340
650000	18265
655000	18106
660000	18157
665000	18031
670000	18284
675000	17834
680000	18303
685000	18041
690000	17951
695000	18020
700000	17826
705000	17876
710000	17808
715000	17952
720000	17714
725000	17649
730000	17665
735000	17802
740000	17507
745000	17860
750000	17489
755000	17550
760000	17418
765000	17570
770000	17587
775000	17339
780000	17252
785000	17440
790000	17394
795000	17240
800000	17096
805000	17338
810000	17338
815000	17310
820000	17195
825000	17243
830000	17367
835000	17024
840000	17121
845000	16993
850000	17052
855000	16955
860000	16970
865000	16981
870000	16957
875000	17068
880000	17129
885000	16759
890000	16842
895000	16985
900000	16841
905000	17085
910000	16756
915000	16686
920000	16900
925000	16789
930000	16889
935000	16692
940000	16627
945000	16632
950000	16758
955000	16616
960000	16567
965000	16708
970000	16607
975000	16625
980000	16838
985000	16643
990000	16619
995000	16337
1000000	16553
1005000	16418
1010000	16403
1015000	16541
1020000	16460
1025000	16356
1030000	16342
1035000	16368
1040000	16253
1045000	16297
1050000	16283
1055000	16121
1060000	16272
1065000	16051
1070000	16203
1075000	16391
1080000	15988
1085000	16115
1090000	16051
1095000	16077
1100000	16251
1105000	16018
1110000	15994
1115000	15894
1120000	15959
1125000	16117
1130000	15768
1135000	15876
1140000	15844
1145000	15755
1150000	15697
1155000	15412
1160000	15768
1165000	15706
1170000	15720
1175000	15750
1180000	15328
1185000	15416
1190000	15397
1195000	15596
1200000	15629
1205000	15541
1210000	15473
1215000	15173
1220000	15422
1225000	15355
1230000	15298
1235000	15314
1240000	15221
1245000	15444
1250000	14912
1255000	15049
1260000	15037
1265000	15128
1270000	14832
1275000	14743
1280000	14902
1285000	14842
1290000	14543
1295000	14597
1300000	14501
1305000	14565
1310000	14435
1315000	14416
1320000	14456
1325000	14609
1330000	14199
1335000	14365
1340000	14352
1345000	14135
1350000	14123
1355000	14198
1360000	14031
1365000	13982
1370000	14069
1375000	13916
1380000	13803
1385000	13825
1390000	13718
1395000	13704
1400000	13592
1405000	13422
1410000	13590
1415000	13485
1420000	13488
1425000	13436
1430000	13423
1435000	13420
1440000	13229
1445000	13078
1450000	12971
1455000	12826
1460000	12940
1465000	13146
1470000	13004
1475000	12862
1480000	13033
1485000	12702
1490000	12806
1495000	12695
1500000	12608
1505000	12417
1510000	12358
1515000	12444
1520000	12196
1525000	12192
1530000	12512
1535000	12277
1540000	12209
1545000	12026
1550000	12343
1555000	11783
1560000	11932
1565000	11869
1570000	11995
1575000	11956
1580000	11745
1585000	11741
1590000	11446
1595000	11656
1600000	11669
1605000	11412
1610000	11229
1615000	11393
1620000	11433
1625000	11243
1630000	11243
1635000	11210
1640000	11187
1645000	11234
1650000	11040
1655000	11008
1660000	11055
1665000	10986
1670000	11036
1675000	10756
1680000	10907
1685000	10690
1690000	10660
1695000	10825
