"Time (ps)"	"Counts per bin"
0	46986
100000000	70425
200000000	73109
300000000	76113
400000000	73971
500000000	76137
600000000	73358
700000000	73972
800000000	75638
900000000	76017
1000000000	73731
1100000000	73806
1200000000	75633
1300000000	76204
1400000000	76847
1500000000	74706
1600000000	73096
1700000000	76214
1800000000	76765
1900000000	76112
2000000000	76868
2100000000	76086
2200000000	76011
2300000000	75803
2400000000	74576
2500000000	74306
2600000000	78146
2700000000	77151
2800000000	78262
2900000000	74858
3000000000	76829
3100000000	77451
3200000000	77205
3300000000	77151
3400000000	75712
3500000000	75576
3600000000	75738
3700000000	73358
3800000000	74828
3900000000	75936
4000000000	78760
4100000000	78535
4200000000	77638
4300000000	77024
4400000000	76286
4500000000	75241
4600000000	75465
4700000000	76495
4800000000	76301
4900000000	76640
5000000000	76696
5100000000	75528
5200000000	75346
5300000000	75193
5400000000	75585
5500000000	75077
5600000000	74201
5700000000	74313
5800000000	78022
5900000000	75576
6000000000	73591
6100000000	73423
6200000000	74901
6300000000	74688
6400000000	78168
6500000000	76655
6600000000	78288
6700000000	78020
6800000000	77746
6900000000	77238
7000000000	76297
7100000000	75858
7200000000	75420
7300000000	76499
7400000000	77917
7500000000	78736
7600000000	80165
7700000000	79617
7800000000	74358
7900000000	73719
8000000000	74531
8100000000	75114
8200000000	77269
8300000000	77870
8400000000	77851
8500000000	76468
8600000000	75533
8700000000	76157
8800000000	76252
8900000000	76217
9000000000	77007
9100000000	76593
9200000000	75402
9300000000	75494
9400000000	75480
9500000000	76095
9600000000	76178
9700000000	76533
9800000000	76877
9900000000	75866
10000000000	73933
10100000000	72968
10200000000	73006
10300000000	72992
10400000000	73822
10500000000	74074
10600000000	75263
10700000000	75145
10800000000	74915
10900000000	75298
11000000000	80610
11100000000	83674
11200000000	83076
11300000000	82270
11400000000	80994
11500000000	80153
11600000000	79937
11700000000	78827
11800000000	78581
11900000000	78160
12000000000	76782
12100000000	75991
12200000000	75500
12300000000	76500
12400000000	78071
12500000000	78685
12600000000	79190
12700000000	79424
12800000000	79086
12900000000	79168
13000000000	79461
13100000000	79618
13200000000	80212
13300000000	80451
13400000000	80868
13500000000	80528
13600000000	80357
13700000000	81022
13800000000	80462
13900000000	81054
14000000000	81177
14100000000	81971
14200000000	81292
14300000000	81546
14400000000	80578
14500000000	80001
14600000000	79599
14700000000	79518
14800000000	79086
14900000000	77411
15000000000	76520
15100000000	76328
15200000000	76941
15300000000	76907
15400000000	77355
15500000000	76660
15600000000	76418
15700000000	76805
15800000000	78054
15900000000	80381
16000000000	84807
16100000000	86388
16200000000	87213
16300000000	87163
16400000000	87419
16500000000	85868
16600000000	83660
16700000000	81307
16800000000	79952
16900000000	79433
17000000000	79075
17100000000	79037
17200000000	77140
17300000000	76803
17400000000	76772
17500000000	77156
17600000000	77806
17700000000	78654
17800000000	79220
17900000000	79401
18000000000	79243
18100000000	80133
18200000000	80333
18300000000	80260
18400000000	79793
18500000000	78711
18600000000	77956
18700000000	78066
18800000000	77982
18900000000	77930
19000000000	77689
19100000000	78256
19200000000	77399
19300000000	77496
19400000000	78330
19500000000	77964
19600000000	77696
19700000000	78082
19800000000	78346
19900000000	78496
20000000000	78699
20100000000	78345
20200000000	77914
20300000000	77418
20400000000	77474
20500000000	77160
20600000000	76840
20700000000	76920
20800000000	77398
20900000000	77645
21000000000	77005
21100000000	77096
21200000000	76757
21300000000	76683
21400000000	76519
21500000000	76435
21600000000	75809
21700000000	75669
21800000000	75204
21900000000	75080
22000000000	75205
22100000000	75070
22200000000	74557
22300000000	75372
22400000000	75010
22500000000	74901
22600000000	74923
22700000000	74756
22800000000	74716
22900000000	75194
23000000000	75230
23100000000	75171
23200000000	75827
23300000000	75282
23400000000	75232
23500000000	75469
23600000000	75947
