"Time (ps)"	"Counts per bin"
0	701
20000	675
40000	670
60000	664
80000	661
100000	697
120000	705
140000	672
160000	699
180000	684
200000	694
220000	676
240000	674
260000	637
280000	692
300000	712
320000	653
340000	675
360000	683
380000	652
400000	670
420000	670
440000	683
460000	651
480000	628
500000	685
520000	689
540000	659
560000	650
580000	675
600000	688
620000	660
640000	645
660000	680
680000	695
700000	705
720000	665
740000	679
760000	672
780000	647
800000	644
820000	645
840000	668
860000	594
880000	657
900000	624
920000	671
940000	644
960000	696
980000	693
1000000	630
1020000	679
1040000	639
1060000	706
1080000	630
1100000	675
1120000	669
1140000	682
1160000	688
1180000	660
1200000	690
1220000	631
1240000	644
1260000	658
1280000	682
1300000	648
1320000	635
1340000	674
1360000	683
1380000	637
1400000	682
1420000	701
1440000	697
1460000	687
1480000	696
1500000	652
1520000	660
1540000	658
1560000	685
1580000	681
1600000	667
1620000	670
1640000	705
1660000	674
1680000	679
1700000	698
1720000	717
1740000	744
1760000	729
1780000	655
1800000	640
1820000	688
1840000	667
1860000	665
1880000	675
1900000	635
1920000	655
1940000	678
1960000	666
1980000	654
2000000	703
2020000	672
2040000	658
2060000	677
2080000	671
2100000	676
2120000	649
2140000	706
2160000	710
2180000	701
2200000	719
2220000	664
2240000	678
2260000	683
2280000	663
2300000	656
2320000	677
2340000	695
2360000	694
2380000	700
2400000	659
2420000	755
2440000	629
2460000	692
2480000	714
2500000	700
2520000	677
2540000	688
2560000	709
2580000	640
2600000	647
2620000	634
2640000	735
2660000	693
2680000	712
2700000	658
2720000	669
2740000	639
2760000	677
2780000	659
2800000	674
2820000	668
2840000	719
2860000	674
2880000	641
2900000	639
2920000	662
2940000	674
2960000	663
2980000	645
3000000	675
3020000	691
3040000	696
3060000	617
3080000	669
3100000	668
3120000	715
3140000	665
3160000	658
3180000	611
3200000	630
3220000	684
3240000	643
3260000	666
3280000	683
3300000	708
3320000	671
3340000	623
3360000	653
3380000	703
3400000	645
3420000	728
3440000	679
3460000	671
3480000	672
3500000	629
3520000	696
3540000	686
3560000	688
3580000	681
3600000	680
3620000	687
3640000	697
3660000	687
3680000	661
3700000	658
3720000	664
3740000	651
3760000	670
3780000	681
3800000	710
3820000	658
3840000	703
3860000	779
3880000	743
3900000	877
3920000	1022
3940000	1326
3960000	1967
3980000	3034
4000000	5125
4020000	9065
4040000	16107
4060000	27676
4080000	47171
4100000	76310
4120000	117725
4140000	171477
4160000	235222
4180000	305160
4200000	374809
4220000	437517
4240000	484046
4260000	509988
4280000	510852
4300000	488015
4320000	444893
4340000	386301
4360000	321402
4380000	256457
4400000	195787
4420000	143702
4440000	102303
4460000	72056
4480000	49820
4500000	34187
4520000	24239
4540000	17571
4560000	13495
4580000	10643
4600000	9101
4620000	7940
4640000	7292
4660000	7006
4680000	7197
4700000	7290
4720000	7764
4740000	8270
4760000	9195
4780000	10419
4800000	11966
4820000	13914
4840000	16424
4860000	19193
4880000	22851
4900000	27178
4920000	32158
4940000	37805
4960000	43872
