"Time (ps)"	"Counts per bin"
0	638
40000	660
80000	607
120000	614
160000	647
200000	660
240000	606
280000	606
320000	690
360000	649
400000	640
440000	639
480000	633
520000	647
560000	638
600000	603
640000	671
680000	621
720000	608
760000	661
800000	592
840000	634
880000	647
920000	607
960000	643
1000000	632
1040000	627
1080000	611
1120000	623
1160000	603
1200000	655
1240000	675
1280000	600
1320000	613
1360000	669
1400000	632
1440000	618
1480000	642
1520000	643
1560000	661
1600000	638
1640000	669
1680000	620
1720000	676
1760000	643
1800000	639
1840000	622
1880000	619
1920000	615
1960000	600
2000000	637
2040000	652
2080000	633
2120000	695
2160000	641
2200000	695
2240000	625
2280000	647
2320000	610
2360000	597
2400000	679
2440000	604
2480000	656
2520000	650
2560000	676
2600000	626
2640000	659
2680000	661
2720000	621
2760000	600
2800000	584
2840000	669
2880000	645
2920000	639
2960000	644
3000000	619
3040000	653
3080000	584
3120000	688
3160000	621
3200000	615
3240000	647
3280000	669
3320000	594
3360000	673
3400000	674
3440000	647
3480000	653
3520000	644
3560000	641
3600000	644
3640000	611
3680000	700
3720000	646
3760000	611
3800000	631
3840000	705
3880000	750
3920000	938
3960000	1751
4000000	4634
4040000	14089
4080000	39913
4120000	92012
4160000	170493
4200000	254499
4240000	311468
4280000	320820
4320000	275511
4360000	200282
4400000	122166
4440000	64336
4480000	30394
4520000	14637
4560000	8084
4600000	5556
4640000	4463
4680000	4242
4720000	4630
4760000	5508
4800000	7132
4840000	9887
4880000	13691
4920000	19433
4960000	27147
5000000	36310
5040000	46060
5080000	54992
5120000	62442
5160000	67804
5200000	71621
5240000	74279
5280000	77668
5320000	81516
5360000	87772
5400000	95146
5440000	103458
5480000	110624
5520000	116145
5560000	117852
5600000	115380
5640000	109330
5680000	101165
5720000	93093
5760000	85683
5800000	80301
5840000	77027
5880000	74390
5920000	72222
5960000	70668
6000000	69300
6040000	68574
6080000	69277
6120000	71230
6160000	73475
6200000	76702
6240000	81012
6280000	86022
6320000	92469
6360000	98787
6400000	105190
6440000	110818
6480000	114692
6520000	116144
6560000	116018
6600000	113214
6640000	109086
6680000	105179
6720000	100674
6760000	96732
6800000	92443
6840000	88461
6880000	85231
6920000	82324
6960000	79761
7000000	76469
7040000	74668
7080000	72279
7120000	71235
7160000	68989
7200000	68165
7240000	67458
7280000	67568
7320000	67239
7360000	67754
7400000	67909
7440000	68643
7480000	69793
7520000	70610
7560000	70920
7600000	72071
7640000	73365
7680000	72566
7720000	72974
7760000	72894
7800000	72054
7840000	71117
7880000	70304
7920000	68746
7960000	66986
8000000	66141
8040000	63820
8080000	62402
8120000	60790
8160000	59455
8200000	58295
8240000	56523
8280000	56235
8320000	55700
8360000	55622
8400000	54834
8440000	55053
8480000	54932
8520000	55261
8560000	55015
8600000	55391
8640000	55653
8680000	55475
8720000	55369
8760000	55711
8800000	55195
8840000	54069
8880000	53381
8920000	52862
8960000	51957
9000000	51498
9040000	50482
9080000	49362
9120000	48291
9160000	47500
9200000	45966
9240000	45135
9280000	43854
9320000	42862
9360000	42028
9400000	41366
9440000	40434
9480000	40400
9520000	39741
9560000	39803
9600000	39664
9640000	40163
9680000	40585
9720000	41184
9760000	41323
9800000	42517
9840000	43376
9880000	44644
9920000	45729
9960000	46669
10000000	47434
10040000	48715
10080000	49080
10120000	49584
10160000	49980
10200000	49311
10240000	49305
10280000	48928
10320000	48525
10360000	47924
10400000	47048
10440000	46636
10480000	45880
10520000	45348
10560000	44375
10600000	43389
10640000	42393
10680000	41874
10720000	40883
10760000	40191
10800000	39333
10840000	37906
10880000	37477
10920000	37008
10960000	36144
11000000	35292
11040000	34642
11080000	33778
11120000	32941
11160000	32221
11200000	30964
11240000	30262
11280000	29195
11320000	28039
11360000	27441
11400000	25945
11440000	25093
11480000	23943
11520000	22644
11560000	21635
11600000	20534
11640000	19637
11680000	18431
11720000	17318
11760000	16458
11800000	15349
11840000	14438
11880000	13556
11920000	12665
11960000	11877
12000000	11137
12040000	10239
12080000	9363
12120000	8791
12160000	8228
12200000	7567
12240000	7048
12280000	6612
12320000	6050
12360000	5339
12400000	5093
12440000	4740
12480000	4328
12520000	3856
12560000	3735
12600000	3249
12640000	2936
12680000	2724
12720000	2474
12760000	2244
12800000	2098
12840000	1877
12880000	1839
12920000	1585
12960000	1500
13000000	1384
13040000	1299
13080000	1240
13120000	1163
13160000	1061
13200000	1005
13240000	938
13280000	892
13320000	859
13360000	810
13400000	841
13440000	810
13480000	796
13520000	747
13560000	720
13600000	731
13640000	720
13680000	697
13720000	700
13760000	748
13800000	681
13840000	688
13880000	644
13920000	718
13960000	738
14000000	636
14040000	673
14080000	679
14120000	649
14160000	720
14200000	647
14240000	658
14280000	686
14320000	672
14360000	688
14400000	697
14440000	681
14480000	650
14520000	651
14560000	669
14600000	663
14640000	679
14680000	671
14720000	649
14760000	598
14800000	717
14840000	677
14880000	664
14920000	645
14960000	629
15000000	646
15040000	683
15080000	695
15120000	658
15160000	665
15200000	682
15240000	655
15280000	691
15320000	649
15360000	670
15400000	675
15440000	697
15480000	660
15520000	649
15560000	620
15600000	608
15640000	671
15680000	668
15720000	593
15760000	634
15800000	667
15840000	631
15880000	666
15920000	657
15960000	643
16000000	599
16040000	646
16080000	665
16120000	693
16160000	677
