"Time (ps)"	"Counts per bin"
0	796982
100000000	797601
200000000	799398
300000000	796087
400000000	797660
500000000	799895
600000000	798128
700000000	797638
800000000	798307
900000000	797284
1000000000	799970
1100000000	798320
1200000000	798847
1300000000	800242
1400000000	798471
1500000000	797279
1600000000	798512
1700000000	798335
1800000000	797866
1900000000	798968
2000000000	799263
2100000000	798230
2200000000	798214
2300000000	798969
2400000000	798944
2500000000	799532
2600000000	800350
2700000000	798712
2800000000	798483
2900000000	800216
3000000000	798631
3100000000	799800
3200000000	801078
3300000000	800739
3400000000	799633
3500000000	797381
3600000000	800042
3700000000	799534
3800000000	800302
3900000000	799388
4000000000	800097
4100000000	800587
4200000000	801935
4300000000	800841
4400000000	801655
4500000000	801099
4600000000	800510
4700000000	800098
4800000000	801360
4900000000	799629
5000000000	801176
5100000000	801314
5200000000	800837
5300000000	797786
5400000000	799895
5500000000	799395
5600000000	799514
5700000000	798961
5800000000	798089
5900000000	799617
6000000000	797872
6100000000	797720
6200000000	797667
6300000000	796609
6400000000	799699
6500000000	797947
6600000000	799588
6700000000	797621
6800000000	798488
6900000000	796605
7000000000	797200
7100000000	798551
7200000000	795493
7300000000	796108
7400000000	796510
7500000000	795968
7600000000	797289
7700000000	798337
7800000000	798252
7900000000	797814
8000000000	797466
8100000000	800263
8200000000	798303
8300000000	798651
8400000000	798215
8500000000	799130
8600000000	798944
8700000000	799726
8800000000	799212
8900000000	797597
9000000000	798259
9100000000	799074
9200000000	800072
9300000000	798206
9400000000	801059
9500000000	797025
9600000000	799097
9700000000	799367
9800000000	798396
9900000000	798812
10000000000	799986
10100000000	798677
10200000000	798737
10300000000	799352
10400000000	800640
10500000000	799747
10600000000	800170
10700000000	797995
10800000000	800905
10900000000	800311
11000000000	800842
11100000000	801174
11200000000	801676
11300000000	800560
11400000000	799491
11500000000	800638
11600000000	800890
11700000000	800771
11800000000	798482
11900000000	800895
12000000000	798614
12100000000	800622
12200000000	799618
12300000000	800620
12400000000	799283
12500000000	800026
12600000000	799743
12700000000	799083
12800000000	798278
12900000000	798171
13000000000	798368
13100000000	797335
13200000000	798348
13300000000	799202
13400000000	798823
13500000000	797729
13600000000	799409
13700000000	797921
13800000000	799406
13900000000	796487
14000000000	796661
14100000000	796373
14200000000	797512
14300000000	795183
14400000000	798566
14500000000	796291
14600000000	798908
14700000000	797336
14800000000	798534
14900000000	798430
15000000000	799138
15100000000	798915
15200000000	797554
15300000000	798773
15400000000	799195
15500000000	798935
15600000000	798339
15700000000	797190
15800000000	798412
15900000000	799994
16000000000	799431
16100000000	800726
16200000000	800656
16300000000	799933
16400000000	799535
16500000000	800986
16600000000	800367
16700000000	799095
16800000000	799629
16900000000	798700
17000000000	799521
17100000000	799358
17200000000	800002
17300000000	799709
17400000000	799559
17500000000	800614
17600000000	800468
17700000000	800369
17800000000	799930
17900000000	800246
18000000000	800314
18100000000	801024
18200000000	800880
18300000000	800046
18400000000	799649
18500000000	801665
18600000000	803055
18700000000	802186
18800000000	799645
18900000000	800142
19000000000	801326
19100000000	801936
19200000000	802068
19300000000	800937
19400000000	801462
19500000000	799394
19600000000	800887
19700000000	800748
19800000000	799301
19900000000	797853
20000000000	800149
20100000000	799055
20200000000	797302
20300000000	799211
20400000000	798850
20500000000	798429
20600000000	798609
20700000000	798757
20800000000	798171
20900000000	796751
21000000000	796724
21100000000	798377
21200000000	797506
21300000000	796989
21400000000	797977
21500000000	798164
21600000000	797045
21700000000	797895
21800000000	797801
21900000000	798194
22000000000	798145
22100000000	799211
22200000000	799216
22300000000	798445
22400000000	796344
22500000000	798941
22600000000	798397
22700000000	798291
22800000000	800473
22900000000	800142
23000000000	800906
23100000000	798584
23200000000	799406
23300000000	799531
23400000000	798097
23500000000	799306
23600000000	799416
23700000000	799016
23800000000	798958
23900000000	800062
24000000000	798246
24100000000	797334
24200000000	798216
24300000000	796667
24400000000	799073
24500000000	797879
24600000000	798528
24700000000	798528
24800000000	799732
24900000000	799769
25000000000	799094
25100000000	799318
25200000000	798473
25300000000	798366
25400000000	796978
25500000000	798264
25600000000	798301
25700000000	798543
25800000000	799075
25900000000	798674
26000000000	800379
26100000000	799479
26200000000	799948
26300000000	799410
26400000000	798075
26500000000	798219
26600000000	797952
26700000000	797991
26800000000	797701
26900000000	797293
27000000000	798787
27100000000	797384
27200000000	796686
27300000000	797336
27400000000	795322
27500000000	797512
27600000000	796702
27700000000	795120
27800000000	795907
27900000000	795056
28000000000	794261
28100000000	795219
28200000000	795716
28300000000	794910
28400000000	794405
28500000000	794173
28600000000	793763
28700000000	794870
28800000000	795217
28900000000	795013
29000000000	794192
29100000000	795134
29200000000	794709
29300000000	796145
29400000000	797565
29500000000	795665
29600000000	797250
29700000000	795676
29800000000	795320
29900000000	796697
30000000000	797554
30100000000	797237
30200000000	798084
30300000000	796538
30400000000	797369
30500000000	796081
30600000000	797190
30700000000	795908
30800000000	796530
30900000000	796086
31000000000	794662
31100000000	795595
31200000000	796583
31300000000	796459
31400000000	796075
31500000000	797039
31600000000	796056
31700000000	798600
31800000000	797454
31900000000	796579
32000000000	796515
32100000000	797068
32200000000	796236
32300000000	799462
32400000000	796710
32500000000	797184
32600000000	797152
32700000000	798963
32800000000	797088
32900000000	797809
33000000000	796920
33100000000	798755
33200000000	798788
33300000000	799638
33400000000	799763
33500000000	799442
33600000000	796827
33700000000	797862
33800000000	796877
33900000000	798056
34000000000	795719
34100000000	797531
34200000000	796168
34300000000	793887
34400000000	797061
34500000000	796017
34600000000	795632
34700000000	796066
34800000000	794498
34900000000	794082
35000000000	796344
35100000000	795770
35200000000	794599
35300000000	796243
35400000000	794129
35500000000	795377
35600000000	796276
35700000000	795836
35800000000	793777
35900000000	796609
36000000000	796017
36100000000	794378
36200000000	796007
36300000000	796420
36400000000	798576
36500000000	796687
36600000000	795986
36700000000	795581
36800000000	795100
36900000000	795442
37000000000	795562
37100000000	797197
37200000000	796289
37300000000	796673
37400000000	797776
37500000000	797483
37600000000	795477
37700000000	794856
37800000000	798008
37900000000	795724
38000000000	796810
38100000000	795482
38200000000	795891
38300000000	796629
38400000000	797411
38500000000	797495
38600000000	797519
38700000000	796187
38800000000	798082
38900000000	796127
39000000000	796508
39100000000	796670
39200000000	797304
39300000000	797023
39400000000	797086
39500000000	796662
39600000000	796544
39700000000	798311
39800000000	797644
39900000000	798944
40000000000	798383
40100000000	798229
40200000000	798979
40300000000	800008
40400000000	799936
40500000000	798373
40600000000	798849
40700000000	798977
40800000000	798840
40900000000	797713
41000000000	797556
41100000000	796039
41200000000	796502
41300000000	795712
41400000000	796810
41500000000	796187
41600000000	796406
41700000000	796375
41800000000	795517
41900000000	797137
42000000000	797306
42100000000	796071
42200000000	794220
42300000000	794062
42400000000	794801
42500000000	796071
42600000000	794005
42700000000	795695
42800000000	794363
42900000000	795249
43000000000	794647
43100000000	794375
43200000000	796429
43300000000	793868
43400000000	795477
43500000000	797365
43600000000	797092
43700000000	795429
43800000000	795241
43900000000	795725
44000000000	794940
44100000000	796436
44200000000	796077
44300000000	797403
44400000000	797519
44500000000	795278
44600000000	796810
44700000000	796771
44800000000	796046
44900000000	797060
45000000000	795129
45100000000	794938
45200000000	796606
45300000000	795737
45400000000	797669
45500000000	795557
45600000000	796698
45700000000	796554
45800000000	796485
45900000000	796269
46000000000	797283
46100000000	797861
46200000000	796024
46300000000	797274
46400000000	795926
46500000000	796716
46600000000	797556
46700000000	797176
46800000000	797803
46900000000	798304
47000000000	798582
47100000000	796110
47200000000	798171
47300000000	796256
47400000000	797936
47500000000	798031
47600000000	798483
47700000000	799450
47800000000	795780
47900000000	797664
48000000000	797583
48100000000	797610
48200000000	795792
48300000000	794754
48400000000	796484
48500000000	794791
48600000000	796733
48700000000	796600
48800000000	798184
48900000000	794755
49000000000	796030
49100000000	795758
49200000000	796948
49300000000	795834
49400000000	794980
49500000000	796908
49600000000	793027
49700000000	795739
49800000000	795102
49900000000	794806
50000000000	796973
50100000000	797619
50200000000	799219
50300000000	796004
50400000000	797929
50500000000	799691
50600000000	797947
50700000000	797512
50800000000	798559
50900000000	797163
51000000000	800065
51100000000	798032
51200000000	798753
51300000000	800371
51400000000	798566
51500000000	797467
51600000000	798300
51700000000	797999
51800000000	798229
51900000000	798877
52000000000	799044
52100000000	798389
52200000000	798012
52300000000	798901
52400000000	798883
52500000000	799790
52600000000	799968
52700000000	798511
52800000000	798335
52900000000	800239
53000000000	798891
53100000000	799229
53200000000	801267
53300000000	800971
53400000000	799607
53500000000	797645
53600000000	799649
53700000000	799626
53800000000	800122
53900000000	799158
54000000000	800406
54100000000	800433
54200000000	801690
54300000000	801006
54400000000	801617
54500000000	801323
54600000000	800155
54700000000	800171
54800000000	801412
54900000000	799552
55000000000	801258
55100000000	801235
55200000000	800750
55300000000	797681
55400000000	799479
55500000000	799718
55600000000	799650
55700000000	798462
55800000000	798468
55900000000	799358
56000000000	798120
56100000000	797541
56200000000	797882
56300000000	796348
56400000000	799603
56500000000	798010
56600000000	799362
56700000000	798031
56800000000	797888
56900000000	796809
57000000000	797304
57100000000	798499
57200000000	795870
57300000000	795678
57400000000	796535
57500000000	795789
57600000000	797432
57700000000	798343
57800000000	798063
57900000000	797970
58000000000	797149
58100000000	800488
58200000000	798078
58300000000	798461
58400000000	798512
58500000000	798689
58600000000	798861
58700000000	799976
58800000000	799292
58900000000	797344
59000000000	798598
59100000000	798829
59200000000	800237
59300000000	797992
59400000000	800913
59500000000	797132
59600000000	799015
59700000000	799291
59800000000	798210
59900000000	798817
60000000000	799766
60100000000	798703
60200000000	798936
60300000000	799369
60400000000	800446
60500000000	799559
60600000000	800342
60700000000	797797
60800000000	801184
60900000000	800208
61000000000	800800
61100000000	801038
61200000000	801453
61300000000	800766
61400000000	799375
61500000000	800600
61600000000	800749
61700000000	800588
61800000000	798539
61900000000	801051
62000000000	798272
62100000000	801035
62200000000	799376
62300000000	800532
62400000000	799182
62500000000	800198
62600000000	799735
62700000000	798979
62800000000	797985
62900000000	798371
63000000000	798479
63100000000	797122
63200000000	798111
63300000000	799492
63400000000	798831
63500000000	797582
63600000000	799333
63700000000	798102
63800000000	799294
63900000000	796627
64000000000	796188
64100000000	796418
64200000000	797522
64300000000	795045
64400000000	798577
64500000000	796498
64600000000	798762
64700000000	797281
64800000000	798691
64900000000	798371
65000000000	799095
65100000000	798762
65200000000	797512
65300000000	798765
65400000000	799109
65500000000	798810
65600000000	798465
65700000000	797194
65800000000	798102
65900000000	799885
66000000000	799664
66100000000	800559
66200000000	800723
66300000000	799805
66400000000	799729
66500000000	800879
66600000000	800271
66700000000	799258
66800000000	799169
66900000000	798877
67000000000	799639
67100000000	799211
67200000000	800105
67300000000	799448
67400000000	799640
67500000000	800561
67600000000	800173
67700000000	800643
67800000000	799726
67900000000	800371
68000000000	800128
68100000000	800675
68200000000	801395
68300000000	799828
68400000000	799628
68500000000	801767
68600000000	802853
68700000000	801971
68800000000	799684
68900000000	800172
69000000000	801534
69100000000	801378
69200000000	802384
69300000000	800666
69400000000	801658
69500000000	799024
69600000000	801264
69700000000	800493
69800000000	799592
69900000000	797666
70000000000	799895
70100000000	799140
70200000000	797329
70300000000	799312
70400000000	798635
70500000000	798267
70600000000	798888
70700000000	798716
70800000000	798091
70900000000	796763
71000000000	796583
71100000000	798287
71200000000	797741
71300000000	797128
71400000000	797412
71500000000	798576
71600000000	796782
71700000000	797488
71800000000	798364
71900000000	798089
72000000000	797948
72100000000	799287
72200000000	798899
72300000000	798460
72400000000	796206
72500000000	799242
72600000000	798187
72700000000	798526
72800000000	800163
72900000000	800064
73000000000	801002
73100000000	798580
73200000000	799133
73300000000	799561
73400000000	798032
73500000000	799402
73600000000	799083
73700000000	799489
73800000000	798666
73900000000	799976
74000000000	798010
74100000000	797599
74200000000	797713
74300000000	797161
74400000000	798587
74500000000	798148
74600000000	798403
74700000000	798449
74800000000	799656
74900000000	799840
75000000000	799075
75100000000	799284
75200000000	798528
75300000000	798059
75400000000	797163
75500000000	797823
75600000000	798432
75700000000	798771
75800000000	798812
75900000000	798517
76000000000	800403
76100000000	799312
76200000000	800170
76300000000	799391
76400000000	797821
76500000000	798408
76600000000	797879
76700000000	798341
76800000000	797005
76900000000	797620
77000000000	798568
77100000000	797425
77200000000	796640
77300000000	797715
77400000000	794971
77500000000	797391
77600000000	796724
77700000000	795198
77800000000	795969
77900000000	794626
78000000000	794454
78100000000	795192
78200000000	795959
78300000000	794551
78400000000	794413
78500000000	794434
78600000000	793561
78700000000	794754
78800000000	795222
78900000000	794812
79000000000	794207
79100000000	794887
79200000000	794857
79300000000	796271
79400000000	797513
79500000000	795486
79600000000	797170
79700000000	795771
79800000000	795373
79900000000	796556
80000000000	797385
80100000000	797337
80200000000	798188
80300000000	796131
80400000000	797383
80500000000	795932
80600000000	797425
80700000000	795779
80800000000	796513
80900000000	795959
81000000000	794731
81100000000	795541
81200000000	796603
81300000000	796169
81400000000	795753
81500000000	797619
81600000000	795864
81700000000	798614
81800000000	797290
81900000000	796274
82000000000	797036
82100000000	796997
82200000000	796088
82300000000	799359
82400000000	796588
82500000000	797109
82600000000	797589
82700000000	798493
82800000000	797272
82900000000	797768
83000000000	796985
83100000000	798284
83200000000	798883
83300000000	799585
83400000000	799610
83500000000	799324
83600000000	797175
83700000000	797764
83800000000	796899
83900000000	797934
84000000000	795997
84100000000	797248
84200000000	796129
84300000000	793759
84400000000	797196
84500000000	796015
