"Time (ps)"	"Counts per bin"
0	245848
50000000	245717
100000000	245466
150000000	245985
200000000	245338
250000000	246276
300000000	246096
350000000	245822
400000000	245186
450000000	245747
500000000	245341
550000000	245628
600000000	245842
650000000	245513
700000000	245571
750000000	245376
800000000	245564
850000000	246670
900000000	246698
950000000	245882
1000000000	245458
1050000000	244964
1100000000	244635
1150000000	245911
1200000000	246417
1250000000	245229
1300000000	246932
1350000000	245723
1400000000	246036
1450000000	245183
1500000000	245836
1550000000	246831
1600000000	246338
1650000000	245912
1700000000	245692
1750000000	246105
1800000000	245766
1850000000	246119
1900000000	245602
1950000000	245373
2000000000	245948
2050000000	246181
2100000000	245286
2150000000	246111
2200000000	246356
2250000000	245609
2300000000	246346
2350000000	246201
2400000000	246002
2450000000	244872
2500000000	246416
2550000000	245793
2600000000	246124
2650000000	245700
2700000000	245731
2750000000	245615
2800000000	245911
2850000000	245519
2900000000	245174
2950000000	244999
3000000000	245721
3050000000	246273
3100000000	245336
3150000000	245512
3200000000	245546
3250000000	246695
3300000000	246301
3350000000	245066
3400000000	245125
3450000000	245909
3500000000	245453
3550000000	245277
3600000000	245285
3650000000	245550
3700000000	245366
3750000000	246110
3800000000	246035
3850000000	245808
3900000000	245913
3950000000	245330
4000000000	245645
4050000000	245491
4100000000	245060
4150000000	245759
4200000000	244964
4250000000	245366
4300000000	246274
4350000000	244619
4400000000	245247
4450000000	245142
4500000000	245123
4550000000	246018
4600000000	245545
4650000000	246526
4700000000	245719
4750000000	245515
4800000000	246085
4850000000	246264
4900000000	245694
4950000000	245989
5000000000	245909
5050000000	246187
5100000000	246219
5150000000	245466
5200000000	245940
5250000000	244854
5300000000	246122
5350000000	244776
5400000000	246064
5450000000	244290
5500000000	245532
5550000000	246422
5600000000	246716
5650000000	244786
5700000000	245494
5750000000	246351
5800000000	246489
5850000000	245750
5900000000	245040
5950000000	245671
6000000000	245872
6050000000	246001
6100000000	245887
6150000000	247615
6200000000	246042
6250000000	245377
6300000000	244542
6350000000	246704
6400000000	245965
6450000000	245135
6500000000	245995
6550000000	245845
6600000000	245652
6650000000	245801
6700000000	245641
6750000000	245705
6800000000	246012
6850000000	245677
6900000000	245756
6950000000	246086
7000000000	246157
7050000000	245222
7100000000	245880
7150000000	245965
7200000000	245780
7250000000	245447
7300000000	245213
7350000000	245502
7400000000	246279
7450000000	246255
7500000000	246390
7550000000	245664
7600000000	245614
7650000000	245901
7700000000	245406
7750000000	245434
7800000000	246644
7850000000	245761
7900000000	245165
7950000000	246303
8000000000	245778
8050000000	245701
8100000000	246104
8150000000	245825
8200000000	246120
8250000000	246447
8300000000	246208
8350000000	245813
8400000000	245804
8450000000	245904
8500000000	245320
8550000000	245370
8600000000	246850
8650000000	245051
8700000000	245017
8750000000	246326
8800000000	246411
8850000000	246158
8900000000	244969
8950000000	246301
9000000000	246115
9050000000	245619
9100000000	245625
9150000000	246455
9200000000	245972
9250000000	246414
9300000000	246110
9350000000	246145
9400000000	245183
9450000000	246717
9500000000	245630
9550000000	245668
9600000000	246199
9650000000	245720
9700000000	245026
9750000000	245769
9800000000	246327
9850000000	245952
9900000000	245655
9950000000	245929
10000000000	246298
10050000000	246079
10100000000	245829
10150000000	245671
10200000000	246048
10250000000	245016
10300000000	244219
10350000000	246569
10400000000	246318
10450000000	245602
10500000000	245239
10550000000	244823
10600000000	246551
10650000000	246023
10700000000	245608
10750000000	245671
10800000000	246392
10850000000	246020
10900000000	245732
10950000000	246202
11000000000	245567
11050000000	245940
11100000000	246402
11150000000	245517
11200000000	245683
11250000000	245630
11300000000	245273
11350000000	245733
11400000000	245601
11450000000	245967
11500000000	245776
11550000000	245754
11600000000	245893
11650000000	246665
11700000000	245342
11750000000	246387
11800000000	245918
11850000000	246594
11900000000	245570
11950000000	244859
12000000000	245508
12050000000	245506
12100000000	246232
12150000000	245738
12200000000	246308
12250000000	246321
12300000000	245904
12350000000	245800
12400000000	246064
12450000000	245717
12500000000	245181
12550000000	244649
12600000000	245989
12650000000	246850
12700000000	245566
12750000000	247048
12800000000	245805
12850000000	245474
12900000000	245165
12950000000	245498
13000000000	245210
13050000000	245354
13100000000	245229
13150000000	245990
13200000000	245923
13250000000	245270
13300000000	245564
13350000000	246627
13400000000	246259
13450000000	245836
13500000000	246676
13550000000	246205
13600000000	246612
13650000000	245683
13700000000	245880
13750000000	245766
13800000000	246141
13850000000	245867
13900000000	246390
13950000000	246171
14000000000	245519
14050000000	246210
14100000000	246156
14150000000	245772
14200000000	245946
14250000000	246259
14300000000	245863
14350000000	245543
14400000000	245940
14450000000	246496
14500000000	245886
14550000000	246250
14600000000	246561
14650000000	245451
14700000000	245511
14750000000	246271
14800000000	246725
14850000000	246194
14900000000	244781
14950000000	245942
15000000000	244788
15050000000	246200
15100000000	245777
15150000000	245327
15200000000	244777
15250000000	245782
15300000000	246603
15350000000	245532
15400000000	245674
15450000000	245608
15500000000	246828
15550000000	245916
15600000000	245443
15650000000	246119
15700000000	245873
15750000000	246023
15800000000	246135
15850000000	246046
15900000000	245481
15950000000	244421
16000000000	245478
16050000000	245620
16100000000	246183
16150000000	246535
16200000000	245154
16250000000	245685
16300000000	246409
16350000000	246324
16400000000	245081
16450000000	245716
16500000000	245872
16550000000	245020
16600000000	245762
16650000000	245878
16700000000	245616
